,group,variable,month,INFLUENZA ESTACIONAL 5 A 9 - D,INFLUENZA ESTACIONAL 5 A 9 - D,INFLUENZA ESTACIONAL 5 A 9 - F,INFLUENZA ESTACIONAL 5 A 9 - F,INFLUENZA ESTACIONAL 10 AÑOS - D,INFLUENZA ESTACIONAL 10 AÑOS - D,INFLUENZA ESTACIONAL 10 AÑOS - F,INFLUENZA ESTACIONAL 10 AÑOS - F,INFLUENZA ESTACIONAL 11 AÑOS - D,INFLUENZA ESTACIONAL 11 AÑOS - D,INFLUENZA ESTACIONAL 11 AÑOS - F,INFLUENZA ESTACIONAL 11 AÑOS - F,INFLUENZA ESTACIONAL 12 A 20 - D,INFLUENZA ESTACIONAL 12 A 20 - D,INFLUENZA ESTACIONAL 12 A 20 - F,INFLUENZA ESTACIONAL 12 A 20 - F,INFLUENZA ESTACIONAL 21 A 59 - D,INFLUENZA ESTACIONAL 21 A 59 - D,INFLUENZA ESTACIONAL 21 A 59 - F,INFLUENZA ESTACIONAL 21 A 59 - F,INFLUENZA ESTACIONAL 60 Y MAS - D,INFLUENZA ESTACIONAL 60 Y MAS - D,INFLUENZA ESTACIONAL 60 Y MAS - F,INFLUENZA ESTACIONAL 60 Y MAS - F,TOTALES,TOTALES,TOTALES
TARVITA,otras vacunaciones,influenza estacional,2024-05-01,0,1,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,4,14,24,37,59,115,148,168,239,407
TEOPONTE,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,45,45,54,48,102
TIAHUANACU,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,63,28,32,97,95,192
TINGUIPAYA,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,28,330,388,363,416,779
TIPUANI,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,102,73,115,83,198
TIQUIPAYA,otras vacunaciones,influenza estacional,2024-05-01,2,3,2,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,2,179,195,241,370,428,573,1001
TIRAQUE (CBBA),otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,44,65,182,238,228,307,535
TOCO,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,50,64,76,118,126,185,311
TODOS SANTOS,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11,11,12,23
TOLATA,otras vacunaciones,influenza estacional,2024-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,43,43,56,86,101,187
TOLEDO,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,44,58,68,81,149
TOMAVE,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38,105,137,120,175,295
TOMINA,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,52,85,110,128,163,291
TORO TORO,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,62,92,80,148,142,290
TOTORA(CBBA),otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,75,158,147,202,222,424
TOTORA(ORR),otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,91,117,117,144,261
TRIGAL,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,39,40,49,50,99
TRINIDAD,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,306,134,126,422,432,854
TUPIZA,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,355,203,318,491,673,1164
TURCO,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,41,45,60,68,128
UMALA,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,99,113,129,139,268
UNCIA,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,48,208,286,241,334,575
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional,2024-05-01,4,6,1,1,0,1,0,1,0,1,1,1,2,5,1,1,15,22,39,49,43,44,158,273,264,405,669
URUBICHA,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,49,68,61,68,129
UYUNI,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,207,128,140,307,347,654
VACAS,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,62,81,85,143,148,225,373
VALLEGRANDE,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,176,70,98,216,274,490
VIACHA,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,151,80,92,216,243,459
VILA VILA,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,91,105,100,113,213
VILLA CHARCAS,otras vacunaciones,influenza estacional,2024-05-01,8,3,26,18,1,1,8,7,0,0,1,2,1,1,1,3,5,17,17,31,19,31,69,107,156,221,377
VILLA MONTES,otras vacunaciones,influenza estacional,2024-05-01,0,2,0,2,0,0,0,0,1,0,0,0,2,1,0,0,10,5,9,2,196,192,220,231,438,435,873
VILLA NUEVA (LOMA ALTA),otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,25,25,26,27,53
VILLA RIVERO,otras vacunaciones,influenza estacional,2024-05-01,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,26,38,62,65,90,106,196
VILLA SERRANO,otras vacunaciones,influenza estacional,2024-05-01,0,0,22,11,0,0,6,7,0,0,3,5,0,0,0,1,0,0,8,22,58,74,70,89,167,209,376
VILLA TUNARI,otras vacunaciones,influenza estacional,2024-05-01,7,7,0,0,2,0,0,0,0,0,0,0,0,7,1,4,7,27,15,17,249,173,336,270,617,505,1122
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,influenza estacional,2024-05-01,8,6,35,27,0,0,6,2,1,0,9,7,6,3,59,39,13,17,32,33,18,21,31,43,218,198,416
VILLAZON,otras vacunaciones,influenza estacional,2024-05-01,10,15,3,6,2,10,6,2,2,1,0,0,16,24,8,10,64,93,43,63,229,280,96,147,479,651,1130
VINTO,otras vacunaciones,influenza estacional,2024-05-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,14,112,128,205,305,322,454,776
VITICHI,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,93,117,215,184,308,492
WALDO BALLIVIAN,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,4,10,14
WARNES,otras vacunaciones,influenza estacional,2024-05-01,0,2,2,1,3,1,4,3,1,23,67,48,19,7,1,2,0,0,0,0,617,656,63,92,777,835,1612
YACO,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,45,39,72,60,132
YACUIBA,otras vacunaciones,influenza estacional,2024-05-01,8,5,12,10,2,0,1,1,3,3,1,2,2,3,5,2,9,9,5,15,456,473,719,756,1223,1279,2502
YAMPARAEZ,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12,18,27,47,88,159,128,226,354
YANACACHI,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,72,63,94,72,166
YAPACANI,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,72,191,185,301,257,558
YOCALLA,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,64,69,83,100,183
YOTALA,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,50,64,157,108,207,315
YUNCHARA,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,7,10,91,118,98,134,232
YUNGUYO DE LITORAL,otras vacunaciones,influenza estacional,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,9,8,17
ZUDAÑEZ,otras vacunaciones,influenza estacional,2024-05-01,5,2,22,36,0,2,7,6,0,0,3,5,1,3,2,3,1,3,19,31,20,24,67,71,147,186,333
ACACIO,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,76,103,82,112,194
ACHACACHI,otras vacunaciones,influenza estacional,2024-06-01,0,0,25,25,0,0,5,5,0,0,6,8,0,0,1,0,0,0,0,0,48,29,170,171,255,238,493
ACHOCALLA,otras vacunaciones,influenza estacional,2024-06-01,0,0,24,21,0,0,10,6,0,0,5,7,0,0,13,5,0,0,0,0,34,27,2,2,88,68,156
AIQUILE,otras vacunaciones,influenza estacional,2024-06-01,9,5,6,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,3,51,62,101,116,168,193,361
ALALAY,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,23,32,29,39,68
ALCALA,otras vacunaciones,influenza estacional,2024-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,40,35,50,53,103
ALTO BENI,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,29,20,39,31,70
ANCORAIMES,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30,30,53,53,83,136
ANDAMARCA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,14,18,20,25,45
ANTEQUERA,otras vacunaciones,influenza estacional,2024-06-01,0,3,42,39,0,0,10,14,0,0,11,22,0,0,3,0,0,0,8,9,1,3,25,26,100,116,216
ANZALDO,otras vacunaciones,influenza estacional,2024-06-01,1,0,30,37,0,0,11,4,0,0,7,10,0,0,1,1,1,2,3,4,11,9,81,123,146,190,336
APOLO,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,42,41,72,71,143
ARAMPAMPA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,54,33,55,34,89
ARANI,otras vacunaciones,influenza estacional,2024-06-01,1,4,174,200,0,0,49,63,0,0,54,54,0,0,39,48,0,3,3,11,11,18,37,56,368,457,825
ARBIETO,otras vacunaciones,influenza estacional,2024-06-01,8,8,90,110,0,1,26,26,1,1,8,7,0,0,5,6,1,0,2,1,31,32,32,56,204,248,452
ARQUE,otras vacunaciones,influenza estacional,2024-06-01,2,2,43,33,0,0,5,1,0,0,1,5,0,0,1,1,0,0,0,0,25,42,44,55,121,139,260
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,8,13,31,24,55
ATOCHA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,49,14,14,52,63,115
AUCAPATA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,6,18,14,32
AYATA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,78,112,84,125,209
AYO AYO,otras vacunaciones,influenza estacional,2024-06-01,0,0,4,7,0,0,2,0,0,0,0,2,0,2,1,0,0,0,0,0,8,17,21,10,36,38,74
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,94,100,87,93,182,193,375
AZURDUY,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,40,36,60,53,113
BATALLAS,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,56,64,77,83,160
BAURES,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,1,12,5,17
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,16,16,17,33
BELEN DE URMIRI,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,8,4,12
BELLA FLOR,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,3,13,3,16
BERMEJO,otras vacunaciones,influenza estacional,2024-06-01,8,11,181,173,1,1,48,41,2,2,32,33,2,9,2,8,11,19,4,12,57,66,24,34,372,409,781
BETANZOS,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,78,200,233,275,311,586
BOLIVAR,otras vacunaciones,influenza estacional,2024-06-01,0,1,30,30,0,0,7,4,0,1,8,4,0,0,4,5,0,0,0,0,14,17,71,74,134,136,270
BOLPEBRA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
BOYUIBE,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,30,48,39,54,93
BUENA VISTA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,21,26,38,41,79
CABEZAS,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,35,73,77,104,112,216
CAIROMA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,65,42,33,112,98,210
"CAIZA ""D""",otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,39,47,50,58,108
CAJUATA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,28,15,46,31,77
CALACOTO,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,47,42,48,45,93
CALAMARCA,otras vacunaciones,influenza estacional,2024-06-01,3,8,21,40,0,0,15,12,0,0,12,15,4,5,3,8,9,12,3,5,24,28,15,7,109,140,249
CAMARGO,otras vacunaciones,influenza estacional,2024-06-01,8,8,1,2,0,0,1,0,0,0,1,0,0,2,30,33,15,18,162,191,22,33,64,95,304,382,686
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,influenza estacional,2024-06-01,0,3,25,27,0,1,5,7,1,1,8,9,0,0,0,0,0,0,0,0,7,8,9,6,55,62,117
CAMIRI,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,91,44,56,110,147,257
CAPINOTA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,57,83,118,126,175,301
CAQUIAVIRI,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,37,32,67,50,117
CARACOLLO,otras vacunaciones,influenza estacional,2024-06-01,3,5,100,103,0,0,13,21,1,0,21,30,1,0,18,12,1,0,2,0,42,42,79,85,281,298,579
CARANAVI,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,118,52,29,189,147,336
CARAPARI,otras vacunaciones,influenza estacional,2024-06-01,15,17,34,34,3,4,9,8,1,1,8,11,2,2,1,2,0,3,0,2,33,31,55,63,161,178,339
CARIPUYO,otras vacunaciones,influenza estacional,2024-06-01,2,0,5,11,0,1,2,1,1,0,0,1,0,0,2,0,0,0,0,0,6,3,13,15,31,32,63
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
CATACORA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,8,2,10
CHACARILLA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,22,21,35,37,72
CHALLAPATA,otras vacunaciones,influenza estacional,2024-06-01,17,25,336,347,1,0,77,81,1,1,74,116,45,28,250,36,25,26,29,9,17,10,72,75,944,754,1698
CHAQUI,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,56,120,153,167,209,376
CHARAGUA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,50,59,84,91,175
CHARAÑA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3
CHAYANTA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,96,121,102,125,227
CHIMORE,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,39,34,66,52,118
CHIPAYA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
CHOQUE COTA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,1,6,7
CHUA COCANI,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,4
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,33,32,45,40,85
CHUMA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,72,84,81,92,173
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,14,26,16,33,49
CKOCHAS,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,43,59,83,91,126,217
CLIZA,otras vacunaciones,influenza estacional,2024-06-01,22,31,88,75,5,6,11,9,0,4,9,15,4,10,127,146,6,16,7,16,33,42,50,78,362,448,810
COBIJA,otras vacunaciones,influenza estacional,2024-06-01,7,4,343,362,1,0,47,57,0,0,45,42,3,4,69,99,4,11,133,119,16,13,47,45,715,756,1471
COCAPATA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,96,93,101,181,197,378
COCHABAMBA,otras vacunaciones,influenza estacional,2024-06-01,13,8,173,191,1,1,45,93,1,2,69,97,1,0,22,39,0,0,0,0,1869,2046,722,905,2916,3382,6298
COIPASA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COLCAPIRHUA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,97,171,267,242,364,606
"COLCHA ""K""",otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,62,25,47,67,109,176
COLLANA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,13,12,1,2,15,16,31
COLOMI,otras vacunaciones,influenza estacional,2024-06-01,11,10,99,105,1,3,21,21,2,2,23,18,2,1,4,3,0,3,0,0,64,71,43,59,270,296,566
COLPA BELGICA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,4,6,10
COLQUECHACA,otras vacunaciones,influenza estacional,2024-06-01,1,2,138,116,0,1,41,38,1,0,24,22,0,0,14,18,1,4,15,11,25,33,123,129,383,374,757
COLQUENCHA,otras vacunaciones,influenza estacional,2024-06-01,3,3,18,33,3,1,8,2,1,1,9,3,1,1,0,0,0,0,1,0,24,29,3,1,71,74,145
COLQUIRI,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,42,44,50,52,102
COMANCHE,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,11,8,14,22
COMARAPA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37,14,10,41,47,88
COMBAYA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,8,15
CONCEPCION,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,20,21,38,45,83
CORIPATA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27,17,19,49,46,95
CORO CORO,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,76,55,98,69,167
COROICO,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,33,20,23,48,56,104
CORQUE,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,60,57,79,83,162
COTAGAITA,otras vacunaciones,influenza estacional,2024-06-01,7,8,59,61,0,11,9,8,3,1,5,1,0,10,0,0,0,0,0,0,28,42,140,190,251,332,583
COTOCA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,66,12,16,75,82,157
CRUZ DE MACHACAMARCA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,11,7,12,19
CUATRO CAÑADAS,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,26,21,33,26,59
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,influenza estacional,2024-06-01,2,2,14,3,0,0,2,4,1,0,2,4,0,0,4,0,1,0,2,2,6,4,13,22,47,41,88
CUEVO,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,17,23,17,40
CULPINA,otras vacunaciones,influenza estacional,2024-06-01,64,62,339,276,10,11,65,79,16,14,58,53,6,7,29,22,11,11,4,14,79,79,48,46,729,674,1403
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional,2024-06-01,4,5,47,42,1,0,18,8,1,0,13,9,1,2,4,1,2,3,15,25,12,9,5,21,123,125,248
CURVA,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,15,7,21,14,35
DESAGUADERO,otras vacunaciones,influenza estacional,2024-06-01,0,0,37,29,0,0,4,5,0,0,3,1,0,0,31,31,0,0,6,11,1,1,7,9,89,87,176
EL ALTO,otras vacunaciones,influenza estacional,2024-06-01,512,544,2311,2519,141,155,534,663,129,164,488,634,184,227,797,966,378,797,227,676,498,571,506,645,6705,8561,15266
EL CHORO,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4,5,11,11,22
EL PUENTE(STC),otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,11,11,27,17,44
EL PUENTE(TJA),otras vacunaciones,influenza estacional,2024-06-01,0,0,76,59,0,1,7,10,0,0,16,8,0,0,6,11,3,6,5,13,8,16,22,37,143,161,304
EL TORNO,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,82,62,75,154,157,311
EL VILLAR,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,9,7,46,36,57,45,102
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,45,128,121,176,166,342
ENTRE RIOS CBBA,otras vacunaciones,influenza estacional,2024-06-01,0,0,6,2,0,0,12,20,0,0,2,3,0,0,0,0,0,0,0,0,54,31,39,58,113,114,227
