,group,variable,month,DT 1RA DOSIS 5 A 9 - D,DT 1RA DOSIS 5 A 9 - D,DT 1RA DOSIS 5 A 9 - F,DT 1RA DOSIS 5 A 9 - F,DT 1RA DOSIS 10 AÑOS - D,DT 1RA DOSIS 10 AÑOS - D,DT 1RA DOSIS 10 AÑOS - F,DT 1RA DOSIS 10 AÑOS - F,DT 1RA DOSIS 11 AÑOS - D,DT 1RA DOSIS 11 AÑOS - D,DT 1RA DOSIS 11 AÑOS - F,DT 1RA DOSIS 11 AÑOS - F,DT 1RA DOSIS 12 A 20 - D,DT 1RA DOSIS 12 A 20 - D,DT 1RA DOSIS 12 A 20 - F,DT 1RA DOSIS 12 A 20 - F,DT 1RA DOSIS 21 A 59 - D,DT 1RA DOSIS 21 A 59 - D,DT 1RA DOSIS 21 A 59 - F,DT 1RA DOSIS 21 A 59 - F,DT 1RA DOSIS 60 Y MAS - D,DT 1RA DOSIS 60 Y MAS - D,DT 1RA DOSIS 60 Y MAS - F,DT 1RA DOSIS 60 Y MAS - F,TOTALES,TOTALES,TOTALES
CHACARILLA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,1,1,0,2,0,10,11,3,2,1,2,0,0,0,0,17,16,33
CHALLAPATA,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,6,0,0,0,3,3,0,0,3,5,2,12,85,51,8,13,10,10,0,0,0,0,118,94,212
CHAQUI,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,3
CHARAGUA,otras vacunaciones,dt 1ra dosis,2024-04-01,2,5,0,0,1,0,0,0,0,0,0,0,1,10,0,2,4,13,1,1,0,0,0,0,9,31,40
CHARAÑA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CHAYANTA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,3,3,0,3,1,0,0,0,4,14,18
CHIMORE,otras vacunaciones,dt 1ra dosis,2024-04-01,5,3,16,22,3,0,5,4,0,1,2,2,10,17,15,8,14,16,18,17,1,1,0,0,89,91,180
CHIPAYA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,3,0,0,5,1,0,0,3,0,0,1,1,0,0,0,3,3,0,1,0,0,12,9,21
CHOQUE COTA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,5,4,0,0,0,0,9,7,16
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,dt 1ra dosis,2024-04-01,2,1,15,11,0,0,1,11,0,2,6,3,2,3,11,9,4,16,7,18,0,0,0,0,48,74,122
CHUMA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,3,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4,6,10
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,2,2,0,0,0,0,0,0,5,2,0,2,30,25,1,12,4,7,0,0,0,0,42,50,92
CKOCHAS,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,5,1,1,0,0,0,0,4,8,12
CLIZA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,1,0,0,0,0,0,0,1,0,0,1,0,1,4,3,1,0,3,0,0,0,0,0,9,6,15
COBIJA,otras vacunaciones,dt 1ra dosis,2024-04-01,3,0,9,14,2,2,7,7,2,2,19,9,16,17,137,111,14,36,34,23,0,0,0,0,243,221,464
COCAPATA,otras vacunaciones,dt 1ra dosis,2024-04-01,4,0,8,9,5,0,2,1,0,0,1,0,2,4,0,1,2,6,0,1,0,0,0,0,24,22,46
COCHABAMBA,otras vacunaciones,dt 1ra dosis,2024-04-01,16,11,126,142,8,7,71,108,2,3,119,145,54,123,467,663,201,333,511,651,11,4,16,5,1602,2195,3797
COIPASA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
COLCAPIRHUA,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,2,1,0,0,0,1,1,0,1,3,1,2,8,10,0,0,3,2,0,0,0,0,17,19,36
"COLCHA ""K""",otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,4,9,0,0,9,9,1,0,0,0,0,0,15,18,33
COLLANA,otras vacunaciones,dt 1ra dosis,2024-04-01,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,6,0,0,0,0,0,0,5,8,13
COLOMI,otras vacunaciones,dt 1ra dosis,2024-04-01,0,1,0,0,0,1,1,0,0,0,2,2,3,8,4,2,3,8,1,0,0,0,0,0,14,22,36
COLPA BELGICA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,1,2,0,0,2,2,0,1,5,6,0,3,15,18,0,6,37,119,0,0,10,17,70,174,244
COLQUECHACA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,2,0,2,0,0,0,2,8,1,1,2,1,0,0,1,3,0,1,0,0,0,0,10,14,24
COLQUENCHA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,8,0,1,0,0,0,0,6,9,15
COLQUIRI,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,8,3,6,3,19,0,0,0,0,12,35,47
COMANCHE,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COMARAPA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,8,1,4,4,7,0,0,0,0,19,19,38
COMBAYA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,10,2,0,0,3,1,0,0,1,2,0,0,12,14,0,0,12,14,0,0,0,0,38,33,71
CONCEPCION,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,18,0,1,0,0,0,0,3,23,26
CORIPATA,otras vacunaciones,dt 1ra dosis,2024-04-01,2,3,16,14,0,2,16,12,0,0,19,18,0,2,7,18,1,12,8,11,0,0,0,1,69,93,162
CORO CORO,otras vacunaciones,dt 1ra dosis,2024-04-01,1,1,1,0,0,0,1,0,0,0,0,1,1,1,164,5,0,0,8,2,0,0,0,0,176,10,186
COROICO,otras vacunaciones,dt 1ra dosis,2024-04-01,4,5,29,13,1,3,10,4,2,2,7,2,9,12,39,57,15,15,30,55,0,0,0,0,146,168,314
CORQUE,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,7,7,0,0,5,3,0,0,2,3,0,0,5,9,3,6,6,23,0,0,0,2,28,53,81
COTAGAITA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,6,9,0,0,1,1,1,3,8,18,26
COTOCA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
CUATRO CAÑADAS,otras vacunaciones,dt 1ra dosis,2024-04-01,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,2,2,7,4,0,0,0,5,1,16,12,28
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,15,3,0,0,3,3,0,0,4,1,0,0,1,1,1,0,1,0,0,0,0,0,25,8,33
CUEVO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0,6,5,11
CURAHUARA DE CARANGAS,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,2,6
CURVA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,5,0,1,0,0,0,0,5,12,17
DESAGUADERO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
EL ALTO,otras vacunaciones,dt 1ra dosis,2024-04-01,69,53,149,170,18,18,81,110,16,8,230,216,39,137,399,589,125,447,249,373,3,3,1,2,1379,2126,3505
EL CHORO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,2,2,0,0,0,0,0,0,1,2,0,0,0,2,2,2,3,3,0,1,0,0,8,12,20
EL PUENTE(STC),otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,48,42,0,0,10,14,0,0,26,17,2,6,91,99,5,6,54,54,0,0,0,0,236,238,474
EL PUENTE(TJA),otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,3,6,19,1,0,0,0,0,25,9,34
EL TORNO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,1,0,0,0,1,1,0,0,0,1,3,2,1,2,0,0,0,0,0,0,0,6,6,12
EL VILLAR,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,8,9
ENTRE RIOS TRJ,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,1,0,0,0,0,1,0,2,2,1,6,2,2,3,3,7,1,2,0,0,0,0,15,18,33
ENTRE RIOS CBBA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,5,3,0,0,2,4,5,18,4,6,6,29,10,9,0,0,0,0,32,69,101
ESCARA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,3,2,0,0,1,1,0,0,2,0,0,0,12,8,0,0,0,0,0,0,0,0,18,11,29
ESCOMA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
ESMERALDA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,2,2,0,0,0,0,5,8,13
EUCALIPTUS,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,12,0,1,33,32,1,0,1,1,40,48,88
EUREKA (SANTOS MERCADO),otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,1,1,0,0,4,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,10,15
EXALTACION,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,2,4
FERNANDEZ ALONSO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,3,0,0,0,0,3,6,9
FILADELFIA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,1,0,3,3,6
GAIOC JATUN AYLLU YURA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,3,0,6,0,0,0,0,3,10,13
GENERAL SAAVEDRA,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,3,3,0,0,0,1,0,0,0,0,0,4,0,1,2,10,1,0,0,0,0,0,7,19,26
GIA-TIM,otras vacunaciones,dt 1ra dosis,2024-04-01,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,2,2,2,0,0,1,0,0,0,8,5,13
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,5,12,0,0,0,0,0,0,7,19,26
GUANAY,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,3,2,0,0,1,0,0,0,0,0,1,1,2,1,2,6,6,4,0,0,0,0,15,14,29
GUAQUI,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,0,0,0,0,4,0,0,1,3,2,0,2,276,56,0,3,0,4,0,0,0,0,284,68,352
GUAYARAMERIN,otras vacunaciones,dt 1ra dosis,2024-04-01,4,1,49,21,2,2,24,17,1,1,49,36,1,12,23,17,11,28,5,0,1,0,0,0,170,135,305
GUTIERREZ,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,2,5,0,0,0,1,0,0,0,0,0,1,0,1,1,2,2,2,0,0,0,0,5,12,17
HUACARAJE,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,4
HUACARETA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,4
HUACHACALLA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0,0,0,0,3,4,7
HUANUNI,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,6,6,1,2,0,2,0,0,1,0,0,0,6,8,1,3,14,18,0,2,0,0,29,41,70
HUARINA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,6,2,0,0,0,0,9,5,14
HUATAJATA,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,6,2,0,0,2,0,0,0,1,0,0,1,17,10,0,1,16,10,0,0,0,0,43,24,67
HUAYLLAMARCA,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,4,4,0,0,0,1,0,0,2,2,0,0,4,4,1,1,15,22,0,0,0,0,27,34,61
ICHOCA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ICLA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,2,3,5
INCAHUASI,otras vacunaciones,dt 1ra dosis,2024-04-01,3,2,1,5,0,1,1,0,0,0,0,0,3,0,0,1,2,5,0,0,0,0,0,0,10,14,24
INGAVI (HUMAITA),otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,7,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,8,10
INQUISIVI,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,2,1,0,0,4,0,0,0,8,0,0,0,2,5,4,6,0,1,2,0,0,0,23,13,36
IRUPANA (VILLA DE LANZA),otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,5,16,0,0,1,1,0,0,2,1,0,1,25,28,0,3,8,38,0,1,0,1,41,90,131
IXIAMAS,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,1,0,0,1,1,0,0,0,0,0,0,3,4,4,7,9,5,6,0,0,0,0,19,23,42
JESUS DE MACHACA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,2,2,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,5,5,10
LA ASUNTA,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,18,17,11,3,2,11,0,0,10,10,0,5,10,2,4,36,12,36,0,0,0,0,68,120,188
LA GUARDIA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
LA PAZ,otras vacunaciones,dt 1ra dosis,2024-04-01,21,35,69,87,7,23,36,26,12,10,41,30,148,117,136,233,284,563,329,271,8,22,4,14,1095,1431,2526
LAGUNILLAS,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,3,4
LAJA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,14,4,0,0,7,2,0,0,3,6,1,3,6,12,0,3,0,1,0,0,0,0,31,31,62
LAS CARRERAS,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,3,2,0,0,2,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,9,8,17
LICOMA PAMPA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,3
LLALLAGUA,otras vacunaciones,dt 1ra dosis,2024-04-01,1,1,11,19,0,0,1,0,0,0,0,0,8,22,34,143,16,64,90,100,2,1,4,8,167,358,525
LLICA,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,8,0,0,1,0,0,0,7,10,17
LORETO,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,0,3,0,0,1,1,0,0,0,0,0,0,2,10,0,0,2,5,0,0,2,3,8,22,30
LURIBAY,otras vacunaciones,dt 1ra dosis,2024-04-01,12,5,5,2,3,2,10,15,6,5,2,0,7,17,49,29,9,15,2,2,0,0,0,0,105,92,197
MACHACAMARCA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,3,0,0,7,5,0,0,0,0,11,9,20
MAGDALENA,otras vacunaciones,dt 1ra dosis,2024-04-01,6,5,4,2,2,0,13,5,1,2,4,1,1,8,6,7,6,20,7,11,0,0,3,0,53,61,114
MAIRANA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,1,7,8
MALLA,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,0,0,0,0,2,0,0,0,2,0,1,0,3,5,0,2,7,8,0,0,0,0,16,15,31
MAPIRI,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,9,9
MECAPACA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,1,0,0,0,2,1,0,0,3,2,0,0,7,8,3,4,5,6,0,0,21,21,42
MINEROS,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,2,1,0,0,0,0,0,0,2,1,0,2,0,0,0,3,1,1,0,0,0,0,5,8,13
MIZQUE,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,4,2,0,1,3,0,1,0,0,1,2,3,8,10,1,2,0,0,0,0,0,0,19,19,38
MOCOMOCO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3
MOJOCOYA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,1,0,0,1,0,0,0,5,3,8
MONTEAGUDO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,3,3,6
MONTERO,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,55,45,1,1,92,65,0,1,51,58,9,19,341,381,39,104,213,256,0,0,0,0,802,930,1732
NAZACARA DE PACAJES,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
OCURI,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,38,2,5,6,21,0,0,0,0,33,71,104
OMEREQUE,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,4,5,0,0,2,8,0,0,3,6,0,0,2,5,2,3,7,18,0,0,0,0,20,45,65
ORURO,otras vacunaciones,dt 1ra dosis,2024-04-01,2,4,15,21,1,2,6,9,2,1,14,12,35,96,259,159,113,271,255,323,2,1,5,10,709,909,1618
PADCAYA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,1,0,0,0,1,2,0,0,0,1,1,4,0,0,2,8,0,1,1,1,0,0,6,17,23
PAILON,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,35,32,1,19,0,0,1,0,28,0,0,6,26,60,1,8,1,1,0,0,0,0,93,126,219
PALCA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,4,4,0,0,0,0,0,0,0,2,0,2,2,0,0,9,1,5,0,0,0,0,7,22,29
PALOS BLANCOS,otras vacunaciones,dt 1ra dosis,2024-04-01,1,6,16,7,0,0,0,0,0,0,0,0,3,2,1,4,5,9,5,34,0,1,0,1,31,64,95
PAMPA AULLAGAS,otras vacunaciones,dt 1ra dosis,2024-04-01,1,0,6,3,0,1,0,0,0,0,5,0,1,3,1,1,0,0,0,3,0,0,0,0,14,11,25
PAMPA GRANDE,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PAPEL PAMPA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,1,1,0,0,0,0,0,0,0,0,2,3,0,0,3,1,0,0,0,0,0,0,6,5,11
PASORAPA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,3,4,0,0,0,0,0,0,4,3,0,0,7,5,0,0,2,0,0,0,0,0,16,12,28
PATACAMAYA,otras vacunaciones,dt 1ra dosis,2024-04-01,10,12,0,0,14,16,0,0,15,14,0,0,0,1,24,27,3,26,5,2,0,0,0,0,71,98,169
PAZÑA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,7,2,0,0,2,1,0,0,3,3,2,1,32,31,4,3,26,40,0,0,0,0,76,81,157
PELECHUCO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,0,5,0,2,0,0,0,0,5,12,17
POCOATA,otras vacunaciones,dt 1ra dosis,2024-04-01,1,9,0,0,0,0,0,0,0,0,0,0,1,6,0,0,2,4,0,2,0,0,0,0,4,21,25
POCONA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,11,7,0,0,0,0,0,0,2,1,1,4,11,32,1,1,4,5,2,0,0,0,32,50,82
POJO (CBBA),otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,1,2,1,0,5,0,0,0,0,0,0,2,0,0,2,1,1,1,0,0,0,0,10,6,16
POOPO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,3,1,0,0,2,0,0,0,0,0,0,3,28,7,1,4,19,23,0,0,2,4,55,42,97
PORCO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,1,18,34,38,0,0,0,0,40,62,102
POROMA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,3,5,1,3,0,0,0,0,4,17,21
PORTACHUELO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,4,4,0,0,2,17,0,0,2,4,2,8,12,15,3,20,23,37,0,1,2,7,50,113,163
PORVENIR,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,2,0,0,0,0,0,0,0,2,0,0,6,5,0,0,6,6,0,0,1,0,13,15,28
POTOSI,otras vacunaciones,dt 1ra dosis,2024-04-01,4,4,0,0,1,2,0,0,0,0,0,0,15,106,16,34,103,288,137,73,2,1,0,1,278,509,787
PRESTO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,3,0,0,1,0,0,0,2,8,10
PUCARA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUCARANI,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,49,44,0,0,9,7,0,0,5,6,1,5,15,5,2,5,4,5,0,0,0,0,85,77,162
PUERTO ACOSTA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,14,0,0,0,0,0,0,2,18,20
PUERTO CARABUCO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,1,0,1,161,9,0,2,17,10,0,0,0,0,178,24,202
PUERTO GONZALO MORENO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
PUERTO PEREZ,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2
PUERTO QUIJARRO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,2,1,0,0,0,0,0,0,1,0,0,2,7,6,1,2,6,3,0,0,0,0,17,14,31
PUERTO RICO,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,2,0,0,4,2,0,0,0,3,1,0,0,3,1,2,1,4,0,0,0,0,7,16,23
PUERTO SILES,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,1,8,9
PUERTO SUAREZ,otras vacunaciones,dt 1ra dosis,2024-04-01,1,2,0,0,0,0,0,0,1,0,1,0,5,3,0,4,10,2,0,4,0,0,0,0,18,15,33
PUERTO VILLARROEL,otras vacunaciones,dt 1ra dosis,2024-04-01,3,37,1,2,0,0,2,2,1,1,8,5,2,5,41,37,11,15,5,4,0,0,0,0,74,108,182
PUNA,otras vacunaciones,dt 1ra dosis,2024-04-01,2,1,30,44,0,0,13,11,4,2,13,11,25,34,8,28,6,9,4,7,0,0,0,0,105,147,252
PUNATA,otras vacunaciones,dt 1ra dosis,2024-04-01,10,12,10,13,6,6,4,6,7,9,5,8,16,21,87,118,15,19,21,51,0,0,0,0,181,263,444
QUIABAYA,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,4,2,0,0,0,0,5,7,12
QUILLACOLLO,otras vacunaciones,dt 1ra dosis,2024-04-01,2,2,78,48,3,4,67,38,0,0,73,52,14,23,97,135,13,17,33,34,0,0,0,0,380,353,733
QUIME,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,9,0,0,0,0,0,13,2,15
RAQAYPAMPA(ETA),otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,5,7,0,0,3,2,0,0,3,3,0,1,1,1,0,0,0,0,0,0,0,0,12,14,26
RAVELO,otras vacunaciones,dt 1ra dosis,2024-04-01,3,7,26,11,0,0,4,0,0,0,5,7,6,5,46,36,2,1,8,6,0,0,0,0,100,73,173
REYES,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,1,1,4,0,0,0,0,0,0,7,7,14
RIBERALTA,otras vacunaciones,dt 1ra dosis,2024-04-01,7,9,13,8,1,0,14,7,0,0,24,29,4,47,236,192,1,25,36,31,0,0,0,0,336,348,684
ROBORE,otras vacunaciones,dt 1ra dosis,2024-04-01,0,0,1,0,0,0,0,1,0,0,2,0,3,0,210,2,2,3,15,0,0,0,0,0,233,6,239
RURRENABAQUE,otras vacunaciones,dt 1ra dosis,2024-04-01,0,1,1,3,1,0,0,2,1,0,0,0,0,4,2,4,11,12,55,55,0,0,2,0,73,81,154
