,group,variable,month,COVID-19 DOSIS UNICA 5 A 9 - D,COVID-19 DOSIS UNICA 5 A 9 - D,COVID-19 DOSIS UNICA 5 A 9 - F,COVID-19 DOSIS UNICA 5 A 9 - F,COVID-19 DOSIS UNICA 10 AÑOS - D,COVID-19 DOSIS UNICA 10 AÑOS - D,COVID-19 DOSIS UNICA 10 AÑOS - F,COVID-19 DOSIS UNICA 10 AÑOS - F,COVID-19 DOSIS UNICA 11 AÑOS - D,COVID-19 DOSIS UNICA 11 AÑOS - D,COVID-19 DOSIS UNICA 11 AÑOS - F,COVID-19 DOSIS UNICA 11 AÑOS - F,COVID-19 DOSIS UNICA 12 A 20 - D,COVID-19 DOSIS UNICA 12 A 20 - D,COVID-19 DOSIS UNICA 12 A 20 - F,COVID-19 DOSIS UNICA 12 A 20 - F,COVID-19 DOSIS UNICA 21 A 59 - D,COVID-19 DOSIS UNICA 21 A 59 - D,COVID-19 DOSIS UNICA 21 A 59 - F,COVID-19 DOSIS UNICA 21 A 59 - F,COVID-19 DOSIS UNICA 60 Y MAS - D,COVID-19 DOSIS UNICA 60 Y MAS - D,COVID-19 DOSIS UNICA 60 Y MAS - F,COVID-19 DOSIS UNICA 60 Y MAS - F,TOTALES,TOTALES,TOTALES
MIZQUE,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,2,5,0,0,0,0,0,0,0,0,2,0,4,3,6,5,7,9,1,0,2,2,24,24,48
MOJOCOYA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,13,0,0,0,0,10,16,26
MONTEAGUDO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,4,8,79,53,5,5,34,12,128,83,211
MONTERO,otras vacunaciones,covid-19 dosis unica,2024-02-01,4,8,1,13,4,0,0,0,4,2,0,0,1,7,0,0,34,43,37,50,6,6,0,0,91,129,220
MOROCHATA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,3,0,0,0,0,22,22,29,29,58
OCURI,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,0,2,9,0,0,0,1,0,0,1,2,3,6,5,11,5,15,10,21,0,0,0,1,27,66,93
OKINAWA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,42,30,6,0,0,0,50,37,87
ORURO,otras vacunaciones,covid-19 dosis unica,2024-02-01,7,23,3,3,3,2,0,0,0,3,1,0,29,27,42,39,172,220,71,49,3,2,0,1,331,369,700
PADCAYA,otras vacunaciones,covid-19 dosis unica,2024-02-01,4,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,7,10,1,2,0,0,6,3,21,17,38
PADILLA,otras vacunaciones,covid-19 dosis unica,2024-02-01,4,8,2,6,0,0,0,0,0,0,0,0,3,8,0,1,19,27,47,26,0,0,1,0,76,76,152
PAILON,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
PALCA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,1,5,5,14,17,0,0,0,0,26,23,49
PALOS BLANCOS,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,0,23,12,0,0,0,2,0,0,1,2,3,1,20,17,8,11,44,47,1,0,16,11,117,103,220
PAMPA AULLAGAS,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PAPEL PAMPA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,2,0,0,0,3,3,7,1,4,1,0,6,5,1,1,8,11,8,2,21,23,49,58,107
PASORAPA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,6,8,0,0,0,0,0,0,5,1,0,0,3,4,0,0,15,26,0,0,0,0,29,39,68
PELECHUCO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,7,0,0,0,1,7,12,19
POCOATA,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,3,14,20,0,1,5,2,1,0,0,0,3,10,1,2,1,1,3,0,0,0,2,3,31,42,73
POOPO,otras vacunaciones,covid-19 dosis unica,2024-02-01,3,2,1,2,1,0,0,0,0,0,0,1,0,1,0,1,5,4,0,6,2,1,0,0,12,18,30
PORCO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,7,3,10
POROMA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,4,1,0,0,1,1,0,1,2,3,1,1,5,9,0,0,0,0,13,16,29
PORONGO,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,2,5,4,2,4,0,0,0,0,11,13,24
PORTACHUELO,otras vacunaciones,covid-19 dosis unica,2024-02-01,4,2,8,9,0,0,0,0,0,0,1,0,1,2,0,0,2,3,2,2,3,2,0,2,21,22,43
PORVENIR,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,6,0,0,1,0,0,0,4,9,13
POSTRER VALLE,otras vacunaciones,covid-19 dosis unica,2024-02-01,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,24
POTOSI,otras vacunaciones,covid-19 dosis unica,2024-02-01,5,1,14,23,0,0,4,7,0,0,7,13,17,44,491,251,45,163,12,49,16,11,9,17,620,579,1199
PRESTO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,1,6,7
PUCARA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,36,0,0,0,0,0,0,44,36,80
PUCARANI,otras vacunaciones,covid-19 dosis unica,2024-02-01,8,4,20,22,2,2,4,2,1,0,2,5,6,9,26,43,17,23,64,60,0,0,1,0,151,170,321
PUERTO ACOSTA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
PUERTO CARABUCO,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,5,2,7
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,5,0,0,0,0,4,11,15
PUERTO PEREZ,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,3,0,0,0,0,0,0,0,0,0,2,4,23,13,7,7,4,9,0,0,2,1,41,34,75
PUERTO SUAREZ,otras vacunaciones,covid-19 dosis unica,2024-02-01,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,2,14,12,0,1,1,2,0,1,2,3,3,0,63,5,12,10,23,19,1,0,1,0,121,55,176
PUNA,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,0,5,8,0,0,0,1,0,1,1,1,1,1,11,13,6,9,8,8,5,1,6,5,44,48,92
PUNATA,otras vacunaciones,covid-19 dosis unica,2024-02-01,8,13,8,5,0,0,1,1,0,0,5,1,3,11,3,10,37,47,13,17,3,3,0,0,81,108,189
QUIABAYA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,10,8,18
QUILLACOLLO,otras vacunaciones,covid-19 dosis unica,2024-02-01,26,14,18,8,1,0,0,0,0,1,1,2,70,126,20,44,50,60,100,116,1,1,1,2,288,374,662
QUIME,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,3,8,2,1,0,0,0,2,1,0,0,0,1,2,1,0,0,27,15,0,0,0,0,41,23,64
QUIRUSILLAS,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,8,8,10,14,24
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 dosis unica,2024-02-01,11,9,13,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,27,20,47
RAVELO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,8,8,0,0,0,1,0,0,0,2,1,0,5,8,1,3,2,8,0,1,20,7,37,38,75
REYES,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,7,2,0,0,0,0,47,2,49
RIBERALTA,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,1,0,0,0,0,0,0,0,3,0,0,2,9,0,0,15,49,83,5,0,1,0,0,101,68,169
ROBORE,otras vacunaciones,covid-19 dosis unica,2024-02-01,5,2,0,0,2,0,0,0,0,0,0,0,0,5,0,0,7,36,0,0,8,3,0,0,22,46,68
RURRENABAQUE,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0,3,3,6
SACABA,otras vacunaciones,covid-19 dosis unica,2024-02-01,8,16,21,33,0,1,8,13,2,3,6,5,8,13,15,18,42,48,36,60,8,10,1,0,155,220,375
SACABAMBA,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,3
SACACA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,1,6,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13
SAIPINA,otras vacunaciones,covid-19 dosis unica,2024-02-01,4,6,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,18,24,42
SAMAIPATA,otras vacunaciones,covid-19 dosis unica,2024-02-01,5,3,0,0,0,1,0,0,0,0,0,0,1,2,0,0,4,10,1,1,12,16,3,4,26,37,63
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,1,2,5,0,0,1,0,0,0,1,0,3,1,1,3,7,5,11,10,1,0,1,0,28,25,53
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,9,5,14
SAN BENITO,otras vacunaciones,covid-19 dosis unica,2024-02-01,2,0,3,2,0,0,0,0,0,0,0,0,5,13,0,0,10,18,0,0,1,2,0,0,21,35,56
SAN BORJA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,4,5,16,0,0,2,1,0,0,9,24,33
SAN BUENA VENTURA,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,0,2,7,0,0,1,0,1,0,0,0,0,0,32,3,0,0,11,7,0,0,1,1,49,18,67
SAN CARLOS,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN IGNACIO,otras vacunaciones,covid-19 dosis unica,2024-02-01,2,2,9,1,1,0,1,0,0,0,0,0,1,0,2,1,1,2,0,0,0,0,1,2,18,8,26
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 dosis unica,2024-02-01,10,17,0,0,0,0,0,0,1,1,0,0,4,3,0,0,13,9,0,0,0,0,0,0,28,30,58
SAN JAVIER(STC),otras vacunaciones,covid-19 dosis unica,2024-02-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5,2,7
SAN JOAQUIN,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,2,1,0,0,0,1,0,0,0,0,0,0,113,1,0,0,2,0,0,0,0,0,117,3,120
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,3,1,7,2,0,0,0,3,74,77
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 dosis unica,2024-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,6,2,8
SAN JULIAN,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,1,11,17,0,1,10,9,1,0,6,20,6,6,15,10,10,17,18,20,5,3,7,8,89,112,201
SAN LORENZO(PND),otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14,10,0,0,0,0,15,11,26
SAN LORENZO(TJA),otras vacunaciones,covid-19 dosis unica,2024-02-01,2,3,0,0,0,0,0,0,0,0,0,0,6,8,0,0,20,33,0,0,5,12,0,0,33,56,89
SAN LUCAS,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,8,0,0,1,0,0,0,0,0,2,0,1,0,5,13,0,2,0,0,1,0,10,23,33
SAN MATIAS,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,1,0,0,0,0,149,1,150
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,7,12,0,0,0,0,0,0,1,0,1,3,0,1,3,3,3,5,0,0,0,0,15,24,39
SAN PABLO DE LIPEZ,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SAN PEDRO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 dosis unica,2024-02-01,5,3,6,2,2,3,10,7,0,0,1,0,1,1,5,8,6,14,3,11,6,10,11,16,56,75,131
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,0,0,2,0,0,0,0,0,0,2,2,2,9,0,0,2,12,3,3,2,3,4,4,16,35,51
SAN PEDRO DE QUEMES,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,3,2,5
SAN RAFAEL,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,41,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,42,26,68
SAN RAMON BENI,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,9,8,17
SANTA ANA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,13,14,0,0,0,1,17,17,34
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis unica,2024-02-01,107,100,163,176,12,15,9,17,13,13,9,10,118,109,28,43,587,542,194,178,40,33,6,8,1286,1244,2530
SANTA ROSA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,2,3,5
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,3,4,6,7,13
SANTIAGO DE HUATA,otras vacunaciones,covid-19 dosis unica,2024-02-01,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,6,7,0,2,0,0,0,14,10,24
SANTIVAÑES,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,8,2,7,0,0,0,0,6,16,22
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,8,8,16
SAPAHAQUI,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,3,4,5,0,0,1,0,8,9,17
SENA,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,0,2,1,0,0,0,0,0,1,0,1,1,3,3,2,4,6,7,19,0,0,0,2,18,35,53
SHINAOTA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,5,29,1,10,25,9,4,0,0,1,0,51,35,86
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 dosis unica,2024-02-01,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,4,4,2,4,0,0,8,14,22
SICAYA,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,3,0,2,3,2,0,0,0,0,10,9,19
SIPE SIPE,otras vacunaciones,covid-19 dosis unica,2024-02-01,2,1,5,4,0,0,2,1,0,0,0,0,2,3,9,16,2,4,8,7,0,0,2,1,32,37,69
SOPACHUY,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,15,4,0,0,0,0,0,0,17,5,22
SORACACHI,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,4,7,0,0,2,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,8,12,20
SORATA,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,0,7,2,0,0,0,2,0,0,2,0,0,1,7,9,1,6,26,23,1,1,9,14,54,58,112
SUCRE,otras vacunaciones,covid-19 dosis unica,2024-02-01,18,17,23,25,2,2,6,2,2,1,14,5,48,74,180,81,233,441,310,312,14,13,14,7,864,980,1844
TACACHI,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
TACACOMA,otras vacunaciones,covid-19 dosis unica,2024-02-01,3,1,6,4,0,0,1,2,0,0,0,0,0,0,8,9,3,6,11,21,1,0,5,3,38,46,84
TACOBAMBA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
TACOPAYA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,5,7,0,0,2,8,0,0,5,3,0,0,9,9,1,3,5,5,0,1,2,5,29,41,70
TAHUA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,5,0,0,2,6,7,14,21
TAPACARI,otras vacunaciones,covid-19 dosis unica,2024-02-01,6,8,25,28,1,4,4,7,2,3,6,10,9,25,49,55,17,25,19,41,2,0,1,0,141,206,347
TARABUCO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
TARATA,otras vacunaciones,covid-19 dosis unica,2024-02-01,4,2,0,3,0,0,0,0,0,0,0,0,1,1,0,2,3,1,6,9,0,0,0,2,14,20,34
TARIJA,otras vacunaciones,covid-19 dosis unica,2024-02-01,13,17,17,22,0,4,2,1,1,2,0,0,8,10,180,26,50,83,134,132,1,2,6,1,412,300,712
TARVITA,otras vacunaciones,covid-19 dosis unica,2024-02-01,2,4,1,8,0,2,0,0,0,0,0,0,0,0,4,5,6,11,7,11,0,0,0,0,20,41,61
TEOPONTE,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,1,9,11,0,0,0,0,0,0,19,19,38
TIAHUANACU,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,1,11,11,0,0,1,2,0,0,3,1,8,9,2,8,19,32,27,34,0,4,0,1,71,103,174
TINGUIPAYA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TIPUANI,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,33,13,0,0,0,0,0,0,0,43,33,76
TIQUIPAYA,otras vacunaciones,covid-19 dosis unica,2024-02-01,9,8,8,9,0,1,0,1,1,2,0,1,10,14,25,18,20,23,61,68,2,1,1,0,137,146,283
TIRAQUE (CBBA),otras vacunaciones,covid-19 dosis unica,2024-02-01,1,1,3,5,0,0,0,0,0,0,0,1,2,5,2,3,3,9,14,21,0,0,0,1,25,46,71
TOCO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,1,0,4,7,11
TOLATA,otras vacunaciones,covid-19 dosis unica,2024-02-01,2,1,0,1,0,1,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,4,7,8,15
TOLEDO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,3,4,0,0,0,0,0,0,2,1,0,0,3,5,1,0,2,6,0,0,9,10,20,26,46
TOMAVE,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,7,0,0,1,2,8,11,19
TOMINA,otras vacunaciones,covid-19 dosis unica,2024-02-01,9,12,14,19,0,1,4,0,0,0,1,0,0,0,1,0,6,2,0,5,1,1,0,0,36,40,76
TORO TORO,otras vacunaciones,covid-19 dosis unica,2024-02-01,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,7,9,1,1,2,2,16,14,30
TOTORA(CBBA),otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,9
TOTORA(ORR),otras vacunaciones,covid-19 dosis unica,2024-02-01,2,3,10,11,5,0,1,0,1,0,2,0,0,0,0,4,2,3,6,5,0,1,0,0,29,27,56
TRIGAL,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,4,10
TRINIDAD,otras vacunaciones,covid-19 dosis unica,2024-02-01,6,4,0,0,0,1,0,0,0,0,0,0,1,1,2,5,17,14,193,33,0,0,2,3,221,61,282
TUPIZA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,2,3,0,0,2,1,0,0,0,0,3,11,0,6,7,24,7,13,4,6,10,14,35,78,113
UMALA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,12,12,20,32
UNCIA,otras vacunaciones,covid-19 dosis unica,2024-02-01,5,1,3,2,1,0,0,0,3,1,0,0,3,2,0,8,6,4,0,0,0,0,1,0,22,18,40
URIONDO (A. CONCEPCION),otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,18,21,0,0,14,12,0,0,3,14,0,0,52,89,0,5,7,3,0,0,0,0,94,144,238
URUBICHA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,2,1,0,0,0,1,0,0,0,1,0,0,2,2,0,0,7,5,0,0,1,1,12,11,23
UYUNI,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,4,1,0,0,0,0,0,0,0,0,0,2,5,56,2,4,10,19,19,0,0,5,5,88,45,133
VACAS,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,7,2,4,1,0,1,2,8,15,23
VALLEGRANDE,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,6,10,0,0,2,1,0,0,1,3,0,0,0,0,1,9,2,1,0,0,0,0,12,24,36
VIACHA,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,2,2,5,0,0,1,2,0,1,0,0,5,2,2,0,18,20,26,42,0,0,0,0,55,74,129
VILA VILA,otras vacunaciones,covid-19 dosis unica,2024-02-01,2,0,10,10,0,0,0,1,0,0,2,0,0,1,2,2,1,1,3,4,0,0,0,1,20,20,40
VILLA CHARCAS,otras vacunaciones,covid-19 dosis unica,2024-02-01,1,1,10,16,0,0,0,0,0,0,0,0,0,1,0,0,5,4,3,2,0,1,0,3,19,28,47
VILLA MONTES,otras vacunaciones,covid-19 dosis unica,2024-02-01,6,5,75,78,3,2,21,18,0,0,11,9,9,12,83,104,44,53,31,62,0,0,1,1,284,344,628
VILLA RIVERO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16,12,2,5,2,5,0,0,0,0,21,24,45
VILLA SERRANO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,13,7,0,0,0,0,0,0,0,0,1,2,0,0,12,17,0,1,2,5,1,2,29,34,63
VILLA TUNARI,otras vacunaciones,covid-19 dosis unica,2024-02-01,9,4,40,66,1,0,7,27,0,2,2,2,11,13,366,25,22,34,29,22,4,8,2,0,493,203,696
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,10,0,0,2,1,0,0,1,0,1,3,1,6,5,14,9,12,0,0,0,0,19,46,65
VILLAZON,otras vacunaciones,covid-19 dosis unica,2024-02-01,4,2,0,0,0,1,0,1,0,0,0,0,8,13,4,4,25,46,22,31,18,21,9,8,90,127,217
VINTO,otras vacunaciones,covid-19 dosis unica,2024-02-01,4,2,15,9,0,1,0,0,0,2,0,0,2,6,2,5,7,7,11,12,0,0,1,0,42,44,86
VITICHI,otras vacunaciones,covid-19 dosis unica,2024-02-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
WARNES,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,1,5,7,0,0,0,0,0,2,3,11,58,221,68,23,3,10,16,5,19,1,1,3,173,284,457
YACO,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,5,2,0,0,0,2,0,0,2,1,0,0,3,8,4,5,17,27,1,2,3,2,35,49,84
YACUIBA,otras vacunaciones,covid-19 dosis unica,2024-02-01,4,1,0,1,2,0,2,0,1,1,0,0,3,3,24,4,37,25,310,53,3,1,6,6,392,95,487
YAMPARAEZ,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,6,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,2,4,1,0,2,2,15,8,23
YANACACHI,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,1,5,0,0,3,5,0,0,0,1,3,0,3,3,5,18,8,18,1,1,9,9,33,60,93
YAPACANI,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,2,1,0,0,0,0,12,8,20
YOCALLA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,0,0,0,0,0,0,0,0,21,18,39
