,group,variable,month,COVID-19 DOSIS ANUAL 5 A 9 - D,COVID-19 DOSIS ANUAL 5 A 9 - D,COVID-19 DOSIS ANUAL 5 A 9 - F,COVID-19 DOSIS ANUAL 5 A 9 - F,COVID-19 DOSIS ANUAL 10 AÑOS - D,COVID-19 DOSIS ANUAL 10 AÑOS - D,COVID-19 DOSIS ANUAL 10 AÑOS - F,COVID-19 DOSIS ANUAL 10 AÑOS - F,COVID-19 DOSIS ANUAL 11 AÑOS - D,COVID-19 DOSIS ANUAL 11 AÑOS - D,COVID-19 DOSIS ANUAL 11 AÑOS - F,COVID-19 DOSIS ANUAL 11 AÑOS - F,COVID-19 DOSIS ANUAL 12 A 20 - D,COVID-19 DOSIS ANUAL 12 A 20 - D,COVID-19 DOSIS ANUAL 12 A 20 - F,COVID-19 DOSIS ANUAL 12 A 20 - F,COVID-19 DOSIS ANUAL 21 A 59 - D,COVID-19 DOSIS ANUAL 21 A 59 - D,COVID-19 DOSIS ANUAL 21 A 59 - F,COVID-19 DOSIS ANUAL 21 A 59 - F,COVID-19 DOSIS ANUAL 60 Y MAS - D,COVID-19 DOSIS ANUAL 60 Y MAS - D,COVID-19 DOSIS ANUAL 60 Y MAS - F,COVID-19 DOSIS ANUAL 60 Y MAS - F,TOTALES,TOTALES,TOTALES
MIZQUE,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,19,29,20,34,54
MOJOCOYA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,7
MONTERO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,53,0,0,0,0,0,0,19,53,72
MORO MORO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,4,0,0,0,0,6,5,11
MOROCHATA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
OCURI,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,4,2,6
ORURO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,34,34,6,3,42,41,83
PADCAYA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,3,5,6,6,15,12,27
PADILLA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,5,11,7,18
PAILON,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,6,4,10
PALOS BLANCOS,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,2,0,15,4,0,0,8,7,42,31,73
PAMPA AULLAGAS,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
PAMPA GRANDE,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,5,3,8,12,20
PAPEL PAMPA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,0,0,0,0,0,0,0,19,11,30
POCOATA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,4,11
POCONA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,2,4,8,2,0,3,13,8,28,18,46
POJO (CBBA),otras vacunaciones,covid-19 dosis anual,2024-03-01,1,0,2,3,0,0,0,0,0,0,2,3,0,0,9,9,1,0,0,2,0,0,0,2,15,19,34
POROMA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,0,1,0,0,5,6,11
PORONGO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,35,26,36,31,67
POSTRER VALLE,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
POTOSI,otras vacunaciones,covid-19 dosis anual,2024-03-01,3,2,0,0,0,0,0,0,0,0,0,0,6,23,12,10,23,37,23,7,18,4,1,7,86,90,176
PRESTO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,3
PUCARA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,1,5
PUERTO CARABUCO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
PUERTO QUIJARRO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,34,0,45,0,45
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
PUNATA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,9,9,18,22,40
QUILLACOLLO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,16,27,24,51,40,91
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,4,5
RAVELO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,5,4,15,11,22,20,42
RIBERALTA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SACABA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,4,6,12,29,32,9,10,22,12,76,73,149
SACACA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,7,7
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4
SAN BENITO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,7,2,9
SAN BUENA VENTURA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,4
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
SAN JAVIER(STC),otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,4,5
SAN JULIAN,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,1,3,6,4,10
SAN LORENZO(PND),otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,2,6
SAN LORENZO(TJA),otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,4,12
SAN LUCAS,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
SAN PABLO DE LIPEZ,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,4
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,7,5,12
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis anual,2024-03-01,1,2,0,3,0,0,0,0,1,0,0,0,15,24,58,6,167,167,31,20,34,27,21,20,328,269,597
SENA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
SHINAOTA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,6
SICAYA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,19,16,20,36
SIPE SIPE,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,21,31,27,33,60
SUCRE,otras vacunaciones,covid-19 dosis anual,2024-03-01,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,3,34,24,26,52,63,82,145
TACACHI,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3
TACOPAYA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,6,8
TAPACARI,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,23,21,31,32,63
TARABUCO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,2,3,5
TARATA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,32,33,35,61,67,128
TARVITA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,6,8
TINGUIPAYA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,5,4,6,9,15
TIPUANI,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3
TIQUIPAYA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,3,3,4,8,9,17
TIRAQUE (CBBA),otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2
TODOS SANTOS,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,4,5,0,0,3,1,0,0,3,1,19,0,0,0,0,2,0,0,0,0,0,0,29,9,38
TOLATA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
TOMAVE,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,7,8
TOMINA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,2,1,6,6,12
TORO TORO,otras vacunaciones,covid-19 dosis anual,2024-03-01,2,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,2,0,0,0,0,0,0,6,6,12
TOTORA(CBBA),otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,3,5,6,11
TOTORA(ORR),otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4
TRINIDAD,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,1,4,5
TUPIZA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,4,2,4,5,0,0,1,9,5,20,15,35
TURCO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,1,5
UNCIA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
VACAS,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,4,1,2,1,2,10,9,19
VALLEGRANDE,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,3,3,2,0,7,7,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,16,12,28
VILA VILA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,6,11
VILLA CHARCAS,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,4,2,6
VILLA MONTES,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,9,3,5,15,16,31
VILLA RIVERO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,2,4
VILLA SERRANO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,11,6,16,8,24
VILLA TUNARI,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,1,4,1,0,0,5,8,19,19,38
VILLAZON,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,1,6,0,0,0,0,0,2,0,0,2,2,0,1,12,17,0,1,4,1,6,8,25,38,63
VINTO,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,2,5,14,18,32
VITICHI,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,9,0,0,4,3,0,0,11,13,24
WARNES,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
YACUIBA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,2,2,4,2,14,16
YAMPARAEZ,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
YANACACHI,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
YAPACANI,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
YOCALLA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,3,1,1,0,0,2,11,13
YOTALA,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,3,6,1,0,1,2,9,10,19
ZUDAÑEZ,otras vacunaciones,covid-19 dosis anual,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
ALCALA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2
ANDAMARCA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
ARANI,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,6
ATOCHA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,2,1,1,0,1,5,10,15
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,12,16,28
AZURDUY,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
BAURES,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,5,3,0,0,0,0,11,3,14
BELLA FLOR,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3
BERMEJO,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,2,0,0,4,3,7
BOLPEBRA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,5,6
BOYUIBE,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,6,1,1,2,7,4,17,21
CABEZAS,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,2,0,5,2,7
CAMIRI,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,7,3,10
CAPINOTA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,5
CHARAÑA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CHOQUE COTA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2
CHUMA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,2,5
COBIJA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,2,6,7,0,0,0,0,9,15,24
COCAPATA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,7,3,10
COCHABAMBA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,7,9,69,79,37,34,72,87,50,52,81,99,316,360,676
COLCAPIRHUA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,6,5,11
COLOMI,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,13,18,31
CORIPATA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CORO CORO,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,2,1,1,0,3,2,9,8,17
COROICO,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3
COTAGAITA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,5,4,0,0,7,13,14,21,35
COTOCA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,1,0,6,1,7
CUEVO,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
EL ALTO,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,8,52,59,61,74,46,18,27,21,194,184,378
EL CHORO,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,3
EL PUENTE(STC),otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,8,25,1,0,6,9,17,40,57
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,1,7,8
EL TORNO,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,2,37,12,0,1,3,1,56,19,75
ESCARA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,5,4,9
ESMERALDA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,2,5,0,0,7,8,15
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,4
GENERAL SAAVEDRA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,3
GUAYARAMERIN,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,9,15,2,1,1,3,0,0,13,22,35
HUANUNI,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,3,11,0,0,8,21,29
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,4,6
INCAHUASI,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,6,12,8,20
IXIAMAS,otras vacunaciones,covid-19 dosis anual,2024-04-01,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,4,7
LA ASUNTA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,3,0,0,3,6,9
LA GUARDIA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,1,1,1,3,2,6,12,18
LA PAZ,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,8,17,8,18,42,55,10,6,71,100,171
LA RIVERA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
LAGUNILLAS,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,7,0,0,0,0,4,7,11
LLALLAGUA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
MACHACAMARCA,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1,1,6,8,14
MINEROS,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,2,0,1,26,33,29,40,69
MONTERO,otras vacunaciones,covid-19 dosis anual,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,1,6,7
