,group,variable,month,DT 2DA DOSIS 5 A 9 - D,DT 2DA DOSIS 5 A 9 - D,DT 2DA DOSIS 5 A 9 - F,DT 2DA DOSIS 5 A 9 - F,DT 2DA DOSIS 10 AÑOS - D,DT 2DA DOSIS 10 AÑOS - D,DT 2DA DOSIS 10 AÑOS - F,DT 2DA DOSIS 10 AÑOS - F,DT 2DA DOSIS 11 AÑOS - D,DT 2DA DOSIS 11 AÑOS - D,DT 2DA DOSIS 11 AÑOS - F,DT 2DA DOSIS 11 AÑOS - F,DT 2DA DOSIS 12 A 20 - D,DT 2DA DOSIS 12 A 20 - D,DT 2DA DOSIS 12 A 20 - F,DT 2DA DOSIS 12 A 20 - F,DT 2DA DOSIS 21 A 59 - D,DT 2DA DOSIS 21 A 59 - D,DT 2DA DOSIS 21 A 59 - F,DT 2DA DOSIS 21 A 59 - F,DT 2DA DOSIS 60 Y MAS - D,DT 2DA DOSIS 60 Y MAS - D,DT 2DA DOSIS 60 Y MAS - F,DT 2DA DOSIS 60 Y MAS - F,TOTALES,TOTALES,TOTALES
VILLA NUEVA (LOMA ALTA),otras vacunaciones,dt 2da dosis,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,3,3,6
VILLA RIVERO,otras vacunaciones,dt 2da dosis,2024-02-01,0,0,0,0,1,0,1,1,0,1,2,2,0,3,1,1,2,6,2,3,0,0,0,0,9,17,26
VILLA SERRANO,otras vacunaciones,dt 2da dosis,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,3
VILLA TUNARI,otras vacunaciones,dt 2da dosis,2024-02-01,0,0,0,0,0,0,0,2,0,0,0,0,1,12,31,7,10,34,16,21,0,0,0,0,58,76,134
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,dt 2da dosis,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
VILLAZON,otras vacunaciones,dt 2da dosis,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,13,3,3,0,0,0,0,5,19,24
VINTO,otras vacunaciones,dt 2da dosis,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,4,0,1,0,0,0,0,1,10,11
VITICHI,otras vacunaciones,dt 2da dosis,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
WARNES,otras vacunaciones,dt 2da dosis,2024-02-01,1,0,4,0,0,0,1,1,0,0,1,2,20,64,148,33,0,0,0,0,0,0,0,0,175,100,275
YACO,otras vacunaciones,dt 2da dosis,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
YACUIBA,otras vacunaciones,dt 2da dosis,2024-02-01,1,0,1,0,0,1,0,0,0,1,0,0,2,10,9,6,8,51,10,12,0,0,0,0,31,81,112
YANACACHI,otras vacunaciones,dt 2da dosis,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
YAPACANI,otras vacunaciones,dt 2da dosis,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,6,7,13
YOTALA,otras vacunaciones,dt 2da dosis,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,1,4
YUNCHARA,otras vacunaciones,dt 2da dosis,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ZUDAÑEZ,otras vacunaciones,dt 2da dosis,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
ACACIO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,4
ACHACACHI,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,1,5,6
ACHOCALLA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,2,2,0,0,0,0,3,14,17
AIQUILE,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,2,4,6
ANCORAIMES,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
ANDAMARCA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,3,5
ANTEQUERA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,4,5
ANZALDO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
APOLO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,4,4,8
ARAMPAMPA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
ARANI,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,0,1,0,3,0,0,0,0,4,8,12
ARBIETO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4,4,0,1,0,0,0,0,5,7,12
ARQUE,otras vacunaciones,dt 2da dosis,2024-03-01,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,5,7
ASCENCION DE GUARAYOS,otras vacunaciones,dt 2da dosis,2024-03-01,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,34,0,1,0,0,0,0,14,38,52
ATOCHA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,6,0,0,1,0,0,0,4,7,11
AUCAPATA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
AYO AYO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,1,7,8
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 2da dosis,2024-03-01,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,9,0,0,0,0,0,0,4,11,15
BATALLAS,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,5,4,13,0,0,0,0,0,0,6,23,29
BAURES,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,3,3,6
BELEN DE ANDAMARCA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
BELLA FLOR,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
BERMEJO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,8,20,0,4,0,0,0,0,17,25,42
BETANZOS,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,0,9,0,3,0,0,0,0,3,19,22
BOLIVAR,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BOLPEBRA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
BOYUIBE,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
BUENA VISTA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,5,8
CABEZAS,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,3,9,6,13,2,0,0,2,11,28,39
"CAIZA ""D""",otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,1,3,11,0,1,0,0,0,0,12,17,29
CAJUATA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2,0,0,0,0,1,8,9
CALACOTO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,6,7
CALAMARCA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0,0,0,0,2,5,7
CAMARGO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,2,4
CAMIRI,otras vacunaciones,dt 2da dosis,2024-03-01,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,8,0,0,0,0,0,0,8,13,21
CAPINOTA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
CAQUIAVIRI,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,5
CARACOLLO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,12,8,4,1,0,0,0,0,17,14,31
CARANAVI,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,2,0,0,0,0,3,14,17
CARAPARI,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,5,5
CARIPUYO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,4,4
CARMEN RIVERO TORREZ,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,1,2,0,2,0,0,0,0,3,11,14
CATACORA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHACARILLA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,3,1,4
CHALLAPATA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,2,1,12,2,4,0,0,0,0,6,28,34
CHARAGUA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,3,0,0,0,0,0,0,0,0,1,6,0,0,0,17,5,0,1,0,0,0,7,26,33
CHAYANTA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,0,1,0,0,0,0,0,8,8
CHIMORE,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,1,2,0,0,2,1,0,0,1,2,0,7,204,16,5,9,20,0,0,0,0,0,233,37,270
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,1,3,0,0,0,0,1,28,29
CHUMA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,2,6,8
CKOCHAS,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,1,0,0,0,0,0,7,7
CLIZA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
COBIJA,otras vacunaciones,dt 2da dosis,2024-03-01,2,0,7,1,1,2,3,2,0,1,5,6,5,17,38,36,12,39,34,46,0,0,0,0,107,150,257
COCAPATA,otras vacunaciones,dt 2da dosis,2024-03-01,1,2,7,3,0,2,0,0,2,1,0,0,1,3,2,2,3,2,1,4,0,0,0,0,17,19,36
COCHABAMBA,otras vacunaciones,dt 2da dosis,2024-03-01,10,9,5,3,1,5,5,3,7,19,7,10,25,55,48,33,135,161,39,40,3,2,2,0,287,340,627
COIPASA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
COLCAPIRHUA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,1,4,1,1,3,15,0,0,3,5,1,2,27,34,7,5,22,32,0,0,0,0,65,98,163
"COLCHA ""K""",otras vacunaciones,dt 2da dosis,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,5,5,0,0,0,0,0,0,16,7,23
COLLANA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
COLOMI,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,2,6,0,0,0,14,0,0,0,0,0,0,3,20,23
COLPA BELGICA,otras vacunaciones,dt 2da dosis,2024-03-01,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,4,6
COLQUECHACA,otras vacunaciones,dt 2da dosis,2024-03-01,1,0,3,6,0,0,2,1,0,0,1,0,0,6,0,0,0,6,0,0,0,0,0,0,7,19,26
COLQUENCHA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,5,5
COLQUIRI,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,9,0,0,0,0,4,14,18
COMARAPA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,4,4
CONCEPCION,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,6,4,0,0,0,0,0,3,0,0,1,10,0,1,0,0,0,0,7,18,25
CORIPATA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,2,3,0,0,0,0,5,11,16
CORO CORO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COROICO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,2,0,12,0,1,0,0,0,0,4,18,22
CORQUE,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,9,6,83,7,0,1,16,12,0,0,0,0,109,26,135
COTAGAITA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,9,3,3,0,0,0,0,6,15,21
COTOCA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,3,5
CUATRO CAÑADAS,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,12,2,7,1,2,1,0,0,0,8,22,30
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CUEVO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,6,7
CULPINA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
CURAHUARA DE CARANGAS,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,3
DESAGUADERO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,dt 2da dosis,2024-03-01,6,16,39,45,1,4,13,30,6,1,13,29,39,132,64,153,99,464,111,266,2,0,1,0,394,1140,1534
EL CHORO,otras vacunaciones,dt 2da dosis,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,2,4,6
EL PUENTE(STC),otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,2,0,0,0,0,2,6,8
EL PUENTE(TJA),otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,3,0,2,0,0,0,0,1,9,10
EL TORNO,otras vacunaciones,dt 2da dosis,2024-03-01,3,0,1,0,0,0,0,0,0,0,0,0,2,1,1,5,8,12,2,4,0,0,0,0,17,22,39
EL VILLAR,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,3,3,6
ENTRE RIOS TRJ,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,10,0,1,0,0,0,0,3,15,18
ENTRE RIOS CBBA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,3,13,14,1,11,25,33,14,0,0,0,0,61,54,115
ESCOMA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EUCALIPTUS,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
EUREKA (SANTOS MERCADO),otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EXALTACION,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
FERNANDEZ ALONSO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,1,0,0,1,0,0,3,14,6,0,4,0,0,0,0,0,0,15,14,29
FILADELFIA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,3,4
GAIOC JATUN AYLLU YURA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6
GENERAL SAAVEDRA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,10,1,0,0,0,0,0,2,12,14
GIA-TIM,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,1,0,0,3,1,0,0,1,1,0,1,3,1,0,3,1,5,0,0,1,0,9,13,22
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
GUANAY,otras vacunaciones,dt 2da dosis,2024-03-01,1,0,1,0,0,0,0,0,0,0,0,1,0,0,14,12,0,7,0,4,0,0,0,0,16,24,40
GUAQUI,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,2,6,8
GUAYARAMERIN,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,7,9,0,0,13,7,0,0,4,4,1,14,7,4,0,35,1,3,0,0,0,0,33,76,109
GUTIERREZ,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,5,5
HUACARAJE,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
HUACARETA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
HUACHACALLA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
HUANUNI,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,3,1,0,0,0,0,0,0,0,1,2,4,36,1,8,20,6,12,0,0,0,0,55,39,94
HUARINA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,2,0,0,0,0,1,9,10
HUATAJATA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,1,1,0,0,0,0,0,2,8,10
HUAYLLAMARCA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
ICHOCA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
ICLA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
INCAHUASI,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,1,0,0,0,1,2,0,0,1,2,0,0,0,2,0,0,0,0,0,0,3,6,9
INQUISIVI,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,2,1,4,8,0,2,2,0,0,0,0,0,10,11,21
IRUPANA (VILLA DE LANZA),otras vacunaciones,dt 2da dosis,2024-03-01,0,1,0,3,0,0,0,0,7,5,0,0,0,0,0,2,0,0,0,2,0,0,0,0,7,13,20
IXIAMAS,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,3,8,0,0,0,2,0,0,3,4,1,0,23,17,1,6,3,8,0,0,0,0,34,45,79
JESUS DE MACHACA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,4,5
LA ASUNTA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,15,20,0,0,3,1,0,0,3,6,1,4,17,7,9,21,8,11,0,0,0,0,56,70,126
LA PAZ,otras vacunaciones,dt 2da dosis,2024-03-01,9,8,3,0,4,5,0,0,11,11,2,1,46,71,84,17,82,326,443,48,1,5,2,0,687,492,1179
LAGUNILLAS,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LAJA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,7,0,2,0,0,0,0,3,11,14
LAS CARRERAS,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,7,5,0,0,0,0,10,8,18
LLALLAGUA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,2,2,3,5,4,0,1,0,0,13,13,26
LLICA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,1,1,0,0,0,0,3,7,22,0,1,9,14,0,0,0,0,17,41,58
LORETO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,5,11,16
LURIBAY,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
MACHACAMARCA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,0,1,0,0,0,0,3,6,9
MACHARETI,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,3
MAGDALENA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,5,0,5,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,17,1,18
MAIRANA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,1,7,8
MAPIRI,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,4
MECAPACA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,4,0,1,0,0,0,0,5,7,12
MINEROS,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,17,0,0,0,0,0,0,3,18,21
MIZQUE,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,5,4,9
MOCOMOCO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MOJOCOYA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,1,6,7
MONTERO,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,4,4,0,0,0,2,0,0,5,2,3,19,143,29,12,80,11,30,0,0,0,0,178,166,344
MOROCHATA,otras vacunaciones,dt 2da dosis,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,3
