,group,variable,month,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,TOTALES,TOTALES,TOTALES
CAMIRI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
PALOS BLANCOS,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,6
POTOSI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,5
CAJUATA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,5
RIBERALTA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,4
TINGUIPAYA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,1,4,4,8
TUPIZA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-10-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UMALA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,7,2,9
VITICHI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CORO CORO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-11-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
POTOSI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TINGUIPAYA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,3
UYUNI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
GENERAL SAAVEDRA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
PALOS BLANCOS,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
UYUNI,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
