,group,variable,month,VPH 1RA DOSIS (DOSIS UNICA) 5 A 9 - D,VPH 1RA DOSIS (DOSIS UNICA) 5 A 9 - D,VPH 1RA DOSIS (DOSIS UNICA) 5 A 9 - F,VPH 1RA DOSIS (DOSIS UNICA) 5 A 9 - F,VPH 1RA DOSIS (DOSIS UNICA) 10 AÑOS - D,VPH 1RA DOSIS (DOSIS UNICA) 10 AÑOS - D,VPH 1RA DOSIS (DOSIS UNICA) 10 AÑOS - F,VPH 1RA DOSIS (DOSIS UNICA) 10 AÑOS - F,VPH 1RA DOSIS (DOSIS UNICA) 11 AÑOS - D,VPH 1RA DOSIS (DOSIS UNICA) 11 AÑOS - D,VPH 1RA DOSIS (DOSIS UNICA) 11 AÑOS - F,VPH 1RA DOSIS (DOSIS UNICA) 11 AÑOS - F,VPH 1RA DOSIS (DOSIS UNICA) 12 A 20 - D,VPH 1RA DOSIS (DOSIS UNICA) 12 A 20 - D,VPH 1RA DOSIS (DOSIS UNICA) 12 A 20 - F,VPH 1RA DOSIS (DOSIS UNICA) 12 A 20 - F,VPH 1RA DOSIS (DOSIS UNICA) 21 A 59 - D,VPH 1RA DOSIS (DOSIS UNICA) 21 A 59 - D,VPH 1RA DOSIS (DOSIS UNICA) 21 A 59 - F,VPH 1RA DOSIS (DOSIS UNICA) 21 A 59 - F,VPH 1RA DOSIS (DOSIS UNICA) 60 Y MAS - D,VPH 1RA DOSIS (DOSIS UNICA) 60 Y MAS - D,VPH 1RA DOSIS (DOSIS UNICA) 60 Y MAS - F,VPH 1RA DOSIS (DOSIS UNICA) 60 Y MAS - F,TOTALES,TOTALES,TOTALES
SANTA ROSA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,11
SANTA ROSA DEL SARA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,7,8,73,61,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,80,71,151
SANTIAGO DE CALLAPA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,7
SANTIAGO DE HUARI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,38,15,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,38,34,72
SANTIAGO DE HUATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,6,14,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,17,23
SANTIAGO DE MACHACA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
SANTIVAÑES,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,24,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,20,44
SANTUARIO DE QUILLACAS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,3,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,13,16
SAPAHAQUI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
SENA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,1,2,8,0,0,0,5,0,1,0,7,0,0,0,0,0,0,0,0,2,22,24
SHINAOTA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,1,0,0,31,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,36,37
SICA SICA (VILLA AROMA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,1,35,27,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,35,33,68
SICAYA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,7
SIPE SIPE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,1,3,251,121,0,1,0,5,0,1,0,36,0,0,0,0,0,0,0,0,252,167,419
SOPACHUY,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,2,0,12,36,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,39,53
SORACACHI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,2,9,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,41,50
SORATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,7,27,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,7,32,39
SUCRE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,57,59,698,757,0,19,0,47,0,21,0,84,0,0,0,0,0,0,0,0,755,987,1742
TACACHI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,4
TACACOMA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,7,17,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,7,21,28
TACOBAMBA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,5,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,44
TACOPAYA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,18,33,0,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,18,42,60
TAPACARI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,4,3,7,19,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,11,38,49
TARABUCO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,1,0,32,37,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,33,44,77
TARACO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
TARATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,2,22,36,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,22,45,67
TARIJA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,17,38,549,511,0,8,0,117,0,18,0,150,0,0,0,0,0,0,0,0,566,842,1408
TARVITA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,18
TEOPONTE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
TIAHUANACU,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40
TIPUANI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
TIQUIPAYA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,6,9,49,115,0,1,0,18,0,2,0,67,0,0,0,0,0,0,0,0,55,212,267
TIRAQUE (CBBA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,10,2,93,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,103,60,163
TOCO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,2,0,39,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11,52
TODOS SANTOS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
TOLATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,1,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,17,18
TOLEDO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,3,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,9,9
TOMAVE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
TOMINA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
TORO TORO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,2,9,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,31
TOTORA(CBBA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,29,34,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,53,103
TOTORA(ORR),otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,2,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
TRIGAL,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
TRINIDAD,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,60,79,303,223,0,0,0,87,0,5,0,61,0,0,0,0,0,0,0,0,363,455,818
TUPIZA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,1,3,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7,39
TURCO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,1,1,13,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,14,14,28
UNCIA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,87,138,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,87,140,227
URIONDO (A. CONCEPCION),otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,2,6,59,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61,49,110
URUBICHA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,2,4,83,72,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,85,78,163
UYUNI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,3,3,45,56,0,0,0,7,0,2,0,58,0,0,0,0,0,0,0,0,48,126,174
VACAS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,4,1,41,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,45,10,55
VALLEGRANDE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,3,15,51,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,41,95
VIACHA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,1,3,3,104,0,0,0,25,0,2,0,4,0,0,0,0,0,0,0,0,4,138,142
VILA VILA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,43
VILLA CHARCAS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,29,62,0,18,0,7,0,0,0,1,0,0,0,0,0,0,0,0,29,88,117
VILLA MONTES,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,4,14,105,131,0,2,0,18,0,3,0,19,0,0,0,0,0,0,0,0,109,187,296
VILLA RIVERO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,55,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,55,13,68
VILLA SERRANO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
VILLA TUNARI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,12,0,212,0,2,0,16,0,2,0,3,0,0,0,0,0,0,0,0,0,247,247
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,11,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18
VILLAZON,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,1,9,77,56,0,0,0,26,0,3,0,4,0,0,0,0,0,0,0,0,78,98,176
VINTO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,11,11,113,176,0,4,0,5,0,0,0,3,0,0,0,0,0,0,0,0,124,199,323
VITICHI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,1,10,1,19,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,31,33
WALDO BALLIVIAN,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,7,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,25,25
WARNES,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,14,71,123,708,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,137,791,928
YACUIBA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,9,7,224,154,0,1,0,38,0,8,0,26,0,0,0,0,0,0,0,0,233,234,467
YAMPARAEZ,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
YANACACHI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,2,19,18,0,1,0,5,0,0,0,14,0,0,0,0,0,0,0,0,19,40,59
YAPACANI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,2,7,146,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,148,44,192
YOCALLA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,16
YOTALA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,7,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,30
YUNCHARA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,3,2,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,28
ZUDAÑEZ,otras vacunaciones,vph 1ra dosis (dosis unica),2024-04-01,0,0,0,0,0,0,62,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,12,74
ACACIO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,4,4,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,17,21
ACHACACHI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,10,5,46,70,0,0,0,13,0,0,0,23,0,0,0,0,0,0,0,0,56,111,167
ACHOCALLA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,4,11,84,39,0,2,0,39,0,0,0,40,0,0,0,0,0,0,0,0,88,131,219
AIQUILE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,2,0,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,3,79
ALALAY,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,1,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20
ALCALA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,2,2,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,5,16
ALTO BENI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
ANCORAIMES,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,1,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
ANDAMARCA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
ANTEQUERA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,17,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,5,22
ANZALDO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,5,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,5,8,13
APOLO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,3,2,11,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,20,34
ARAMPAMPA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,13,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,6,19
ARANI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,5,0,20,18,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,25,25,50
ARBIETO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,1,35,22,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,35,30,65
ARQUE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35
ASCENCION DE GUARAYOS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,31,91,90,8,0,0,0,21,0,0,0,35,0,0,0,0,0,0,0,0,121,155,276
ATOCHA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,23
AUCAPATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,1,3,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,13,16
AYATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,23
AYO AYO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,2,0,84,25,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,86,29,115
AZURDUY,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,3,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7,33
BATALLAS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,60
BAURES,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4
BELEN DE ANDAMARCA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,1,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
BELEN DE URMIRI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
BELLA FLOR,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,4,2,9,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,13,10,23
BERMEJO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,4,4,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,20
BETANZOS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,5,3,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75,80
BOLIVAR,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,9,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,7,16
BOLPEBRA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,11,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,12,16
BOYUIBE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
BUENA VISTA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,2,8,65,89,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,67,99,166
CABEZAS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,8,0,18,0,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55
CAIROMA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
"CAIZA ""D""",otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
CALACOTO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
CALAMARCA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,1,0,8,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,16,16
CAMARGO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,23,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,7,30
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,24
CAMIRI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,9,20,15,5,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,38,62
CAPINOTA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,2,94,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,34,128
CAQUIAVIRI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CARACOLLO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,5,10,7,7,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,12,27,39
CARANAVI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,9,7,130,175,0,1,0,47,0,3,0,82,0,0,0,0,0,0,0,0,139,315,454
CARANGAS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CARAPARI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,10,17,65,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,83,158
CARIPUYO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,3,11,24,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,22,49
CARMEN RIVERO TORREZ,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
CHACARILLA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHALLAPATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,1,3,78,38,0,0,0,60,0,0,0,23,0,0,0,0,0,0,0,0,79,124,203
CHAQUI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,1,26,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,49,75
CHARAGUA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,21,29,69,62,0,3,0,18,0,0,0,42,0,0,0,0,0,0,0,0,90,154,244
CHARAÑA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,14
CHAYANTA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,1,1,15,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,29,45
CHIMORE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,3,0,99,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,102,25,127
CHIPAYA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,9
CHOQUE COTA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
CHUA COCANI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,2,1,33,25,0,2,0,4,0,1,0,4,0,0,0,0,0,0,0,0,35,37,72
CHUMA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,2,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,13,15
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
CKOCHAS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,14,7,45,53,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,59,65,124
CLIZA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-05-01,0,0,0,0,2,3,40,17,0,0,0,5,0,1,0,8,0,0,0,0,0,0,0,0,42,34,76
