,group,variable,month,ANTIAMARILICA DOSIS UNICA 5 A 9 - D,ANTIAMARILICA DOSIS UNICA 5 A 9 - D,ANTIAMARILICA DOSIS UNICA 5 A 9 - F,ANTIAMARILICA DOSIS UNICA 5 A 9 - F,ANTIAMARILICA DOSIS UNICA 10 AÑOS - D,ANTIAMARILICA DOSIS UNICA 10 AÑOS - D,ANTIAMARILICA DOSIS UNICA 10 AÑOS - F,ANTIAMARILICA DOSIS UNICA 10 AÑOS - F,ANTIAMARILICA DOSIS UNICA 11 AÑOS - D,ANTIAMARILICA DOSIS UNICA 11 AÑOS - D,ANTIAMARILICA DOSIS UNICA 11 AÑOS - F,ANTIAMARILICA DOSIS UNICA 11 AÑOS - F,ANTIAMARILICA DOSIS UNICA 12 A 20 - D,ANTIAMARILICA DOSIS UNICA 12 A 20 - D,ANTIAMARILICA DOSIS UNICA 12 A 20 - F,ANTIAMARILICA DOSIS UNICA 12 A 20 - F,ANTIAMARILICA DOSIS UNICA 21 A 59 - D,ANTIAMARILICA DOSIS UNICA 21 A 59 - D,ANTIAMARILICA DOSIS UNICA 21 A 59 - F,ANTIAMARILICA DOSIS UNICA 21 A 59 - F,ANTIAMARILICA DOSIS UNICA 60 Y MAS - D,ANTIAMARILICA DOSIS UNICA 60 Y MAS - D,ANTIAMARILICA DOSIS UNICA 60 Y MAS - F,ANTIAMARILICA DOSIS UNICA 60 Y MAS - F,TOTALES,TOTALES,TOTALES
SAPAHAQUI,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,3,3,6
SENA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,3,7,0,0,2,2,0,0,1,0,0,0,10,12,1,2,23,31,0,0,0,0,40,54,94
SHINAOTA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,2,1,0,0,1,0,0,0,2,0,0,2,76,6,1,6,15,11,0,0,0,0,97,26,123
SIPE SIPE,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,4,6
SOPACHUY,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,3,0,0,0,0,5,5,10
SORATA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,0,0,0,0,4,7,11
SUCRE,otras vacunaciones,antiamarilica dosis unica,2024-02-01,2,1,6,5,3,0,4,6,4,1,11,10,14,25,79,136,70,143,77,127,0,0,0,0,270,454,724
TACACOMA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,13,15,0,0,0,0,15,19,34
TACOPAYA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TAPACARI,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,0,0,3,8,0,0,0,0,6,14,20
TARABUCO,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,4
TARACO,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,3,3,6
TARATA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,1,5,6
TARIJA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,5,6,495,24,25,30,24,6,0,0,0,0,550,66,616
TARVITA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,1,0,0,0,0,0,0,0,1,0,0,0,0,3,17,29,10,22,25,35,0,0,0,0,54,89,143
TEOPONTE,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0,1,2,3,3,5,0,0,0,0,9,13,22
TIAHUANACU,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,3,5,0,0,0,0,3,14,17
TINGUIPAYA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
TIPUANI,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,2,0,4,0,0,6,7,0,0,8,9,0,0,0,0,0,0,0,0,14,22,36
TIQUIPAYA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,0,1,0,0,0,0,4,6,10
TIRAQUE (CBBA),otras vacunaciones,antiamarilica dosis unica,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3
TOCO,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3
TODOS SANTOS,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,8
TOLATA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
TOLEDO,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,1,3,0,0,0,1,0,0,0,1,0,0,1,1,0,0,3,3,0,0,0,0,5,9,14
TOMINA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,2,4,13,24,30,24,7,15,0,0,0,0,52,68,120
TRINIDAD,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,5,5,0,0,1,0,0,0,1,1,4,4,43,34,32,44,302,148,0,0,0,0,388,236,624
TUPIZA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,12,2,7,0,0,0,0,3,22,25
TURCO,otras vacunaciones,antiamarilica dosis unica,2024-02-01,1,0,10,6,0,0,3,2,0,0,2,1,0,0,9,15,3,2,21,16,0,0,0,0,49,42,91
UNCIA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,119,0,3,6,5,0,0,0,0,0,127,8,135
URIONDO (A. CONCEPCION),otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,7,13,0,0,1,1,0,0,3,1,2,0,3,3,8,9,9,21,0,0,0,0,33,48,81
UYUNI,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,9,10,19
VIACHA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,6,0,3,0,0,0,0,3,11,14
VILA VILA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,4,7
VILLA CHARCAS,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,8,0,0,0,0,5,9,14
VILLA MONTES,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,3,1,3,0,0,0,0,1,2,0,1,8,5,354,2,50,49,31,7,0,0,0,0,445,72,517
VILLA NUEVA (LOMA ALTA),otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,0,0,6,6,12
VILLA RIVERO,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2
VILLA TUNARI,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,1,1,0,0,0,1,1,0,0,2,1,5,14,81,33,4,29,46,69,0,0,0,0,140,148,288
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,6,12,14,17,0,0,0,0,22,32,54
VILLAZON,otras vacunaciones,antiamarilica dosis unica,2024-02-01,1,1,0,0,1,0,0,0,0,1,0,0,6,6,0,1,6,28,25,11,0,0,0,0,39,48,87
VINTO,otras vacunaciones,antiamarilica dosis unica,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,10,0,1,0,0,0,0,5,13,18
VITICHI,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,1,0,1,1,0,1,2,0,0,3,8,0,2,1,1,4,5,2,3,0,0,0,0,12,23,35
WARNES,otras vacunaciones,antiamarilica dosis unica,2024-02-01,1,0,65,65,0,0,22,19,0,1,14,20,18,40,16,10,5,5,8,32,0,0,0,0,149,192,341
YACO,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,5,3,8
YACUIBA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,1,0,1,0,1,2,1,0,1,0,10,6,142,95,39,42,87,85,0,0,0,0,283,230,513
YAMPARAEZ,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
YANACACHI,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,3,2,0,0,1,3,0,0,1,0,0,0,16,33,4,4,19,25,0,0,0,0,44,67,111
YAPACANI,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,36,3,2,0,0,0,0,20,38,58
YUNCHARA,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,4,5
ZUDAÑEZ,otras vacunaciones,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ACHACACHI,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,1,0,0,0,0,1,0,0,0,0,2,3,6,4,4,8,0,0,0,0,0,0,13,16,29
AIQUILE,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4,7
ALCALA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
ANCORAIMES,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
ANDAMARCA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,3,2,5
APOLO,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
ARANI,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
ARBIETO,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,2,0,0,0,0,4,5,9
ARQUE,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6,9,1,2,0,0,0,0,9,12,21
ATOCHA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,10,10
AYO AYO,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,3
BATALLAS,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,3,2,0,1,0,0,0,0,5,5,10
BAURES,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,6,0,6
BELLA FLOR,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,6,6
BERMEJO,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,101,0,6,7,7,2,0,0,0,0,115,9,124
BUENA VISTA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,5,0,17,0,0,0,0,5,24,29
CABEZAS,otras vacunaciones,antiamarilica dosis unica,2024-03-01,1,4,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,0,5,9,0,0,0,0,11,17,28
CAIROMA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,3,3,6
CALACOTO,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,1,6,7
CALAMARCA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAMARGO,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,3,1,2,2,2,0,0,0,0,4,11,15
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAMIRI,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,26,2,0,0,0,0,30,11,41
CAPINOTA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,3,4
CAQUIAVIRI,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,4,4,8
CARANAVI,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,7,9,17,0,0,0,0,18,26,44
CARAPARI,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,2,4
CARMEN RIVERO TORREZ,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2,2,4
CATACORA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0,0,3,0,0,0,0,0,23,9,32
CHALLAPATA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,3,1,4
CHARAGUA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,1,2,0,0,2,1,0,0,10,10,227,0,2,0,0,0,0,0,0,0,242,13,255
CHARAÑA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,16,6,0,0,0,0,18,10,28
CHIMORE,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,9,3,1,5,0,0,0,0,18,12,30
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,1,7,21,30,0,0,0,0,26,44,70
CHUMA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CLIZA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COBIJA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,3,7,0,0,10,14,0,0,11,6,1,3,71,61,12,24,105,191,0,0,0,0,213,306,519
COCAPATA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,3
COCHABAMBA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,6,7,2,1,2,1,0,1,1,1,0,1,40,57,0,6,161,251,25,30,0,0,0,0,237,356,593
COLCAPIRHUA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,2,4,10,0,0,0,0,9,12,21
"COLCHA ""K""",otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,5,3,1,4,0,0,0,0,8,9,17
COLOMI,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,2,1,0,0,0,0,8,7,15
COLPA BELGICA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
COLQUECHACA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
COLQUENCHA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,5,0,0,0,0,0,0,1,11,12
COMARAPA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CONCEPCION,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,1,7,5,1,0,13,15,0,0,11,24,1,6,49,80,2,17,13,47,0,0,0,0,97,195,292
CORIPATA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,4,1,4,0,1,0,0,0,0,3,12,15
CORO CORO,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,10,3,0,0,0,0,16,7,23
COROICO,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,0,4,3,7
CORQUE,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80,1,0,2,8,1,0,0,0,0,89,4,93
COTAGAITA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,3,5
COTOCA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,8,0,0,0,0,0,0,1,11,12
CUATRO CAÑADAS,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,2,2,0,0,0,0,6,4,10
CULPINA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,7,9
DESAGUADERO,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,0,3,7,0,0,0,0,20,20,40
EL ALTO,otras vacunaciones,antiamarilica dosis unica,2024-03-01,29,20,86,96,8,6,35,61,4,3,39,54,50,66,131,154,143,230,204,360,0,0,0,0,729,1050,1779
EL PUENTE(TJA),otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
EL TORNO,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,6,11,0,0,0,0,0,0,8,15,23
ENTRE RIOS TRJ,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,2,0,1,0,0,0,0,5,8,13
ENTRE RIOS CBBA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,9,9,7,7,0,0,0,0,17,19,36
ESCOMA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,5,4,9
EUCALIPTUS,otras vacunaciones,antiamarilica dosis unica,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3
EUREKA (SANTOS MERCADO),otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,18,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,0,0,0,0,22,27,49
FERNANDEZ ALONSO,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,4,5
FILADELFIA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,2,0,0,1,0,0,0,0,1,2,0,0,2,0,1,10,11,0,0,0,0,13,17,30
GAIOC JATUN AYLLU YURA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
GENERAL SAAVEDRA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,1,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,3,16,0,0,0,0,0,0,7,19,26
GUANAY,otras vacunaciones,antiamarilica dosis unica,2024-03-01,5,3,6,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,27,8,35
GUAQUI,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,62,0,62
GUAYARAMERIN,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,13,7,0,0,0,0,0,0,0,0,0,0,178,0,1,1,0,0,0,0,0,0,192,8,200
GUTIERREZ,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,6,5,11
HUACARETA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,6,2,8
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
HUACHACALLA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,13,8,0,0,0,0,202,8,210
HUANUNI,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,1,20,8,10,0,0,0,0,14,33,47
HUARINA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,7,0,0,0,0,7,8,15
HUATAJATA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,0,0,0,0,1,5,6
INCAHUASI,otras vacunaciones,antiamarilica dosis unica,2024-03-01,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,3,7
INGAVI (HUMAITA),otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
INQUISIVI,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,3,4
IRUPANA (VILLA DE LANZA),otras vacunaciones,antiamarilica dosis unica,2024-03-01,1,0,2,3,0,0,0,2,0,0,0,0,0,1,0,1,1,5,5,17,0,0,0,0,9,29,38
IXIAMAS,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
JESUS DE MACHACA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,5,6
LA ASUNTA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,3
LA GUARDIA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,2,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,40,28,0,0,0,0,0,0,44,32,76
LA PAZ,otras vacunaciones,antiamarilica dosis unica,2024-03-01,15,6,141,150,1,7,21,16,1,2,10,17,32,50,333,67,272,370,82,129,0,0,0,0,908,814,1722
LAGUNILLAS,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,3,1,0,0,0,0,4,11,15
LAS CARRERAS,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,5,4,9
LLALLAGUA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,1,0,1,0,1,0,0,0,0,1,4,6,17,12,24,15,23,0,0,0,0,34,71,105
LLICA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,4,6
LURIBAY,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,5,5,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,0,0,14,18,32
MACHACAMARCA,otras vacunaciones,antiamarilica dosis unica,2024-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,10,0,0,0,0,0,0,8,12,20
MACHARETI,otras vacunaciones,antiamarilica dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,3,4
