,group,variable,month,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 5 A 9 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 5 A 9 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 5 A 9 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 5 A 9 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 10 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 10 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 10 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 10 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 11 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 11 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 11 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 11 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 12 A 20 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 12 A 20 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 12 A 20 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 12 A 20 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 21 A 59 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 21 A 59 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 21 A 59 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 21 A 59 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 60 Y MAS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 60 Y MAS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 60 Y MAS - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 60 Y MAS - F,TOTALES,TOTALES,TOTALES
PUERTO PEREZ,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
PUERTO QUIJARRO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,2,3,0,2,1,1,12,21,33
PUERTO RICO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,4,8,0,0,0,0,28,40,68
PUERTO SILES,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,0,0,0,0,4,5,9
PUERTO SUAREZ,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,1,6,7
PUERTO VILLARROEL,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,108,59,143,0,0,0,0,103,251,354
PUNA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,6,6,3,0,0,0,25,25,50
PUNATA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,47,88,11,34,1,0,0,0,60,128,188
QUIABAYA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,4,6,10
QUILLACOLLO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,259,111,220,0,0,0,0,255,479,734
QUIME,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,2,7,0,0,1,0,9,15,24
QUIRUSILLAS,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,11,5,16
RAQAYPAMPA(ETA),otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,1,0,0,0,0,10,7,17
RAVELO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,3,7,0,0,0,1,9,23,32
REYES,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,0,0,1,3,4,11,15
RIBERALTA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,143,5,5,8,9,0,0,70,157,227
ROBORE,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,43,4,14,5,3,2,1,36,61,97
RURRENABAQUE,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24,13,17,3,1,0,0,33,42,75
SABAYA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,0,0,0,0,7,17,24
SACABA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,18,2,1,128,273,80,171,4,8,1,0,217,471,688
SACABAMBA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,0,7,15,22
SACACA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,5,6,0,0,1,1,21,28,49
SAIPINA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,2,0,0,0,0,3,14,17
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,38,8,8,3,1,0,0,33,47,80
SAMAIPATA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,41,0,0,0,0,0,0,17,41,58
SAN AGUSTIN,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,5,3,8
SAN ANDRES,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,6,2,0,1,1,0,12,22,34
SAN ANDRES DE MACHACA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,0,0,0,0,0,8,6,14
SAN ANTONIO DE LOMERIO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN BENITO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,1,15,33,4,9,0,0,0,0,24,49,73
SAN BORJA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,55,1,3,2,3,0,0,19,61,80
SAN BUENA VENTURA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30,2,2,0,0,0,0,20,32,52
SAN CARLOS,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,33,1,15,3,2,0,0,22,50,72
SAN IGNACIO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,27,4,7,2,4,4,5,45,43,88
SAN IGNACIO DE VELASCO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,60,0,0,0,3,0,0,30,63,93
SAN JAVIER(BNI),otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,4,6
SAN JAVIER(STC),otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38,0,1,2,1,0,0,11,40,51
SAN JOAQUIN,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,6,9,1,3,1,0,23,38,61
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0,2,0,2,0,0,13,21,34
SAN JUAN DE YAPACANI,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,1,0,0,0,6,5,11
SAN JULIAN,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,2,2,2,0,0,0,20,29,49
SAN LORENZO(PND),otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,1,0,0,0,10,8,18
SAN LORENZO(TJA),otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,71,3,3,2,1,0,0,25,75,100
SAN LUCAS,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,74,0,0,0,0,0,0,43,75,118
SAN MATIAS,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,19,32,1,0,0,0,23,43,66
SAN MIGUEL DE VELASCO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,42,2,14,0,0,0,0,22,56,78
SAN PABLO DE LIPEZ,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,10,6,16
SAN PEDRO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,54,0,5,5,0,0,0,26,59,85
SAN PEDRO DE BUENA VISTA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,3,0,3,1,1,0,41,37,78
SAN PEDRO DE CURAHUARA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,5,16,21
SAN PEDRO DE MACHA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,1,0,0,0,0,0,31,20,51
SAN PEDRO DE QUEMES,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,5,3,8
SAN PEDRO DE TIQUINA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,3,0,0,0,0,3,16,19
SAN PEDRO(PND),otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,8,11,19
SAN RAFAEL,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,0,0,0,0,0,0,7,29,36
SAN RAMON BENI,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,14,0,0,0,1,9,17,26
SANTA ANA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,38,2,1,0,0,0,0,26,39,65
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1684,3974,293,707,43,36,4,7,2024,4724,6748
SANTA ROSA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,5,0,2,0,0,4,14,18
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,38,0,1,2,1,0,0,18,40,58
SANTIAGO DE CALLAPA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,1,0,0,0,9,10,19
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,9,14,0,0,0,0,20,24,44
SANTIAGO DE HUATA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,4,5,1,0,0,0,11,22,33
SANTIAGO DE MACHACA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,3
SANTIVAÑES,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,0,4,3,17,19,36
SANTUARIO DE QUILLACAS,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,3,0,0,0,0,10,14,24
SAPAHAQUI,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0,0,10,19,29
SENA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,5,8,0,0,0,0,26,31,57
SHINAOTA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,8,31,55,29,26,0,0,0,0,89,91,180
SICA SICA (VILLA AROMA),otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,51,5,1,0,0,0,0,22,52,74
SICAYA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,1,0,0,0,0,7,13,20
SIPE SIPE,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,75,16,34,0,0,0,0,44,109,153
SOPACHUY,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,34,2,0,1,1,0,1,18,36,54
SORACACHI,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,1,6,3,5,1,0,29,51,80
SORATA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0,1,2,0,3,0,23,17,40
SUCRE,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,6,17,13,51,354,989,247,661,58,98,31,48,709,1864,2573
TACACHI,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,3,7,10
TACACOMA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,1,1,1,0,0,0,10,21,31
TACOBAMBA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,5,6,11
TACOPAYA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,1,3,0,0,0,0,18,19,37
TAHUA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,11,5,16
TAPACARI,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,23,14,0,0,0,0,43,41,84
TARABUCO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,24,42,2,2,0,0,0,0,27,45,72
TARACO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,4,10,14
TARATA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,17,30,14,25,0,0,0,0,31,57,88
TARIJA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,8,26,8,33,293,750,62,189,65,83,2,3,438,1084,1522
TARVITA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,37,3,2,0,0,0,0,31,39,70
TEOPONTE,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,2,0,0,0,0,0,8,8,16
TIAHUANACU,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,10,13,23
TINGUIPAYA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,2,4,1,0,0,0,23,20,43
TIPUANI,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,3,3,6
TIQUIPAYA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,34,115,14,38,0,1,1,1,49,157,206
TIRAQUE (CBBA),otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,35,41,0,0,0,0,49,72,121
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
TOCO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,5,12,1,1,0,1,20,33,53
TODOS SANTOS,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,5
TOLATA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,10,28,7,3,0,0,0,0,18,33,51
TOLEDO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,10,0,0,0,0,10,19,29
TOMAVE,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,2,0,0,3,1,0,10,11,21
TOMINA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,29,0,3,1,0,0,0,15,33,48
TORO TORO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,2,2,5,2,0,0,24,17,41
TOTORA(CBBA),otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,14,12,0,0,0,0,25,34,59
TOTORA(ORR),otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,2,6,0,0,0,0,13,20,33
TRIGAL,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,1,5,6
TRINIDAD,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,206,92,200,10,11,7,13,207,430,637
TUPIZA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,49,10,14,2,1,0,0,66,64,130
TURCO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,5,15,0,1,9,20,29
UMALA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,2,2,2,0,0,11,7,18
UNCIA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,6,14,0,2,0,0,22,39,61
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31,5,12,0,0,0,0,18,43,61
URUBICHA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,9,0,0,0,0,7,18,25
UYUNI,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,48,28,36,3,1,4,1,64,86,150
VACAS,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,35,0,2,0,0,0,0,12,38,50
VALLEGRANDE,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,117,2,2,5,7,0,1,41,127,168
VIACHA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,3,12,5,1,0,0,25,41,66
VILA VILA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,4,1,0,0,0,15,12,27
VILLA CHARCAS,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,10,13,23
VILLA MONTES,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,169,17,15,8,4,1,0,95,188,283
VILLA NUEVA (LOMA ALTA),otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2,3,0,0,0,0,5,11,16
VILLA RIVERO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,21,7,12,0,0,0,0,19,35,54
VILLA SERRANO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31,2,6,0,2,0,0,19,39,58
VILLA TUNARI,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,84,142,22,36,2,0,0,0,108,180,288
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,23,6,6,0,0,1,0,16,31,47
VILLAZON,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,68,18,50,3,1,2,0,42,119,161
VINTO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,52,98,6,14,0,0,0,0,59,118,177
VITICHI,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,3,3,0,0,0,0,9,14,23
WALDO BALLIVIAN,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,2,6,8
WARNES,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,122,73,15,0,0,0,0,108,137,245
YACO,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,11,7,18
YACUIBA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,67,152,23,55,5,7,0,0,98,215,313
YAMPARAEZ,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,5,3,0,0,0,0,13,28,41
YANACACHI,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2,5,0,0,2,0,8,12,20
YAPACANI,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,117,5,22,2,2,0,0,46,141,187
YOCALLA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,4,1,1,0,0,8,14,22
YOTALA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,1,1,0,0,0,0,9,12,21
YUNCHARA,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,5,2,0,0,0,0,19,18,37
YUNGUYO DE LITORAL,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
ZUDAÑEZ,otras vacunaciones,influenza estacional a personal de salud,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,1,3,3,0,0,0,17,25,42
ACACIO,otras vacunaciones,influenza estacional a personal de salud,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,2,4,6
ACHACACHI,otras vacunaciones,influenza estacional a personal de salud,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,11,17,0,0,0,0,15,26,41
