,group,variable,month,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,TOTALES,TOTALES,TOTALES
COBIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COLQUIRI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,0,0,0,0,8,8
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,0,0,1,0,0,0,22,12,34
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
MAPIRI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,4,0,0,0,0,6,19,25
POTOSI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,4
SAN PEDRO(PND),otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,5,1,6
BUENA VISTA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COROICO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COTAGAITA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,18,0,0,0,0,0,0,32,18,50
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PAMPA AULLAGAS,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2
PUERTO CARABUCO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SACABA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN PEDRO(PND),otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TIRAQUE (CBBA),otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
