,group,variable,month,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 5 A 9 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 5 A 9 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 5 A 9 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 5 A 9 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 10 AÑOS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 10 AÑOS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 10 AÑOS - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 10 AÑOS - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 11 AÑOS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 11 AÑOS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 11 AÑOS - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 11 AÑOS - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 12 A 20 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 12 A 20 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 12 A 20 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 12 A 20 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 21 A 59 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 21 A 59 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 21 A 59 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 21 A 59 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 60 Y MAS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 60 Y MAS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 60 Y MAS - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 60 Y MAS - F,TOTALES,TOTALES,TOTALES
SAN IGNACIO DE VELASCO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,40,0,11,0,0,0,0,0,79,79
SAN JAVIER(BNI),otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2
SAN JAVIER(STC),otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,48,0,0,0,0,0,0,0,62,62
SAN JOAQUIN,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,5,0,5,0,0,0,0,0,15,15
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,10,0,3,0,0,0,0,0,17,17
SAN JUAN DE YAPACANI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,2,0,0,0,0,0,12,12
SAN JULIAN,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,33,0,14,0,0,0,0,0,55,55
SAN LORENZO(PND),otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,17,0,7,0,0,0,0,0,28,28
SAN LORENZO(TJA),otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,31,0,10,0,0,0,0,0,55,55
SAN LUCAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,0,43,0,28,0,0,0,0,0,97,97
SAN MATIAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,18,0,0,0,0,0,34,34
SAN MIGUEL DE VELASCO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,18,0,20,0,0,0,0,0,45,45
SAN PABLO DE LIPEZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN PEDRO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,4,0,0,0,0,0,21,21
SAN PEDRO DE BUENA VISTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,24,0,16,0,0,0,0,0,53,53
SAN PEDRO DE CURAHUARA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,3,0,0,0,0,0,10,10
SAN PEDRO DE MACHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,21,0,9,0,0,0,0,0,47,47
SAN PEDRO DE TIQUINA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,0,0,0,0,0,0,0,9,9
SAN PEDRO(PND),otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,7
SAN RAFAEL,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,19,19
SAN RAMON BENI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3,0,1,0,0,0,0,0,10,10
SANTA ANA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,8,0,16,0,0,0,0,0,27,27
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,6,0,0,0,0,0,0,0,231,0,13,0,1415,0,68,0,0,0,0,0,1733,1733
SANTA ROSA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,4,0,11,0,0,0,0,0,20,20
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,11,0,2,0,0,0,0,0,25,25
SANTIAGO DE CALLAPA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,5,0,5,0,0,0,0,0,15,15
SANTIAGO DE HUATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,8
SANTIAGO DE MACHACA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SANTIVAÑES,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,14,0,4,0,0,0,0,0,24,24
SANTUARIO DE QUILLACAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,5,5
SAPAHAQUI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,7,7
SENA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,5,0,9,0,0,0,0,0,18,18
SHINAOTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,20,0,54,0,22,0,0,0,0,0,123,123
SICA SICA (VILLA AROMA),otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,36,0,2,0,0,0,0,0,42,42
SICAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,10,10
SIPE SIPE,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,45,0,20,0,0,0,0,0,76,76
SOPACHUY,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,5,0,0,0,0,0,11,11
SORACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,9,0,4,0,0,0,0,0,16,16
SORATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,15,0,2,0,0,0,0,0,21,21
SUCRE,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,16,0,362,0,113,0,0,0,0,0,545,545
TACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
TACACOMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,22,0,3,0,0,0,0,0,33,33
TACOBAMBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,10,0,8,0,0,0,0,0,23,23
TACOPAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,8,0,0,0,0,0,16,16
TAHUA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
TAPACARI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,46,0,39,0,0,0,0,0,107,107
TARABUCO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,10,0,3,0,0,0,0,0,28,28
TARACO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,9
TARATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,18,0,20,0,0,0,0,0,49,49
TARIJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,11,0,444,0,65,0,0,0,0,0,595,595
TARVITA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,6,0,8,0,0,0,0,0,23,23
TEOPONTE,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TIAHUANACU,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,17,0,0,0,0,0,0,0,22,22
TINGUIPAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,8,0,17,0,0,0,0,0,36,36
TIQUIPAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,21,0,0,0,0,0,43,43
TIRAQUE (CBBA),otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,33,0,7,0,0,0,0,0,56,56
TOCO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8,0,6,0,0,0,0,0,18,18
TOLATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,7,7
TOLEDO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,6,6
TOMAVE,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,11,0,0,0,0,0,21,21
TOMINA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,6,6
TORO TORO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0,27,27
TOTORA(CBBA),otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,40,0,26,0,0,0,0,0,89,89
TRINIDAD,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,5,0,178,0,17,0,0,0,0,0,265,265
TUPIZA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,65,0,9,0,0,0,0,0,89,89
TURCO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
UMALA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,3,0,0,0,0,0,9,9
UNCIA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,38,0,37,0,0,0,0,0,84,84
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,27,0,9,0,0,0,0,0,43,43
URUBICHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,7,0,0,0,0,0,12,12
UYUNI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,48,0,6,0,0,0,0,0,67,67
VACAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,12,0,1,0,0,0,0,0,22,22
VALLEGRANDE,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,12,12
VIACHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,2,0,141,0,4,0,0,0,0,0,182,182
VILA VILA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,6,6
VILLA CHARCAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,10,0,11,0,0,0,0,0,28,28
VILLA MONTES,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,81,0,21,0,0,0,0,0,128,128
VILLA NUEVA (LOMA ALTA),otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,5,0,0,0,0,0,15,15
VILLA RIVERO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,21,0,3,0,0,0,0,0,37,37
VILLA SERRANO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,8,0,0,0,0,0,15,15
VILLA TUNARI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,4,0,210,0,16,0,0,0,0,0,275,275
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,7,7
VILLAZON,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,69,0,9,0,0,0,0,0,96,96
VINTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,41,0,37,0,0,0,0,0,100,100
VITICHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,9,0,2,0,0,0,0,0,19,19
WALDO BALLIVIAN,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,4
WARNES,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,168,0,20,0,0,0,0,0,198,198
YACO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,0,0,0,0,0,0,10,10
YACUIBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,123,0,7,0,0,0,0,0,158,158
YAMPARAEZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,4,0,0,0,0,0,11,11
YANACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,4,4
YAPACANI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,52,0,39,0,0,0,0,0,113,113
YOCALLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,2,0,0,0,0,0,9,9
YOTALA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,6,0,0,0,0,0,16,16
YUNCHARA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,13,0,0,0,0,0,17,17
ZUDAÑEZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,5,0,0,0,0,0,10,10
ACACIO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,7,7
ACHACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,12,0,3,0,0,0,0,0,19,19
ACHOCALLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,49,0,0,0,0,0,0,0,52,52
AIQUILE,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,10,0,25,0,0,0,0,0,47,47
ALALAY,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
ALCALA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,4,4
ALTO BENI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,6
ANCORAIMES,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,2,0,0,0,0,0,9,9
ANDAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
ANTEQUERA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,4,4
ANZALDO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,7,7
APOLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,2,0,0,0,0,0,17,17
ARAMPAMPA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,6,6
ARANI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,5,5
ARBIETO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,4,0,0,0,0,0,17,17
ARQUE,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,5,0,5,0,0,0,0,0,19,19
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,16,0,0,0,0,0,0,0,31,31
ATOCHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,4,0,0,0,0,0,20,20
AUCAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,11,11
AYATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,12,0,0,0,0,0,16,16
AYO AYO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,10,0,2,0,0,0,0,0,20,20
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,12,0,17,0,2,0,0,0,0,0,44,44
AZURDUY,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
BATALLAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,1,0,0,0,0,0,16,16
BAURES,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,4,4
BELEN DE URMIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
BELLA FLOR,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BERMEJO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,44,0,4,0,0,0,0,0,58,58
BETANZOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,26,0,4,0,0,0,0,0,40,40
BOLIVAR,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,7,0,0,0,0,0,12,12
BOLPEBRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BOYUIBE,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,3,0,0,0,0,0,10,10
BUENA VISTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,11,11
CABEZAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,2,0,0,0,0,0,11,11
CAIROMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,15,15
"CAIZA ""D""",otras vacunaciones,influenza estacional a mujeres embarazadas,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,18,18
