,group,variable,month,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,TOTALES,TOTALES,TOTALES
EL ALTO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
FILADELFIA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,16,0,0,0,2,9,21,30
GENERAL SAAVEDRA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
GUTIERREZ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
LA ASUNTA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,11,16,3,0,23,32,9,2,2,3,0,0,48,53,101
LLALLAGUA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,0,0,0,0,8,7,15
MAGDALENA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,2,2,4
MIZQUE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
ORURO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,13,9,2,1,0,0,47,28,0,0,7,6,69,44,113
PALOS BLANCOS,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,5,8
PORTACHUELO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,8,33,0,0,13,24,4,0,10,3,0,0,35,60,95
QUIME,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
RURRENABAQUE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,2,5,7
SACABA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SAN BORJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,2,3,5
SAN IGNACIO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,3
SAN JAVIER(STC),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,25,1,0,0,0,0,0,0,25,6,31
SAN RAMON SCZ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,4,5,0,0,0,0,0,0,4,20,24
SENA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,6,10,1,0,3,0,10,15,25
SUCRE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
TAPACARI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TEOPONTE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
TRINIDAD,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,180,0,0,0,17,0,0,0,0,0,198,0,198
TUPIZA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
TURCO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,4,8,12
VILLAZON,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
WARNES,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2,3
BERMEJO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,3,1,4
CARAPARI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,18,18
CHALLAPATA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
COBIJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,5
CONCEPCION,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COROICO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,3
EL ALTO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,7,0,0,1,0,13,8,21
EL TORNO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GUANAY,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
IRUPANA (VILLA DE LANZA),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
LA ASUNTA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,6,7
LA PAZ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,19,26,3,1,0,0,0,0,24,30,54
LLALLAGUA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,5,1,0,7,5,0,0,0,0,15,11,26
MOCOMOCO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
OCURI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,2,4
POCONA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PORTACHUELO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PORVENIR,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,4,5
POTOSI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,27,72,0,0,0,0,1,1,0,0,0,0,28,73,101
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,0,0,0,0,0,5,2,7
SAN JOAQUIN,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SAN PEDRO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,3,0,0,0,0,0,0,4,10,14
SENA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,2,0,4,5,9
SICAYA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
TARIJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,4,6
TEOPONTE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
TRINIDAD,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TUPIZA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
VILLA MONTES,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4
VILLAZON,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
WARNES,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
YACO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,2,0,0,0,0,0,0,9,2,11
CARAPARI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,11,11
COCHABAMBA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"COLCHA ""K""",otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COLQUIRI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CORIPATA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GUAQUI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,25,0,25
GUAYARAMERIN,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,20
LA PAZ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,0,1,0,0,2,13,15
ORURO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,5,6
PORTACHUELO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,7,1,8
POTOSI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,1,3,0,2,0,0,0,0,6,25,31
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN JOAQUIN,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SAN LORENZO(TJA),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
SAN MATIAS,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN PEDRO(PND),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SENA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,18,0,0,0,0,12,18,30
SUCRE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,4,5
TEOPONTE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
TRINIDAD,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TUPIZA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
UYUNI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,20,0,20
VILLAZON,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,2,3
BERMEJO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,5,0,5
BETANZOS,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
CARAPARI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHIMORE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,1,0,0,8,3,11
EL ALTO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUANUNI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
IRUPANA (VILLA DE LANZA),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
LA PAZ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,5,5,0,1,0,0,9,8,17
LLALLAGUA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,4,5
MONTERO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ORURO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,2,0,0,0,0,3,8,11
POTOSI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,3,1,0,0,0,0,0,0,5,17,22
PUCARANI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,4,5,9
SAN JAVIER(STC),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,11,28,0,0,0,0,0,0,12,32,44
SAN PEDRO(PND),otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SENA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,0,0,1,5,6
SICAYA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
SUCRE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,8,8
TARIJA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,1,4,5
TEOPONTE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
TINGUIPAYA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
TRINIDAD,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
WARNES,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
