municipality,group,variable,month,Total 11.5 Nacidos vivos con peso menor a 2500g,TOTAL
BERMEJO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
BETANZOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,2,2
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
CAMARGO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
CAMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,2,2
CAPINOTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,2,2
CARANAVI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,11,11
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,4,4
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,91,91
COMARAPA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,2,2
CORQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,2,2
COTOCA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,56,56
EL TORNO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,4,4
HUANUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
JESUS DE MACHACA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,167,167
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,6,6
LLICA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
LORETO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,2,2
MAPIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
MIZQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,3,3
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,13,13
OCURI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,2,2
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,25,25
PADILLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
PALCA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
POJO (CBBA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
PORONGO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,2,2
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,63,63
PUCARANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,4,4
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
RAVELO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,16,16
SACACA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,6,6
SAN CARLOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,2,2
SAN IGNACIO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,8,8
SAN JULIAN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,3,3
SAN MATIAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,99,99
SANTIAGO DE HUATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
SENA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
SUCRE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,35,35
TARABUCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
TARIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,15,15
TARVITA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
TINGUIPAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
TOMINA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,14,14
TUPIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
URUBICHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
VIACHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,5,5
VILLA MONTES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
VILLAZON,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
WARNES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
YACUIBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,5,5
YAPACANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,2,2
ALALAY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,4,4
CAIROMA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,2,2
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,2,2
CAMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,4,4
CARANAVI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,3,3
CATACORA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,5,5
COCAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,76,76
CONCEPCION,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
COTAGAITA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,2,2
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,37,37
EL TORNO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,2,2
HUACARETA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
HUANUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
LA ASUNTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,180,180
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,3,3
MONTEAGUDO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,6,6
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,10,10
PALOS BLANCOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,2,2
PATACAMAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
PELECHUCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
POROMA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,53,53
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,2,2
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,4,4
REYES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,4,4
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,13,13
ROBORE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
SACACA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
SAMAIPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,4,4
SAN IGNACIO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,3,3
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
SANTA ANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,73,73
SHINAOTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
SUCRE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,31,31
TARIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,23,23
TRINIDAD,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,12,12
TUPIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,2,2
UNCIA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
UYUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,5,5
VIACHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,5,5
VILLAZON,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
VINTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
WARNES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
YACUIBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-06-01,1,1
ACHACACHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
BERMEJO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,2,2
BETANZOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
CABEZAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
CARANAVI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
CARIPUYO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
CHAYANTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
CHIMORE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
CLIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,3,3
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,11,11
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,88,88
COMARAPA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,2,2
CONCEPCION,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
COTAGAITA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
CULPINA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,48,48
EL TORNO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,6,6
EL VILLAR,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,2,2
HUACARETA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
HUMANATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,125,125
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,5,5
MONTEAGUDO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,20,20
POCONA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,3,3
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,46,46
PUERTO GONZALO MORENO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,5,5
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,21,21
RURRENABAQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
SAN ANDRES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
SAN JOAQUIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
SANTA ANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,108,108
SHINAOTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
SORATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
SUCRE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,37,37
TARABUCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
TARIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,26,26
TOLATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
TOMINA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,14,14
UYUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
VIACHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
VILA VILA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,2,2
VINTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,6,6
VITICHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
WARNES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
YACUIBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,5,5
YAPACANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
YUNCHARA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-07-01,1,1
ACHACACHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
ARANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,3,3
BAURES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
BETANZOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,2,2
CAMARGO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
CAMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,2,2
CARANAVI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,3,3
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,12,12
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,94,94
COMARAPA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
COPACABANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,48,48
EL TORNO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,3,3
GUANAY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,2,2
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,6,6
HUANUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,137,137
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,5,5
MAPIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,2,2
MONTEAGUDO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,8,8
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,22,22
PADILLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
POCONA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,2,2
POROMA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,66,66
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,7,7
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,3,3
REYES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,2,2
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,16,16
RURRENABAQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,3,3
SAN CARLOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,3,3
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,3,3
SAN JULIAN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
SAN LUCAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,3,3
SAN MIGUEL DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
SANTA ANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,3,3
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,91,91
SHINAOTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
SIPE SIPE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,2,2
SOPACHUY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
SORACACHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
SUCRE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,59,59
TARATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
TARIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,19,19
TEOPONTE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,2,2
TIQUIPAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
TOTORA(CBBA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,8,8
UYUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,3,3
VALLEGRANDE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,2,2
VILLA MONTES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,2,2
VILLAZON,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,3,3
WARNES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
YACUIBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,4,4
YAMPARAEZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
YAPACANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
YOTALA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-08-01,1,1
AIQUILE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
ATOCHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
AYATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
BETANZOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
CABEZAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
CAMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,5,5
CARANAVI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,3,3
CARMEN RIVERO TORREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,2,2
CHAYANTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
CHIMORE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,9,9
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,92,92
COPACABANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
COTAGAITA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,4,4
COTOCA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,2,2
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,58,58
EL TORNO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
EL VILLAR,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,2,2
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
FILADELFIA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,7,7
HUANUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
IXIAMAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,2,2
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,148,148
LAJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,8,8
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,3,3
MIZQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,3,3
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,8,8
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,18,18
PADCAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
