municipality,group,variable,month,Total 11.6 Nacidos muertos con peso menor a 2500g,TOTAL
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,7,7
ESCOMA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,18,18
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
MAIRANA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,2,2
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,4,4
PALOS BLANCOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,4,4
PUERTO RICO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,2,2
QUILLACOLLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,11,11
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
SAN MATIAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
SAN PEDRO DE QUEMES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,4,4
SICA SICA (VILLA AROMA),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,2,2
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,6,6
TARABUCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,3,3
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,3,3
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
CABEZAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,1,1
CAIROMA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,2,2
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,14,14
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,13,13
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,14,14
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,1,1
MAIRANA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,2,2
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,10,10
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,3,3
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,2,2
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,1,1
SAN MATIAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,23,23
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,7,7
TIQUIPAYA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,1,1
TOTORA(CBBA),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,5,5
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-12-01,2,2
