,group,variable,month,TOTAL Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTAL Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
CHAYANTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,0,1,1
CHIMORE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,2,3,5
COBIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,9,6,15
COLQUECHACA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,0,1
CORIPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,1,2
COROICO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,0,1
COTOCA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,6,1,7
CULPINA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,0,1,1
EL ALTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,11,4,15
EL TORNO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,6,3,9
GUANAY,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,3,0,3
HUANUNI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,2,0,2
INCAHUASI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,0,1,1
LA GUARDIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,4,2,6
LA PAZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,5,5,10
LLALLAGUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,0,1,1
MACHARETI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,0,1
MAPIRI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,0,1,1
MONTERO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,4,1,5
ORURO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,4,1,5
PADILLA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,0,1
POTOSI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,5,2,7
QUILLACOLLO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,1,2
RIBERALTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,2,2,4
ROBORE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,0,2,2
SACABA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,3,1,4
SAN BORJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,3,0,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,1,2
SAN LUCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,2,0,2
SAN RAMON SCZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,41,28,69
SHINAOTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,2,2,4
SICAYA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,0,1
SIPE SIPE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,2,3
SORATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,2,0,2
SUCRE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,1,2
TARABUCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,1,2
TARIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,3,1,4
TIPUANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,2,0,2
TITO YUPANQUI (PARQUIPUJIO),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,5,0,5
TURCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,0,1,1
UNCIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,2,0,2
VILLA MONTES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,2,2,4
VITICHI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,0,1
WARNES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,0,1,1
YACUIBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,3,3,6
YAMPARAEZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,0,1
YAPACANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,4,3,7
ZUDAÑEZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,3,0,3
CAMARGO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
CARANAVI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,7,0,7
CARAPARI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,0,1,1
CHALLAPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,0,1,1
CHIMORE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,4,2,6
COCHABAMBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,5,1,6
COROICO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
COTAGAITA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,1,2
COTOCA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,2,0,2
EL ALTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,3,5,8
EL TORNO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,2,3,5
ENTRE RIOS TRJ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,5,0,5
GENERAL SAAVEDRA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,4,0,4
LA GUARDIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,4,1,5
LA PAZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,4,2,6
LLALLAGUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,1,2
MAPIRI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
MOCOMOCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,2,0,2
MONTERO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,7,6,13
ORURO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,3,0,3
PALOS BLANCOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
POTOSI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,1,2
PUERTO SUAREZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,3,5,8
PUNATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,2,0,2
REYES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,0,1,1
RIBERALTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,2,1,3
RURRENABAQUE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,2,0,2
SACABA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,4,4,8
SAMAIPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
SAN BENITO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
SAN BORJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
SAN BUENA VENTURA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,0,2,2
SAN CARLOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,2,1,3
SAN JULIAN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,2,2,4
SAN LORENZO(TJA),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
SAN LUCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,0,2,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,52,37,89
SANTA ROSA DEL SARA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,0,2,2
SHINAOTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,2,1,3
SIPE SIPE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,0,1,1
SORATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,0,3,3
SUCRE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,6,8,14
TARABUCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
TARIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,2,2,4
TARVITA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
TRINIDAD,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,7,3,10
UNCIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,0,2,2
VILLA TUNARI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,4,0,4
WARNES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,5,1,6
YACUIBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,4,0,4
YAPACANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,5,1,6
YOCALLA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
YOTALA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-06-01,1,0,1
AUCAPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,0,1
BERMEJO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,0,1
BOLIVAR,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,0,1
CABEZAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,3,0,3
CAMARGO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,2,2
CARANAVI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,2,3,5
CHALLAPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,2,2
CHIMORE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,2,3
COBIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,1,2
COCAPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,4,4,8
COLCAPIRHUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,2,0,2
COLQUECHACA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,1,2
CONCEPCION,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,0,1
COROICO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,1,2
COTOCA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,6,7
CUATRO CAÑADAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,4,2,6
EL ALTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,4,7,11
EL TORNO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,5,1,6
GUANAY,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,1,2
HUANUNI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,1,2
INCAHUASI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,2,2
LA GUARDIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,5,4,9
LA PAZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,4,4,8
LAS CARRERAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,1,1
LLALLAGUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,0,1
MAIRANA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,0,1
MONTERO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,2,3
MOROCHATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,1,1
ORURO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,2,4,6
PADILLA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,1,2
POROMA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,0,1
PORVENIR,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,0,1
POTOSI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,5,6,11
PUNA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,1,2
RIBERALTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,1,2
SACABA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,3,0,3
SACACA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,0,1
SAN BORJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,2,1,3
SAN BUENA VENTURA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,2,2
SAN CARLOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,1,1
SAN JULIAN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,2,3
SAN LUCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,48,35,83
SANTA ROSA DEL SARA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,1,1
SHINAOTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,0,1
SIPE SIPE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,1,1
SOPACHUY,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,1,1
SUCRE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,3,8,11
TARIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,1,2
TIPUANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,2,1,3
TOMINA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,0,1
TRINIDAD,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,1,2
UNCIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,0,1
VIACHA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,1,1
VILLA CHARCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,1,1
VILLA MONTES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,2,2,4
VILLA TUNARI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,1,2
WARNES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,2,2
YACUIBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,0,3,3
YAMPARAEZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,1,0,1
YAPACANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-07-01,5,3,8
BERMEJO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,0,1
CAMARGO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,0,1
CAMIRI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,0,1
CARANAVI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,4,2,6
CARAPARI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,0,1
CHAYANTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,0,1,1
CHUMA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,0,1,1
CKOCHAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,0,1
COBIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,0,2,2
COCHABAMBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,5,3,8
COLCAPIRHUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,0,1,1
COPACABANA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,2,0,2
COROICO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,0,1
COTAGAITA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,0,1,1
COTOCA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,0,1
EL ALTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,4,6,10
EL TORNO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,2,1,3
ENTRE RIOS CBBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,2,2,4
GUANAY,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,2,2,4
LA PAZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,3,6,9
LLALLAGUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,1,2
MOJOCOYA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,2,0,2
MONTERO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,4,10,14
ORURO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,0,1
PALCA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,0,1,1
POOPO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,0,1,1
POTOSI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,2,0,2
PRESTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,9,10
QUILLACOLLO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,3,1,4
RIBERALTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,2,3
SACABA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,1,2
SAN BORJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,0,2,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,2,0,2
SAN JULIAN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,3,2,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,61,37,98
SHINAOTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,0,1,1
SIPE SIPE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,0,1
SOPACHUY,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,1,2
SORACACHI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,0,1,1
SUCRE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,6,2,8
TARIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,1,2
TIPUANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,1,2
TRINIDAD,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,2,1,3
TUPIZA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,2,0,2
UYUNI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,0,1,1
VIACHA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,0,1,1
VILLA MONTES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,3,3,6
WARNES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,2,0,2
YACUIBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,1,1,2
YAPACANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-08-01,3,1,4
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
BERMEJO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,0,1,1
CARACOLLO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
CARANAVI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,2,1,3
CHALLAPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
CHAQUI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,0,1,1
COBIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,3,4
COLCAPIRHUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,0,1,1
COTOCA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,2,3,5
CULPINA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,1,2
EL ALTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,12,4,16
EL TORNO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,6,1,7
GUANAY,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
HUANUNI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,5,2,7
LA PAZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,7,4,11
LLALLAGUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,1,2
MONTERO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,3,2,5
ORURO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,7,2,9
PALOS BLANCOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,2,1,3
POTOSI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
PRESTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,0,1,1
