,group,variable,month,TOTAL Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTAL Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
PUERTO VILLARROEL,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,8,1,9
PUNATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,3,2,5
RIBERALTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,0,1,1
ROBORE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,0,1,1
SACABA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,8,2,10
SAN BENITO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
SAN LUCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,58,53,111
SANTA ROSA DEL SARA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,1,2
SHINAOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,0,2,2
SIPE SIPE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,0,1,1
SORACACHI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,0,1,1
SUCRE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,8,3,11
TARABUCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,1,2
TARIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,2,1,3
TEOPONTE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
TIPUANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,3,0,3
TIQUIPAYA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,2,0,2
TRINIDAD,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,3,0,3
VILLA CHARCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,3,3,6
VILLA TUNARI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,2,3,5
VINTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,2,3,5
WARNES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,3,2,5
YACUIBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,6,6,12
YAPACANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,5,4,9
ARANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,0,1,1
BAURES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
CAMARGO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
CAPINOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,4,1,5
CARANAVI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,6,10,16
CHARAGUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,1,2
CHIMORE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
COBIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,2,6,8
COCHABAMBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,11,7,18
COLCAPIRHUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,3,2,5
COLOMI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
COMARAPA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
COTOCA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,2,1,3
CULPINA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
EL ALTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,21,10,31
EL TORNO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,5,4,9
ENTRE RIOS TRJ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,4,3,7
GUAYARAMERIN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,3,0,3
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
HUANUNI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,3,2,5
INCAHUASI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,2,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,2,3
LA ASUNTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,2,0,2
LA GUARDIA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,5,4,9
LA PAZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,13,11,24
LLALLAGUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,5,0,5
MIZQUE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,2,0,2
MONTERO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,3,3,6
ORURO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,6,4,10
PAMPA GRANDE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,1,2
POROMA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,0,1,1
PORONGO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
PORVENIR,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
POTOSI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,5,1,6
PUERTO QUIJARRO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,2,5,7
QUILLACOLLO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,4,4,8
RIBERALTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,4,2,6
ROBORE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,2,1,3
SACABA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,6,0,6
SAN BORJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,0,5,5
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,2,0,2
SAN JULIAN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,2,0,2
SAN LORENZO(TJA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
SAN LUCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,83,55,138
SANTA ROSA DEL SARA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
SENA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,1,2
SHINAOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,2,1,3
SIPE SIPE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,1,2
SUCRE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,2,2,4
TARABUCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
TARIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,3,0,3
TEOPONTE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,3,0,3
TIPUANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,4,1,5
TIQUIPAYA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,1,2
TRINIDAD,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,8,6,14
VILLA CHARCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,7,2,9
VINTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,2,4,6
WARNES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,6,2,8
YACUIBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,5,3,8
YAPACANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,3,1,4
YOTALA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-06-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,2,1,3
AZURDUY,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,0,1
BERMEJO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,2,3
CARANAVI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,3,0,3
CARMEN RIVERO TORREZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,0,1
CLIZA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,0,1
COBIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,4,0,4
COCHABAMBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,14,7,21
COLCAPIRHUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,1,2
COTOCA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,4,2,6
EL ALTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,13,8,21
EL TORNO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,2,2,4
ENTRE RIOS CBBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,3,3,6
GUANAY,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,2,3
HUANUNI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,2,1,3
INCAHUASI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,2,2,4
LA GUARDIA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,5,5,10
LA PAZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,3,3,6
LAS CARRERAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,0,1,1
MAPIRI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,1,2
MIZQUE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,2,0,2
MONTERO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,0,1
ORURO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,10,1,11
PUERTO SUAREZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,4,1,5
PUERTO VILLARROEL,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,6,2,8
QUIABAYA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,2,3,5
RIBERALTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,1,2
RURRENABAQUE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,0,1,1
SACABA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,7,0,7
SAN BENITO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,0,1
SAN BORJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,2,0,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,1,2
SAN LUCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,78,58,136
SANTIAGO DE HUARI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,0,1,1
SENA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,1,2
SHINAOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,0,1
SIPE SIPE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,0,1
SUCRE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,3,0,3
TARIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,0,1,1
TEOPONTE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,1,2
TIPUANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,1,2
TRINIDAD,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,2,3,5
VILLA MONTES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,0,1
VILLA RIVERO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,0,1
VINTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,1,2,3
WARNES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,3,2,5
YACUIBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,3,3,6
YAPACANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-07-01,8,4,12
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,2,1,3
BERMEJO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,0,1,1
BUENA VISTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,1,2
CABEZAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,0,1
CAMARGO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,0,2,2
CAPINOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,0,1
CARANAVI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,7,4,11
CARMEN RIVERO TORREZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,0,1
CHARAGUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,0,1,1
CHIMORE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,1,2
COBIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,6,1,7
COCHABAMBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,23,21,44
COLCAPIRHUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,2,0,2
COMARAPA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,2,0,2
COROICO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,1,2
COTOCA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,2,0,2
CULPINA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,0,1,1
EL ALTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,20,16,36
EL TORNO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,4,4,8
GUANAY,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,3,2,5
GUAYARAMERIN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,2,1,3
HUANUNI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,2,1,3
HUATAJATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,0,1
INCAHUASI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,0,1,1
LA GUARDIA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,4,5
LA PAZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,26,14,40
LLALLAGUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,3,0,3
MONTEAGUDO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,0,1,1
MONTERO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,10,2,12
ORURO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,3,3,6
PALOS BLANCOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,2,3
POTOSI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,2,1,3
PUERTO RICO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,11,6,17
QUILLACOLLO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,6,6,12
REYES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,0,1
RIBERALTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,6,6,12
RURRENABAQUE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,0,1,1
SACABA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,4,4,8
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,0,1
SAN LORENZO(PND),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,0,2,2
SAN LUCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,103,40,143
SHINAOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,2,0,2
SIPE SIPE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,2,3,5
SUCRE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,6,3,9
TACOBAMBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,0,1
TARABUCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,3,2,5
TARIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,4,1,5
TEOPONTE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,0,1
TIPUANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,2,3
TRINIDAD,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,2,2,4
VILLA CHARCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,3,6,9
VINTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,3,4
VITICHI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,1,0,1
WARNES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,3,0,3
YACUIBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,4,4,8
YAPACANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,3,2,5
YOTALA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-08-01,0,2,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,1,2
BERMEJO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,0,2,2
BUENA VISTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,2,0,2
CAMARGO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
CARANAVI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,7,3,10
CHIMORE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,3,1,4
CKOCHAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
COBIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,9,2,11
COCHABAMBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,30,12,42
COLCAPIRHUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,0,2,2
COMARAPA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
CONCEPCION,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
CORIPATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
COROICO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
COTOCA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,5,4,9
CUATRO CAÑADAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,3,0,3
CULPINA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
EL ALTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,18,10,28
EL TORNO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,6,2,8
ENTRE RIOS CBBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,3,1,4
GUANAY,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,2,3
GUAYARAMERIN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,5,2,7
HUANUNI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
HUARINA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
INCAHUASI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,2,0,2
LA ASUNTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,6,2,8
LA PAZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,87,27,114
LLALLAGUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
MAPIRI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,2,1,3
MIZQUE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
MOJOCOYA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
MONTERO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,5,0,5
ORURO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,6,7,13
PAMPA GRANDE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,2,0,2
POTOSI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,8,0,8
PUCARANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,7,6,13
PUNA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,1,2
PUNATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,0,2,2
QUILLACOLLO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,3,6,9
