,group,variable,month,TOTAL N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTAL N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
COTAGAITA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
COTOCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,2,1,3
EL ALTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,16,16,32
EL TORNO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,2,3
ESCOMA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,3,0,3
GUTIERREZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,1,2
HUANUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
INQUISIVI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
IXIAMAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,1,2
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,5,3,8
LA PAZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,12,6,18
LLALLAGUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,3,0,3
LURIBAY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
MAIRANA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
MAPIRI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,6,3,9
MOROCHATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
ORURO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,2,2,4
PAILON,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,1,2
PALCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,2,3
POJO (CBBA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
PORTACHUELO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,1,2
PORVENIR,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
POTOSI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,3,0,3
PRESTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
PUERTO CARABUCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,2,3
PUERTO SUAREZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,7,1,8
PUNATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,4,0,4
RAVELO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
RIBERALTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,3,2,5
SACABA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,2,4,6
SAIPINA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
SAN BORJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,4,2,6
SAN IGNACIO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
SAN LUCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
SAN MATIAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
SANTA ANA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,90,60,150
SANTA ROSA DEL SARA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
SANTIAGO DE HUARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
SAPAHAQUI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
SHINAOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,3,2,5
SIPE SIPE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,1,2
SORATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
SUCRE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,9,5,14
TACACOMA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
TACOBAMBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
TARABUCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,2,0,2
TARIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,2,2,4
TARVITA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
TIPUANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,2,1,3
TIQUIPAYA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,3,2,5
TUPIZA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,2,0,2
URIONDO (A. CONCEPCION),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
UYUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
VIACHA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
VILLA MONTES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,1,2
VILLA SERRANO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,4,4,8
WARNES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,4,6,10
YACUIBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,4,3,7
YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,2,0,2
ZUDAÑEZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
ACHACACHI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,1,2
APOLO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
BERMEJO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
CAPINOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
CARANAVI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,3,3,6
CHARAGUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,0,1,1
CHIMORE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,3,1,4
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,1,2
CLIZA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,0,1,1
COBIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,1,3
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,12,3,15
COLCAPIRHUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,2,3
COLOMI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
COMARAPA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
CONCEPCION,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
CORIPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
COROICO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,0,2,2
COTOCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
CUEVO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
CULPINA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,11,9,20
EL TORNO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,6,1,7
GENERAL SAAVEDRA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,1,2
GUANAY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
HUACARETA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
HUANUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
HUATAJATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,1,2
IXIAMAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,0,2
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,3,1,4
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,3,2,5
LA PAZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,10,9,19
LICOMA PAMPA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,1,2
MACHARETI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
MAPIRI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,0,2
MIZQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
MOJOCOYA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,3,5,8
OKINAWA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,0,1,1
ORURO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,1,2
PAILON,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,1,3
PALCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,2,4
PALOS BLANCOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,0,2
POJO (CBBA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
POROMA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,0,1,1
PORTACHUELO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
PORVENIR,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
POTOSI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,0,3,3
PRESTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,5,1,6
PUNATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,0,1,1
RIBERALTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,1,3
RURRENABAQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,1,2
SACABA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,4,2,6
SAN ANDRES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,1,2
SAN BENITO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
SAN BORJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,0,2
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,2,4
SAN LORENZO(TJA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
SAN LUCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,3,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,65,52,117
SANTA ROSA DEL SARA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,1,2
SHINAOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,0,2,2
SOPACHUY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,0,1,1
SORACACHI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,0,1,1
SORATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,0,2
SUCRE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,8,2,10
TARIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,3,1,4
TEOPONTE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,0,2
TIPUANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,3,0,3
TOMAVE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,0,1,1
TORO TORO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,1,2
TRINIDAD,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,6,2,8
TUPIZA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,0,2
UNCIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
UYUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,3,5
VILLA TUNARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,4,3,7
VINTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,2,2,4
WARNES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,3,4,7
YACUIBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,5,4,9
YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-05-01,5,2,7
ACHOCALLA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,0,1,1
ARANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,0,1,1
BAURES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
BETANZOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,0,1,1
CAJUATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
CALAMARCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,0,1,1
CAMARGO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
CAPINOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,4,1,5
CARANAVI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,4,6
CHAQUI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
CHARAGUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,1,2
CHAYANTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
CHIMORE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
COBIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,4,5
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,12,6,18
COLCAPIRHUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,1,3
"COLCHA ""K""",tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
COLQUECHACA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,0,1,1
COMARAPA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
CONCEPCION,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
CORIPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,0,1,1
COTOCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,1,3
CUATRO CAÑADAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,16,7,23
EL TORNO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,4,3,7
EL VILLAR,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,3,3,6
GUAYARAMERIN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,0,2
HUANUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,3,3,6
INCAHUASI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,2,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,2,3
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,2,4
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,4,6
LA PAZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,16,11,27
LLALLAGUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,0,2
LURIBAY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,0,1,1
MACHARETI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
MAIRANA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,0,1,1
MAPIRI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,1,2
MIZQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,3,6,9
ORURO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,3,1,4
PALCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,3,2,5
PAMPA GRANDE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,1,2
PORONGO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
PORVENIR,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
POTOSI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,7,1,8
PUERTO SUAREZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,3,5
PUNATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,3,1,4
RIBERALTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,4,3,7
ROBORE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
SACABA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,0,2
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,0,1,1
SAN BORJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,4,6
SAN BUENA VENTURA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,1,2
SAN CARLOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,0,4,4
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,0,2
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,1,2
SAN LORENZO(TJA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
SAN LUCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,78,55,133
SENA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,1,2
SHINAOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,0,2
SIPE SIPE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
SUCRE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,6,1,7
TARABUCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
TARIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,4,2,6
TEOPONTE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,0,2
TIPUANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,4,2,6
TIQUIPAYA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
TRINIDAD,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,6,6,12
TUPIZA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,1,2
UYUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
VIACHA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,1,3
VILLA MONTES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,7,1,8
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
VINTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,1,3
WARNES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,8,2,10
YACUIBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,4,3,7
YANACACHI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,2,0,2
YOTALA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-06-01,1,0,1
AIQUILE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,3,0,3
ALCALA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
AZURDUY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
BATALLAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
BERMEJO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,1,2
CAJUATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,2,1,3
CARANAVI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,3,0,3
CARMEN RIVERO TORREZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,2,3
CLIZA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
COBIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,5,0,5
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,21,7,28
COLCAPIRHUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,1,2
COLPA BELGICA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,1,1
