,group,variable,month,TOTAL Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTAL Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
TRINIDAD,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,0,1,1
VILLA MONTES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,3,0,3
VILLA TUNARI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,4,1,5
VINTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,3,0,3
WARNES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,0,2,2
YACUIBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,0,1
YANACACHI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,0,1,1
BUENA VISTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,0,1
CARANAVI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,1,2
COCHABAMBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,5,7,12
COLQUECHACA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,0,1
COROICO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,1,2
COTOCA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,0,3,3
EL ALTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,3,5,8
ENTRE RIOS CBBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,2,3,5
GUANAY,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,1,2
LA GUARDIA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,3,4
LA PAZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,1,2
MONTERO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,0,1,1
PUNATA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,0,1,1
RIBERALTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,2,1,3
SAN BORJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,2,0,2
SAN CARLOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,2,2,4
SAN JULIAN,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,2,1,3
SAN MATIAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,16,20,36
SENA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,1,2
SIPE SIPE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,0,1
SUCRE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,2,1,3
TARIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,0,2,2
TIQUIPAYA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,1,2
TRINIDAD,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,3,1,4
URIONDO (A. CONCEPCION),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,0,1,1
VILLAZON,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,0,1,1
WARNES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,1,0,1
YACUIBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,2,1,3
YAPACANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-07-01,3,2,5
ALTO BENI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,2,1,3
CABEZAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,2,1,3
CARANAVI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,2,3,5
CHALLAPATA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,2,0,2
CKOCHAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,993,0,993
COBIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,8,1,9
COLCAPIRHUA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,1,0,1
COMARAPA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,2,0,2
CONCEPCION,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,1,0,1
COPACABANA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,1,1,2
EL ALTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,9,3,12
EL PUENTE(TJA),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,2,1,3
GUANAY,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,1,1,2
LA PAZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,0,1,1
MACHARETI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,0,1,1
MAPIRI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,4,0,4
MONTERO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,4,3,7
PALOS BLANCOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,4,3,7
PUERTO VILLARROEL,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,3,4,7
RIBERALTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,3,3,6
SACABA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,1,7,8
SAN AGUSTIN,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,0,1,1
SAN CARLOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,1,3,4
SAN LORENZO(PND),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,0,2,2
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,29,24,53
SHINAOTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,0,1,1
SIPE SIPE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,1,0,1
SUCRE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,0,1,1
TARABUCO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,1,1,2
TARIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,3,0,3
TRINIDAD,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,0,1,1
VILLA RIVERO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,1,2,3
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,0,1,1
VINTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,0,1,1
WARNES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,4,0,4
YACUIBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,2,2,4
YAPACANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-08-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,1,2
BATALLAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,1,1
BERMEJO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,1,1
CAMARGO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,2,0,2
CARANAVI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,2,3
CHIMORE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,1,1
COBIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,6,2,8
CORIPATA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,1,2
COROICO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,1,2
COTOCA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,1,1
EL ALTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,6,11,17
EL TORNO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,3,1,4
GUTIERREZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,2,0,2
LA ASUNTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,2,1,3
LA GUARDIA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,1,1
LA PAZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,2,7,9
MACHACAMARCA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,3,3
MAPIRI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,1,1
MONTERO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,5,9,14
MOROCHATA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,1,1
ORURO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,1,2
PAMPA GRANDE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,0,1
POTOSI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,3,2,5
PUERTO VILLARROEL,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,2,3,5
RIBERALTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,1,2
SACABA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,1,2
SAN JAVIER(STC),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,2,0,2
SAN LORENZO(PND),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,34,23,57
SANTA ROSA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,0,1
SANTA ROSA DEL SARA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,0,1
SENA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,1,1
SUCRE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,3,3
TARIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,2,2
VILLA TUNARI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,2,1,3
VILLAZON,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,1,1
WARNES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,2,4,6
YACUIBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,0,3,3
YAPACANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-09-01,3,2,5
ALTO BENI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,0,1
BERMEJO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,0,2,2
BOLIVAR,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,1,2
BOYUIBE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,1,2
CAJUATA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,0,1
CALACOTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,0,1
CAMARGO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,0,1,1
CAMIRI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,0,4,4
CARANAVI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,3,4
CHIMORE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,2,3,5
COBIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,3,4
COLCAPIRHUA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,1,2
EL ALTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,6,7,13
EL PUENTE(STC),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,1,2
EL TORNO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,3,4,7
ENTRE RIOS CBBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,0,1
GUANAY,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,4,0,4
LA GUARDIA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,1,2
LA PAZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,1,2
MONTERO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,4,2,6
ORURO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,0,1,1
POTOSI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,0,1
PRESTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,3,2,5
REYES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,0,1,1
RIBERALTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,0,1
SACABAMBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,0,2,2
SAN JULIAN,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,5,1,6
SAN LORENZO(TJA),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,0,1
SAN LUCAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,0,2,2
SAN RAMON SCZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,40,30,70
SANTA ROSA DEL SARA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,0,2,2
SANTIAGO DE HUATA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,0,1,1
SENA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,3,0,3
SUCRE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,0,1
TARIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,0,1
TIPUANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,2,2,4
TRINIDAD,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,4,0,4
UYUNI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,0,2,2
VILLA RIVERO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,2,0,2
VINTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,4,0,4
WARNES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,6,2,8
YACUIBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,3,6,9
YAPACANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-10-01,3,0,3
ALTO BENI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,1,1
BOYUIBE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,1,1
BUENA VISTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,1,2
CABEZAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,2,2
CAPINOTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,1,1
CARANAVI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,6,7
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,1,1
COBIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,3,0,3
COCHABAMBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,5,1,6
COLCAPIRHUA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,1,1
COMBAYA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,0,1
COTAGAITA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,0,1
COTOCA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,3,4
CUATRO CAÑADAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,1,1
EL ALTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,4,7,11
EL TORNO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,3,4,7
GUAYARAMERIN,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,1,1
GUTIERREZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,2,1,3
HUARINA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,4,0,4
LA GUARDIA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,1,2
LA PAZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,4,4
MAIRANA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,0,1
MONTERO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,7,4,11
ORURO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,2,1,3
PORONGO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,8,0,8
PUNATA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,7,2,9
RIBERALTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,2,2
SACABA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,2,0,2
SAN BORJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,1,2
SAN BUENA VENTURA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,0,1
SAN CARLOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,2,2,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,22,20,42
SOPACHUY,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,2,0,2
SORATA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,1,1
SUCRE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,0,1
TAPACARI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,0,1
TEOPONTE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,1,1
TIPUANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,0,1
TRINIDAD,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,2,3
URIONDO (A. CONCEPCION),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,1,2
VILLA MONTES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,3,3
VILLA RIVERO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,1,0,1
VINTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,0,1,1
WARNES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,4,0,4
YACUIBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,6,2,8
YAPACANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-11-01,2,2,4
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,1,1
AYATA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,1,1
BERMEJO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,1,1,2
BOYUIBE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,2,1,3
CARANAVI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,1,0,1
CARAPARI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,1,0,1
COBIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,2,3,5
