,group,variable,month,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,2,3
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,5,1,6
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,25,26,51
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,3,3
COLPA BELGICA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,1,1
CORIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,3,0,3
COROICO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,1,2
COTAGAITA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,3,0,3
CUATRO CAÑADAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,1,2
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,31,27,58
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,2,2,4
GENERAL SAAVEDRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,4,0,4
GUTIERREZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,1,2
HUANUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,2,1,3
INQUISIVI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,2,2
IXIAMAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,1,2
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,2,0,2
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,6,3,9
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,35,16,51
LLALLAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,3,0,3
MAGDALENA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
MAIRANA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,1,1
MAPIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,2,0,2
MECAPACA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
MOCOMOCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,8,2,10
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,5,5,10
PALCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,2,2,4
PATACAMAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
POJO (CBBA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,1,1
PORTACHUELO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,1,2
PORVENIR,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,1,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,61,12,73
PRESTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,1,2
PUERTO PEREZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,8,1,9
PUNATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,3,0,3
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,6,1,7
RAVELO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,1,1
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,3,2,5
RURRENABAQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,1,1
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,4,6,10
SAIPINA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,1,1
SAN BENITO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,4,2,6
SAN IGNACIO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,2,1,3
SAN JULIAN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,1,1
SAN LUCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
SAN MATIAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,96,66,162
SANTA ROSA DEL SARA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,1,1
SANTIAGO DE HUARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
SAPAHAQUI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,2,0,2
SHINAOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,3,5,8
SIPE SIPE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,1,2
SORATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,14,5,19
TACACOMA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
TACOBAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
TARABUCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,2,1,3
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,4,2,6
TARVITA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,2,1,3
TIQUIPAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,2,1,3
TOMAVE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,1,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,3,2,5
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,2,0,2
UYUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,1,1
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,2,2
VILLA MONTES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,1,2
VILLA SERRANO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,5,4,9
VINTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,4,5,9
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,3,5,8
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,2,0,2
ZUDAÑEZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
ACHACACHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,1,2
ACHOCALLA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
ALTO BENI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
APOLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,1,2
BERMEJO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
BETANZOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
CALAMARCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
CAMIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,0,2
CAPINOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,3,0,3
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,3,4,7
CHALLAPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
CHARAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,2,2
CHIMORE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,1,2
CLIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,1,1
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,1,3
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,21,7,28
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,2,3
COLOMI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
COMARAPA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
CONCEPCION,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
COROICO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,1,1
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
CUEVO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,18,22,40
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,7,1,8
ESCOMA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,1,2
GUANAY,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,1,2
HUANUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
HUATAJATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,1,2
IXIAMAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,0,2
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,3,0,3
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,3,4,7
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,28,21,49
LICOMA PAMPA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,1,2
LLALLAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
MACHARETI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
MAPIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,0,2
MIZQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,1,3
MOJOCOYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,5,7
MOROCHATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,1,1
OKINAWA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,1,1
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,8,2,10
PAILON,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,1,1
PALCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,2,3
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,3,0,3
POJO (CBBA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
POROMA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,1,1
PORTACHUELO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
PORVENIR,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,46,13,59
PRESTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,0,2
PUERTO SUAREZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,6,1,7
PUNATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,5,5
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,3,1,4
RURRENABAQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,1,2
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,7,2,9
SAN ANDRES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,1,2
SAN BENITO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
SAN BUENA VENTURA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,3,4
SAN LORENZO(TJA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
SAN LUCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,4,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,71,65,136
SANTA ROSA DEL SARA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,1,2
SHINAOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,2,2
SIPE SIPE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,1,1
SOPACHUY,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,1,1
SORACACHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,1,1
SORATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,0,2
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,12,5,17
TACACOMA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
TARABUCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,5,2,7
TEOPONTE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,0,2
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,4,0,4
TOMAVE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,1,2
TORO TORO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,1,2
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,4,2,6
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,0,2
UNCIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,0,1
UYUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,1,1,2
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,0,2
VILLA MONTES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,3,5
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,3,3,6
VINTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,2,3,5
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,4,3,7
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,6,5,11
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,5,2,7
ZUDAÑEZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-05-01,0,1,1
ARANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,0,1,1
BAURES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
BERMEJO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,0,1,1
BETANZOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,2,3
CAJUATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
CALAMARCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,0,1,1
CAMARGO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
CAPINOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,4,1,5
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,5,4,9
CHARAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,1,2
CHAYANTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,5,6
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,25,12,37
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,3,1,4
"COLCHA ""K""",tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
COLQUECHACA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,0,1,1
COMARAPA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
CONCEPCION,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
CORIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,0,2,2
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,2,1,3
CUATRO CAÑADAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
CULPINA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,24,15,39
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,5,4,9
EL VILLAR,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,4,3,7
GUAYARAMERIN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,2,0,2
HUANUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,4,3,7
INCAHUASI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,0,2,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,2,3
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,4,1,5
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,3,4,7
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,24,19,43
LLALLAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,2,0,2
MACHARETI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
MAIRANA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,0,1,1
MAPIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,2,1,3
MIZQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,3,6,9
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,6,4,10
PAILON,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
PALCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,3,2,5
PAMPA GRANDE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,1,2
PORONGO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
PORVENIR,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,7,1,8
PUERTO QUIJARRO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,2,4,6
PUNATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,2,2,4
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,6,3,9
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,4,3,7
RURRENABAQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,6,0,6
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,0,1,1
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,2,3,5
SAN BUENA VENTURA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,0,4,4
SAN JULIAN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,2,1,3
SAN LORENZO(TJA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
SAN LUCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,95,59,154
SENA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,1,2
SHINAOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,2,0,2
SIPE SIPE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,9,3,12
TACOBAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
TARABUCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,5,3,8
TEOPONTE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,3,0,3
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,4,2,6
TIQUIPAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,1,2
TOTORA(CBBA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,0,1,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,8,7,15
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,2,0,2
UYUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
VACAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,0,1,1
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,6,1,7
VINTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,2,1,3
VITICHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,8,3,11
