,group,variable,month,TOTAL N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTAL N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
PUCARANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,10,7,17
PUERTO ACOSTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,1,2
PUERTO CARABUCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,1,3
PUERTO GONZALO MORENO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,3,0,3
PUERTO PEREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,3,0,3
PUERTO QUIJARRO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,9,14,23
PUERTO RICO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,4,5,9
PUERTO SUAREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,6,1,7
PUERTO VILLARROEL,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,35,29,64
PUNA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,13,10,23
PUNATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,5,16,21
QUILLACOLLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,60,52,112
QUIME,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,3,2,5
RAVELO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,4,6
REYES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,0,1
RIBERALTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,46,37,83
ROBORE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,5,5,10
RURRENABAQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,7,16,23
SACABA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,48,52,100
SACABAMBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,0,2
SACACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,5,7,12
SAIPINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,4,0,4
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,2,3
SAMAIPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,0,1
SAN ANDRES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,4,3,7
SAN ANDRES DE MACHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,1,2
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,1,2
SAN BENITO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,0,1,1
SAN BORJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,20,31,51
SAN BUENA VENTURA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,3,3,6
SAN CARLOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,5,6,11
SAN IGNACIO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,10,7,17
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,8,5,13
SAN JAVIER(BNI),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,0,1,1
SAN JAVIER(STC),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,7,1,8
SAN JOAQUIN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,0,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,6,2,8
SAN JUAN DE YAPACANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,3,4
SAN JULIAN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,25,40,65
SAN LORENZO(TJA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,12,14
SAN LUCAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,8,26,34
SAN MATIAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,3,5,8
SAN PABLO DE LIPEZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,7,7,14
SAN PEDRO(PND),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,0,1,1
SAN RAFAEL,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,1,3
SAN RAMON BENI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,6,4,10
SANTA ANA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,593,551,1144
SANTA ROSA DEL SARA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,10,8,18
SANTIAGO DE HUARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,0,2
SANTIAGO DE HUATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,2,3
SANTIAGO DE MACHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,0,2
SANTIVAÑES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,5,6
SAPAHAQUI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,0,3,3
SENA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,5,5,10
SHINAOTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,8,5,13
SICA SICA (VILLA AROMA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,1,2
SIPE SIPE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,11,15,26
SOPACHUY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,4,6
SORACACHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,0,2,2
SORATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,13,7,20
SUCRE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,197,193,390
TACACHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,2,3
TACACOMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,3,4,7
TACOBAMBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,2,4
TACOPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,5,3,8
TAPACARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,5,7
TARABUCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,9,5,14
TARACO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,0,1
TARATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,3,3,6
TARIJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,83,62,145
TARVITA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,4,6,10
TEOPONTE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,10,7,17
TIAWANACU,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,4,2,6
TINGUIPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,3,7,10
TIPUANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,33,9,42
TIQUIPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,10,24,34
TIRAQUE (CBBA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,2,4
TOCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,0,3,3
TOLATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,0,4,4
TOLEDO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,1,2
TOMAVE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,4,6
TOMINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,5,7
TORO TORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,0,2
TOTORA(CBBA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,4,6
TOTORA(ORR),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,1,3
TRINIDAD,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,44,21,65
TUPIZA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,12,9,21
TURCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,1,3
UMALA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,0,1,1
UNCIA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,7,4,11
URIONDO (A. CONCEPCION),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,3,5
URUBICHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,4,6
VALLEGRANDE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,4,3,7
VIACHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,24,18,42
VILLA CHARCAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,4,7,11
VILLA MONTES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,23,12,35
VILLA RIVERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,0,1
VILLA SERRANO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,0,5,5
VILLA TUNARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,51,42,93
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,0,2
VILLAZON,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,15,8,23
VINTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,22,15,37
VITICHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,0,1
WARNES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,40,33,73
YACO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,1,1,2
YACUIBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,45,68,113
YAMPARAEZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,5,4,9
YANACACHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,0,1,1
YAPACANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,54,60,114
YOCALLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,3,4,7
YOTALA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,2,3,5
YUNCHARA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,0,6,6
ZUDAÑEZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-03-01,5,9,14
ACACIO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,0,1,1
ACHACACHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,11,6,17
ACHOCALLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,2,4
AIQUILE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,11,4,15
ALCALA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,2,3
ALTO BENI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,6,5,11
ANCORAIMES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,5,1,6
ANDAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
ANTEQUERA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
ANZALDO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,6,2,8
APOLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,3,6
ARAMPAMPA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,3,5
ARANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,2,5
ARBIETO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,2,3
ARQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,2,5
ASCENCION DE GUARAYOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,16,9,25
ATOCHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,0,1,1
AUCAPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,9,8,17
AZURDUY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,5,6,11
BATALLAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,6,3,9
BELEN DE ANDAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,0,1,1
BELEN DE URMIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,2,5
BERMEJO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,29,15,44
BETANZOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,6,1,7
BOLIVAR,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,0,1,1
BOLPEBRA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
BOYUIBE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,0,3
BUENA VISTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,13,3,16
CABEZAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,8,9,17
CAIROMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,1,2
CAJUATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,2,4
CALACOTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,5,1,6
CALAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,1,3
CAMARGO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,9,5,14
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,0,3
CAMIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,17,17,34
CAPINOTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,7,7,14
CAQUIAVIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,2,4
CARACOLLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,10,13
CARANAVI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,35,28,63
CARANGAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
CARAPARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,5,1,6
CARIPUYO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,1,2
CARMEN RIVERO TORREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,5,1,6
CHALLAPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,10,8,18
CHAQUI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,4,0,4
CHARAGUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,10,9,19
CHARAÑA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,0,1,1
CHAYANTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,5,1,6
CHIMORE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,6,6,12
CHUA COCANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,14,14,28
CHUMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,1,4
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,5,8
CKOCHAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,7,5,12
CLIZA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,4,6,10
COBIJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,29,18,47
COCAPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,5,7,12
COCHABAMBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,153,151,304
COLCAPIRHUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,17,16,33
"COLCHA ""K""",tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,5,7,12
COLOMI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,4,6
COLPA BELGICA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,2,3
COLQUECHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,8,12,20
COLQUENCHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,0,1,1
COLQUIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,0,2,2
COMARAPA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,10,13
COMBAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,1,4
CONCEPCION,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,5,5,10
COPACABANA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,0,2
CORIPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,8,6,14
CORO CORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
COROICO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,19,6,25
CORQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,5,8
COTAGAITA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,11,7,18
COTOCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,29,34,63
CUATRO CAÑADAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,10,14,24
CULPINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,5,3,8
CURVA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,2,5
DESAGUADERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,215,232,447
EL CHORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,1,2
EL PUENTE(STC),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,2,4
EL PUENTE(TJA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,2,4
EL TORNO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,29,39,68
EL VILLAR,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,0,2,2
ENTRE RIOS TRJ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,8,7,15
ENTRE RIOS CBBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,21,14,35
ESCOMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,4,7
EXALTACION,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,1,2
FILADELFIA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,1,3
GENERAL SAAVEDRA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,3,6
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,1,3
GUANAY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,16,6,22
GUAQUI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,34,11,45
GUTIERREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,1,4
HUACARETA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,2,5
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,0,1,1
HUACHACALLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,1,3
HUANUNI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,54,9,63
HUARACAJE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,0,1,1
HUARINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,1,2
HUAYLLAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,1,4
HUMANATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
ICLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,4,5
INCAHUASI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,9,6,15
INGAVI (HUMAITA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,8,5,13
IXIAMAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,2,4
JESUS DE MACHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,23,31,54
LA GUARDIA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,37,44,81
LA PAZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,309,300,609
LAGUNILLAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,1,2
LAJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,2,4
LAS CARRERAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,4,1,5
LLALLAGUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,25,17,42
LORETO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
MACHACAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,0,2
MACHARETI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,5,6,11
MAGDALENA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
MAIRANA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,7,9
MAPIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,14,4,18
MINEROS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,4,5
MIZQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,10,13
MOCOMOCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,4,0,4
MOJOCOYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,5,6,11
MONTEAGUDO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,22,14,36
MONTERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,36,38,74
MORO MORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
MOROCHATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,4,6
OCURI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,1,4
OKINAWA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,4,4,8
OMEREQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,0,4,4
ORURO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,129,99,228
PADCAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,5,7,12
PADILLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,3,4
PAILON,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,11,11,22
PALCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,4,2,6
PALOS BLANCOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,14,11,25
PAMPA AULLAGAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,1,3
PAMPA GRANDE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
PAPEL PAMPA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,0,1,1
PASORAPA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,0,1,1
PATACAMAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,1,3
PAZÑA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,4,7
PELECHUCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,2,3
POCOATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,3,6
POCONA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,1,4
POJO (CBBA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,3,4,7
PORCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,7,4,11
POROMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,5,7
PORONGO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,6,2,8
PORTACHUELO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,4,5,9
PORVENIR,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,0,5,5
POTOSI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,101,43,144
PRESTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,9,11
PUCARANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,4,3,7
PUERTO ACOSTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,3,5
PUERTO CARABUCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,5,3,8
PUERTO GONZALO MORENO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,2,0,2
PUERTO PEREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,16,10,26
PUERTO RICO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,4,0,4
PUERTO SUAREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,33,27,60
PUNA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,6,13,19
PUNATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,13,10,23
QUIABAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-04-01,1,0,1
