,group,variable,month,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
POCOATA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,0,1,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,0,1,1
PUNATA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,0,1,1
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,2,1,3
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,0,1,1
SAN LORENZO(PND),tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,9,7,16
SICAYA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,2,0,2
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
UYUNI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,0,1,1
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,0,2,2
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
ACHOCALLA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
BATALLAS,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,0,1,1
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
CORIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,3,0,3
GUANAY,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,2,0,2
LLALLAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,2,0,2
PAMPA GRANDE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,3,0,3
PUNATA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,10,6,16
SICAYA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,2,0,2
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
UNCIA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,0,1,1
UYUNI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,1,0,1
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,2,0,2
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,2,1,3
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-12-01,2,1,3
