,group,variable,month,TOTAL N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTAL N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,0,2,2
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,3,0,3
LA PAZ,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,2,1,3
MONTERO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,4,3,7
ORURO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,2,1,3
PALOS BLANCOS,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,0,1,1
RIBERALTA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,0,1,1
ROBORE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,1,0,1
SAN BORJA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,1,0,1
SAN PEDRO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,11,10,21
SUCRE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,1,0,1
TRINIDAD,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,1,0,1
TUPIZA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,0,3,3
VILLA TUNARI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,1,1,2
