,group,variable,month,TOTAL N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTAL N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
LA PAZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,21,13,34
LLALLAGUA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,2,0,2
MONTERO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,0,1,1
ORURO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,3,2,5
POTOSI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,11,2,13
PUERTO VILLARROEL,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,2,1,3
RURRENABAQUE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,0,1,1
SAN BORJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,23,13,36
SIPE SIPE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,0,1,1
SUCRE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,1,3,4
TARABUCO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,1,1,2
TARIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,1,1,2
TARVITA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,0,1,1
TOCO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,8,0,8
TUPIZA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,0,2,2
UMALA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,1,0,1
UYUNI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,1,0,1
VINTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,0,1,1
WARNES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,1,0,1
YACUIBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,1,0,1
CARANAVI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,2,0,2
COBIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,2,0,2
COCHABAMBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,16,12,28
"COLCHA ""K""",tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
COTOCA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,1,2
EL ALTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,13,5,18
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
GUAQUI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,1,2
INCAHUASI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,2,1,3
LA PAZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,34,20,54
LLALLAGUA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
MAPIRI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,2,0,2
ORURO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,4,6,10
PALOS BLANCOS,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,0,2,2
POTOSI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,6,1,7
PUCARANI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,2,3
SACABA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,4,1,5
SAN RAMON SCZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,22,8,30
SUCRE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,3,2,5
TARABUCO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
TARIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,0,2,2
TIPUANI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,0,1,1
TRINIDAD,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,3,0,3
TUPIZA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
VILLAZON,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
VINTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,2,1,3
VITICHI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
WARNES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
YACUIBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,2,3
YAMPARAEZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,1,0,1
YAPACANI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-09-01,0,1,1
ACHACACHI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,1,0,1
AYO AYO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,1,1,2
BERMEJO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,0,1,1
CHUA COCANI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,1,0,1
COBIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,2,1,3
COCHABAMBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,12,6,18
COLCAPIRHUA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,0,1,1
CORIPATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,1,0,1
COROICO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,7,12,19
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,0,1,1
LA GUARDIA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,1,0,1
LA PAZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,16,23,39
MONTERO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,4,1,5
ORURO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,3,0,3
POTOSI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,2,1,3
SAN AGUSTIN,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,1,0,1
SAN CARLOS,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,1,0,1
SAN PEDRO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,16,13,29
SUCRE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,2,1,3
TARIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,2,0,2
TIPUANI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,3,1,4
VILLA MONTES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,3,0,3
VINTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,2,0,2
WARNES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,0,4,4
YACUIBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,0,2,2
YAPACANI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-10-01,1,0,1
ANTEQUERA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,1,0,1
CAMIRI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,1,0,1
CARANAVI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,0,1,1
CHALLAPATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,1,0,1
CHARAGUA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,15,12,27
COMARAPA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,0,1,1
EL ALTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,11,8,19
LA GUARDIA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,2,0,2
LA PAZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,20,9,29
MAPIRI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,3,2,5
ORURO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,3,0,3
PALCA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,1,0,1
PORTACHUELO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,0,1,1
POTOSI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,0,2,2
PUNATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,0,1,1
SAN BUENA VENTURA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,21,6,27
SIPE SIPE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,1,0,1
SUCRE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,2,2,4
TARIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,1,1,2
TRINIDAD,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,1,0,1
TUPIZA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,0,1,1
VIACHA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,1,0,1
VINTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,1,1,2
WARNES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,0,2,2
YACUIBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,1,0,1
YANACACHI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,0,1,1
YAPACANI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-11-01,2,0,2
ACHACACHI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,0,1,1
CAMIRI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
CHALLAPATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
COBIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,3,1,4
COCHABAMBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,8,2,10
COLQUENCHA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
COROICO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
COTAGAITA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,12,10,22
EL TORNO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
LA PAZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,20,9,29
MAPIRI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,4,2,6
ORURO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,4,2,6
POTOSI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,3,3,6
PUNATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,0,2,2
SACABA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,2,1,3
SAN LORENZO(TJA),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,15,7,22
SHINAOTA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
SUCRE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,3,0,3
TARIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,3,3,6
TOLATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
TRINIDAD,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,3,0,3
VIACHA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,0,1,1
VILLAZON,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,0,1,1
VINTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
WARNES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,2,0,2
YAPACANI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,1,2
YOTALA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-12-01,1,0,1
