,group,variable,month,TOTAL 1711 NEUMOCÓCICA 2DA. DOSIS CANTIDAD,TOTAL 1711 NEUMOCÓCICA 2DA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
COPACABANA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,18,11,18,11,29
CORIPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,18,5,18,5,23
CORO CORO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,6,2,6,2,8
COROICO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,29,2,29,2,31
CORQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,0,1,0,1
COTAGAITA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,72,42,72,42,114
COTOCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,140,3,140,3,143
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,65,2,65,2,67
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,3,0,3,0,3
CUEVO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,8,14,8,14,22
CULPINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,9,19,9,19,28
CURVA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,0,1,0,1
DESAGUADERO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,9,1,9,1,10
EL ALTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1511,175,1511,175,1686
EL CHORO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,3,0,3,0,3
EL PUENTE(STC),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,20,0,20,0,20
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,22,16,22,16,38
EL TORNO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,241,0,241,0,241
EL VILLAR,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,14,4,14,4,18
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,58,38,58,38,96
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,155,5,155,5,160
ESCARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,0,1,0,1
ESCOMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,3,0,3,0,3
EUCALIPTUS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,2,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,26,0,26,0,26
FILADELFIA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,4,10,4,10,14
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,2,0,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,0,6,0,6,6
GUANAY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,30,13,30,13,43
GUAQUI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,4,6,4,6,10
GUAYARAMERIN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,4,0,4,0,4
GUTIERREZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,11,12,11,12,23
HUACARETA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,19,13,19,13,32
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,4,1,4,1,5
HUACHACALLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,77,0,77,0,77
HUARINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,2,5,2,5,7
HUATAJATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,2,0,2,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,4,1,4,1,5
HUMANATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,5,1,5,6
ICLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,5,17,5,17,22
INCAHUASI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,25,21,25,21,46
INQUISIVI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,17,25,17,25,42
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,8,1,8,1,9
IXIAMAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,7,0,7,0,7
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,8,0,8,0,8
LA ASUNTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,41,8,41,8,49
LA GUARDIA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,197,3,197,3,200
LA PAZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1399,32,1399,32,1431
LAGUNILLAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,13,15,13,15,28
LAJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,35,5,35,5,40
LAS CARRERAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,10,3,10,3,13
LICOMA PAMPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,5,1,5,1,6
LLALLAGUA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,51,33,51,33,84
LLICA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,2,1,2,1,3
LORETO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,0,1,0,1
LURIBAY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,3,7,3,7,10
MACHACAMARCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,11,0,11,0,11
MACHARETI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,6,2,6,2,8
MAGDALENA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,6,0,6,0,6
MALLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,2,1,2,3
MAPIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,12,1,12,1,13
MECAPACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,3,1,3,1,4
MINEROS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,71,0,71,0,71
MIZQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,74,27,74,27,101
MOCOMOCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,0,3,0,3,3
MOJOCOYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,24,8,24,8,32
MONTEAGUDO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,55,4,55,4,59
MONTERO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,246,9,246,9,255
MORO MORO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,5,2,5,2,7
MOROCHATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,26,3,26,3,29
OCURI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,11,19,11,19,30
OKINAWA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,46,15,46,15,61
OMEREQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,11,13,11,13,24
ORURO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,727,3,727,3,730
PADCAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,45,12,45,12,57
PADILLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,40,11,40,11,51
PAILON,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,65,12,65,12,77
PALCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,11,3,11,3,14
PALOS BLANCOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,28,5,28,5,33
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,11,3,11,3,14
PAMPA GRANDE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,35,0,35,0,35
PAPEL PAMPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,6,4,6,4,10
PASORAPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,4,1,4,5
PATACAMAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,48,0,48,0,48
PAZÑA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,13,13,13,13,26
PELECHUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,0,1,0,1,1
POCOATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,9,21,9,21,30
POCONA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,21,26,21,26,47
POJO (CBBA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,33,4,33,4,37
PORCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,17,5,17,5,22
POROMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,10,20,10,20,30
PORONGO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,14,2,14,2,16
PORTACHUELO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,67,2,67,2,69
PORVENIR,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,16,8,16,8,24
POSTRER VALLE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,0,1,0,1
POTOSI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,612,15,612,15,627
PRESTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,20,19,20,19,39
PUCARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,0,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,23,23,23,23,46
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,5,7,5,7,12
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,5,2,5,2,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,4,6,4,6,10
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,68,10,68,10,78
PUERTO RICO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,5,0,5,0,5
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,64,3,64,3,67
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,167,6,167,6,173
PUNA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,19,17,19,17,36
PUNATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,47,1,47,1,48
QUIABAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,1,1,1,2
QUILLACOLLO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,320,109,320,109,429
QUIME,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,12,4,12,4,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,8,2,8,2,10
RAVELO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,37,45,37,45,82
RIBERALTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,24,1,24,1,25
ROBORE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,88,28,88,28,116
SABAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,4,1,4,1,5
SACABA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,548,7,548,7,555
SACABAMBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,2,4,2,4,6
SACACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,19,4,19,4,23
SAIPINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,18,2,18,2,20
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,10,5,10,5,15
SAMAIPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,32,4,32,4,36
SAN AGUSTIN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,3,0,3,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,16,7,16,7,23
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,3,3,3,3,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,4,0,4,0,4
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,3,0,3,0,3
SAN BENITO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,32,9,32,9,41
SAN BORJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,31,0,31,0,31
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,0,1,0,1
SAN CARLOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,55,4,55,4,59
SAN IGNACIO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,7,0,7,0,7
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,254,35,254,35,289
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,0,1,0,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,41,7,41,7,48
SAN JOAQUIN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,26,6,26,6,32
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,28,0,28,0,28
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,25,1,25,1,26
SAN JULIAN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,69,15,69,15,84
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,70,11,70,11,81
SAN LUCAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,22,22,22,22,44
SAN MATIAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,41,3,41,3,44
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,60,8,60,8,68
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,0,1,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,29,0,29,0,29
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,44,31,44,31,75
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,9,3,9,3,12
SAN RAFAEL,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,17,3,17,3,20
SAN RAMON BENI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,18,23,18,23,41
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,19,7,19,7,26
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,4456,50,4456,50,4506
SANTA ROSA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,30,0,30,0,30
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,76,16,76,16,92
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,6,1,6,7
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,3,1,3,4
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,11,7,11,7,18
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,11,0,11,0,11
SANTIVAÑES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,20,3,20,3,23
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,0,1,0,1,1
SENA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,4,1,4,1,5
SHINAOTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,42,1,42,1,43
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,9,1,9,1,10
SICAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,1,1,1,2
SIPE SIPE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,83,1,83,1,84
SOPACHUY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,22,16,22,16,38
SORACACHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,4,0,4,0,4
SORATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,13,16,13,16,29
SUCRE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,655,16,655,16,671
TACACHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,0,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,7,0,7,0,7
TACOBAMBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,3,3,3,3,6
TACOPAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,6,0,6,0,6
TAPACARI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,66,33,66,33,99
TARABUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,27,34,27,34,61
TARACO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,9,0,9,0,9
TARATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,25,2,25,2,27
TARIJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,796,17,796,17,813
TARVITA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,20,23,20,23,43
TEOPONTE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,16,1,16,1,17
TIAWANACU,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,8,2,8,2,10
TINGUIPAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,18,8,18,8,26
TIPUANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,17,6,17,6,23
TIQUIPAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,128,12,128,12,140
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,28,15,28,15,43
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,2,1,2,1,3
TOCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,3,3,3,3,6
TOLATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,4,3,4,3,7
TOLEDO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,0,1,0,1
TOMAVE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,8,12,8,12,20
TOMINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,12,16,12,16,28
TORO TORO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,5,15,5,15,20
TOTORA(CBBA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,37,13,37,13,50
TOTORA(ORR),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,2,1,2,1,3
TRIGAL,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,2,1,2,1,3
TRINIDAD,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,163,6,163,6,169
TUPIZA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,101,7,101,7,108
TURCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,10,4,10,4,14
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,60,28,60,28,88
URUBICHA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,19,34,19,34,53
UYUNI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,72,0,72,0,72
VACAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,19,11,19,11,30
VALLEGRANDE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,48,0,48,0,48
VIACHA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,10,1,10,1,11
VILA VILA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,7,9,7,9,16
VILLA CHARCAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,31,9,31,9,40
VILLA MONTES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,166,36,166,36,202
VILLA RIVERO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,18,1,18,1,19
VILLA SERRANO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,31,25,31,25,56
VILLA TUNARI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,182,9,182,9,191
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,6,7,6,7,13
VILLAZON,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,145,10,145,10,155
VINTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,123,0,123,0,123
VITICHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,26,3,26,3,29
WARNES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,341,36,341,36,377
YACO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,6,6,6,6,12
YACUIBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,146,15,146,15,161
YAMPARAEZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,8,6,8,6,14
YANACACHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,19,0,19,0,19
YAPACANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,159,9,159,9,168
YOCALLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,1,3,1,3,4
YOTALA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,14,10,14,10,24
YUNCHARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,2,23,2,23,25
ZUDAÑEZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-04-01,13,6,13,6,19
ACACIO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,16,7,16,7,23
ACHACACHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,42,15,42,15,57
ACHOCALLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,9,3,9,3,12
AIQUILE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,56,18,56,18,74
ALALAY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,1,14,1,14,15
ALCALA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,2,3,2,3,5
ALTO BENI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,52,4,52,4,56
ANCORAIMES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,9,10,9,10,19
ANDAMARCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,6,9,6,9,15
ANTEQUERA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,8,2,8,2,10
ANZALDO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,13,1,13,1,14
APOLO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,14,2,14,2,16
ARAMPAMPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,2,9,2,9,11
ARANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,36,5,36,5,41
ARBIETO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,24,10,24,10,34
ARQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,16,11,16,11,27
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,84,19,84,19,103
ATOCHA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,5,5,5,5,10
AUCAPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,2,3,2,3,5
AYATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,4,4,4,4,8
AYO AYO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,1,3,1,3,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,49,48,49,48,97
AZURDUY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,11,15,11,15,26
BATALLAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,15,9,15,9,24
BAURES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,15,0,15,0,15
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,2,0,2,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,3,3,3,3,6
BELLA FLOR,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-05-01,6,9,6,9,15
