,group,variable,month,TOTAL 17.2 PENTAVALENTE 1RA. DOSIS CANTIDAD,TOTAL 17.2 PENTAVALENTE 1RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
TACACHI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,1,0,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,12,4,12,4,16
TACOBAMBA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,16,4,16,4,20
TACOPAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,8,10,8,10,18
TAHUA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,2,0,2,0,2
TAPACARI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,23,28,23,28,51
TARABUCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,15,15,15,15,30
TARACO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,3,2,3,2,5
TARATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,10,4,10,4,14
TARIJA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,406,18,406,18,424
TARVITA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,15,15,15,15,30
TEOPONTE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,24,6,24,6,30
TIAWANACU,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,20,4,20,4,24
TINGUIPAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,33,23,33,23,56
TIPUANI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,16,0,16,0,16
TIQUIPAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,97,38,97,38,135
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,31,10,31,10,41
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,1,1,1,1,2
TOCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,3,4,3,4,7
TODOS SANTOS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,1,0,1,0,1
TOLATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,15,2,15,2,17
TOLEDO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,6,2,6,2,8
TOMAVE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,21,10,21,10,31
TOMINA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,5,7,5,7,12
TORO TORO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,7,23,7,23,30
TOTORA(CBBA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,20,9,20,9,29
TOTORA(ORR),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,5,1,5,1,6
TRIGAL,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,0,2,0,2,2
TRINIDAD,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,265,9,265,9,274
TUPIZA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,75,23,75,23,98
TURCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,3,1,3,1,4
UMALA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,4,6,4,6,10
UNCIA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,28,19,28,19,47
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,23,4,23,4,27
URUBICHA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,7,1,7,1,8
UYUNI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,58,0,58,0,58
VACAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,7,12,7,12,19
VALLEGRANDE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,31,3,31,3,34
VIACHA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,121,10,121,10,131
VILA VILA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,7,9,7,9,16
VILLA CHARCAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,18,6,18,6,24
VILLA MONTES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,97,23,97,23,120
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,0,1,0,1,1
VILLA RIVERO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,8,4,8,4,12
VILLA SERRANO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,14,6,14,6,20
VILLA TUNARI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,166,11,166,11,177
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,12,12,12,12,24
VILLAZON,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,77,5,77,5,82
VINTO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,71,1,71,1,72
VITICHI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,10,6,10,6,16
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,0,1,0,1,1
WARNES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,236,2,236,2,238
YACO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,6,7,6,7,13
YACUIBA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,172,17,172,17,189
YAMPARAEZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,7,4,7,4,11
YANACACHI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,8,0,8,0,8
YAPACANI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,129,10,129,10,139
YOCALLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,8,7,8,7,15
YOTALA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,9,7,9,7,16
YUNCHARA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,1,10,1,10,11
ZUDAÑEZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-03-01,3,6,3,6,9
ACACIO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,5,8,5,8,13
ACHACACHI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,41,17,41,17,58
ACHOCALLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,19,15,19,15,34
AIQUILE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,23,13,23,13,36
ALALAY,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,0,4,0,4,4
ALCALA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,3,0,3,0,3
ALTO BENI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,18,1,18,1,19
ANCORAIMES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,13,17,13,17,30
ANDAMARCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1,1,1,1,2
ANTEQUERA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,5,0,5,0,5
ANZALDO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,3,9,3,9,12
APOLO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,29,2,29,2,31
ARAMPAMPA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1,5,1,5,6
ARANI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,21,0,21,0,21
ARBIETO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,21,12,21,12,33
ARQUE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,22,7,22,7,29
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,60,8,60,8,68
ATOCHA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,15,3,15,3,18
AUCAPATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,5,8,5,8,13
AYATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,6,9,6,9,15
AYO AYO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,10,3,10,3,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,28,19,28,19,47
AZURDUY,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,18,13,18,13,31
BATALLAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,18,6,18,6,24
BAURES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,3,2,3,2,5
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,0,2,0,2,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1,1,1,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1,1,1,1,2
BERMEJO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,66,17,66,17,83
BETANZOS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,45,25,45,25,70
BOLIVAR,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1,3,1,3,4
BOLPEBRA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,0,2,0,2,2
BOYUIBE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,6,1,6,1,7
BUENA VISTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,26,5,26,5,31
CABEZAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,37,31,37,31,68
CAIROMA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,7,5,7,5,12
"CAIZA ""D""",vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,13,2,13,2,15
CAJUATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,19,4,19,4,23
CALACOTO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,3,4,3,4,7
CALAMARCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,6,5,6,5,11
CAMARGO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,19,7,19,7,26
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,6,2,6,2,8
CAMIRI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,69,6,69,6,75
CAPINOTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,26,2,26,2,28
CAQUIAVIRI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,8,5,8,5,13
CARACOLLO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,27,12,27,12,39
CARANAVI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,77,7,77,7,84
CARAPARI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,19,4,19,4,23
CARIPUYO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,6,0,6,0,6
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,7,6,7,6,13
CATACORA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1,1,1,1,2
CHACARILLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,56,12,56,12,68
CHAQUI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,9,4,9,4,13
CHARAGUA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,27,21,27,21,48
CHARAÑA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,6,1,6,1,7
CHAYANTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,10,14,10,14,24
CHIMORE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,52,18,52,18,70
CHIPAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,23,5,23,5,28
CHUMA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,4,6,4,6,10
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,15,2,15,2,17
CKOCHAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,25,7,25,7,32
CLIZA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,36,7,36,7,43
COBIJA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,122,16,122,16,138
COCAPATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,7,15,7,15,22
COCHABAMBA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1348,21,1348,21,1369
COIPASA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,93,0,93,0,93
"COLCHA ""K""",vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,27,2,27,2,29
COLLANA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,4,1,4,1,5
COLOMI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,30,7,30,7,37
COLPA BELGICA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,8,2,8,2,10
COLQUECHACA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,30,32,30,32,62
COLQUENCHA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,21,0,21,0,21
COLQUIRI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,21,12,21,12,33
COMANCHE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,7,0,7,0,7
COMARAPA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,22,5,22,5,27
COMBAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,0,6,0,6,6
CONCEPCION,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,29,7,29,7,36
COPACABANA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,12,7,12,7,19
CORIPATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,33,2,33,2,35
CORO CORO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,8,5,8,5,13
COROICO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,18,4,18,4,22
CORQUE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,7,2,7,2,9
COTAGAITA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,20,16,20,16,36
COTOCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,148,6,148,6,154
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,49,3,49,3,52
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,2,0,2,0,2
CUEVO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,7,4,7,4,11
CULPINA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,9,10,9,10,19
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,13,1,13,1,14
CURVA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1,3,1,3,4
DESAGUADERO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,6,3,6,3,9
EL ALTO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1474,194,1474,194,1668
EL CHORO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,5,2,5,2,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,17,5,17,5,22
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,15,6,15,6,21
EL TORNO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,122,0,122,0,122
EL VILLAR,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,2,1,2,1,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,17,9,17,9,26
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,66,15,66,15,81
ESCOMA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,7,2,7,2,9
ESMERALDA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1,0,1,0,1
EUCALIPTUS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,5,0,5,0,5
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,0,1,0,1,1
EXALTACION,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,2,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,17,5,17,5,22
FILADELFIA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,7,8,7,8,15
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,30,2,30,2,32
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,5,8,5,8,13
GUANAY,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,17,6,17,6,23
GUAQUI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,3,5,3,5,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,119,5,119,5,124
GUTIERREZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,14,13,14,13,27
HUACARETA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,6,5,6,5,11
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,3,7,3,7,10
HUACHACALLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,36,3,36,3,39
HUARACAJE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,8,1,8,1,9
HUARINA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,5,1,5,1,6
HUATAJATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,4,1,4,1,5
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,2,1,2,1,3
HUMANATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,4,5,4,5,9
ICHOCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1,2,1,2,3
ICLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,8,5,8,5,13
INCAHUASI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,13,11,13,11,24
INQUISIVI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,11,7,11,7,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,14,3,14,3,17
IXIAMAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,25,5,25,5,30
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,8,1,8,1,9
LA ASUNTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,82,10,82,10,92
LA GUARDIA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,199,0,199,0,199
LA PAZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1254,26,1254,26,1280
LAGUNILLAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,13,3,13,3,16
LAJA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,35,1,35,1,36
LAS CARRERAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,2,1,2,1,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,5,0,5,0,5
LLALLAGUA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,70,40,70,40,110
LLICA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1,0,1,0,1
LORETO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,4,7,4,7,11
LURIBAY,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,7,7,7,7,14
MACHARETI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,5,4,5,4,9
MAGDALENA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,13,6,13,6,19
MAIRANA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,24,0,24,0,24
MALLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,0,3,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,30,1,30,1,31
MECAPACA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,12,4,12,4,16
MINEROS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,52,1,52,1,53
MIZQUE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,39,19,39,19,58
MOCOMOCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,6,11,6,11,17
MOJINETE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,0,1,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,7,1,7,1,8
MONTEAGUDO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,38,4,38,4,42
MONTERO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,312,11,312,11,323
MORO MORO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,0,3,0,3,3
MOROCHATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,9,12,9,12,21
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,2,5,2,5,7
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,1,1,1,1,2
OCURI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,13,13,13,13,26
OKINAWA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,27,2,27,2,29
OMEREQUE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,5,5,5,5,10
ORURO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,540,0,540,0,540
PADCAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,20,4,20,4,24
PADILLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,10,0,10,0,10
PAILON,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,37,50,37,50,87
PALCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,24,9,24,9,33
PALOS BLANCOS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,36,4,36,4,40
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,7,2,7,2,9
PAMPA GRANDE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,18,0,18,0,18
PAPEL PAMPA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,5,5,5,5,10
PASORAPA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,2,2,2,2,4
PATACAMAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,44,5,44,5,49
PAZÑA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,6,3,6,3,9
PELECHUCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,7,5,7,5,12
POCOATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,16,22,16,22,38
POCONA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,21,6,21,6,27
POJO (CBBA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,22,1,22,1,23
POOPO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,10,1,10,1,11
PORCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,25,2,25,2,27
POROMA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,15,17,15,17,32
PORONGO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,14,4,14,4,18
PORTACHUELO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,43,2,43,2,45
PORVENIR,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-04-01,9,7,9,7,16
