,group,variable,month,TOTAL 17.4 PENTAVALENTE 3RA. DOSIS CANTIDAD,TOTAL 17.4 PENTAVALENTE 3RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
CAMIRI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,52,4,52,4,56
CAPINOTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,36,5,36,5,41
CAQUIAVIRI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,8,3,8,3,11
CARACOLLO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,17,5,17,5,22
CARANAVI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,65,14,65,14,79
CARANGAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,0,1,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,22,10,22,10,32
CARIPUYO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,4,11,4,11,15
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,9,5,9,5,14
CHACARILLA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,44,18,44,18,62
CHAQUI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,12,6,12,6,18
CHARAGUA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,18,54,18,54,72
CHARAÑA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1,0,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,12,18,12,18,30
CHIMORE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,43,5,43,5,48
CHIPAYA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,0,2,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,3,0,3,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,22,11,22,11,33
CHUMA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,8,4,8,4,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,13,1,13,1,14
CKOCHAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,15,7,15,7,22
CLIZA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,33,2,33,2,35
COBIJA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,113,8,113,8,121
COCAPATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,14,13,14,13,27
COCHABAMBA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1264,40,1264,40,1304
COIPASA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,102,0,102,0,102
"COLCHA ""K""",vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,18,4,18,4,22
COLLANA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,3,1,3,1,4
COLOMI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,33,13,33,13,46
COLPA BELGICA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,10,2,10,2,12
COLQUECHACA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,32,40,32,40,72
COLQUENCHA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,14,2,14,2,16
COLQUIRI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,10,23,10,23,33
COMANCHE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,0,2,0,2
COMARAPA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,29,4,29,4,33
COMBAYA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,7,2,7,9
CONCEPCION,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,39,10,39,10,49
COPACABANA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,14,16,14,16,30
CORIPATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,25,0,25,0,25
CORO CORO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,7,5,7,5,12
COROICO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,17,3,17,3,20
CORQUE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,6,2,6,2,8
COTAGAITA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,18,14,18,14,32
COTOCA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,116,11,116,11,127
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,0,1,0,1,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,20,8,20,8,28
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,2,2,2,4
CULPINA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,24,22,24,22,46
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,4,0,4,0,4
CURVA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,4,2,4,2,6
DESAGUADERO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,11,2,11,2,13
EL ALTO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1553,170,1553,170,1723
EL CHORO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,6,2,6,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,29,0,29,0,29
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,11,4,11,4,15
EL TORNO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,57,2,57,2,59
EL VILLAR,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,8,2,8,2,10
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,17,17,17,17,34
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,59,15,59,15,74
ESCOMA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,10,4,10,4,14
EUCALIPTUS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,5,1,5,1,6
EXALTACION,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,6,0,6,0,6
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,18,2,18,2,20
FILADELFIA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,6,9,6,9,15
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,21,2,21,2,23
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,14,14,14,14,28
GUANAY,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,20,10,20,10,30
GUAQUI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,3,4,3,4,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,100,12,100,12,112
GUTIERREZ,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,17,24,17,24,41
HUACARETA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,15,3,15,3,18
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,1,2,1,3
HUACHACALLA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,0,2,0,2
HUANUNI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,39,0,39,0,39
HUARACAJE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,5,0,5,0,5
HUARINA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1,1,1,1,2
HUATAJATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1,0,1,0,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,6,1,6,1,7
HUMANATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,6,2,6,8
ICHOCA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,4,3,4,3,7
ICLA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,3,6,3,6,9
INCAHUASI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,18,10,18,10,28
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1,1,1,1,2
INQUISIVI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,3,14,3,14,17
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,11,10,11,10,21
IXIAMAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,15,0,15,0,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,18,2,18,2,20
LA ASUNTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,85,12,85,12,97
LA GUARDIA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,148,7,148,7,155
LA PAZ,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1218,39,1218,39,1257
LAGUNILLAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,7,6,7,6,13
LAJA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,23,10,23,10,33
LAS CARRERAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,7,1,7,1,8
LICOMA PAMPA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1,2,1,2,3
LLALLAGUA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,38,42,38,42,80
LLICA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,5,1,5,1,6
LORETO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,13,2,13,15
LURIBAY,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,7,6,7,6,13
MACHACAMARCA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,4,3,4,3,7
MACHARETI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,11,3,11,3,14
MAGDALENA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,19,7,19,7,26
MAIRANA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,13,1,13,1,14
MALLA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,0,3,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,31,1,31,1,32
MECAPACA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,10,9,10,9,19
MINEROS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,36,10,36,10,46
MIZQUE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,41,10,41,10,51
MOCOMOCO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,20,15,20,15,35
MOJINETE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,0,1,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,3,5,3,5,8
MONTEAGUDO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,34,6,34,6,40
MONTERO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,251,3,251,3,254
MORO MORO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,1,2,1,3
MOROCHATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,14,4,14,4,18
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1,6,1,6,7
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,1,2,1,3
OCURI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,13,25,13,25,38
OKINAWA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,17,5,17,5,22
OMEREQUE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,4,5,4,5,9
ORURO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,561,0,561,0,561
PADCAYA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,35,6,35,6,41
PADILLA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,13,7,13,7,20
PAILON,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,52,18,52,18,70
PALCA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,20,13,20,13,33
PALOS BLANCOS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,37,2,37,2,39
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,4,1,4,1,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,12,0,12,0,12
PAPEL PAMPA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,4,5,4,5,9
PASORAPA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,2,2,2,4
PATACAMAYA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,37,7,37,7,44
PAZÑA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,13,3,13,3,16
PELECHUCO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,11,5,11,5,16
POCOATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,8,18,8,18,26
POCONA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,13,9,13,9,22
POJO (CBBA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,21,4,21,4,25
POOPO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,5,1,5,1,6
PORCO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,21,1,21,1,22
POROMA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,6,21,6,21,27
PORONGO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,12,8,12,8,20
PORTACHUELO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,30,0,30,0,30
PORVENIR,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,12,0,12,0,12
POSTRER VALLE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1,0,1,0,1
POTOSI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,369,15,369,15,384
PRESTO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,4,8,4,8,12
PUCARA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,0,1,0,1,1
PUCARANI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,33,19,33,19,52
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,5,15,5,15,20
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,10,12,10,12,22
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,8,3,8,3,11
PUERTO PEREZ,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,4,4,4,4,8
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,24,9,24,9,33
PUERTO RICO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,12,5,12,5,17
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,27,5,27,5,32
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,83,15,83,15,98
PUNA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,15,18,15,18,33
PUNATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,44,1,44,1,45
QUIABAYA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1,2,1,2,3
QUILLACOLLO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,197,72,197,72,269
QUIME,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,6,2,6,2,8
QUIRUSILLAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,16,20,16,20,36
REYES,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,21,4,21,4,25
RIBERALTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,231,43,231,43,274
ROBORE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,13,0,13,0,13
RURRENABAQUE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,43,3,43,3,46
SABAYA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,4,1,4,1,5
SACABA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,241,7,241,7,248
SACABAMBA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,7,4,7,4,11
SACACA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,7,16,7,16,23
SAIPINA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,8,1,8,1,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,16,8,16,8,24
SAMAIPATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,9,5,9,5,14
SAN AGUSTIN,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,0,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,26,2,26,2,28
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,4,3,4,3,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,3,0,3,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,3,4,3,4,7
SAN BENITO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,15,6,15,6,21
SAN BORJA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,70,38,70,38,108
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,16,1,16,1,17
SAN CARLOS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,30,4,30,4,34
SAN IGNACIO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,27,5,27,5,32
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,38,21,38,21,59
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,0,2,0,2
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,18,0,18,0,18
SAN JOAQUIN,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,9,0,9,0,9
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,30,1,30,1,31
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,19,1,19,1,20
SAN JULIAN,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,85,30,85,30,115
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,6,7,6,7,13
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,31,3,31,3,34
SAN LUCAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,44,23,44,23,67
SAN MATIAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,21,3,21,3,24
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,11,0,11,0,11
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,11,1,11,1,12
SAN PEDRO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,20,0,20,0,20
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,27,44,27,44,71
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,8,1,8,1,9
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,5,2,5,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,0,7,0,7,7
SAN RAFAEL,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,3,0,3,0,3
SAN RAMON BENI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,3,3,3,3,6
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,18,0,18,0,18
SANTA ANA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,30,2,30,2,32
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2480,59,2480,59,2539
SANTA ROSA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,15,0,15,0,15
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,18,7,18,7,25
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,0,4,0,4,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,10,2,10,12
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,3,2,3,2,5
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,5,0,5,0,5
SANTIVAÑES,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,9,2,9,2,11
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,3,7,3,7,10
SAPAHAQUI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,6,13,6,13,19
SENA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,8,0,8,0,8
SHINAOTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,29,2,29,2,31
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,7,8,7,8,15
SICAYA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,5,0,5,0,5
SIPE SIPE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,91,4,91,4,95
SOPACHUY,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,7,7,7,7,14
SORACACHI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,15,2,15,2,17
SORATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,15,27,15,27,42
SUCRE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,604,21,604,21,625
TACACHI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,1,0,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,11,1,11,1,12
TACOBAMBA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,10,2,10,2,12
TACOPAYA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,5,2,5,2,7
TAHUA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,2,0,2,0,2
TAPACARI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,33,10,33,10,43
TARABUCO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,16,6,16,6,22
TARACO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,3,0,3,0,3
TARATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,11,4,11,4,15
TARIJA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,413,26,413,26,439
TARVITA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,17,16,17,16,33
TEOPONTE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,20,4,20,4,24
TIAWANACU,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-03-01,12,1,12,1,13
