,group,variable,month,TOTAL 17.6 (O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTAL 17.6 (O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
EL VILLAR,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,1,3,1,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,24,10,24,10,34
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,54,12,54,12,66
ESCOMA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,11,1,11,1,12
EUCALIPTUS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,2,0,2,0,2
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,0,2,0,2,2
EXALTACION,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,4,0,4,0,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,19,3,19,3,22
FILADELFIA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,4,2,4,2,6
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,34,1,34,1,35
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,9,9,9,9,18
GUANAY,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,22,11,22,11,33
GUAQUI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,4,4,4,4,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,118,10,118,10,128
GUTIERREZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,8,12,8,12,20
HUACARETA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,17,9,17,9,26
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,5,2,5,2,7
HUANUNI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,39,3,39,3,42
HUARACAJE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,8,0,8,0,8
HUARINA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,5,3,5,8
HUATAJATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,4,0,4,0,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,8,2,8,2,10
HUMANATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,4,8,4,8,12
ICHOCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,0,7,0,7,7
ICLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1,3,1,3,4
INCAHUASI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,9,18,9,18,27
INQUISIVI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,8,18,8,18,26
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,13,7,13,7,20
IXIAMAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,15,0,15,0,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,18,3,18,3,21
LA ASUNTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,86,15,86,15,101
LA GUARDIA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,172,0,172,0,172
LA PAZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1166,43,1166,43,1209
LA RIVERA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,0,1,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,5,3,5,3,8
LAJA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,28,1,28,1,29
LAS CARRERAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1,1,1,1,2
LICOMA PAMPA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,0,3,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,44,43,44,43,87
LLICA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,9,2,9,2,11
LORETO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,4,3,4,7
LURIBAY,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,10,3,10,13
MACHACAMARCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,8,0,8,0,8
MACHARETI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,12,2,12,2,14
MAGDALENA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,14,0,14,0,14
MAIRANA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,21,1,21,1,22
MALLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1,1,1,1,2
MAPIRI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,21,0,21,0,21
MECAPACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,7,16,7,16,23
MINEROS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,53,5,53,5,58
MIZQUE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,42,15,42,15,57
MOCOMOCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,10,9,10,9,19
MOJOCOYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,4,1,4,1,5
MONTEAGUDO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,32,3,32,3,35
MONTERO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,249,7,249,7,256
MORO MORO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,1,3,1,4
MOROCHATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,8,3,8,3,11
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,5,3,5,8
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1,1,1,1,2
OCURI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,18,19,18,19,37
OKINAWA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,27,9,27,9,36
OMEREQUE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1,4,1,4,5
ORURO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,462,3,462,3,465
PADCAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,20,2,20,2,22
PADILLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,12,2,12,2,14
PAILON,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,36,24,36,24,60
PALCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,20,12,20,12,32
PALOS BLANCOS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,33,5,33,5,38
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,6,2,6,2,8
PAMPA GRANDE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,15,1,15,1,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,3,3,3,6
PASORAPA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,2,3,2,3,5
PATACAMAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,43,12,43,12,55
PAZÑA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,5,0,5,0,5
PELECHUCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,4,3,4,3,7
POCOATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,9,25,9,25,34
POCONA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,13,9,13,9,22
POJO (CBBA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,20,0,20,0,20
POOPO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,4,1,4,1,5
PORCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,21,4,21,4,25
POROMA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,8,21,8,21,29
PORONGO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,17,2,17,2,19
PORTACHUELO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,36,3,36,3,39
PORVENIR,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,15,4,15,4,19
POSTRER VALLE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,0,2,0,2,2
POTOSI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,417,10,417,10,427
PRESTO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,6,3,6,9
PUCARA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,15,24,15,24,39
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,13,3,13,16
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,10,6,10,6,16
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,7,5,7,5,12
PUERTO PEREZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,4,5,4,5,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,22,11,22,11,33
PUERTO RICO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,9,3,9,3,12
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,34,7,34,7,41
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,97,10,97,10,107
PUNA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,18,17,18,17,35
PUNATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,43,1,43,1,44
QUIABAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,2,3,2,5
QUILLACOLLO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,209,57,209,57,266
QUIME,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,15,4,15,4,19
QUIRUSILLAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,14,12,14,12,26
REYES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,17,7,17,7,24
RIBERALTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,250,22,250,22,272
ROBORE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,27,14,27,14,41
RURRENABAQUE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,37,3,37,3,40
SABAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
SACABA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,214,7,214,7,221
SACABAMBA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,4,1,4,1,5
SACACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,29,9,29,9,38
SAIPINA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,10,5,10,5,15
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,4,4,4,4,8
SAMAIPATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,18,1,18,1,19
SAN AGUSTIN,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,0,3,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,20,5,20,5,25
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1,4,1,4,5
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,8,0,8,0,8
SAN BENITO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,9,3,9,3,12
SAN BORJA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,73,12,73,12,85
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,15,2,15,2,17
SAN CARLOS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,41,7,41,7,48
SAN IGNACIO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,24,4,24,4,28
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,77,17,77,17,94
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,2,4,2,4,6
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,18,10,18,10,28
SAN JOAQUIN,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,10,0,10,0,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,33,0,33,0,33
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,18,1,18,1,19
SAN JULIAN,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,75,11,75,11,86
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,11,7,11,7,18
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,35,6,35,6,41
SAN LUCAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,25,16,25,16,41
SAN MATIAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,21,2,21,2,23
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,26,3,26,3,29
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,10,0,10,0,10
SAN PEDRO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,19,0,19,0,19
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,25,32,25,32,57
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,8,3,8,3,11
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,8,3,8,3,11
SAN RAFAEL,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,6,0,6,0,6
SAN RAMON BENI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,7,6,7,6,13
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,17,0,17,0,17
SANTA ANA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,29,4,29,4,33
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,2495,131,2495,131,2626
SANTA ROSA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,16,3,16,3,19
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,21,1,21,1,22
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1,2,1,2,3
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,7,11,7,11,18
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,5,3,5,8
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1,2,1,2,3
SANTIVAÑES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,13,2,13,2,15
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,2,3,2,5
SAPAHAQUI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,8,8,8,8,16
SENA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,5,0,5,0,5
SHINAOTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,49,4,49,4,53
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,28,13,28,13,41
SICAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,0,6,0,6,6
SIPE SIPE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,78,2,78,2,80
SOPACHUY,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,10,3,10,3,13
SORACACHI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,8,6,8,6,14
SORATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,11,21,11,21,32
SUCRE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,499,14,499,14,513
TACACHI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,2,2,2,2,4
TACACOMA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,10,3,10,3,13
TACOBAMBA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,2,3,2,3,5
TACOPAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,12,3,12,3,15
TAHUA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,0,2,0,2,2
TAPACARI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,25,16,25,16,41
TARABUCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,14,10,14,10,24
TARACO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,6,3,6,3,9
TARATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,10,4,10,4,14
TARIJA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,325,8,325,8,333
TARVITA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,9,11,9,11,20
TEOPONTE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,18,6,18,6,24
TIAWANACU,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,8,5,8,5,13
TINGUIPAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,36,20,36,20,56
TIPUANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,15,3,15,3,18
TIQUIPAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,88,11,88,11,99
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,22,10,22,10,32
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
TOCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,6,3,6,3,9
TOLATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,10,0,10,0,10
TOLEDO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,5,0,5,0,5
TOMAVE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,5,14,5,14,19
TOMINA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,7,8,7,8,15
TORO TORO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,16,3,16,19
TOTORA(CBBA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,17,12,17,12,29
TOTORA(ORR),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,7,0,7,0,7
TRIGAL,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,2,1,2,1,3
TRINIDAD,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,193,4,193,4,197
TUPIZA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,101,9,101,9,110
TURCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,8,2,8,2,10
UMALA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,3,2,3,2,5
UNCIA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,21,11,21,11,32
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,19,2,19,2,21
URUBICHA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,13,8,13,8,21
UYUNI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,57,1,57,1,58
VACAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,10,5,10,5,15
VALLEGRANDE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,18,0,18,0,18
VIACHA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,106,8,106,8,114
VILA VILA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1,2,1,2,3
VILLA CHARCAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,16,10,16,10,26
VILLA MONTES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,66,24,66,24,90
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
VILLA RIVERO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 2da dosis,2014-04-01,5,2,5,2,7
