,group,variable,month,TOTAL 1710 NEUMOCÓCICA 1RA. DOSIS CANTIDAD,TOTAL 1710 NEUMOCÓCICA 1RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
TAPACARI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,47,37,47,37,84
TARABUCO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,33,21,33,21,54
TARACO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,5,0,5,0,5
TARATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,12,4,12,4,16
TARIJA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,422,40,422,40,462
TARVITA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,4,1,4,1,5
TEOPONTE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,1,0,1,0,1
TIAWANACU,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,12,1,12,1,13
TINGUIPAYA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,52,28,52,28,80
TIPUANI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,10,2,10,2,12
TIQUIPAYA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,205,26,205,26,231
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,77,24,77,24,101
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,1,2,1,2,3
TOCO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,15,7,15,7,22
TODOS SANTOS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,1,1,1,1,2
TOLATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,4,1,4,1,5
TOLEDO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,4,3,4,3,7
TOMAVE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,27,9,27,9,36
TOMINA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,4,0,4,0,4
TORO TORO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,7,22,7,22,29
TOTORA(CBBA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,69,15,69,15,84
TOTORA(ORR),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,1,0,1,0,1
TRIGAL,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,0,2,0,2,2
TRINIDAD,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,396,30,396,30,426
TUPIZA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,53,2,53,2,55
TURCO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,12,2,12,2,14
UMALA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,4,0,4,0,4
UNCIA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,23,9,23,9,32
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,30,14,30,14,44
URUBICHA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,25,11,25,11,36
UYUNI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,19,0,19,0,19
VACAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,23,22,23,22,45
VALLEGRANDE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,77,0,77,0,77
VIACHA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,17,0,17,0,17
VILA VILA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,13,18,13,18,31
VILLA CHARCAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,5,4,5,4,9
VILLA MONTES,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,81,28,81,28,109
VILLA RIVERO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,31,4,31,4,35
VILLA SERRANO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,23,7,23,7,30
VILLA TUNARI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,180,9,180,9,189
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,9,19,9,19,28
VILLAZON,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,67,2,67,2,69
VINTO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,142,1,142,1,143
VITICHI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,11,7,11,7,18
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,2,1,2,1,3
WARNES,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,291,6,291,6,297
YACO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,10,3,10,3,13
YACUIBA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,223,1,223,1,224
YAMPARAEZ,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,9,0,9,0,9
YANACACHI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,9,0,9,0,9
YAPACANI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,10,1,10,1,11
YOCALLA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,38,11,38,11,49
YOTALA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,2,7,2,7,9
YUNCHARA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,2,21,2,21,23
ZUDAÑEZ,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-03-01,3,2,3,2,5
ACACIO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,7,12,7,12,19
ACHACACHI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,44,16,44,16,60
ACHOCALLA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,35,21,35,21,56
AIQUILE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,47,23,47,23,70
ALALAY,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,0,3,0,3,3
ALCALA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,3,0,3,0,3
ANCORAIMES,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,14,10,14,10,24
ANDAMARCA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,3,4,3,4,7
ANTEQUERA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,7,0,7,0,7
ANZALDO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,9,2,9,2,11
APOLO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,14,0,14,0,14
ARAMPAMPA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,5,12,5,12,17
ARANI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,29,0,29,0,29
ARBIETO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,11,8,11,8,19
ARQUE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,24,12,24,12,36
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,108,10,108,10,118
ATOCHA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,12,3,12,3,15
AUCAPATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,2,4,2,4,6
AYATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,3,1,3,1,4
AYO AYO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,4,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,43,38,43,38,81
AZURDUY,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,27,16,27,16,43
BATALLAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,30,11,30,11,41
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,1,3,1,3,4
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,1,1,1,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,4,1,4,1,5
BERMEJO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,104,44,104,44,148
BETANZOS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,55,37,55,37,92
BOLIVAR,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,2,8,2,8,10
BOLPEBRA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,0,3,0,3,3
BOYUIBE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,8,1,8,1,9
BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,47,7,47,7,54
CABEZAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,53,10,53,10,63
CAIROMA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,7,7,7,7,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,16,2,16,2,18
CAJUATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,4,1,4,1,5
CALACOTO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,3,6,3,6,9
CALAMARCA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,14,9,14,9,23
CAMARGO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,30,7,30,7,37
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,9,1,9,1,10
CAMIRI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,89,3,89,3,92
CAPINOTA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,29,4,29,4,33
CAQUIAVIRI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,6,2,6,2,8
CARACOLLO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,51,24,51,24,75
CARANAVI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,83,6,83,6,89
CARANGAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,0,1,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,44,26,44,26,70
CARIPUYO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,15,6,15,6,21
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,7,4,7,4,11
CATACORA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,1,1,1,1,2
CHALLAPATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,117,18,117,18,135
CHAQUI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,13,9,13,9,22
CHARAGUA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,35,33,35,33,68
CHAYANTA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,14,18,14,18,32
CHIMORE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,70,19,70,19,89
CHIPAYA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,3,0,3,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,21,6,21,6,27
CHUMA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,4,7,4,7,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,26,2,26,2,28
CKOCHAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,33,12,33,12,45
CLIZA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,64,9,64,9,73
COBIJA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,201,22,201,22,223
COCAPATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,15,25,15,25,40
COCHABAMBA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,2470,17,2470,17,2487
COIPASA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,156,0,156,0,156
"COLCHA ""K""",vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,32,4,32,4,36
COLLANA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,1,0,1,0,1
COLOMI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,36,9,36,9,45
COLPA BELGICA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,20,1,20,1,21
COLQUECHACA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,10,15,10,15,25
COLQUENCHA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,35,0,35,0,35
COLQUIRI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,15,14,15,14,29
COMARAPA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,40,8,40,8,48
COMBAYA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,4,13,4,13,17
CONCEPCION,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,34,5,34,5,39
COPACABANA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,12,6,12,6,18
CORIPATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,28,6,28,6,34
CORO CORO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,4,4,4,4,8
COROICO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,26,3,26,3,29
CORQUE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,6,10,6,10,16
COTAGAITA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,27,21,27,21,48
COTOCA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,196,10,196,10,206
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,63,2,63,2,65
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,3,0,3,0,3
CUEVO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,12,5,12,5,17
CULPINA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,18,8,18,8,26
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,15,1,15,1,16
CURVA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,1,1,1,1,2
DESAGUADERO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,10,1,10,1,11
EL ALTO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,1770,205,1770,205,1975
EL CHORO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,9,4,9,4,13
EL PUENTE(STC),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,27,3,27,3,30
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,22,10,22,10,32
EL TORNO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,155,9,155,9,164
EL VILLAR,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,8,2,8,2,10
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,33,9,33,9,42
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,82,16,82,16,98
ESCARA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,1,0,1,0,1
ESCOMA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,1,0,1,0,1
ESMERALDA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,1,0,1,0,1
EUCALIPTUS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,6,1,6,1,7
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,0,4,0,4,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,43,0,43,0,43
FILADELFIA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,3,9,3,9,12
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,11,0,11,0,11
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,7,9,7,9,16
GUANAY,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,33,12,33,12,45
GUAQUI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,3,7,3,7,10
GUAYARAMERIN,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,268,20,268,20,288
GUTIERREZ,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,10,15,10,15,25
HUACARETA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,30,14,30,14,44
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,6,11,6,11,17
HUACHACALLA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,2,0,2,0,2
HUANUNI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,76,6,76,6,82
HUARACAJE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,2,1,2,1,3
HUARINA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,8,3,8,3,11
HUATAJATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,4,1,4,1,5
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,8,3,8,3,11
HUMANATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,3,1,3,1,4
ICHOCA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,1,0,1,0,1
ICLA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,9,7,9,7,16
INCAHUASI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,25,23,25,23,48
INQUISIVI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,15,12,15,12,27
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,19,2,19,2,21
IXIAMAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,63,9,63,9,72
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,16,1,16,1,17
LA ASUNTA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,106,19,106,19,125
LA GUARDIA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,242,1,242,1,243
LA PAZ,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,1831,21,1831,21,1852
LA RIVERA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,0,1,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,18,7,18,7,25
LAJA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,40,2,40,2,42
LAS CARRERAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,4,1,4,1,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,5,0,5,0,5
LLALLAGUA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,108,71,108,71,179
LORETO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,9,11,9,11,20
LURIBAY,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,6,9,6,9,15
MACHACAMARCA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,11,0,11,0,11
MACHARETI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,8,4,8,4,12
MAGDALENA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,8,0,8,0,8
MAIRANA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,32,10,32,10,42
MALLA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,0,4,0,4,4
MAPIRI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,8,1,8,1,9
MECAPACA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,13,5,13,5,18
MINEROS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,32,0,32,0,32
MIZQUE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,59,28,59,28,87
MOCOMOCO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,3,1,3,1,4
MOJINETE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,0,1,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,13,3,13,3,16
MONTEAGUDO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,100,4,100,4,104
MONTERO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,304,8,304,8,312
MORO MORO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,3,5,3,5,8
MOROCHATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,25,15,25,15,40
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,6,6,6,6,12
OCURI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,13,20,13,20,33
OKINAWA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,65,17,65,17,82
OMEREQUE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,7,6,7,6,13
ORURO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,994,2,994,2,996
PADCAYA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,32,4,32,4,36
PADILLA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,29,12,29,12,41
PAILON,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,51,21,51,21,72
PALCA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,46,7,46,7,53
PALOS BLANCOS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,29,2,29,2,31
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,10,6,10,6,16
PAMPA GRANDE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,18,0,18,0,18
PAPEL PAMPA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,4,6,4,6,10
PASORAPA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,3,2,3,2,5
PATACAMAYA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,69,6,69,6,75
PAZÑA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,8,3,8,3,11
PELECHUCO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,2,0,2,0,2
POCOATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,18,40,18,40,58
POCONA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,26,9,26,9,35
POJO (CBBA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,32,2,32,2,34
POOPO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,18,1,18,1,19
PORCO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,26,2,26,2,28
POROMA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,16,31,16,31,47
PORONGO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,9,0,9,0,9
PORTACHUELO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,53,0,53,0,53
PORVENIR,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,9,13,9,13,22
POSTRER VALLE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,6,1,6,1,7
POTOSI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,1130,14,1130,14,1144
PRESTO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,13,17,13,17,30
PUCARANI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,33,30,33,30,63
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,3,12,3,12,15
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,4,0,4,0,4
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,33,17,33,17,50
PUERTO PEREZ,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,3,5,3,5,8
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,72,18,72,18,90
PUERTO RICO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,4,0,4,0,4
PUERTO SILES,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,2,0,2,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,59,7,59,7,66
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-04-01,150,7,150,7,157
