,group,variable,month,TOTAL 17.8 ANTIROTAVIRICA 1RA. DOSIS CANTIDAD,TOTAL 17.8 ANTIROTAVIRICA 1RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
OKINAWA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,27,2,27,2,29
OMEREQUE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,5,5,5,5,10
ORURO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,503,0,503,0,503
PADCAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,21,4,21,4,25
PADILLA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,10,0,10,0,10
PAILON,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,35,28,35,28,63
PALCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,24,9,24,9,33
PALOS BLANCOS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,32,3,32,3,35
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,7,2,7,2,9
PAMPA GRANDE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,18,0,18,0,18
PAPEL PAMPA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,5,5,5,5,10
PASORAPA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,2,2,2,2,4
PATACAMAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,43,4,43,4,47
PAZÑA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,6,3,6,3,9
PELECHUCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,7,5,7,5,12
POCOATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,16,22,16,22,38
POCONA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,21,6,21,6,27
POJO (CBBA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,19,0,19,0,19
POOPO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,10,1,10,1,11
PORCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,22,2,22,2,24
POROMA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,15,17,15,17,32
PORONGO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,14,3,14,3,17
PORTACHUELO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,42,2,42,2,44
PORVENIR,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,4,7,4,7,11
POSTRER VALLE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,1,0,1,0,1
POTOSI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,437,8,437,8,445
PRESTO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,4,8,4,8,12
PUCARANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,24,24,24,24,48
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,1,11,1,11,12
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,10,10,10,10,20
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,6,5,6,5,11
PUERTO PEREZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,1,3,1,3,4
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,40,10,40,10,50
PUERTO RICO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,5,1,5,1,6
PUERTO SILES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,46,2,46,2,48
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,120,6,120,6,126
PUNA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,23,15,23,15,38
PUNATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,31,0,31,0,31
QUIABAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,5,1,5,1,6
QUILLACOLLO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,226,63,226,63,289
QUIME,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,12,6,12,6,18
QUIRUSILLAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,7,0,7,0,7
RAVELO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,10,13,10,13,23
REYES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,20,3,20,3,23
RIBERALTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,243,28,243,28,271
ROBORE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,22,17,22,17,39
RURRENABAQUE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,46,2,46,2,48
SABAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,3,1,3,1,4
SACABA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,196,5,196,5,201
SACABAMBA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,7,1,7,1,8
SACACA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,25,20,25,20,45
SAIPINA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,11,2,11,2,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,7,13,7,13,20
SAMAIPATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,11,1,11,1,12
SAN AGUSTIN,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,0,2,0,2,2
SAN ANDRES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,20,8,20,8,28
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,2,0,2,0,2
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,9,7,9,7,16
SAN BENITO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,11,2,11,2,13
SAN BORJA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,82,6,82,6,88
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,16,4,16,4,20
SAN CARLOS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,48,4,48,4,52
SAN IGNACIO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,42,2,42,2,44
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,98,12,98,12,110
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,7,2,7,2,9
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,22,10,22,10,32
SAN JOAQUIN,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,11,0,11,0,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,30,1,30,1,31
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,15,0,15,0,15
SAN JULIAN,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,82,20,82,20,102
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,1,13,1,13,14
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,20,3,20,3,23
SAN LUCAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,29,26,29,26,55
SAN MATIAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,26,0,26,0,26
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,23,0,23,0,23
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,7,0,7,0,7
SAN PEDRO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,22,1,22,1,23
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,26,24,26,24,50
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,7,2,7,2,9
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,5,2,5,2,7
SAN RAFAEL,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,10,1,10,1,11
SAN RAMON BENI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,5,9,5,9,14
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,17,2,17,2,19
SANTA ANA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,29,10,29,10,39
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,3062,26,3062,26,3088
SANTA ROSA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,16,7,16,7,23
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,25,2,25,2,27
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,1,2,1,2,3
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,2,14,2,14,16
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,2,3,2,3,5
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,2,1,2,1,3
SANTIVAÑES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,10,1,10,1,11
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,5,4,5,4,9
SAPAHAQUI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,11,10,11,10,21
SENA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,14,6,14,6,20
SHINAOTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,40,4,40,4,44
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,30,9,30,9,39
SICAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,2,3,2,3,5
SIPE SIPE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,43,4,43,4,47
SOPACHUY,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,4,2,4,2,6
SORACACHI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,10,5,10,5,15
SORATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,15,20,15,20,35
SUCRE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,525,10,525,10,535
TACACHI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,1,1,1,1,2
TACACOMA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,8,0,8,0,8
TACOBAMBA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,8,14,8,14,22
TACOPAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,13,3,13,3,16
TAHUA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,0,1,0,1,1
TAPACARI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,27,13,27,13,40
TARABUCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,17,10,17,10,27
TARACO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,4,2,4,2,6
TARATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,12,5,12,5,17
TARIJA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,396,9,396,9,405
TARVITA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,6,6,6,6,12
TEOPONTE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,12,3,12,3,15
TIAWANACU,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,24,4,24,4,28
TINGUIPAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,29,16,29,16,45
TIPUANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,17,3,17,3,20
TIQUIPAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,84,6,84,6,90
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,27,15,27,15,42
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,2,0,2,0,2
TOCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,8,6,8,6,14
TOLATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,6,5,6,5,11
TOLEDO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,4,5,4,5,9
TOMAVE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,12,12,12,12,24
TOMINA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,5,6,5,6,11
TORO TORO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,10,15,10,15,25
TOTORA(CBBA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,22,4,22,4,26
TOTORA(ORR),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,1,1,1,1,2
TRIGAL,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,2,0,2,0,2
TRINIDAD,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,267,4,267,4,271
TUPIZA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,57,11,57,11,68
TURCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,1,5,1,5,6
UMALA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,2,5,2,5,7
UNCIA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,38,12,38,12,50
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,24,5,24,5,29
URUBICHA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,11,10,11,10,21
UYUNI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,52,2,52,2,54
VACAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,8,5,8,5,13
VALLEGRANDE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,24,2,24,2,26
VIACHA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,102,3,102,3,105
VILA VILA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,1,2,1,2,3
VILLA CHARCAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,17,12,17,12,29
VILLA MONTES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,74,10,74,10,84
VILLA RIVERO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,16,3,16,3,19
VILLA SERRANO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,9,4,9,4,13
VILLA TUNARI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,147,21,147,21,168
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,5,4,5,4,9
VILLAZON,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,70,5,70,5,75
VINTO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,64,0,64,0,64
VITICHI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,5,2,5,2,7
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,1,1,1,1,2
WARNES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,260,21,260,21,281
YACO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,7,9,7,9,16
YACUIBA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,177,7,177,7,184
YAMPARAEZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,7,1,7,1,8
YANACACHI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,10,1,10,1,11
YAPACANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,116,5,116,5,121
YOCALLA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,14,6,14,6,20
YOTALA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,6,2,6,2,8
YUNCHARA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,3,9,3,9,12
ZUDAÑEZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-04-01,7,7,7,7,14
ACACIO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,2,4,2,4,6
ACHACACHI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,33,15,33,15,48
ACHOCALLA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,10,10,10,10,20
AIQUILE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,25,8,25,8,33
ALALAY,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,2,2,2,2,4
ALCALA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,3,0,3,0,3
ALTO BENI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,20,0,20,0,20
ANCORAIMES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,8,10,8,10,18
ANDAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,4,2,4,2,6
ANTEQUERA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,7,1,7,1,8
ANZALDO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,13,5,13,5,18
APOLO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,20,8,20,8,28
ARAMPAMPA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,3,5,3,5,8
ARANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,12,3,12,3,15
ARBIETO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,13,10,13,10,23
ARQUE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,12,7,12,7,19
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,63,20,63,20,83
ATOCHA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,16,7,16,7,23
AUCAPATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,3,1,3,1,4
AYATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,7,9,7,9,16
AYO AYO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,12,0,12,0,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,26,27,26,27,53
AZURDUY,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,7,4,7,4,11
BATALLAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,17,5,17,5,22
BAURES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,13,2,13,2,15
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,1,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,0,2,0,2,2
BELLA FLOR,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,0,4,0,4,4
BERMEJO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,42,16,42,16,58
BETANZOS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,30,9,30,9,39
BOLIVAR,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,4,12,4,12,16
BOLPEBRA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,1,1,1,1,2
BOYUIBE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,8,1,8,1,9
BUENA VISTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,24,2,24,2,26
CABEZAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,51,19,51,19,70
CAIROMA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,14,2,14,2,16
"CAIZA ""D""",vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,13,5,13,5,18
CAJUATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,13,0,13,0,13
CALACOTO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,1,4,1,4,5
CALAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,10,8,10,8,18
CAMARGO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,18,6,18,6,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,3,0,3,0,3
CAMIRI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,66,9,66,9,75
CAPINOTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,30,3,30,3,33
CAQUIAVIRI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,12,1,12,1,13
CARACOLLO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,14,13,14,13,27
CARANAVI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,96,19,96,19,115
CARAPARI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,26,6,26,6,32
CARIPUYO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,9,9,9,9,18
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,6,9,6,9,15
CATACORA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,1,1,1,1,2
CHALLAPATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,47,14,47,14,61
CHAQUI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,10,5,10,5,15
CHARAGUA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,43,24,43,24,67
CHAYANTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,14,13,14,13,27
CHIMORE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,33,3,33,3,36
CHIPAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,2,3,2,3,5
CHUA COCANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,24,6,24,6,30
CHUMA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,10,2,10,2,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,14,3,14,3,17
CKOCHAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,18,8,18,8,26
CLIZA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,27,10,27,10,37
COBIJA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,118,12,118,12,130
COCAPATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,23,17,23,17,40
COCHABAMBA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,1219,15,1219,15,1234
COIPASA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,74,0,74,0,74
"COLCHA ""K""",vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,19,2,19,2,21
COLLANA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,2,0,2,0,2
COLOMI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,21,6,21,6,27
COLPA BELGICA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,11,4,11,4,15
COLQUECHACA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,26,38,26,38,64
COLQUENCHA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-05-01,13,1,13,1,14
