,group,variable,month,TOTAL 17.1 BCG CANTIDAD,TOTAL 17.1 BCG CANTIDAD,TOTALES,TOTALES,TOTALES
QUIRUSILLAS,vacunaciones en menores de 1 ano,      bcg,2014-03-01,4,0,4,0,4
RAVELO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,6,21,6,21,27
REYES,vacunaciones en menores de 1 ano,      bcg,2014-03-01,23,3,23,3,26
RIBERALTA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,289,3,289,3,292
ROBORE,vacunaciones en menores de 1 ano,      bcg,2014-03-01,27,1,27,1,28
RURRENABAQUE,vacunaciones en menores de 1 ano,      bcg,2014-03-01,41,8,41,8,49
SABAYA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,3,1,3,1,4
SACABA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,268,6,268,6,274
SACABAMBA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,6,2,6,2,8
SACACA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,20,9,20,9,29
SAIPINA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,1,2,1,2,3
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,3,9,3,9,12
SAMAIPATA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,6,0,6,0,6
SAN AGUSTIN,vacunaciones en menores de 1 ano,      bcg,2014-03-01,3,3,3,3,6
SAN ANDRES,vacunaciones en menores de 1 ano,      bcg,2014-03-01,9,2,9,2,11
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,2,1,2,1,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,7,5,7,5,12
SAN BENITO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,7,4,7,4,11
SAN BORJA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,106,89,106,89,195
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,22,8,22,8,30
SAN CARLOS,vacunaciones en menores de 1 ano,      bcg,2014-03-01,37,2,37,2,39
SAN IGNACIO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,34,5,34,5,39
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,147,14,147,14,161
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      bcg,2014-03-01,35,0,35,0,35
SAN JOAQUIN,vacunaciones en menores de 1 ano,      bcg,2014-03-01,7,1,7,1,8
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      bcg,2014-03-01,33,3,33,3,36
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      bcg,2014-03-01,13,0,13,0,13
SAN JULIAN,vacunaciones en menores de 1 ano,      bcg,2014-03-01,88,24,88,24,112
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      bcg,2014-03-01,3,4,3,4,7
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      bcg,2014-03-01,10,3,10,3,13
SAN LUCAS,vacunaciones en menores de 1 ano,      bcg,2014-03-01,26,29,26,29,55
SAN MATIAS,vacunaciones en menores de 1 ano,      bcg,2014-03-01,33,3,33,3,36
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,16,0,16,0,16
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      bcg,2014-03-01,4,1,4,1,5
SAN PEDRO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,16,0,16,0,16
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,50,44,50,44,94
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,2,6,2,6,8
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,      bcg,2014-03-01,1,2,1,2,3
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,4,2,4,2,6
SAN PEDRO(PND),vacunaciones en menores de 1 ano,      bcg,2014-03-01,0,1,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,      bcg,2014-03-01,8,5,8,5,13
SAN RAMON BENI,vacunaciones en menores de 1 ano,      bcg,2014-03-01,1,7,1,7,8
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      bcg,2014-03-01,18,0,18,0,18
SANTA ANA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,48,0,48,0,48
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,3702,130,3702,130,3832
SANTA ROSA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,15,4,15,4,19
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,12,3,12,3,15
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,0,5,0,5,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      bcg,2014-03-01,6,1,6,1,7
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,2,5,2,5,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,1,4,1,4,5
SANTIVAÑES,vacunaciones en menores de 1 ano,      bcg,2014-03-01,5,6,5,6,11
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      bcg,2014-03-01,2,5,2,5,7
SAPAHAQUI,vacunaciones en menores de 1 ano,      bcg,2014-03-01,0,8,0,8,8
SENA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,9,0,9,0,9
SHINAOTA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,51,1,51,1,52
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      bcg,2014-03-01,18,7,18,7,25
SICAYA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,2,0,2,0,2
SIPE SIPE,vacunaciones en menores de 1 ano,      bcg,2014-03-01,56,1,56,1,57
SOPACHUY,vacunaciones en menores de 1 ano,      bcg,2014-03-01,6,2,6,2,8
SORACACHI,vacunaciones en menores de 1 ano,      bcg,2014-03-01,5,8,5,8,13
SORATA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,14,15,14,15,29
SUCRE,vacunaciones en menores de 1 ano,      bcg,2014-03-01,553,6,553,6,559
TACACOMA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,9,0,9,0,9
TACOBAMBA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,5,7,5,7,12
TACOPAYA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,5,2,5,2,7
TAPACARI,vacunaciones en menores de 1 ano,      bcg,2014-03-01,28,14,28,14,42
TARABUCO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,11,4,11,4,15
TARACO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,1,0,1,0,1
TARATA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,13,1,13,1,14
TARIJA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,475,5,475,5,480
TARVITA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,7,17,7,17,24
TEOPONTE,vacunaciones en menores de 1 ano,      bcg,2014-03-01,16,8,16,8,24
TIAWANACU,vacunaciones en menores de 1 ano,      bcg,2014-03-01,17,5,17,5,22
TINGUIPAYA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,32,35,32,35,67
TIPUANI,vacunaciones en menores de 1 ano,      bcg,2014-03-01,20,2,20,2,22
TIQUIPAYA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,104,19,104,19,123
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      bcg,2014-03-01,27,7,27,7,34
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      bcg,2014-03-01,0,5,0,5,5
TOCO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,3,2,3,2,5
TOLATA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,7,1,7,1,8
TOLEDO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,4,3,4,3,7
TOMAVE,vacunaciones en menores de 1 ano,      bcg,2014-03-01,10,8,10,8,18
TOMINA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,9,4,9,4,13
TORO TORO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,7,22,7,22,29
TOTORA(CBBA),vacunaciones en menores de 1 ano,      bcg,2014-03-01,20,10,20,10,30
TOTORA(ORR),vacunaciones en menores de 1 ano,      bcg,2014-03-01,6,1,6,1,7
TRIGAL,vacunaciones en menores de 1 ano,      bcg,2014-03-01,2,0,2,0,2
TRINIDAD,vacunaciones en menores de 1 ano,      bcg,2014-03-01,409,7,409,7,416
TUPIZA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,71,12,71,12,83
TURCO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,1,1,1,1,2
UMALA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,3,5,3,5,8
UNCIA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,26,18,26,18,44
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      bcg,2014-03-01,11,2,11,2,13
URUBICHA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,4,1,4,1,5
UYUNI,vacunaciones en menores de 1 ano,      bcg,2014-03-01,73,6,73,6,79
VACAS,vacunaciones en menores de 1 ano,      bcg,2014-03-01,0,12,0,12,12
VALLEGRANDE,vacunaciones en menores de 1 ano,      bcg,2014-03-01,25,0,25,0,25
VIACHA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,79,8,79,8,87
VILA VILA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,0,10,0,10,10
VILLA CHARCAS,vacunaciones en menores de 1 ano,      bcg,2014-03-01,5,21,5,21,26
VILLA MONTES,vacunaciones en menores de 1 ano,      bcg,2014-03-01,92,6,92,6,98
VILLA RIVERO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,1,4,1,4,5
VILLA SERRANO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,5,2,5,2,7
VILLA TUNARI,vacunaciones en menores de 1 ano,      bcg,2014-03-01,144,19,144,19,163
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      bcg,2014-03-01,7,2,7,2,9
VILLAZON,vacunaciones en menores de 1 ano,      bcg,2014-03-01,63,2,63,2,65
VINTO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,79,0,79,0,79
VITICHI,vacunaciones en menores de 1 ano,      bcg,2014-03-01,4,2,4,2,6
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,      bcg,2014-03-01,0,4,0,4,4
WARNES,vacunaciones en menores de 1 ano,      bcg,2014-03-01,168,5,168,5,173
YACO,vacunaciones en menores de 1 ano,      bcg,2014-03-01,3,7,3,7,10
YACUIBA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,196,18,196,18,214
YAMPARAEZ,vacunaciones en menores de 1 ano,      bcg,2014-03-01,13,0,13,0,13
YANACACHI,vacunaciones en menores de 1 ano,      bcg,2014-03-01,3,0,3,0,3
YAPACANI,vacunaciones en menores de 1 ano,      bcg,2014-03-01,123,4,123,4,127
YOCALLA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,13,4,13,4,17
YOTALA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,5,2,5,2,7
YUNCHARA,vacunaciones en menores de 1 ano,      bcg,2014-03-01,6,3,6,3,9
ZUDAÑEZ,vacunaciones en menores de 1 ano,      bcg,2014-03-01,4,1,4,1,5
ACACIO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,3,3,3,3,6
ACHACACHI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,31,19,31,19,50
ACHOCALLA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,8,8,8,8,16
AIQUILE,vacunaciones en menores de 1 ano,      bcg,2014-04-01,34,5,34,5,39
ALALAY,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,5,0,5,5
ALCALA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,2,2,2,2,4
ALTO BENI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,15,0,15,0,15
ANCORAIMES,vacunaciones en menores de 1 ano,      bcg,2014-04-01,7,9,7,9,16
ANDAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,3,0,3,3
ANTEQUERA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,0,1,0,1
ANZALDO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,8,9,8,9,17
APOLO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,21,7,21,7,28
ARAMPAMPA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,3,4,3,4,7
ARANI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,10,0,10,0,10
ARBIETO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,11,10,11,10,21
ARQUE,vacunaciones en menores de 1 ano,      bcg,2014-04-01,22,4,22,4,26
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      bcg,2014-04-01,81,0,81,0,81
ATOCHA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,18,3,18,3,21
AUCAPATA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,5,0,5,5
AYATA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,4,9,4,9,13
AYO AYO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,6,1,6,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      bcg,2014-04-01,20,14,20,14,34
AZURDUY,vacunaciones en menores de 1 ano,      bcg,2014-04-01,9,3,9,3,12
BATALLAS,vacunaciones en menores de 1 ano,      bcg,2014-04-01,12,9,12,9,21
BAURES,vacunaciones en menores de 1 ano,      bcg,2014-04-01,7,1,7,1,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,1,1,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,4,0,4,4
BERMEJO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,50,8,50,8,58
BETANZOS,vacunaciones en menores de 1 ano,      bcg,2014-04-01,28,18,28,18,46
BOLIVAR,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,10,0,10,10
BOLPEBRA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,1,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,      bcg,2014-04-01,5,1,5,1,6
BUENA VISTA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,12,5,12,5,17
CABEZAS,vacunaciones en menores de 1 ano,      bcg,2014-04-01,26,36,26,36,62
CAIROMA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,8,5,8,5,13
"CAIZA ""D""",vacunaciones en menores de 1 ano,      bcg,2014-04-01,2,11,2,11,13
CAJUATA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,12,0,12,0,12
CALACOTO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,2,0,2,2
CALAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,9,9,9,9,18
CAMARGO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,39,4,39,4,43
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      bcg,2014-04-01,5,0,5,0,5
CAMIRI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,90,5,90,5,95
CAPINOTA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,23,1,23,1,24
CAQUIAVIRI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,2,16,2,16,18
CARACOLLO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,25,12,25,12,37
CARANAVI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,117,4,117,4,121
CARANGAS,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,1,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,4,12,4,12,16
CARIPUYO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,9,0,9,9
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,15,1,15,16
CHACARILLA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,1,1,1,2
CHALLAPATA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,76,15,76,15,91
CHAQUI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,7,3,7,3,10
CHARAGUA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,25,42,25,42,67
CHARAÑA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,3,0,3,0,3
CHAYANTA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,14,20,14,20,34
CHIMORE,vacunaciones en menores de 1 ano,      bcg,2014-04-01,29,13,29,13,42
CHIPAYA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,1,0,1,1
CHOQUE COTA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,1,0,1,1
CHUA COCANI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,5,1,5,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      bcg,2014-04-01,37,3,37,3,40
CHUMA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,8,15,8,15,23
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,10,7,10,7,17
CKOCHAS,vacunaciones en menores de 1 ano,      bcg,2014-04-01,8,6,8,6,14
CLIZA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,28,36,28,36,64
COBIJA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,139,8,139,8,147
COCAPATA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,6,14,6,14,20
COCHABAMBA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1640,13,1640,13,1653
COLCAPIRHUA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,50,0,50,0,50
"COLCHA ""K""",vacunaciones en menores de 1 ano,      bcg,2014-04-01,7,10,7,10,17
COLLANA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,1,1,1,2
COLOMI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,29,12,29,12,41
COLQUECHACA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,15,41,15,41,56
COLQUENCHA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,9,1,9,10
COLQUIRI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,2,27,2,27,29
COMANCHE,vacunaciones en menores de 1 ano,      bcg,2014-04-01,4,0,4,0,4
COMARAPA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,21,1,21,1,22
COMBAYA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,4,1,4,5
CONCEPCION,vacunaciones en menores de 1 ano,      bcg,2014-04-01,28,3,28,3,31
COPACABANA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,20,5,20,5,25
CORIPATA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,18,12,18,12,30
CORO CORO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,2,6,2,6,8
COROICO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,23,1,23,1,24
CORQUE,vacunaciones en menores de 1 ano,      bcg,2014-04-01,3,8,3,8,11
COTAGAITA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,5,17,5,17,22
COTOCA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,102,9,102,9,111
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      bcg,2014-04-01,34,10,34,10,44
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      bcg,2014-04-01,3,0,3,0,3
CUEVO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,2,1,2,3
CULPINA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,7,20,7,20,27
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      bcg,2014-04-01,5,0,5,0,5
CURVA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,3,1,3,4
DESAGUADERO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,2,1,2,3
EL ALTO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1633,99,1633,99,1732
EL CHORO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,1,1,1,2
EL PUENTE(STC),vacunaciones en menores de 1 ano,      bcg,2014-04-01,18,1,18,1,19
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      bcg,2014-04-01,9,8,9,8,17
EL TORNO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,100,1,100,1,101
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      bcg,2014-04-01,7,12,7,12,19
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,39,1,39,1,40
ESCOMA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,5,0,5,0,5
EUCALIPTUS,vacunaciones en menores de 1 ano,      bcg,2014-04-01,2,0,2,0,2
EXALTACION,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,1,1,1,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,19,10,19,10,29
FILADELFIA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,2,0,2,2
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,21,8,21,8,29
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      bcg,2014-04-01,3,6,3,6,9
GUANAY,vacunaciones en menores de 1 ano,      bcg,2014-04-01,11,5,11,5,16
GUAQUI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,3,6,3,6,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,      bcg,2014-04-01,133,0,133,0,133
GUTIERREZ,vacunaciones en menores de 1 ano,      bcg,2014-04-01,6,20,6,20,26
HUACARETA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,12,4,12,4,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      bcg,2014-04-01,3,2,3,2,5
HUACHACALLA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,43,1,43,1,44
HUARACAJE,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,7,0,7,7
HUARINA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,4,4,4,4,8
HUATAJATA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,6,0,6,0,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,2,1,2,3
HUMANATA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,2,1,2,1,3
ICHOCA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,5,0,5,5
ICLA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,6,2,6,2,8
INCAHUASI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,2,20,2,20,22
INQUISIVI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,4,8,4,8,12
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      bcg,2014-04-01,12,3,12,3,15
IXIAMAS,vacunaciones en menores de 1 ano,      bcg,2014-04-01,11,8,11,8,19
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,8,8,8,8,16
LA ASUNTA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,59,19,59,19,78
LA GUARDIA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,106,0,106,0,106
LA PAZ,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1870,2,1870,2,1872
LAGUNILLAS,vacunaciones en menores de 1 ano,      bcg,2014-04-01,7,4,7,4,11
LAJA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,21,3,21,3,24
LAS CARRERAS,vacunaciones en menores de 1 ano,      bcg,2014-04-01,4,0,4,0,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,1,1,1,2
LLALLAGUA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,31,64,31,64,95
LLICA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,10,0,10,0,10
LORETO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,4,4,4,4,8
LURIBAY,vacunaciones en menores de 1 ano,      bcg,2014-04-01,4,11,4,11,15
MACHACAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,4,0,4,0,4
MACHARETI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,6,4,6,4,10
MAGDALENA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,5,1,5,1,6
MAIRANA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,18,0,18,0,18
MALLA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,2,0,2,2
MAPIRI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,33,0,33,0,33
MECAPACA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,6,12,6,12,18
MINEROS,vacunaciones en menores de 1 ano,      bcg,2014-04-01,35,2,35,2,37
MIZQUE,vacunaciones en menores de 1 ano,      bcg,2014-04-01,31,18,31,18,49
MOCOMOCO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,2,13,2,13,15
MOJOCOYA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,7,1,7,1,8
MONTEAGUDO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,44,2,44,2,46
MONTERO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,386,1,386,1,387
MORO MORO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,2,0,2,0,2
MOROCHATA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,2,13,2,13,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,4,1,4,5
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,2,1,2,3
OCURI,vacunaciones en menores de 1 ano,      bcg,2014-04-01,11,24,11,24,35
OKINAWA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,15,6,15,6,21
OMEREQUE,vacunaciones en menores de 1 ano,      bcg,2014-04-01,6,3,6,3,9
ORURO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1036,2,1036,2,1038
PADCAYA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,13,3,13,3,16
PADILLA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,25,1,25,1,26
PAILON,vacunaciones en menores de 1 ano,      bcg,2014-04-01,42,49,42,49,91
PALCA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,10,17,10,17,27
PALOS BLANCOS,vacunaciones en menores de 1 ano,      bcg,2014-04-01,25,8,25,8,33
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,2,0,2,2
PAMPA GRANDE,vacunaciones en menores de 1 ano,      bcg,2014-04-01,11,0,11,0,11
PAPEL PAMPA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,1,7,1,7,8
PATACAMAYA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,30,6,30,6,36
PAZÑA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,3,2,3,2,5
PELECHUCO,vacunaciones en menores de 1 ano,      bcg,2014-04-01,0,6,0,6,6
POCOATA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,6,33,6,33,39
POCONA,vacunaciones en menores de 1 ano,      bcg,2014-04-01,10,7,10,7,17
POJO (CBBA),vacunaciones en menores de 1 ano,      bcg,2014-04-01,11,0,11,0,11
