,group,variable,month,TOTAL 17.7 (O.P.V.) ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTAL 17.7 (O.P.V.) ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
CUEVO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,2,1,2,3
CULPINA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,20,19,20,19,39
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,2,4,2,6
CURVA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,5,2,5,7
DESAGUADERO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,5,7,5,7,12
EL ALTO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1188,126,1188,126,1314
EL CHORO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,10,4,10,14
EL PUENTE(STC),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,16,4,16,4,20
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,14,5,14,5,19
EL TORNO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,77,1,77,1,78
EL VILLAR,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,0,4,0,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,22,12,22,12,34
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,60,11,60,11,71
ESCOMA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,5,2,5,2,7
ESMERALDA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
EUCALIPTUS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,2,2,2,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,0,1,0,1,1
EXALTACION,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,0,3,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,22,4,22,4,26
FILADELFIA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,5,8,5,8,13
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,28,3,28,3,31
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,6,8,6,8,14
GUANAY,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,10,8,10,8,18
GUAQUI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,5,4,5,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,93,13,93,13,106
GUTIERREZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,14,17,14,17,31
HUACARETA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,17,2,17,2,19
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,4,1,4,5
HUACHACALLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
HUANUNI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,42,6,42,6,48
HUARACAJE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,0,4,0,4
HUARINA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,2,3,2,5
HUATAJATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,2,2,2,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,3,4,3,7
HUMANATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,0,2,0,2,2
ICHOCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,8,4,8,12
ICLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,5,2,5,7
INCAHUASI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,8,14,8,14,22
INQUISIVI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,11,12,11,12,23
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,11,8,11,8,19
IXIAMAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,15,0,15,0,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,10,1,10,1,11
LA ASUNTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,59,11,59,11,70
LA GUARDIA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,139,8,139,8,147
LA PAZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1085,103,1085,103,1188
LA RIVERA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,3,4,3,7
LAJA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,15,3,15,3,18
LAS CARRERAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,6,0,6,0,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,1,2,1,3
LLALLAGUA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,25,38,25,38,63
LLICA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,5,2,5,2,7
LORETO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,18,1,18,19
LURIBAY,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,6,6,6,6,12
MACHACAMARCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,1,3,1,4
MACHARETI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,8,5,8,5,13
MAGDALENA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,11,1,11,1,12
MAIRANA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,18,2,18,2,20
MALLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,6,1,6,7
MAPIRI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,25,5,25,5,30
MECAPACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,5,4,5,4,9
MINEROS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,34,4,34,4,38
MIZQUE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,48,6,48,6,54
MOCOMOCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,9,11,9,11,20
MOJOCOYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,6,3,6,3,9
MONTEAGUDO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,30,2,30,2,32
MONTERO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,191,5,191,5,196
MORO MORO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,2,4,2,6
MOROCHATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,7,9,7,9,16
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,0,9,0,9,9
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,0,2,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
OCURI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,16,18,16,18,34
OKINAWA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,20,1,20,1,21
OMEREQUE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,8,6,8,6,14
ORURO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,452,51,452,51,503
PADCAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,23,2,23,2,25
PADILLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,10,3,10,3,13
PAILON,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,36,29,36,29,65
PALCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,22,6,22,6,28
PALOS BLANCOS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,21,5,21,5,26
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,6,0,6,0,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,15,0,15,0,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,5,1,5,1,6
PASORAPA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,0,1,0,1,1
PATACAMAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,34,6,34,6,40
PAZÑA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,8,3,8,3,11
PELECHUCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,8,4,8,4,12
POCOATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,5,9,5,9,14
POCONA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,14,7,14,7,21
POJO (CBBA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,15,5,15,5,20
POOPO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,10,2,10,2,12
PORCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,17,8,17,8,25
POROMA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,10,14,10,14,24
PORONGO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,13,5,13,5,18
PORTACHUELO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,27,0,27,0,27
PORVENIR,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,7,1,7,1,8
POSTRER VALLE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
POTOSI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,302,7,302,7,309
PRESTO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,13,1,13,14
PUCARA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
PUCARANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,16,20,16,20,36
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,6,9,6,9,15
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,11,3,11,3,14
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,10,4,10,4,14
PUERTO PEREZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,1,3,1,4
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,20,6,20,6,26
PUERTO RICO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,14,7,14,7,21
PUERTO SILES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,19,2,19,2,21
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,96,15,96,15,111
PUNA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,11,21,11,21,32
PUNATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,37,0,37,0,37
QUIABAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,2,1,2,3
QUILLACOLLO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,185,51,185,51,236
QUIME,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,16,6,16,6,22
QUIRUSILLAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,0,3,0,3
RAVELO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,8,4,8,12
REYES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,17,7,17,7,24
RIBERALTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,208,42,208,42,250
ROBORE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,32,1,32,1,33
RURRENABAQUE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,19,7,19,7,26
SABAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
SACABA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,218,11,218,11,229
SACABAMBA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,6,4,6,4,10
SACACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,20,13,20,13,33
SAIPINA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,7,1,7,1,8
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,2,4,2,6
SAMAIPATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,8,3,8,3,11
SAN AGUSTIN,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,16,10,16,10,26
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,2,4,2,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,3,4,3,7
SAN BENITO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,12,5,12,5,17
SAN BORJA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,71,10,71,10,81
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,19,7,19,7,26
SAN CARLOS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,24,12,24,12,36
SAN IGNACIO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,42,5,42,5,47
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,75,14,75,14,89
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,6,1,6,7
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,16,1,16,1,17
SAN JOAQUIN,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,11,0,11,0,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,26,5,26,5,31
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,10,3,10,3,13
SAN JULIAN,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,77,11,77,11,88
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,4,3,4,7
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,15,5,15,5,20
SAN LUCAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,41,14,41,14,55
SAN MATIAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,24,1,24,1,25
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,10,0,10,0,10
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,6,0,6,0,6
SAN PEDRO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,20,0,20,0,20
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,24,22,24,22,46
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,3,4,3,7
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,0,4,0,4
SAN PEDRO(PND),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,0,1,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,5,0,5,0,5
SAN RAMON BENI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,7,7,7,7,14
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,10,0,10,0,10
SANTA ANA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,25,0,25,0,25
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2145,40,2145,40,2185
SANTA ROSA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,10,0,10,0,10
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,23,2,23,2,25
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,3,1,3,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,9,7,9,7,16
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,7,5,7,5,12
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,1,3,1,4
SANTIVAÑES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,10,0,10,0,10
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,2,3,2,5
SAPAHAQUI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,12,5,12,5,17
SENA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,5,0,5,0,5
SHINAOTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,35,6,35,6,41
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,21,8,21,8,29
SICAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,0,3,0,3
SIPE SIPE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,93,3,93,3,96
SOPACHUY,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,3,4,3,7
SORACACHI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,13,10,13,10,23
SORATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,23,4,23,27
SUCRE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,465,8,465,8,473
TACACHI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,1,1,1,2
TACACOMA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,11,1,11,1,12
TACOBAMBA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,8,7,8,7,15
TACOPAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,10,1,10,1,11
TAHUA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
TAPACARI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,31,6,31,6,37
TARABUCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,8,9,8,9,17
TARACO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,2,2,2,4
TARATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,7,2,7,2,9
TARIJA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,309,8,309,8,317
TARVITA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,13,10,13,10,23
TEOPONTE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,8,7,8,7,15
TIAWANACU,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,15,9,15,9,24
TINGUIPAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,31,10,31,10,41
TIPUANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,11,1,11,1,12
TIQUIPAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,85,31,85,31,116
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,18,14,18,14,32
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,0,1,0,1,1
TOCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,9,2,9,2,11
TOLATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,1,4,1,5
TOLEDO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,2,1,2,1,3
TOMAVE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,11,8,11,8,19
TOMINA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,8,4,8,12
TORO TORO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,12,3,12,15
TOTORA(CBBA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,23,3,23,3,26
