,group,variable,month,TOTAL 17.3 PENTAVALENTE 2DA. DOSIS CANTIDAD,TOTAL 17.3 PENTAVALENTE 2DA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
ALALAY,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1,6,1,6,7
ALCALA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,4,1,4,1,5
ALTO BENI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,18,1,18,1,19
ANCORAIMES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,14,14,14,14,28
ANDAMARCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,2,2,2,2,4
ANTEQUERA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,6,0,6,0,6
ANZALDO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,5,8,5,8,13
APOLO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,21,7,21,7,28
ARAMPAMPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,0,2,0,2,2
ARANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,22,0,22,0,22
ARBIETO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,21,8,21,8,29
ARQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,22,4,22,4,26
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,67,13,67,13,80
ATOCHA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,21,5,21,5,26
AUCAPATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,2,3,2,3,5
AYATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,9,9,9,9,18
AYO AYO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,8,5,8,5,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,13,23,13,23,36
AZURDUY,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,8,10,8,10,18
BATALLAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,18,7,18,7,25
BAURES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,14,0,14,0,14
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,2,3,2,5
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1,4,1,4,5
BELLA FLOR,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,1,3,1,4
BERMEJO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,39,23,39,23,62
BETANZOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,45,22,45,22,67
BOLIVAR,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,6,11,6,11,17
BOLPEBRA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1,0,1,0,1
BOYUIBE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,7,3,7,3,10
BUENA VISTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,20,5,20,5,25
CABEZAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,39,17,39,17,56
CAIROMA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,18,13,18,13,31
"CAIZA ""D""",vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,7,2,7,2,9
CAJUATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,15,4,15,4,19
CALACOTO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,4,3,4,3,7
CALAMARCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,12,6,12,6,18
CAMARGO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,18,9,18,9,27
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,1,3,1,4
CAMIRI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,56,1,56,1,57
CAPINOTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,36,4,36,4,40
CAQUIAVIRI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,8,4,8,4,12
CARACOLLO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,25,4,25,4,29
CARANAVI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,59,18,59,18,77
CARANGAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,0,1,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,28,7,28,7,35
CARIPUYO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,9,15,9,15,24
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,6,3,6,3,9
CHACARILLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,32,12,32,12,44
CHAQUI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,9,7,9,7,16
CHARAGUA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,15,58,15,58,73
CHARAÑA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,1,3,1,4
CHAYANTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,19,7,19,7,26
CHIMORE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,42,10,42,10,52
CHIPAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,2,0,2,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1,0,1,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,5,0,5,0,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,32,7,32,7,39
CHUMA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,12,12,12,12,24
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,10,7,10,7,17
CKOCHAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,13,7,13,7,20
CLIZA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,22,4,22,4,26
COBIJA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,120,13,120,13,133
COCAPATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,12,20,12,20,32
COCHABAMBA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1285,30,1285,30,1315
COIPASA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,0,2,0,2,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,100,1,100,1,101
"COLCHA ""K""",vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,17,3,17,3,20
COLLANA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,2,0,2,0,2
COLOMI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,39,6,39,6,45
COLPA BELGICA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,16,1,16,1,17
COLQUECHACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,27,31,27,31,58
COLQUENCHA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,15,1,15,1,16
COLQUIRI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,21,28,21,28,49
COMANCHE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,4,2,4,2,6
COMARAPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,36,6,36,6,42
COMBAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,3,3,3,6
CONCEPCION,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,25,6,25,6,31
COPACABANA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,12,14,12,14,26
CORIPATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,20,0,20,0,20
CORO CORO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,9,5,9,5,14
COROICO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,23,7,23,7,30
CORQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,5,3,5,3,8
COTAGAITA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,25,13,25,13,38
COTOCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,101,7,101,7,108
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,30,5,30,5,35
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,4,2,4,2,6
CULPINA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,18,14,18,14,32
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,10,2,10,2,12
CURVA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,3,3,3,6
DESAGUADERO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,7,2,7,2,9
EL ALTO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1575,170,1575,170,1745
EL CHORO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,6,3,6,3,9
EL PUENTE(STC),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,21,0,21,0,21
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,14,3,14,3,17
EL TORNO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,66,3,66,3,69
EL VILLAR,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,6,0,6,0,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,22,6,22,6,28
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,60,15,60,15,75
ESCOMA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,6,5,6,5,11
EUCALIPTUS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,2,3,2,5
EXALTACION,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,5,0,5,0,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,23,0,23,0,23
FILADELFIA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,4,5,4,5,9
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,20,1,20,1,21
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,12,16,12,16,28
GUANAY,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,19,9,19,9,28
GUAQUI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,4,6,4,6,10
GUAYARAMERIN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,92,8,92,8,100
GUTIERREZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,9,21,9,21,30
HUACARETA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,9,6,9,6,15
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,2,1,2,1,3
HUANUNI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,37,1,37,1,38
HUARACAJE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,5,0,5,0,5
HUARINA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1,3,1,3,4
HUATAJATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,2,1,2,1,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,5,1,5,1,6
HUMANATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,0,5,0,5,5
ICHOCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,4,4,4,4,8
ICLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,4,4,4,4,8
INCAHUASI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,11,7,11,7,18
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,0,8,0,8,8
INQUISIVI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,5,13,5,13,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,15,8,15,8,23
IXIAMAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,13,2,13,2,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,13,6,13,6,19
LA ASUNTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,87,15,87,15,102
LA GUARDIA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,156,1,156,1,157
LA PAZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1209,28,1209,28,1237
LAGUNILLAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,6,5,6,5,11
LAJA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,20,5,20,5,25
LAS CARRERAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,5,2,5,2,7
LICOMA PAMPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,1,3,1,4
LLALLAGUA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,46,44,46,44,90
LLICA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,5,0,5,0,5
LORETO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,12,3,12,15
LURIBAY,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,9,8,9,8,17
MACHACAMARCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,1,3,1,4
MACHARETI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,19,3,19,3,22
MAGDALENA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,20,12,20,12,32
MAIRANA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,26,1,26,1,27
MALLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,4,2,4,2,6
MAPIRI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,35,0,35,0,35
MECAPACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,12,6,12,6,18
MINEROS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,35,11,35,11,46
MIZQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,50,7,50,7,57
MOCOMOCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,14,11,14,11,25
MOJINETE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,0,1,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,12,2,12,2,14
MONTEAGUDO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,54,7,54,7,61
MONTERO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,232,5,232,5,237
MORO MORO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,2,0,2,0,2
MOROCHATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,15,4,15,4,19
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,0,3,0,3,3
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1,1,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1,0,1,0,1
OCURI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,13,18,13,18,31
OKINAWA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,32,0,32,0,32
OMEREQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1,5,1,5,6
ORURO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,534,0,534,0,534
PADCAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,27,5,27,5,32
PADILLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,10,4,10,4,14
PAILON,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,38,22,38,22,60
PALCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,28,14,28,14,42
PALOS BLANCOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,37,6,37,6,43
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,5,2,5,2,7
PAMPA GRANDE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,14,0,14,0,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1,4,1,4,5
PASORAPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,2,1,2,1,3
PATACAMAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,34,4,34,4,38
PAZÑA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,4,2,4,2,6
PELECHUCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,8,8,8,8,16
POCOATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,13,35,13,35,48
POCONA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,17,4,17,4,21
POJO (CBBA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,16,4,16,4,20
POOPO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,11,2,11,2,13
PORCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,22,4,22,4,26
POROMA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,8,17,8,17,25
PORONGO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,11,1,11,1,12
PORTACHUELO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,38,2,38,2,40
PORVENIR,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,14,0,14,0,14
POSTRER VALLE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,0,3,0,3
POTOSI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,436,13,436,13,449
PRESTO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,9,7,9,7,16
PUCARA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1,3,1,3,4
PUCARANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,22,16,22,16,38
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,6,20,6,20,26
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,8,10,8,10,18
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,6,2,6,2,8
PUERTO PEREZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1,5,1,5,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,23,10,23,10,33
PUERTO RICO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,10,6,10,6,16
PUERTO SILES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,30,7,30,7,37
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,87,16,87,16,103
PUNA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,19,14,19,14,33
PUNATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,41,0,41,0,41
QUIABAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,2,3,2,5
QUILLACOLLO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,225,50,225,50,275
QUIME,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,11,3,11,3,14
QUIRUSILLAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1,1,1,1,2
RAVELO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,10,14,10,14,24
REYES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,18,4,18,4,22
RIBERALTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,232,37,232,37,269
ROBORE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,26,1,26,1,27
RURRENABAQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,35,5,35,5,40
SABAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,6,1,6,1,7
SACABA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,245,13,245,13,258
SACABAMBA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,6,1,6,1,7
SACACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,14,23,14,23,37
SAIPINA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,12,0,12,0,12
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,14,6,14,6,20
SAMAIPATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,10,2,10,2,12
SAN AGUSTIN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,0,3,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,19,0,19,0,19
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,1,3,1,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,2,1,2,1,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,4,4,4,4,8
SAN BENITO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,12,2,12,2,14
SAN BORJA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,55,52,55,52,107
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,12,2,12,2,14
SAN CARLOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,56,5,56,5,61
SAN IGNACIO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,32,5,32,5,37
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,35,21,35,21,56
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,0,3,0,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,25,1,25,1,26
SAN JOAQUIN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,7,0,7,0,7
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,32,1,32,1,33
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,16,0,16,0,16
SAN JULIAN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,51,37,51,37,88
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,5,0,5,0,5
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,31,2,31,2,33
SAN LUCAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,23,29,23,29,52
SAN MATIAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,32,4,32,4,36
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,11,0,11,0,11
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,2,0,2,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,21,0,21,0,21
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,29,40,29,40,69
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,5,4,5,4,9
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,2,4,2,4,6
SAN PEDRO(PND),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,0,3,0,3,3
SAN RAFAEL,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,6,0,6,0,6
SAN RAMON BENI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,3,6,3,6,9
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-03-01,12,0,12,0,12
