,group,variable,month,TOTAL 17.9 ANTIROTAVIRICA 2RA. DOSIS CANTIDAD,TOTAL 17.9 ANTIROTAVIRICA 2RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
LICOMA PAMPA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,3,0,3,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,44,41,44,41,85
LLICA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,9,3,9,3,12
LORETO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,4,5,4,5,9
LURIBAY,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,4,9,4,9,13
MACHACAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,7,0,7,0,7
MACHARETI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,13,2,13,2,15
MAGDALENA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,13,0,13,0,13
MAIRANA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,21,1,21,1,22
MALLA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,1,1,1,1,2
MAPIRI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,20,0,20,0,20
MECAPACA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,5,13,5,13,18
MINEROS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,52,4,52,4,56
MIZQUE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,41,14,41,14,55
MOCOMOCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,10,9,10,9,19
MOJOCOYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,4,1,4,1,5
MONTEAGUDO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,34,2,34,2,36
MONTERO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,239,7,239,7,246
MORO MORO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,3,1,3,1,4
MOROCHATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,8,3,8,3,11
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,3,5,3,5,8
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,1,1,1,1,2
OCURI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,17,17,17,17,34
OKINAWA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,26,9,26,9,35
OMEREQUE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,1,4,1,4,5
ORURO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,445,3,445,3,448
PADCAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,19,2,19,2,21
PADILLA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,12,2,12,2,14
PAILON,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,33,10,33,10,43
PALCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,19,12,19,12,31
PALOS BLANCOS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,31,5,31,5,36
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,5,1,5,1,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,15,1,15,1,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,3,3,3,3,6
PASORAPA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,2,3,2,3,5
PATACAMAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,40,10,40,10,50
PAZÑA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,5,0,5,0,5
PELECHUCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,3,3,3,3,6
POCOATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,9,25,9,25,34
POCONA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,12,9,12,9,21
POJO (CBBA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,16,0,16,0,16
POOPO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,4,1,4,1,5
PORCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,19,19,19,19,38
POROMA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,10,20,10,20,30
PORONGO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,17,2,17,2,19
PORTACHUELO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,34,2,34,2,36
PORVENIR,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,13,4,13,4,17
POSTRER VALLE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,0,2,0,2,2
POTOSI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,411,9,411,9,420
PRESTO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,2,6,2,6,8
PUCARA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,1,0,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,14,19,14,19,33
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,3,13,3,13,16
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,9,6,9,6,15
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,6,5,6,5,11
PUERTO PEREZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,4,5,4,5,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,22,11,22,11,33
PUERTO RICO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,9,3,9,3,12
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,33,7,33,7,40
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,91,9,91,9,100
PUNA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,18,17,18,17,35
PUNATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,39,1,39,1,40
QUIABAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,3,2,3,2,5
QUILLACOLLO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,203,53,203,53,256
QUIME,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,15,4,15,4,19
QUIRUSILLAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,14,12,14,12,26
REYES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,15,7,15,7,22
RIBERALTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,213,16,213,16,229
ROBORE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,19,13,19,13,32
RURRENABAQUE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,33,3,33,3,36
SABAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,1,0,1,0,1
SACABA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,219,5,219,5,224
SACABAMBA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,5,1,5,1,6
SACACA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,29,9,29,9,38
SAIPINA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,11,4,11,4,15
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,4,4,4,4,8
SAMAIPATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,18,1,18,1,19
SAN AGUSTIN,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,3,0,3,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,12,2,12,2,14
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,1,3,1,3,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,8,0,8,0,8
SAN BENITO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,11,3,11,3,14
SAN BORJA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,69,7,69,7,76
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,14,2,14,2,16
SAN CARLOS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,41,7,41,7,48
SAN IGNACIO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,24,4,24,4,28
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,75,17,75,17,92
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,4,2,4,2,6
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,18,10,18,10,28
SAN JOAQUIN,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,10,0,10,0,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,30,0,30,0,30
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,19,1,19,1,20
SAN JULIAN,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,76,10,76,10,86
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,2,4,2,4,6
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,35,6,35,6,41
SAN LUCAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,25,15,25,15,40
SAN MATIAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,21,2,21,2,23
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,25,3,25,3,28
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,5,0,5,0,5
SAN PEDRO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,19,0,19,0,19
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,25,31,25,31,56
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,8,3,8,3,11
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,8,4,8,4,12
SAN RAFAEL,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,6,0,6,0,6
SAN RAMON BENI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,5,6,5,6,11
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,17,0,17,0,17
SANTA ANA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,22,4,22,4,26
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,2520,25,2520,25,2545
SANTA ROSA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,17,1,17,1,18
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,21,1,21,1,22
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,1,1,1,1,2
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,6,10,6,10,16
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,3,5,3,5,8
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,1,2,1,2,3
SANTIVAÑES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,14,2,14,2,16
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,3,2,3,2,5
SAPAHAQUI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,8,6,8,6,14
SENA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,5,0,5,0,5
SHINAOTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,48,4,48,4,52
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,28,12,28,12,40
SICAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,0,5,0,5,5
SIPE SIPE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,36,2,36,2,38
SOPACHUY,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,11,3,11,3,14
SORACACHI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,8,6,8,6,14
SORATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,13,19,13,19,32
SUCRE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,483,12,483,12,495
TACACHI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,2,2,2,2,4
TACACOMA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,10,3,10,3,13
TACOBAMBA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,2,3,2,3,5
TACOPAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,13,3,13,3,16
TAHUA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,0,2,0,2,2
TAPACARI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,25,17,25,17,42
TARABUCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,13,13,13,13,26
TARACO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,5,3,5,3,8
TARATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,10,3,10,3,13
TARIJA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,323,9,323,9,332
TARVITA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,10,10,10,10,20
TEOPONTE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,18,6,18,6,24
TIAWANACU,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,8,5,8,5,13
TINGUIPAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,34,20,34,20,54
TIPUANI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,13,3,13,3,16
TIQUIPAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,84,10,84,10,94
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,21,10,21,10,31
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,1,0,1,0,1
TOCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,6,3,6,3,9
TOLATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,10,0,10,0,10
TOLEDO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,5,0,5,0,5
TOMAVE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,5,13,5,13,18
TOMINA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,7,8,7,8,15
TORO TORO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,3,13,3,13,16
TOTORA(CBBA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,15,10,15,10,25
TOTORA(ORR),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,7,0,7,0,7
TRIGAL,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,2,0,2,0,2
TRINIDAD,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,186,4,186,4,190
TUPIZA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,98,8,98,8,106
TURCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,8,2,8,2,10
UMALA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,3,4,3,4,7
UNCIA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,21,10,21,10,31
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,19,2,19,2,21
URUBICHA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,13,8,13,8,21
UYUNI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,44,1,44,1,45
VACAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,10,5,10,5,15
VALLEGRANDE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,17,0,17,0,17
VIACHA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,101,13,101,13,114
VILA VILA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,1,1,1,1,2
VILLA CHARCAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,16,10,16,10,26
VILLA MONTES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,64,23,64,23,87
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,1,0,1,0,1
VILLA RIVERO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,5,2,5,2,7
VILLA SERRANO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,7,10,7,10,17
VILLA TUNARI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,131,16,131,16,147
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,5,5,5,5,10
VILLAZON,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,61,4,61,4,65
VINTO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,87,0,87,0,87
VITICHI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,19,6,19,6,25
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,1,1,1,1,2
WARNES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,232,24,232,24,256
YACO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,4,5,4,5,9
YACUIBA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,134,7,134,7,141
YAMPARAEZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,7,4,7,4,11
YANACACHI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,10,0,10,0,10
YAPACANI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,80,9,80,9,89
YOCALLA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,1,6,1,6,7
YOTALA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,5,5,5,5,10
YUNCHARA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,3,11,3,11,14
ZUDAÑEZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-04-01,4,7,4,7,11
ACACIO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,3,2,3,2,5
ACHACACHI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,42,10,42,10,52
ACHOCALLA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,8,11,8,11,19
AIQUILE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,22,6,22,6,28
ALALAY,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,1,7,1,7,8
ALCALA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,2,2,2,2,4
ALTO BENI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,28,0,28,0,28
ANCORAIMES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,9,14,9,14,23
ANDAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,3,1,3,1,4
ANTEQUERA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,4,0,4,0,4
ANZALDO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,5,8,5,8,13
APOLO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,20,10,20,10,30
ARAMPAMPA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,2,7,2,7,9
ARANI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,11,1,11,1,12
ARBIETO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,15,12,15,12,27
ARQUE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,14,6,14,6,20
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,54,11,54,11,65
ATOCHA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,12,12,12,12,24
AUCAPATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,5,6,5,6,11
AYATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,2,4,2,4,6
AYO AYO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,11,2,11,2,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,30,28,30,28,58
AZURDUY,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,11,7,11,7,18
BATALLAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,10,5,10,5,15
BAURES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,12,0,12,0,12
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,2,0,2,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,1,1,1,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,3,4,3,4,7
BERMEJO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,38,18,38,18,56
BETANZOS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,24,21,24,21,45
BOLIVAR,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,10,9,10,9,19
BOLPEBRA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,2,2,2,2,4
BOYUIBE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,11,0,11,0,11
BUENA VISTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,25,9,25,9,34
CABEZAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,49,9,49,9,58
CAIROMA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,10,4,10,4,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,7,1,7,1,8
CAJUATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,22,1,22,1,23
CALACOTO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,4,7,4,7,11
CALAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,16,5,16,5,21
CAMARGO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,18,3,18,3,21
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,4,0,4,0,4
CAMIRI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,70,9,70,9,79
CAPINOTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,39,3,39,3,42
CAQUIAVIRI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,7,1,7,1,8
CARACOLLO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,10,12,10,12,22
CARANAVI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,59,13,59,13,72
CARANGAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,0,1,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,22,2,22,2,24
CARIPUYO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-05-01,9,10,9,10,19
