municipality,group,variable,month,Tratamientos iniciados por sospecha,TOTAL
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2009-11-01,5,5
YACUIBA,malaria,tratamientos iniciados por sospecha,2009-11-01,3,3
ACACIO,malaria,tratamientos iniciados por sospecha,2009-12-01,2,2
APOLO,malaria,tratamientos iniciados por sospecha,2009-12-01,2,2
AZURDUY,malaria,tratamientos iniciados por sospecha,2009-12-01,5,5
BERMEJO,malaria,tratamientos iniciados por sospecha,2009-12-01,2,2
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-12-01,6,6
CARANAVI,malaria,tratamientos iniciados por sospecha,2009-12-01,6,6
CONCEPCION,malaria,tratamientos iniciados por sospecha,2009-12-01,1,1
COROICO,malaria,tratamientos iniciados por sospecha,2009-12-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2009-12-01,4,4
EL TORNO,malaria,tratamientos iniciados por sospecha,2009-12-01,15,15
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2009-12-01,2,2
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2009-12-01,4,4
OMEREQUE,malaria,tratamientos iniciados por sospecha,2009-12-01,1,1
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2009-12-01,20,20
PORONGO,malaria,tratamientos iniciados por sospecha,2009-12-01,22,22
RIBERALTA,malaria,tratamientos iniciados por sospecha,2009-12-01,5,5
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2009-12-01,1,1
SAIPINA,malaria,tratamientos iniciados por sospecha,2009-12-01,2,2
SAN CARLOS,malaria,tratamientos iniciados por sospecha,2009-12-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2009-12-01,12,12
SAN LORENZO(TJA),malaria,tratamientos iniciados por sospecha,2009-12-01,1,1
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2009-12-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-12-01,3,3
SANTA ANA,malaria,tratamientos iniciados por sospecha,2009-12-01,1,1
TEOPONTE,malaria,tratamientos iniciados por sospecha,2009-12-01,30,30
TORO TORO,malaria,tratamientos iniciados por sospecha,2009-12-01,27,27
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2009-12-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2009-12-01,2,2
YACUIBA,malaria,tratamientos iniciados por sospecha,2009-12-01,25,25
ZUDAÑEZ,malaria,tratamientos iniciados por sospecha,2009-12-01,4,4
