municipality,group,variable,month,Repetidas en personas de 60 años o más -Hombre,Repetidas en personas de 60 años o más -Mujer,TOTAL-H,TOTAL-M,TOTAL
POCOATA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,5,3,5,3,8
POOPO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,9,10,9,10,19
PORCO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,2,1,2,3
POROMA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2,2,2,2,4
PORTACHUELO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,23,27,23,27,50
POSTRER VALLE,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,9,1,9,10
POTOSI,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,934,1156,934,1156,2090
PRESTO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,3,0,3,3
PUCARANI,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,4,5,4,5,9
PUERTO ACOSTA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,45,33,45,33,78
PUERTO CARABUCO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,4,1,4,5
PUERTO GONZALO MORENO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,9,10,9,10,19
PUERTO PEREZ,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,2,0,2,2
PUERTO QUIJARRO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2,5,2,5,7
PUERTO RICO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,7,9,7,9,16
PUERTO SILES,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,3,4,3,4,7
PUERTO SUAREZ,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,9,14,9,14,23
PUERTO VILLARROEL,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2,5,2,5,7
PUNA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,12,9,12,9,21
PUNATA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,84,114,84,114,198
QUIABAYA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,4,0,4,4
QUILLACOLLO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,335,417,335,417,752
QUIME,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2,1,2,1,3
REYES,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,42,56,42,56,98
RIBERALTA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,155,206,155,206,361
ROBORE,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,14,14,14,14,28
RURRENABAQUE,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,43,23,43,23,66
SABAYA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,3,2,3,2,5
SACABA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,85,105,85,105,190
SACABAMBA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,4,1,4,5
SACACA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,1,0,1,1
SAIPINA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,3,6,3,6,9
SALINAS DE GARCI MENDOZA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,4,6,4,6,10
SAMAIPATA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,0,1,0,1
SAN AGUSTIN,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,1,1,1,2
SAN ANDRES,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,4,4,4,4,8
SAN ANDRES DE MACHACA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,2,0,2,2
SAN ANTONIO DE ESMORUCO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2,2,2,2,4
SAN ANTONIO DE LOMERIO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,0,1,0,1
SAN BENITO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,9,6,9,6,15
SAN BORJA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,48,46,48,46,94
SAN BUENA VENTURA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,2,1,2,3
SAN CARLOS,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,6,2,6,2,8
SAN IGNACIO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,9,5,9,5,14
SAN IGNACIO DE VELASCO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,71,74,71,74,145
SAN JAVIER(BNI),consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,3,1,3,1,4
SAN JAVIER(STC),consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,3,2,3,2,5
SAN JOAQUIN,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,10,22,10,22,32
SAN JOSE DE CHIQUITOS,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,18,26,18,26,44
SAN JUAN DE YAPACANI,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,3,6,3,6,9
SAN JULIAN,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,11,18,11,18,29
SAN LORENZO(PND),consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,3,2,3,2,5
SAN LORENZO(TJA),consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,4,7,4,7,11
SAN LUCAS,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,7,1,7,8
SAN MATIAS,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,31,78,31,78,109
SAN PABLO DE LIPEZ,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,6,5,6,5,11
SAN PEDRO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,4,3,4,3,7
SAN PEDRO DE CURAHUARA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,1,1,1,2
SAN PEDRO DE QUEMES,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,6,4,6,4,10
SAN RAFAEL,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,2,1,2,3
SAN RAMON,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,23,16,23,16,39
SAN RAMON,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,7,0,7,7
SANTA ANA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,85,126,85,126,211
SANTA CRUZ DE LA SIERRA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2372,4055,2372,4055,6427
SANTA ROSA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,1,0,1,1
SANTA ROSA DEL SARA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,7,2,7,2,9
SANTIAGO DE CALLAPA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,14,1,14,15
SANTIAGO DE HUARI,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,7,8,7,8,15
SANTIAGO DE MACHACA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,0,1,0,1
SANTIVAÑES,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,5,5,5,5,10
SAPAHAQUI,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2,3,2,3,5
SICA SICA (VILLA AROMA),consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,0,1,0,1
SICAYA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,1,0,1,1
SIPE SIPE,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,8,16,8,16,24
SOPACHUY,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,3,1,3,1,4
SORATA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,5,3,5,3,8
SUCRE,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1539,2076,1539,2076,3615
TACACHI,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,7,10,7,10,17
TACOBAMBA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,3,0,3,3
TACOPAYA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2,1,2,1,3
TAHUA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,1,0,1,1
TAPACARI,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2,7,2,7,9
TARABUCO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,9,27,9,27,36
TARACO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,2,1,2,3
TARATA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,3,1,3,4
TARIJA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1620,2363,1620,2363,3983
TARVITA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,3,12,3,12,15
TEOPONTE,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,0,1,0,1
TIAWANACU,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,1,0,1,1
TIPUANI,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,6,1,6,7
TIQUIPAYA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2,10,2,10,12
TIRAQUE (CBBA),consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2,7,2,7,9
TITO YUPANQUI (PARQUIPUJIO),consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,1,0,1,1
TOLATA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,1,0,1,1
TOMAVE,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,3,1,3,1,4
TOMINA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,1,0,1,1
TORO TORO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2,0,2,0,2
TOTORA(CBBA),consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,4,8,4,8,12
TRIGAL,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,0,1,0,1
TRINIDAD,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,177,182,177,182,359
TUPIZA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,49,58,49,58,107
TURCO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,2,0,2,2
UMALA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,0,1,0,1
UNCIA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,52,87,52,87,139
URUBICHA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,0,1,0,1
UYUNI,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,28,30,28,30,58
VACAS,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,17,11,17,11,28
VALLEGRANDE,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,149,201,149,201,350
VIACHA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,163,157,163,157,320
VILA VILA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,2,1,2,3
VILLA MONTES,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,61,65,61,65,126
VILLA RIVERO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,4,3,4,3,7
VILLA SERRANO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,1,2,1,2,3
VILLA TUNARI,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,26,13,26,13,39
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2,6,2,6,8
VILLAZON,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,83,78,83,78,161
VINTO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,4,7,4,7,11
VITICHI,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,7,14,7,14,21
WALDO BALLIVIAN,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,0,2,0,2,2
WARNES,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,38,41,38,41,79
YACO,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,3,0,3,0,3
YACUIBA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,118,261,118,261,379
YAMPARAEZ,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2,3,2,3,5
YANACACHI,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,3,1,3,1,4
YAPACANI,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,4,3,4,3,7
YOCALLA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2,3,2,3,5
YOTALA,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,10,13,10,13,23
ZUDAÑEZ,consulta externa,repetidas en personas de 60 anos o mas,2005-03-01,2,4,2,4,6
ACACIO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,3,0,3,3
ACHACACHI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,19,28,19,28,47
ACHOCALLA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,3,0,3,0,3
AIQUILE,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,32,43,32,43,75
ALCALA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,2,0,2,0,2
ANCORAIMES,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,2,2,2,2,4
ANDAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,2,0,2,2
ANTEQUERA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,1,0,1,1
ANZALDO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,2,0,2,0,2
APOLO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,6,6,6,6,12
ARANI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,7,2,7,2,9
ARBIETO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,2,2,2,2,4
ATOCHA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,32,48,32,48,80
AUCAPATA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,4,0,4,4
AYO AYO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,3,6,3,6,9
AZURDUY,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,2,4,2,4,6
BATALLAS,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,5,5,5,5,10
BAURES,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,15,13,15,13,28
BELEN DE ANDAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,0,1,0,1
BELEN DE URMIRI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,0,1,0,1
BERMEJO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,51,57,51,57,108
BETANZOS,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,31,48,31,48,79
BOLIVAR,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,2,1,2,3
BOLPEBRA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,1,0,1,1
BOYUIBE,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,7,3,7,3,10
BUENA VISTA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,38,24,38,24,62
CAIROMA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,6,6,6,6,12
"CAIZA ""D""",consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,3,0,3,3
CAJUATA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,2,3,2,3,5
CALACOTO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,8,6,8,6,14
CALAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,1,1,1,2
CAMARGO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,12,30,12,30,42
CAMATAQUI (C. VILLA ABECIA),consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,4,1,4,5
CAMIRI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,40,96,40,96,136
CAPINOTA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,11,15,11,15,26
CAQUIAVIRI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,13,4,13,4,17
CARACOLLO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,14,12,14,12,26
CARANAVI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,5,4,5,4,9
CARAPARI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,1,1,1,2
CATACORA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,2,0,2,2
CHALLAPATA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,12,10,12,10,22
CHAQUI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,1,0,1,1
CHARAGUA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,3,2,3,2,5
CHARAÑA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,0,1,0,1
CHAYANTA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,3,9,3,9,12
CHIMORE,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,4,0,4,0,4
CHULUMANI (V. DE LA LIBERTAD),consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,53,24,53,24,77
CHUMA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,7,13,7,13,20
CLIZA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,1,0,1,1
COBIJA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,57,132,57,132,189
COCHABAMBA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,4698,6207,4698,6207,10905
COLCAPIRHUA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,64,90,64,90,154
"COLCHA ""K""",consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,3,6,3,6,9
COLLANA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,3,0,3,0,3
COLOMI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,0,1,0,1
COLPA BELGICA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,42,29,42,29,71
COLQUECHACA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,6,6,6,6,12
COLQUENCHA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,2,2,2,2,4
COLQUIRI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,1,1,1,2
COMANCHE,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,2,0,2,2
COMARAPA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,8,24,8,24,32
COMBAYA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,4,1,4,5
CONCEPCION,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,4,0,4,4
CORIPATA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,0,1,0,1
CORO CORO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,1,0,1,1
COROICO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,33,53,33,53,86
CORQUE,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,9,10,9,10,19
COTAGAITA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,19,27,19,27,46
CUATRO CAÑADAS,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,2,1,2,3
CUEVO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,1,0,1,1
CULPINA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,2,2,2,2,4
CURAHUARA DE CARANGAS,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,6,0,6,0,6
DESAGUADERO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,3,0,3,3
EL ALTO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,717,897,717,897,1614
EL CHORO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,2,1,2,3
EL PUENTE(STC),consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,2,2,2,2,4
EL PUENTE(TJA),consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,2,1,2,1,3
EL TORNO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,165,154,165,154,319
EL VILLAR,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,1,1,1,2
ENTRE RIOS,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,27,7,27,7,34
ENTRE RIOS,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,5,2,5,2,7
EXALTACION,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,1,1,1,2
FERNANDEZ ALONSO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,5,6,5,6,11
GENERAL SAAVEDRA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,3,1,3,4
GUAYARAMERIN,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,118,126,118,126,244
GUTIERREZ,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,2,2,2,2,4
HUACARETA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,3,3,3,3,6
HUACHACALLA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,2,0,2,0,2
HUANUNI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,2,1,2,3
HUARACAJE,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,4,1,4,5
ICLA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,4,0,4,0,4
INCAHUASI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,5,0,5,0,5
INQUISIVI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,11,2,11,2,13
IXIAMAS,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,1,1,1,2
JESUS DE MACHACA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,6,5,6,5,11
LA GUARDIA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,6,3,6,3,9
LA PAZ,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,9043,12028,9043,12028,21071
LAGUNILLAS,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,1,1,1,2
LAJA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,5,1,5,6
LAS CARRERAS,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,11,1,11,12
LLALLAGUA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,45,47,45,47,92
LLICA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,3,7,3,7,10
LORETO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,17,1,17,1,18
LURIBAY,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,1,0,1,1
MACHACAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,37,58,37,58,95
MACHARETI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,3,1,3,1,4
MAGDALENA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,76,107,76,107,183
MAPIRI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,4,1,4,1,5
MECAPACA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,10,8,10,8,18
MINEROS,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,2,1,2,1,3
MIZQUE,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,3,2,3,2,5
MOCOMOCO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,5,6,5,6,11
MOJINETE,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,9,4,9,4,13
MOJOCOYA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,2,1,2,1,3
MONTEAGUDO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,60,67,60,67,127
MONTERO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,518,628,518,628,1146
MORO MORO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,1,0,1,1
MOROCHATA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,5,4,5,4,9
OKINAWA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,5,10,5,10,15
OMEREQUE,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,0,1,0,1
ORURO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1455,1758,1455,1758,3213
PADCAYA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,7,8,7,8,15
PADILLA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,14,19,14,19,33
PALCA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,4,2,4,2,6
PALOS BLANCOS,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,15,4,15,4,19
PAMPA GRANDE,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,3,2,3,2,5
PAPEL PAMPA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,0,1,0,1
PASORAPA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,2,0,2,2
PATACAMAYA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,5,1,5,1,6
PAZÑA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,11,11,11,11,22
PELECHUCO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,2,0,2,2
POCOATA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,3,1,3,4
POCONA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,2,1,2,3
POJO (CBBA),consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,0,1,0,1
POOPO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,10,15,10,15,25
PORCO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,1,0,1,1
POROMA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,3,2,3,2,5
PORONGO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,1,1,1,2
PORTACHUELO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,15,30,15,30,45
PORVENIR,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,9,1,9,1,10
POSTRER VALLE,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,9,13,9,13,22
POTOSI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1036,1340,1036,1340,2376
PRESTO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,0,1,0,1,1
PUCARA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,6,1,6,7
PUCARANI,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,3,3,3,3,6
PUERTO ACOSTA,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,26,21,26,21,47
PUERTO CARABUCO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,2,5,2,5,7
PUERTO GONZALO MORENO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,4,3,4,3,7
PUERTO PEREZ,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,1,1,1,1,2
PUERTO QUIJARRO,consulta externa,repetidas en personas de 60 anos o mas,2005-04-01,12,13,12,13,25
