,group,variable,month,TOTAL 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
EUREKA (SANTOS MERCADO),vih,       n de personas con prueba rapida,2014-03-01,4,14,18
FERNANDEZ ALONSO,vih,       n de personas con prueba rapida,2014-03-01,14,7,21
FILADELFIA,vih,       n de personas con prueba rapida,2014-03-01,8,11,19
GENERAL SAAVEDRA,vih,       n de personas con prueba rapida,2014-03-01,0,26,26
GUANAY,vih,       n de personas con prueba rapida,2014-03-01,1,3,4
GUAQUI,vih,       n de personas con prueba rapida,2014-03-01,136,1,137
GUAYARAMERIN,vih,       n de personas con prueba rapida,2014-03-01,127,307,434
GUTIERREZ,vih,       n de personas con prueba rapida,2014-03-01,0,11,11
HUACARETA,vih,       n de personas con prueba rapida,2014-03-01,0,12,12
HUACAYA (VILLA DE HUACAYA),vih,       n de personas con prueba rapida,2014-03-01,1,0,1
HUACHACALLA,vih,       n de personas con prueba rapida,2014-03-01,0,3,3
HUANUNI,vih,       n de personas con prueba rapida,2014-03-01,3,0,3
ICLA,vih,       n de personas con prueba rapida,2014-03-01,0,1,1
INCAHUASI,vih,       n de personas con prueba rapida,2014-03-01,0,5,5
INGAVI (HUMAITA),vih,       n de personas con prueba rapida,2014-03-01,1,1,2
INQUISIVI,vih,       n de personas con prueba rapida,2014-03-01,1,0,1
IRUPANA (VILLA DE LANZA),vih,       n de personas con prueba rapida,2014-03-01,0,1,1
LA ASUNTA,vih,       n de personas con prueba rapida,2014-03-01,7,2,9
LA GUARDIA,vih,       n de personas con prueba rapida,2014-03-01,13,12,25
LA PAZ,vih,       n de personas con prueba rapida,2014-03-01,320,2406,2726
LAS CARRERAS,vih,       n de personas con prueba rapida,2014-03-01,0,1,1
LLALLAGUA,vih,       n de personas con prueba rapida,2014-03-01,10,185,195
MACHACAMARCA,vih,       n de personas con prueba rapida,2014-03-01,1,4,5
MACHARETI,vih,       n de personas con prueba rapida,2014-03-01,0,5,5
MAIRANA,vih,       n de personas con prueba rapida,2014-03-01,1,9,10
MINEROS,vih,       n de personas con prueba rapida,2014-03-01,2,0,2
MIZQUE,vih,       n de personas con prueba rapida,2014-03-01,5,62,67
MOJOCOYA,vih,       n de personas con prueba rapida,2014-03-01,0,1,1
MONTEAGUDO,vih,       n de personas con prueba rapida,2014-03-01,13,57,70
MONTERO,vih,       n de personas con prueba rapida,2014-03-01,44,110,154
NACEBE (SANTA ROSA DEL ABUNA),vih,       n de personas con prueba rapida,2014-03-01,2,10,12
NUEVO MANOA (NUEVA ESPERANZA),vih,       n de personas con prueba rapida,2014-03-01,1,15,16
OMEREQUE,vih,       n de personas con prueba rapida,2014-03-01,1,1,2
ORURO,vih,       n de personas con prueba rapida,2014-03-01,153,456,609
PADCAYA,vih,       n de personas con prueba rapida,2014-03-01,0,29,29
PADILLA,vih,       n de personas con prueba rapida,2014-03-01,3,4,7
PAILON,vih,       n de personas con prueba rapida,2014-03-01,10,15,25
PALOS BLANCOS,vih,       n de personas con prueba rapida,2014-03-01,4,3,7
PAMPA GRANDE,vih,       n de personas con prueba rapida,2014-03-01,0,1,1
PATACAMAYA,vih,       n de personas con prueba rapida,2014-03-01,22,19,41
PAZÑA,vih,       n de personas con prueba rapida,2014-03-01,5,13,18
PORCO,vih,       n de personas con prueba rapida,2014-03-01,3,21,24
POROMA,vih,       n de personas con prueba rapida,2014-03-01,0,6,6
PORONGO,vih,       n de personas con prueba rapida,2014-03-01,16,17,33
PORTACHUELO,vih,       n de personas con prueba rapida,2014-03-01,3,4,7
PORVENIR,vih,       n de personas con prueba rapida,2014-03-01,6,7,13
POTOSI,vih,       n de personas con prueba rapida,2014-03-01,2,538,540
PRESTO,vih,       n de personas con prueba rapida,2014-03-01,0,2,2
PUCARANI,vih,       n de personas con prueba rapida,2014-03-01,0,3,3
PUERTO GONZALO MORENO,vih,       n de personas con prueba rapida,2014-03-01,33,60,93
PUERTO QUIJARRO,vih,       n de personas con prueba rapida,2014-03-01,13,15,28
PUERTO RICO,vih,       n de personas con prueba rapida,2014-03-01,1,36,37
PUERTO SUAREZ,vih,       n de personas con prueba rapida,2014-03-01,9,68,77
PUERTO VILLARROEL,vih,       n de personas con prueba rapida,2014-03-01,32,58,90
PUNATA,vih,       n de personas con prueba rapida,2014-03-01,12,139,151
QUILLACOLLO,vih,       n de personas con prueba rapida,2014-03-01,0,1,1
QUIME,vih,       n de personas con prueba rapida,2014-03-01,11,15,26
REYES,vih,       n de personas con prueba rapida,2014-03-01,0,13,13
RIBERALTA,vih,       n de personas con prueba rapida,2014-03-01,17,3,20
ROBORE,vih,       n de personas con prueba rapida,2014-03-01,5,6,11
RURRENABAQUE,vih,       n de personas con prueba rapida,2014-03-01,2,55,57
SACABA,vih,       n de personas con prueba rapida,2014-03-01,10,105,115
SACACA,vih,       n de personas con prueba rapida,2014-03-01,1,3,4
SALINAS DE GARCI MENDOZA,vih,       n de personas con prueba rapida,2014-03-01,12,23,35
SAN BENITO,vih,       n de personas con prueba rapida,2014-03-01,0,15,15
SAN BORJA,vih,       n de personas con prueba rapida,2014-03-01,1,0,1
SAN BUENA VENTURA,vih,       n de personas con prueba rapida,2014-03-01,0,5,5
SAN CARLOS,vih,       n de personas con prueba rapida,2014-03-01,11,6,17
SAN IGNACIO,vih,       n de personas con prueba rapida,2014-03-01,7,21,28
SAN IGNACIO DE VELASCO,vih,       n de personas con prueba rapida,2014-03-01,26,196,222
SAN JAVIER(STC),vih,       n de personas con prueba rapida,2014-03-01,0,28,28
SAN JOSE DE CHIQUITOS,vih,       n de personas con prueba rapida,2014-03-01,4,23,27
SAN JUAN DE YAPACANI,vih,       n de personas con prueba rapida,2014-03-01,19,16,35
SAN JULIAN,vih,       n de personas con prueba rapida,2014-03-01,9,50,59
SAN LORENZO(PND),vih,       n de personas con prueba rapida,2014-03-01,0,5,5
SAN LORENZO(TJA),vih,       n de personas con prueba rapida,2014-03-01,1,0,1
SAN LUCAS,vih,       n de personas con prueba rapida,2014-03-01,9,75,84
SAN MATIAS,vih,       n de personas con prueba rapida,2014-03-01,1,32,33
SAN PEDRO,vih,       n de personas con prueba rapida,2014-03-01,31,42,73
SAN PEDRO(PND),vih,       n de personas con prueba rapida,2014-03-01,0,2,2
SAN RAMON BENI,vih,       n de personas con prueba rapida,2014-03-01,0,1,1
SANTA ANA,vih,       n de personas con prueba rapida,2014-03-01,1,9,10
SANTA CRUZ DE LA SIERRA,vih,       n de personas con prueba rapida,2014-03-01,560,675,1235
SANTA ROSA,vih,       n de personas con prueba rapida,2014-03-01,0,5,5
SANTA ROSA DEL SARA,vih,       n de personas con prueba rapida,2014-03-01,2,0,2
SANTIVAÑES,vih,       n de personas con prueba rapida,2014-03-01,7,24,31
SENA,vih,       n de personas con prueba rapida,2014-03-01,0,15,15
SHINAOTA,vih,       n de personas con prueba rapida,2014-03-01,11,15,26
SIPE SIPE,vih,       n de personas con prueba rapida,2014-03-01,0,14,14
SOPACHUY,vih,       n de personas con prueba rapida,2014-03-01,21,44,65
SUCRE,vih,       n de personas con prueba rapida,2014-03-01,130,155,285
TAPACARI,vih,       n de personas con prueba rapida,2014-03-01,25,24,49
TARABUCO,vih,       n de personas con prueba rapida,2014-03-01,12,42,54
TARATA,vih,       n de personas con prueba rapida,2014-03-01,0,12,12
TARIJA,vih,       n de personas con prueba rapida,2014-03-01,265,190,455
TARVITA,vih,       n de personas con prueba rapida,2014-03-01,3,8,11
TEOPONTE,vih,       n de personas con prueba rapida,2014-03-01,2,8,10
TIPUANI,vih,       n de personas con prueba rapida,2014-03-01,2,0,2
TIQUIPAYA,vih,       n de personas con prueba rapida,2014-03-01,26,58,84
TOLATA,vih,       n de personas con prueba rapida,2014-03-01,1,1,2
TOMINA,vih,       n de personas con prueba rapida,2014-03-01,2,1,3
TOTORA(CBBA),vih,       n de personas con prueba rapida,2014-03-01,4,63,67
TRINIDAD,vih,       n de personas con prueba rapida,2014-03-01,83,124,207
UNCIA,vih,       n de personas con prueba rapida,2014-03-01,1,16,17
URUBICHA,vih,       n de personas con prueba rapida,2014-03-01,13,6,19
UYUNI,vih,       n de personas con prueba rapida,2014-03-01,1,18,19
VALLEGRANDE,vih,       n de personas con prueba rapida,2014-03-01,2,129,131
VIACHA,vih,       n de personas con prueba rapida,2014-03-01,18,122,140
VILLA CHARCAS,vih,       n de personas con prueba rapida,2014-03-01,3,33,36
VILLA MONTES,vih,       n de personas con prueba rapida,2014-03-01,55,118,173
VILLA RIVERO,vih,       n de personas con prueba rapida,2014-03-01,1,0,1
VILLA SERRANO,vih,       n de personas con prueba rapida,2014-03-01,38,165,203
VILLA TUNARI,vih,       n de personas con prueba rapida,2014-03-01,2,2,4
VILLA VACA GUZMAN (MUYUPAMPA),vih,       n de personas con prueba rapida,2014-03-01,8,9,17
VILLAZON,vih,       n de personas con prueba rapida,2014-03-01,1,19,20
VINTO,vih,       n de personas con prueba rapida,2014-03-01,0,5,5
WARNES,vih,       n de personas con prueba rapida,2014-03-01,13,30,43
YACUIBA,vih,       n de personas con prueba rapida,2014-03-01,27,135,162
YAPACANI,vih,       n de personas con prueba rapida,2014-03-01,7,8,15
YUNCHARA,vih,       n de personas con prueba rapida,2014-03-01,4,2,6
ZUDAÑEZ,vih,       n de personas con prueba rapida,2014-03-01,9,12,21
ACACIO,vih,       n de personas con prueba rapida,2014-04-01,8,2,10
ACHACACHI,vih,       n de personas con prueba rapida,2014-04-01,4,47,51
AIQUILE,vih,       n de personas con prueba rapida,2014-04-01,4,7,11
ALCALA,vih,       n de personas con prueba rapida,2014-04-01,6,19,25
ALTO BENI,vih,       n de personas con prueba rapida,2014-04-01,1,0,1
ANTEQUERA,vih,       n de personas con prueba rapida,2014-04-01,4,33,37
APOLO,vih,       n de personas con prueba rapida,2014-04-01,1,26,27
ARAMPAMPA,vih,       n de personas con prueba rapida,2014-04-01,39,37,76
ARBIETO,vih,       n de personas con prueba rapida,2014-04-01,0,32,32
ARQUE,vih,       n de personas con prueba rapida,2014-04-01,0,1,1
ASCENCION DE GUARAYOS,vih,       n de personas con prueba rapida,2014-04-01,128,233,361
AYOPAYA (V. DE INDEPENDENCIA),vih,       n de personas con prueba rapida,2014-04-01,1,19,20
AZURDUY,vih,       n de personas con prueba rapida,2014-04-01,3,9,12
BERMEJO,vih,       n de personas con prueba rapida,2014-04-01,1,10,11
BETANZOS,vih,       n de personas con prueba rapida,2014-04-01,0,1,1
BOLPEBRA,vih,       n de personas con prueba rapida,2014-04-01,8,23,31
BUENA VISTA,vih,       n de personas con prueba rapida,2014-04-01,1,7,8
CABEZAS,vih,       n de personas con prueba rapida,2014-04-01,1,7,8
"CAIZA ""D""",vih,       n de personas con prueba rapida,2014-04-01,10,22,32
CAMARGO,vih,       n de personas con prueba rapida,2014-04-01,4,54,58
CAMATAQUI (C. VILLA ABECIA),vih,       n de personas con prueba rapida,2014-04-01,0,11,11
CAMIRI,vih,       n de personas con prueba rapida,2014-04-01,106,225,331
CAPINOTA,vih,       n de personas con prueba rapida,2014-04-01,2,41,43
CARACOLLO,vih,       n de personas con prueba rapida,2014-04-01,8,0,8
CARAPARI,vih,       n de personas con prueba rapida,2014-04-01,0,22,22
CARMEN RIVERO TORREZ,vih,       n de personas con prueba rapida,2014-04-01,1,0,1
CHALLAPATA,vih,       n de personas con prueba rapida,2014-04-01,1,59,60
CHARAGUA,vih,       n de personas con prueba rapida,2014-04-01,2,2,4
CHIMORE,vih,       n de personas con prueba rapida,2014-04-01,2,6,8
CHULUMANI (V. DE LA LIBERTAD),vih,       n de personas con prueba rapida,2014-04-01,7,8,15
CHUMA,vih,       n de personas con prueba rapida,2014-04-01,4,3,7
CHUQUIHUTA AYLLU JUCUMANI,vih,       n de personas con prueba rapida,2014-04-01,0,5,5
CKOCHAS,vih,       n de personas con prueba rapida,2014-04-01,0,9,9
CLIZA,vih,       n de personas con prueba rapida,2014-04-01,4,82,86
COBIJA,vih,       n de personas con prueba rapida,2014-04-01,7,87,94
COCHABAMBA,vih,       n de personas con prueba rapida,2014-04-01,73,677,750
COMARAPA,vih,       n de personas con prueba rapida,2014-04-01,12,68,80
CORIPATA,vih,       n de personas con prueba rapida,2014-04-01,2,18,20
CORO CORO,vih,       n de personas con prueba rapida,2014-04-01,0,8,8
COROICO,vih,       n de personas con prueba rapida,2014-04-01,2,1,3
COTOCA,vih,       n de personas con prueba rapida,2014-04-01,2,4,6
CULPINA,vih,       n de personas con prueba rapida,2014-04-01,4,44,48
DESAGUADERO,vih,       n de personas con prueba rapida,2014-04-01,5,12,17
EL ALTO,vih,       n de personas con prueba rapida,2014-04-01,516,1813,2329
EL PUENTE(STC),vih,       n de personas con prueba rapida,2014-04-01,8,15,23
EL PUENTE(TJA),vih,       n de personas con prueba rapida,2014-04-01,0,1,1
EL TORNO,vih,       n de personas con prueba rapida,2014-04-01,33,152,185
EL VILLAR,vih,       n de personas con prueba rapida,2014-04-01,0,2,2
ENTRE RIOS TRJ,vih,       n de personas con prueba rapida,2014-04-01,0,3,3
ENTRE RIOS CBBA,vih,       n de personas con prueba rapida,2014-04-01,1,1,2
ESCOMA,vih,       n de personas con prueba rapida,2014-04-01,0,7,7
EUCALIPTUS,vih,       n de personas con prueba rapida,2014-04-01,2,9,11
EUREKA (SANTOS MERCADO),vih,       n de personas con prueba rapida,2014-04-01,0,2,2
FERNANDEZ ALONSO,vih,       n de personas con prueba rapida,2014-04-01,9,21,30
GENERAL SAAVEDRA,vih,       n de personas con prueba rapida,2014-04-01,0,32,32
GUANAY,vih,       n de personas con prueba rapida,2014-04-01,4,3,7
GUAQUI,vih,       n de personas con prueba rapida,2014-04-01,55,2,57
GUAYARAMERIN,vih,       n de personas con prueba rapida,2014-04-01,116,205,321
GUTIERREZ,vih,       n de personas con prueba rapida,2014-04-01,0,2,2
HUACARETA,vih,       n de personas con prueba rapida,2014-04-01,1,9,10
HUACAYA (VILLA DE HUACAYA),vih,       n de personas con prueba rapida,2014-04-01,0,1,1
HUACHACALLA,vih,       n de personas con prueba rapida,2014-04-01,0,1,1
HUANUNI,vih,       n de personas con prueba rapida,2014-04-01,1,2,3
HUAYLLAMARCA,vih,       n de personas con prueba rapida,2014-04-01,0,1,1
INCAHUASI,vih,       n de personas con prueba rapida,2014-04-01,2,2,4
INGAVI (HUMAITA),vih,       n de personas con prueba rapida,2014-04-01,0,3,3
INQUISIVI,vih,       n de personas con prueba rapida,2014-04-01,1,1,2
IRUPANA (VILLA DE LANZA),vih,       n de personas con prueba rapida,2014-04-01,2,0,2
LA GUARDIA,vih,       n de personas con prueba rapida,2014-04-01,38,98,136
LA PAZ,vih,       n de personas con prueba rapida,2014-04-01,838,2078,2916
LAS CARRERAS,vih,       n de personas con prueba rapida,2014-04-01,0,5,5
LLALLAGUA,vih,       n de personas con prueba rapida,2014-04-01,10,155,165
MACHACAMARCA,vih,       n de personas con prueba rapida,2014-04-01,1,0,1
MACHARETI,vih,       n de personas con prueba rapida,2014-04-01,1,13,14
MAIRANA,vih,       n de personas con prueba rapida,2014-04-01,2,0,2
MAPIRI,vih,       n de personas con prueba rapida,2014-04-01,2,0,2
MINEROS,vih,       n de personas con prueba rapida,2014-04-01,4,2,6
MIZQUE,vih,       n de personas con prueba rapida,2014-04-01,3,43,46
MOJOCOYA,vih,       n de personas con prueba rapida,2014-04-01,2,4,6
MONTEAGUDO,vih,       n de personas con prueba rapida,2014-04-01,6,36,42
MONTERO,vih,       n de personas con prueba rapida,2014-04-01,48,84,132
NACEBE (SANTA ROSA DEL ABUNA),vih,       n de personas con prueba rapida,2014-04-01,5,22,27
NUEVO MANOA (NUEVA ESPERANZA),vih,       n de personas con prueba rapida,2014-04-01,0,2,2
OMEREQUE,vih,       n de personas con prueba rapida,2014-04-01,1,0,1
ORURO,vih,       n de personas con prueba rapida,2014-04-01,67,394,461
PADCAYA,vih,       n de personas con prueba rapida,2014-04-01,0,27,27
PADILLA,vih,       n de personas con prueba rapida,2014-04-01,0,8,8
PAILON,vih,       n de personas con prueba rapida,2014-04-01,11,75,86
PAMPA GRANDE,vih,       n de personas con prueba rapida,2014-04-01,1,2,3
PATACAMAYA,vih,       n de personas con prueba rapida,2014-04-01,5,16,21
PAZÑA,vih,       n de personas con prueba rapida,2014-04-01,26,28,54
POCOATA,vih,       n de personas con prueba rapida,2014-04-01,10,10,20
PORCO,vih,       n de personas con prueba rapida,2014-04-01,5,24,29
POROMA,vih,       n de personas con prueba rapida,2014-04-01,0,10,10
PORONGO,vih,       n de personas con prueba rapida,2014-04-01,25,0,25
PORTACHUELO,vih,       n de personas con prueba rapida,2014-04-01,0,7,7
POTOSI,vih,       n de personas con prueba rapida,2014-04-01,52,301,353
PRESTO,vih,       n de personas con prueba rapida,2014-04-01,2,2,4
PUCARANI,vih,       n de personas con prueba rapida,2014-04-01,0,1,1
PUERTO GONZALO MORENO,vih,       n de personas con prueba rapida,2014-04-01,32,80,112
PUERTO QUIJARRO,vih,       n de personas con prueba rapida,2014-04-01,9,15,24
PUERTO RICO,vih,       n de personas con prueba rapida,2014-04-01,1,42,43
PUERTO VILLARROEL,vih,       n de personas con prueba rapida,2014-04-01,14,48,62
PUNATA,vih,       n de personas con prueba rapida,2014-04-01,15,181,196
QUIME,vih,       n de personas con prueba rapida,2014-04-01,1,3,4
REYES,vih,       n de personas con prueba rapida,2014-04-01,0,9,9
RIBERALTA,vih,       n de personas con prueba rapida,2014-04-01,21,0,21
ROBORE,vih,       n de personas con prueba rapida,2014-04-01,3,5,8
RURRENABAQUE,vih,       n de personas con prueba rapida,2014-04-01,41,67,108
SACABA,vih,       n de personas con prueba rapida,2014-04-01,18,114,132
SACACA,vih,       n de personas con prueba rapida,2014-04-01,2,4,6
SAIPINA,vih,       n de personas con prueba rapida,2014-04-01,0,1,1
SALINAS DE GARCI MENDOZA,vih,       n de personas con prueba rapida,2014-04-01,0,1,1
SAMAIPATA,vih,       n de personas con prueba rapida,2014-04-01,1,1,2
SAN BENITO,vih,       n de personas con prueba rapida,2014-04-01,1,14,15
SAN BORJA,vih,       n de personas con prueba rapida,2014-04-01,6,16,22
SAN CARLOS,vih,       n de personas con prueba rapida,2014-04-01,15,7,22
SAN IGNACIO,vih,       n de personas con prueba rapida,2014-04-01,6,34,40
SAN IGNACIO DE VELASCO,vih,       n de personas con prueba rapida,2014-04-01,8,33,41
SAN JAVIER(BNI),vih,       n de personas con prueba rapida,2014-04-01,0,3,3
SAN JAVIER(STC),vih,       n de personas con prueba rapida,2014-04-01,2,31,33
SAN JOSE DE CHIQUITOS,vih,       n de personas con prueba rapida,2014-04-01,11,20,31
SAN JUAN DE YAPACANI,vih,       n de personas con prueba rapida,2014-04-01,1,9,10
SAN JULIAN,vih,       n de personas con prueba rapida,2014-04-01,4,11,15
SAN LORENZO(PND),vih,       n de personas con prueba rapida,2014-04-01,0,9,9
SAN LORENZO(TJA),vih,       n de personas con prueba rapida,2014-04-01,1,1,2
SAN LUCAS,vih,       n de personas con prueba rapida,2014-04-01,3,41,44
SAN MATIAS,vih,       n de personas con prueba rapida,2014-04-01,2,29,31
SAN MIGUEL DE VELASCO,vih,       n de personas con prueba rapida,2014-04-01,1,0,1
SAN PEDRO,vih,       n de personas con prueba rapida,2014-04-01,12,17,29
SAN RAFAEL,vih,       n de personas con prueba rapida,2014-04-01,1,0,1
SAN RAMON BENI,vih,       n de personas con prueba rapida,2014-04-01,5,1,6
SANTA ANA,vih,       n de personas con prueba rapida,2014-04-01,3,0,3
SANTA CRUZ DE LA SIERRA,vih,       n de personas con prueba rapida,2014-04-01,373,1652,2025
SANTA ROSA,vih,       n de personas con prueba rapida,2014-04-01,0,1,1
SANTA ROSA DEL SARA,vih,       n de personas con prueba rapida,2014-04-01,1,1,2
SANTIVAÑES,vih,       n de personas con prueba rapida,2014-04-01,20,8,28
SENA,vih,       n de personas con prueba rapida,2014-04-01,1,16,17
SHINAOTA,vih,       n de personas con prueba rapida,2014-04-01,10,25,35
SICAYA,vih,       n de personas con prueba rapida,2014-04-01,1,5,6
SIPE SIPE,vih,       n de personas con prueba rapida,2014-04-01,0,2,2
SOPACHUY,vih,       n de personas con prueba rapida,2014-04-01,1,30,31
SORACACHI,vih,       n de personas con prueba rapida,2014-04-01,1,2,3
SUCRE,vih,       n de personas con prueba rapida,2014-04-01,314,353,667
TAPACARI,vih,       n de personas con prueba rapida,2014-04-01,2,38,40
TARABUCO,vih,       n de personas con prueba rapida,2014-04-01,0,21,21
TARIJA,vih,       n de personas con prueba rapida,2014-04-01,66,281,347
TARVITA,vih,       n de personas con prueba rapida,2014-04-01,3,11,14
TEOPONTE,vih,       n de personas con prueba rapida,2014-04-01,0,8,8
TIPUANI,vih,       n de personas con prueba rapida,2014-04-01,3,0,3
TIQUIPAYA,vih,       n de personas con prueba rapida,2014-04-01,4,40,44
TOLATA,vih,       n de personas con prueba rapida,2014-04-01,1,1,2
TOLEDO,vih,       n de personas con prueba rapida,2014-04-01,0,2,2
TOMINA,vih,       n de personas con prueba rapida,2014-04-01,0,2,2
TOTORA(CBBA),vih,       n de personas con prueba rapida,2014-04-01,3,65,68
TOTORA(ORR),vih,       n de personas con prueba rapida,2014-04-01,0,2,2
TRINIDAD,vih,       n de personas con prueba rapida,2014-04-01,32,112,144
UNCIA,vih,       n de personas con prueba rapida,2014-04-01,1,26,27
URUBICHA,vih,       n de personas con prueba rapida,2014-04-01,2,0,2
UYUNI,vih,       n de personas con prueba rapida,2014-04-01,0,30,30
VACAS,vih,       n de personas con prueba rapida,2014-04-01,8,20,28
VALLEGRANDE,vih,       n de personas con prueba rapida,2014-04-01,1,59,60
VIACHA,vih,       n de personas con prueba rapida,2014-04-01,35,124,159
VILLA CHARCAS,vih,       n de personas con prueba rapida,2014-04-01,0,50,50
VILLA MONTES,vih,       n de personas con prueba rapida,2014-04-01,34,32,66
VILLA RIVERO,vih,       n de personas con prueba rapida,2014-04-01,0,14,14
VILLA SERRANO,vih,       n de personas con prueba rapida,2014-04-01,8,52,60
VILLA TUNARI,vih,       n de personas con prueba rapida,2014-04-01,19,313,332
VILLA VACA GUZMAN (MUYUPAMPA),vih,       n de personas con prueba rapida,2014-04-01,5,5,10
VILLAZON,vih,       n de personas con prueba rapida,2014-04-01,18,37,55
VINTO,vih,       n de personas con prueba rapida,2014-04-01,0,6,6
VITICHI,vih,       n de personas con prueba rapida,2014-04-01,3,3,6
WARNES,vih,       n de personas con prueba rapida,2014-04-01,14,8,22
YACUIBA,vih,       n de personas con prueba rapida,2014-04-01,26,41,67
YAMPARAEZ,vih,       n de personas con prueba rapida,2014-04-01,1,14,15
YAPACANI,vih,       n de personas con prueba rapida,2014-04-01,11,31,42
YOTALA,vih,       n de personas con prueba rapida,2014-04-01,1,2,3
YUNCHARA,vih,       n de personas con prueba rapida,2014-04-01,3,10,13
ZUDAÑEZ,vih,       n de personas con prueba rapida,2014-04-01,0,1,1
ACACIO,vih,       n de personas con prueba rapida,2014-05-01,1,14,15
ACHACACHI,vih,       n de personas con prueba rapida,2014-05-01,29,20,49
AIQUILE,vih,       n de personas con prueba rapida,2014-05-01,3,8,11
ALCALA,vih,       n de personas con prueba rapida,2014-05-01,8,14,22
ANTEQUERA,vih,       n de personas con prueba rapida,2014-05-01,0,4,4
ARANI,vih,       n de personas con prueba rapida,2014-05-01,0,4,4
ARBIETO,vih,       n de personas con prueba rapida,2014-05-01,1,5,6
ARQUE,vih,       n de personas con prueba rapida,2014-05-01,0,4,4
ASCENCION DE GUARAYOS,vih,       n de personas con prueba rapida,2014-05-01,10,55,65
ATOCHA,vih,       n de personas con prueba rapida,2014-05-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vih,       n de personas con prueba rapida,2014-05-01,13,7,20
AZURDUY,vih,       n de personas con prueba rapida,2014-05-01,2,31,33
BELEN DE ANDAMARCA,vih,       n de personas con prueba rapida,2014-05-01,0,1,1
BELLA FLOR,vih,       n de personas con prueba rapida,2014-05-01,0,2,2
BERMEJO,vih,       n de personas con prueba rapida,2014-05-01,6,62,68
BETANZOS,vih,       n de personas con prueba rapida,2014-05-01,0,37,37
BOLPEBRA,vih,       n de personas con prueba rapida,2014-05-01,1,4,5
BOYUIBE,vih,       n de personas con prueba rapida,2014-05-01,0,3,3
BUENA VISTA,vih,       n de personas con prueba rapida,2014-05-01,34,1,35
CABEZAS,vih,       n de personas con prueba rapida,2014-05-01,5,2,7
"CAIZA ""D""",vih,       n de personas con prueba rapida,2014-05-01,6,9,15
CAMARGO,vih,       n de personas con prueba rapida,2014-05-01,2,37,39
CAMATAQUI (C. VILLA ABECIA),vih,       n de personas con prueba rapida,2014-05-01,1,2,3
CAMIRI,vih,       n de personas con prueba rapida,2014-05-01,76,40,116
CAPINOTA,vih,       n de personas con prueba rapida,2014-05-01,3,46,49
CARANAVI,vih,       n de personas con prueba rapida,2014-05-01,20,7,27
CARAPARI,vih,       n de personas con prueba rapida,2014-05-01,1,12,13
CHALLAPATA,vih,       n de personas con prueba rapida,2014-05-01,38,181,219
CHIMORE,vih,       n de personas con prueba rapida,2014-05-01,1,5,6
CHULUMANI (V. DE LA LIBERTAD),vih,       n de personas con prueba rapida,2014-05-01,0,12,12
CHUMA,vih,       n de personas con prueba rapida,2014-05-01,0,6,6
CKOCHAS,vih,       n de personas con prueba rapida,2014-05-01,2,5,7
CLIZA,vih,       n de personas con prueba rapida,2014-05-01,2,1,3
COBIJA,vih,       n de personas con prueba rapida,2014-05-01,4,48,52
COCHABAMBA,vih,       n de personas con prueba rapida,2014-05-01,59,410,469
COLCAPIRHUA,vih,       n de personas con prueba rapida,2014-05-01,0,37,37
"COLCHA ""K""",vih,       n de personas con prueba rapida,2014-05-01,8,29,37
COLPA BELGICA,vih,       n de personas con prueba rapida,2014-05-01,0,1,1
COLQUECHACA,vih,       n de personas con prueba rapida,2014-05-01,1,0,1
COMARAPA,vih,       n de personas con prueba rapida,2014-05-01,6,67,73
CORO CORO,vih,       n de personas con prueba rapida,2014-05-01,5,10,15
COROICO,vih,       n de personas con prueba rapida,2014-05-01,5,0,5
CORQUE,vih,       n de personas con prueba rapida,2014-05-01,4,0,4
COTOCA,vih,       n de personas con prueba rapida,2014-05-01,3,6,9
CULPINA,vih,       n de personas con prueba rapida,2014-05-01,3,19,22
DESAGUADERO,vih,       n de personas con prueba rapida,2014-05-01,5,9,14
EL ALTO,vih,       n de personas con prueba rapida,2014-05-01,330,1631,1961
EL CHORO,vih,       n de personas con prueba rapida,2014-05-01,0,1,1
EL PUENTE(STC),vih,       n de personas con prueba rapida,2014-05-01,102,142,244
EL TORNO,vih,       n de personas con prueba rapida,2014-05-01,31,149,180
EL VILLAR,vih,       n de personas con prueba rapida,2014-05-01,9,7,16
ENTRE RIOS TRJ,vih,       n de personas con prueba rapida,2014-05-01,3,2,5
ENTRE RIOS CBBA,vih,       n de personas con prueba rapida,2014-05-01,6,49,55
EUCALIPTUS,vih,       n de personas con prueba rapida,2014-05-01,0,9,9
EUREKA (SANTOS MERCADO),vih,       n de personas con prueba rapida,2014-05-01,1,19,20
FERNANDEZ ALONSO,vih,       n de personas con prueba rapida,2014-05-01,32,7,39
FILADELFIA,vih,       n de personas con prueba rapida,2014-05-01,6,19,25
GENERAL SAAVEDRA,vih,       n de personas con prueba rapida,2014-05-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),vih,       n de personas con prueba rapida,2014-05-01,0,4,4
GUANAY,vih,       n de personas con prueba rapida,2014-05-01,1,0,1
GUAYARAMERIN,vih,       n de personas con prueba rapida,2014-05-01,150,318,468
GUTIERREZ,vih,       n de personas con prueba rapida,2014-05-01,0,8,8
