,group,variable,month,TOTAL 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTAL 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
MIZQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,5.0,9.0,14.0
MOJOCOYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,17.0,17.0
MONTEAGUDO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,13.0,86.0,99.0
MONTERO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,153.0,504.0,657.0
NACEBE (SANTA ROSA DEL ABUNA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,3.0,9.0,12.0
NUEVO MANOA (NUEVA ESPERANZA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,1.0,15.0,16.0
OMEREQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,1.0,1.0,2.0
ORURO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,148.0,767.0,915.0
PADCAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,10.0,41.0,51.0
PADILLA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,3.0,19.0,22.0
PAILON,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,10.0,127.0,137.0
PALOS BLANCOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,4.0,21.0,25.0
PAMPA GRANDE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,6.0,6.0
PATACAMAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,22.0,96.0,118.0
PAZÑA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,5.0,17.0,22.0
PORCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,3.0,21.0,24.0
POROMA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,6.0,6.0
PORTACHUELO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,3.0,2.0,5.0
PORVENIR,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,6.0,21.0,27.0
POTOSI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,54.0,389.0,443.0
PRESTO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,24.0,24.0
PUCARANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,17.0,17.0
PUERTO GONZALO MORENO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,33.0,60.0,93.0
PUERTO QUIJARRO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,11.0,23.0,34.0
PUERTO RICO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,1.0,36.0,37.0
PUERTO SUAREZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,9.0,68.0,77.0
PUERTO VILLARROEL,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,33.0,372.0,405.0
PUNATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,12.0,141.0,153.0
QUILLACOLLO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,157.0,1.0,158.0
QUIME,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,11.0,26.0,37.0
REYES,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,13.0,13.0
RIBERALTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,17.0,523.0,540.0
ROBORE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,5.0,52.0,57.0
RURRENABAQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,2.0,55.0,57.0
SACABA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,10.0,551.0,561.0
SACABAMBA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,1.0,1.0
SACACA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,1.0,11.0,12.0
SALINAS DE GARCI MENDOZA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,12.0,15.0,27.0
SAMAIPATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,11.0,11.0
SAN BENITO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,15.0,15.0
SAN BORJA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,6.0,2.0,8.0
SAN CARLOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,11.0,6.0,17.0
SAN IGNACIO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,7.0,23.0,30.0
SAN IGNACIO DE VELASCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,26.0,62.0,88.0
SAN JAVIER(STC),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,28.0,28.0
SAN JOSE DE CHIQUITOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,132.0,97.0,229.0
SAN JUAN DE YAPACANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,19.0,40.0,59.0
SAN JULIAN,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,9.0,136.0,145.0
SAN LORENZO(PND),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,5.0,5.0
SAN LORENZO(TJA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,1.0,24.0,25.0
SAN LUCAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,9.0,134.0,143.0
SAN MATIAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,1.0,32.0,33.0
SAN MIGUEL DE VELASCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,15.0,15.0
SAN PEDRO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,31.0,79.0,110.0
SAN PEDRO DE BUENA VISTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,7.0,7.0
SAN PEDRO(PND),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,5.0,5.0
SAN RAFAEL,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,17.0,17.0
SAN RAMON BENI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,13.0,13.0
SANTA ANA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,1.0,55.0,56.0
SANTA CRUZ DE LA SIERRA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,194.0,1513.0,1707.0
SANTA ROSA DEL SARA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,2.0,10.0,12.0
SANTIAGO DE HUARI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,2.0,2.0
SANTIVAÑES,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,7.0,17.0,24.0
SANTUARIO DE QUILLACAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,6.0,6.0
SENA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,15.0,15.0
SHINAOTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,11.0,24.0,35.0
SIPE SIPE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,34.0,34.0
SOPACHUY,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,19.0,55.0,74.0
SUCRE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,130.0,1241.0,1371.0
TACACOMA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,3.0,3.0
TAPACARI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,25.0,28.0,53.0
TARABUCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,12.0,82.0,94.0
TARATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,1.0,1.0
TARIJA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,260.0,297.0,557.0
TARVITA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,3.0,31.0,34.0
TEOPONTE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,1.0,27.0,28.0
TINGUIPAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,2.0,2.0
TIQUIPAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,26.0,203.0,229.0
TOCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,11.0,11.0
TOLATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,1.0,1.0,2.0
TOMINA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,15.0,15.0
TOTORA(CBBA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,4.0,62.0,66.0
TOTORA(ORR),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,2.0,2.0
TRIGAL,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,1.0,1.0
TRINIDAD,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,37.0,157.0,194.0
TUPIZA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,38.0,38.0
UNCIA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,1.0,16.0,17.0
URIONDO (A. CONCEPCION),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,5.0,5.0
URUBICHA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,13.0,20.0,33.0
VALLEGRANDE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,2.0,134.0,136.0
VIACHA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,18.0,129.0,147.0
VILLA CHARCAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,3.0,33.0,36.0
VILLA MONTES,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,5.0,53.0,58.0
VILLA RIVERO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,1.0,0.0,1.0
VILLA SERRANO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,38.0,172.0,210.0
VILLA TUNARI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,2.0,39.0,41.0
VILLA VACA GUZMAN (MUYUPAMPA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,8.0,26.0,34.0
VILLAZON,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,1.0,135.0,136.0
VITICHI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,7.0,7.0
WARNES,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,12.0,215.0,227.0
YACUIBA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,41.0,102.0,143.0
YAMPARAEZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,7.0,7.0
YAPACANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,7.0,8.0,15.0
YOTALA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,0.0,20.0,20.0
YUNCHARA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,4.0,14.0,18.0
ZUDAÑEZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-03-01,9.0,26.0,35.0
ACHACACHI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,4.0,86.0,90.0
AIQUILE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,4.0,7.0,11.0
ALCALA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,6.0,30.0,36.0
ANDAMARCA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,3.0,3.0
ANTEQUERA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,4.0,36.0,40.0
APOLO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,26.0,27.0
ARAMPAMPA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,39.0,37.0,76.0
ARBIETO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,32.0,32.0
ASCENCION DE GUARAYOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,128.0,299.0,427.0
ATOCHA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,6.0,6.0
AYOPAYA (V. DE INDEPENDENCIA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,18.0,18.0
AZURDUY,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,3.0,9.0,12.0
BELEN DE ANDAMARCA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,1.0,1.0
BERMEJO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,2.0,2.0
BETANZOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,45.0,45.0
BOLPEBRA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,8.0,27.0,35.0
BOYUIBE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,1.0,1.0
BUENA VISTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,40.0,41.0
CABEZAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,48.0,48.0
"CAIZA ""D""",vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,9.0,28.0,37.0
CAMARGO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,12.0,37.0,49.0
CAMATAQUI (C. VILLA ABECIA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,12.0,12.0
CAMIRI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,106.0,39.0,145.0
CAPINOTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,2.0,6.0,8.0
CARACOLLO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,8.0,28.0,36.0
CARAPARI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,22.0,22.0
CARMEN RIVERO TORREZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,8.0,9.0
CHALLAPATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,0.0,1.0
CHIMORE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,2.0,28.0,30.0
CHIPAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,1.0,1.0
CHUMA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,4.0,3.0,7.0
CKOCHAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,10.0,10.0
CLIZA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,4.0,82.0,86.0
COBIJA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,6.0,388.0,394.0
COCHABAMBA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,165.0,1330.0,1495.0
COIPASA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,1.0,1.0
"COLCHA ""K""",vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,0.0,1.0
COMARAPA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,12.0,21.0,33.0
CONCEPCION,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,0.0,1.0
CORO CORO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,10.0,10.0
CORQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,5.0,5.0
COTOCA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,2.0,5.0,7.0
CUATRO CAÑADAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,1.0,1.0
CULPINA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,4.0,80.0,84.0
DESAGUADERO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,5.0,29.0,34.0
EL ALTO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,476.0,2335.0,2811.0
EL CHORO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,1.0,1.0
EL PUENTE(STC),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,8.0,20.0,28.0
EL PUENTE(TJA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,14.0,14.0
EL TORNO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,33.0,339.0,372.0
EL VILLAR,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,5.0,5.0
ENTRE RIOS TRJ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,5.0,5.0
ENTRE RIOS CBBA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,1.0,1.0
ESCOMA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,7.0,7.0
EUCALIPTUS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,2.0,9.0,11.0
EUREKA (SANTOS MERCADO),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,2.0,2.0
FERNANDEZ ALONSO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,9.0,33.0,42.0
FILADELFIA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,12.0,12.0
GENERAL SAAVEDRA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,34.0,34.0
GUANAY,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,4.0,24.0,28.0
GUAYARAMERIN,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,122.0,288.0,410.0
GUTIERREZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,4.0,5.0
HUACARETA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,15.0,16.0
HUACAYA (VILLA DE HUACAYA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,1.0,1.0
HUACHACALLA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,2.0,2.0
HUANUNI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,5.0,93.0,98.0
HUAYLLAMARCA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,2.0,2.0
ICLA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,11.0,11.0
INCAHUASI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,2.0,30.0,32.0
INGAVI (HUMAITA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,3.0,3.0
INQUISIVI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,2.0,3.0
LA GUARDIA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,35.0,163.0,198.0
LA PAZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,460.0,977.0,1437.0
LAJA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,2.0,0.0,2.0
LAS CARRERAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,5.0,5.0
LLALLAGUA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,10.0,7.0,17.0
MACHARETI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,13.0,14.0
MAIRANA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,2.0,16.0,18.0
MAPIRI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,2.0,0.0,2.0
MINEROS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,4.0,42.0,46.0
MIZQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,3.0,10.0,13.0
MOJOCOYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,2.0,17.0,19.0
MONTEAGUDO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,6.0,81.0,87.0
MONTERO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,21.0,424.0,445.0
NACEBE (SANTA ROSA DEL ABUNA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,5.0,21.0,26.0
NUEVO MANOA (NUEVA ESPERANZA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,2.0,2.0
OMEREQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,0.0,1.0
ORURO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,98.0,654.0,752.0
PADCAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,10.0,44.0,54.0
PADILLA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,19.0,19.0
PAILON,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,11.0,75.0,86.0
PAMPA GRANDE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,6.0,6.0
PATACAMAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,5.0,69.0,74.0
PAZÑA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,26.0,31.0,57.0
POCOATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,10.0,21.0,31.0
PORCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,5.0,41.0,46.0
POROMA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,10.0,10.0
PORTACHUELO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,5.0,5.0
POTOSI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,161.0,464.0,625.0
PRESTO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,2.0,16.0,18.0
PUCARANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,28.0,28.0
PUERTO GONZALO MORENO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,32.0,81.0,113.0
PUERTO QUIJARRO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,13.0,19.0,32.0
PUERTO RICO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,42.0,43.0
PUERTO SUAREZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,49.0,49.0
PUERTO VILLARROEL,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,14.0,308.0,322.0
PUNATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,15.0,189.0,204.0
QUILLACOLLO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,3.0,2.0,5.0
QUIME,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,14.0,15.0
RAVELO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,5.0,5.0
REYES,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,9.0,9.0
RIBERALTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,21.0,682.0,703.0
ROBORE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,5.0,43.0,48.0
RURRENABAQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,41.0,67.0,108.0
SACABA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,18.0,496.0,514.0
SACACA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,2.0,16.0,18.0
SALINAS DE GARCI MENDOZA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,15.0,15.0
SAMAIPATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,11.0,12.0
SAN BENITO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,14.0,15.0
SAN BORJA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,5.0,15.0,20.0
SAN CARLOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,15.0,67.0,82.0
SAN IGNACIO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,6.0,35.0,41.0
SAN IGNACIO DE VELASCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,8.0,123.0,131.0
SAN JAVIER(BNI),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,0.0,3.0,3.0
SAN JAVIER(STC),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,2.0,31.0,33.0
SAN JOSE DE CHIQUITOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,43.0,87.0,130.0
SAN JUAN DE YAPACANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-04-01,1.0,26.0,27.0
