,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS,ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES,TOTALES,TOTALES
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,5,7,5,7,12
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,2,1,2,1,3
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
ROBORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,0,2,0,2,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,5,4,5,4,9
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,13,0,13,0,13
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,4,2,4,2,6
SORACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,5,0,5,0,5
TACACOMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,0,2,0,2,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,2,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,1,1,1,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
ALALAY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,3,0,3,0,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,3,1,3,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,8,3,8,3,11
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,29,5,29,5,34
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,0,3,0,3,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,16,3,16,3,19
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,2,0,2,0,2
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,5,0,5,0,5
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,2,2,2,2,4
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,2,1,2,1,3
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,3,1,3,4
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,2,0,2,0,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,0,8,0,8,8
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,24,2,24,2,26
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,2,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,2,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
ALCALA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,3,0,3,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,7,0,7,0,7
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,40,0,40,40
CAJUATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,8,0,8,8
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,3,0,3,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,5,4,5,4,9
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,1,1,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,11,1,11,1,12
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,2,0,2,0,2
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,2,0,2,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,2,17,2,17,19
LORETO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,7,3,7,3,10
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,5,0,5,5
POOPO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,14,0,14,14
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,9,2,9,2,11
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,7,1,7,1,8
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,4,0,4,0,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,6,0,6,0,6
ROBORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,19,0,19,0,19
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,2,0,2,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,5,0,5,5
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,22,0,22,22
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,1,1,1,1,2
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,5,0,5,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,100,5,100,5,105
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,2,1,2,1,3
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,2,0,2,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,3,1,3,1,4
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,3,0,3,0,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,2,0,2,0,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-10-01,3,0,3,0,3
ALALAY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,1,1,1,2
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,0,8,0,8,8
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,2,1,2,1,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,0,3,0,3,3
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,8,0,8,0,8
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,2,1,2,3
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,15,3,15,3,18
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,4,0,4,0,4
EXALTACION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,2,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,8,4,8,4,12
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,7,3,7,3,10
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,5,0,5,0,5
PAZÑA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,2,1,2,1,3
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,3,0,3,0,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,1,1,1,2
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,0,3,0,3,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,1,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,3,2,3,2,5
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,11,12,11,12,23
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,23,2,23,2,25
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,2,0,2,0,2
TACACOMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,3,1,3,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,9,7,9,7,16
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,3,0,3,0,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,11,3,11,3,14
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,18,3,18,3,21
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,1,2,1,2,3
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,0,4,0,4,4
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,2,0,2,0,2
MAIRANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,0,1,0,1,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,4,0,4,0,4
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,0,16,0,16,16
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,2,0,2,0,2
PUNA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,0,4,0,4,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,2,0,2,0,2
ROBORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,1,1,1,1,2
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,22,2,22,2,24
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,1,2,1,2,3
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,4,0,4,0,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,6,7,6,7,13
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,0,1,0,1,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-12-01,0,2,0,2,2
