,group,variable,month,DPT 2DA DOSIS,DPT 2DA DOSIS,TOTALES,TOTALES,TOTALES
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,2,0,2,0,2
ROBORE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,6,0,6,6
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,2,0,2,2
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,3,0,3,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,66,15,66,15,81
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,4,4,4,4,8
TACACOMA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,1,0,1,0,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,4,0,4,4
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,4,0,4,0,4
UYUNI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,1,0,1,0,1
VACAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,2,0,2,0,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,1,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,2,0,2,0,2
YACO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,1,0,1,0,1
YANACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,1,0,1,1
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,21,3,21,3,24
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,4,2,4,2,6
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,4,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,0,2,0,2,2
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,0,15,0,15,15
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,2,0,2,0,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,5,0,5,0,5
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,0,2,0,2,2
CLIZA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,0,3,0,3,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,9,0,9,0,9
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,0,2,0,2,2
COPACABANA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,8,0,8,0,8
CORIPATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
CORO CORO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,0,3,0,3,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,16,1,16,1,17
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,2,1,2,3
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,0,3,0,3,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,2,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,5,7,5,7,12
MIZQUE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
OCURI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,5,1,5,1,6
OKINAWA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,4,0,4,0,4
PADCAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,5,6,5,6,11
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,3,0,3,0,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,2,1,2,1,3
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
ROBORE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,2,1,2,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,5,1,5,1,6
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,13,0,13,0,13
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,0,1,0,1,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,9,2,9,2,11
SORACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
SORATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,13,0,13,0,13
TACACOMA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,0,2,0,2,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,2,0,2,0,2
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,2,0,2,0,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,11,0,11,0,11
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,1,1,1,2
YACO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,3,0,3,0,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-08-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,0,5,0,5,5
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,0,1,0,1,1
ALALAY,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,0,1,0,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,3,1,3,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,14,3,14,3,17
COROICO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,19,5,19,5,24
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,0,3,0,3,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,4,5,4,5,9
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,2,0,2,0,2
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,0,1,0,1
OCURI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,0,10,0,10,10
OKINAWA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,6,0,6,0,6
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,3,0,3,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,2,2,2,2,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,2,1,2,1,3
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,3,1,3,4
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,0,1,0,1,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,4,1,4,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,0,8,0,8,8
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,0,4,0,4,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,29,2,29,2,31
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,2,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,0,1,0,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,3,0,3,0,3
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,2,2,2,2,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,5,0,5,0,5
UMALA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,0,1,0,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,1,0,1,0,1
YACO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,0,1,0,1,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-09-01,2,0,2,0,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,10,0,10,10
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,0,1,0,1
ALCALA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,3,0,3,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,7,0,7,0,7
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,20,0,20,0,20
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,40,0,40,40
CAJUATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,8,0,8,8
CARANAVI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,9,0,9,9
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,9,4,9,4,13
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,1,1,1,2
COPACABANA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,13,8,13,8,21
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,0,1,0,1
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,0,1,0,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,3,0,3,0,3
LORETO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,1,0,1,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,1,0,1,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,6,0,6,6
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,5,3,5,3,8
PADCAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,92,0,92,92
PAILON,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,5,0,5,5
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,6,0,6,0,6
PORVENIR,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,9,2,9,2,11
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,7,1,7,1,8
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,4,0,4,0,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,30,0,30,0,30
ROBORE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,19,0,19,0,19
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,2,0,2,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,4,0,4,4
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,1,0,1,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,22,0,22,22
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,2,0,2,0,2
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,1,1,1,2
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,5,0,5,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,18,4,18,4,22
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,2,1,2,1,3
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,2,3,2,3,5
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,3,0,3,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,1,1,1,2
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,9,1,9,1,10
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,0,1,0,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,2,0,2,0,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,1,0,1,0,1
VITICHI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,4,0,4,0,4
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,3,0,3,0,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-10-01,3,0,3,0,3
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,1,0,1,1
ALALAY,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,1,0,1,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,3,0,3,0,3
APOLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,1,0,1,0,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,8,0,8,8
CAJUATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,1,0,1,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,2,1,2,1,3
CHAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,2,0,2,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,3,0,3,3
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,35,0,35,0,35
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,1,2,1,2,3
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,16,5,16,5,21
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,4,0,4,0,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,19,2,19,2,21
MECAPACA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,2,0,2,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,4,0,4,0,4
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,2,1,2,1,3
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,5,0,5,0,5
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,1,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,30,0,30,0,30
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,2,1,2,1,3
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,3,0,3,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,1,1,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,3,3,3,3,6
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,1,0,1,0,1
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,1,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,1,0,1,0,1
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,15,12,15,12,27
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,1,0,1,1
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,23,2,23,2,25
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,3,0,3,0,3
TACACOMA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,10,7,10,7,17
TURCO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,4,0,4,4
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,2,0,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,0,3,0,3,3
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,1,1,1,1,2
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-11-01,1,0,1,0,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-12-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-12-01,3,0,3,0,3
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-12-01,0,2,0,2,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-12-01,2,0,2,0,2
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-12-01,4,0,4,0,4
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-12-01,0,3,0,3,3
