,group,variable,month,SRP DOSIS ÚNICA,SRP DOSIS ÚNICA,TOTALES,TOTALES,TOTALES
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,0,3,0,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,1,1,1,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,33,15,33,15,48
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,10,9,10,9,19
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,29,31,29,31,60
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,3,5,3,8
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,11,15,11,15,26
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,29,12,29,12,41
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,4,0,4,0,4
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,14,18,14,18,32
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,7,4,7,4,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,6,1,6,7
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,10,14,10,14,24
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,25,15,25,15,40
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,116,5,116,5,121
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,9,31,9,31,40
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1009,52,1009,52,1061
COIPASA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,4,0,4,4
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,105,11,105,11,116
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,14,8,14,8,22
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,10,0,10,10
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,25,2,25,2,27
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,10,7,10,7,17
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,24,68,24,68,92
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,6,14,6,14,20
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,10,49,10,49,59
COMANCHE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,4,4,4,4,8
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,19,18,19,18,37
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,5,0,5,5
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,25,1,25,1,26
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,6,8,6,8,14
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,14,11,14,11,25
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,10,5,10,15
COROICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,13,15,13,15,28
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,4,3,4,7
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,21,31,21,31,52
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,84,24,84,24,108
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,26,12,26,12,38
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,2,0,2,0,2
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,5,3,5,8
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,8,6,8,6,14
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,2,5,2,7
CURVA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,7,3,7,10
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,7,1,7,1,8
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1398,135,1398,135,1533
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,6,3,6,3,9
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,21,12,21,12,33
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,11,4,11,4,15
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,92,7,92,7,99
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,4,2,4,2,6
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,22,13,22,13,35
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,35,27,35,27,62
ESCARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,2,0,2,2
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,4,1,4,1,5
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,14,1,14,1,15
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,1,1,1,2
EXALTACION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,10,2,10,2,12
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,14,15,14,15,29
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,8,3,8,11
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,28,7,28,7,35
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,10,14,10,14,24
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,10,7,10,7,17
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,7,3,7,10
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,76,16,76,16,92
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,20,13,20,13,33
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,11,3,11,3,14
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,51,3,51,3,54
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,8,0,8,8
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,9,5,9,14
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,1,0,1,1
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,4,5,4,5,9
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,7,3,7,10
ICLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,4,10,4,10,14
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,9,13,9,13,22
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,2,21,2,21,23
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,9,8,9,8,17
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,20,0,20,0,20
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,10,3,10,3,13
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,85,19,85,19,104
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,120,16,120,16,136
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1214,48,1214,48,1262
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,3,5,3,8
LAJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,12,10,12,10,22
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,2,2,2,2,4
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,1,1,1,2
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,37,48,37,48,85
LLICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,1,5,1,6
LORETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,6,6,6,6,12
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,12,5,12,17
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,6,0,6,0,6
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,2,5,2,7
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,18,12,18,12,30
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,18,4,18,4,22
MALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,7,1,7,8
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,12,12,12,12,24
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,14,11,14,11,25
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,29,4,29,4,33
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,27,26,27,26,53
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,2,10,2,10,12
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,6,5,6,11
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,30,8,30,8,38
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,173,19,173,19,192
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,2,2,2,2,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,6,16,6,16,22
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,2,1,2,1,3
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,1,3,1,4
OCURI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,11,39,11,39,50
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,17,16,17,16,33
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,4,0,4,4
ORURO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,411,3,411,3,414
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,16,5,16,5,21
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,13,3,13,3,16
PAILON,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,33,10,33,10,43
PALCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,11,13,11,13,24
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,33,7,33,7,40
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,4,0,4,0,4
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,8,1,8,1,9
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,10,1,10,11
PASORAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,2,0,2,2
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,20,6,20,6,26
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,2,3,2,3,5
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,9,1,9,10
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,10,33,10,33,43
POCONA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,9,14,9,14,23
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,10,3,10,13
POOPO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,6,0,6,0,6
PORCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,12,4,12,4,16
POROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,7,13,7,13,20
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,9,3,9,12
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,10,6,10,6,16
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,12,3,12,3,15
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,0,3,0,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,315,14,315,14,329
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,16,0,16,16
PUCARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,1,0,1,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,23,9,23,9,32
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,11,0,11,11
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,27,0,27,27
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,4,8,4,8,12
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,2,6,2,6,8
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,11,45,11,45,56
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,0,1,0,1
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,0,5,0,5
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,34,5,34,5,39
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,76,13,76,13,89
PUNA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,39,15,39,15,54
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,39,4,39,4,43
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,4,1,4,5
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,182,44,182,44,226
QUIME,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,18,1,18,19
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,0,3,0,3
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,12,32,12,32,44
REYES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,29,14,29,14,43
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,211,57,211,57,268
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,26,1,26,1,27
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,30,14,30,14,44
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,1,3,1,4
SACABA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,175,71,175,71,246
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,0,5,0,5
SACACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,17,6,17,6,23
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,10,3,10,13
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,9,9,9,9,18
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,11,4,11,4,15
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,6,0,6,0,6
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,10,23,10,23,33
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,8,1,8,1,9
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,3,0,3,3
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,19,9,19,9,28
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,41,69,41,69,110
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,22,14,22,14,36
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,29,8,29,8,37
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,44,12,44,12,56
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,93,37,93,37,130
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,13,3,13,16
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,26,0,26,0,26
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,11,2,11,2,13
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,16,0,16,0,16
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,10,7,10,7,17
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,39,83,39,83,122
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,8,10,8,10,18
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,20,17,20,17,37
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,29,31,29,31,60
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,11,7,11,7,18
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,13,10,13,10,23
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,0,3,0,3
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,27,1,27,1,28
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,23,60,23,60,83
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,9,3,9,12
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,7,6,7,6,13
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,1,0,1,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,7,9,7,9,16
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,0,3,0,3
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,16,4,16,4,20
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,36,25,36,25,61
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1973,71,1973,71,2044
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,15,3,15,3,18
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,24,11,24,11,35
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,1,5,1,6
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,2,9,2,9,11
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,4,1,4,1,5
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,5,0,5,5
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,0,1,0,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,1,5,1,6
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,4,6,4,6,10
SENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,10,2,10,2,12
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,43,8,43,8,51
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,15,11,15,11,26
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,42,7,42,7,49
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,6,7,6,7,13
SORACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,15,5,15,20
SORATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,17,32,17,32,49
SUCRE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,404,46,404,46,450
TACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,0,3,0,3
TACACOMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,4,6,4,6,10
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,10,7,10,7,17
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,6,7,6,7,13
TAPACARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,26,25,26,25,51
TARABUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,8,3,8,3,11
TARATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,13,8,13,8,21
TARIJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,306,5,306,5,311
TARVITA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,10,16,10,16,26
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,4,2,4,2,6
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,9,17,9,17,26
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,18,14,18,14,32
TIPUANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,15,0,15,0,15
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,109,16,109,16,125
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,32,18,32,18,50
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,0,1,0,1,1
TOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,2,12,2,12,14
TODOS SANTOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,0,1,0,1
TOLATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,6,6,6,6,12
TOLEDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,6,5,6,11
TOMAVE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,8,12,8,12,20
TOMINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,3,5,3,8
TORO TORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,4,19,4,19,23
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,6,17,6,17,23
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,7,3,7,3,10
TRIGAL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,4,1,4,5
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,186,16,186,16,202
TUPIZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,44,13,44,13,57
TURCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,1,1,1,2
UMALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,5,19,5,19,24
UNCIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,12,10,12,10,22
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,12,1,12,1,13
URUBICHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,1,22,1,22,23
UYUNI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,45,5,45,5,50
VACAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-04-01,3,19,3,19,22
