,group,variable,month,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2010-04-01,118,0,0,0,118,0,118
FILADELFIA,malaria,numero de muestras hematicas tomadas,2010-04-01,16,0,0,0,16,0,16
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2010-04-01,2,1,0,0,2,1,3
GUANAY,malaria,numero de muestras hematicas tomadas,2010-04-01,33,24,0,0,33,24,57
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2010-04-01,810,399,57,64,867,463,1330
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2010-04-01,0,2,0,0,0,2,2
HUACARETA,malaria,numero de muestras hematicas tomadas,2010-04-01,75,81,0,0,75,81,156
ICLA,malaria,numero de muestras hematicas tomadas,2010-04-01,0,1,0,0,0,1,1
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2010-04-01,33,25,0,0,33,25,58
IXIAMAS,malaria,numero de muestras hematicas tomadas,2010-04-01,0,1,0,0,0,1,1
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2010-04-01,2,0,0,0,2,0,2
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2010-04-01,7,9,0,0,7,9,16
LA PAZ,malaria,numero de muestras hematicas tomadas,2010-04-01,36,26,0,0,36,26,62
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2010-04-01,4,1,0,0,4,1,5
MACHARETI,malaria,numero de muestras hematicas tomadas,2010-04-01,6,1,0,0,6,1,7
MAGDALENA,malaria,numero de muestras hematicas tomadas,2010-04-01,62,61,0,0,62,61,123
MAPIRI,malaria,numero de muestras hematicas tomadas,2010-04-01,29,15,0,0,29,15,44
MIZQUE,malaria,numero de muestras hematicas tomadas,2010-04-01,1,1,2,0,3,1,4
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2010-04-01,73,89,0,0,73,89,162
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2010-04-01,17,0,0,0,17,0,17
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2010-04-01,142,0,0,0,142,0,142
PADCAYA,malaria,numero de muestras hematicas tomadas,2010-04-01,11,7,0,0,11,7,18
PADILLA,malaria,numero de muestras hematicas tomadas,2010-04-01,4,5,0,0,4,5,9
PAILON,malaria,numero de muestras hematicas tomadas,2010-04-01,1,0,0,0,1,0,1
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2010-04-01,22,8,0,0,22,8,30
PORONGO,malaria,numero de muestras hematicas tomadas,2010-04-01,4,5,0,0,4,5,9
PORTACHUELO,malaria,numero de muestras hematicas tomadas,2010-04-01,3,0,3,0,6,0,6
PORVENIR,malaria,numero de muestras hematicas tomadas,2010-04-01,67,71,0,0,67,71,138
POSTRER VALLE,malaria,numero de muestras hematicas tomadas,2010-04-01,1,3,0,0,1,3,4
PRESTO,malaria,numero de muestras hematicas tomadas,2010-04-01,20,13,0,0,20,13,33
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2010-04-01,221,0,0,0,221,0,221
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2010-04-01,233,6,0,0,233,6,239
REYES,malaria,numero de muestras hematicas tomadas,2010-04-01,3,2,0,0,3,2,5
RIBERALTA,malaria,numero de muestras hematicas tomadas,2010-04-01,1147,818,84,250,1231,1068,2299
ROBORE,malaria,numero de muestras hematicas tomadas,2010-04-01,17,7,0,0,17,7,24
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2010-04-01,1,0,1,0,2,0,2
SAIPINA,malaria,numero de muestras hematicas tomadas,2010-04-01,106,128,0,0,106,128,234
SAMAIPATA,malaria,numero de muestras hematicas tomadas,2010-04-01,1,3,0,0,1,3,4
SAN BORJA,malaria,numero de muestras hematicas tomadas,2010-04-01,1,1,0,0,1,1,2
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2010-04-01,2,0,0,0,2,0,2
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2010-04-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2010-04-01,86,70,0,0,86,70,156
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2010-04-01,8,20,0,0,8,20,28
SAN JULIAN,malaria,numero de muestras hematicas tomadas,2010-04-01,13,12,0,0,13,12,25
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2010-04-01,64,29,0,0,64,29,93
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2010-04-01,1,0,0,0,1,0,1
SAN MATIAS,malaria,numero de muestras hematicas tomadas,2010-04-01,13,0,0,0,13,0,13
SAN MIGUEL DE VELASCO,malaria,numero de muestras hematicas tomadas,2010-04-01,7,32,0,0,7,32,39
SAN PEDRO DE BUENA VISTA,malaria,numero de muestras hematicas tomadas,2010-04-01,27,20,0,0,27,20,47
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2010-04-01,0,1,0,0,0,1,1
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2010-04-01,9,4,0,0,9,4,13
SANTA ROSA DEL SARA,malaria,numero de muestras hematicas tomadas,2010-04-01,0,0,0,1,0,1,1
SENA,malaria,numero de muestras hematicas tomadas,2010-04-01,353,0,0,0,353,0,353
SHINAOTA,malaria,numero de muestras hematicas tomadas,2010-04-01,2,0,0,0,2,0,2
SOPACHUY,malaria,numero de muestras hematicas tomadas,2010-04-01,4,32,0,0,4,32,36
TEOPONTE,malaria,numero de muestras hematicas tomadas,2010-04-01,15,9,0,0,15,9,24
TOMINA,malaria,numero de muestras hematicas tomadas,2010-04-01,1,2,0,0,1,2,3
TORO TORO,malaria,numero de muestras hematicas tomadas,2010-04-01,21,32,0,0,21,32,53
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2010-04-01,1,0,0,0,1,0,1
VILA VILA,malaria,numero de muestras hematicas tomadas,2010-04-01,0,0,1,0,1,0,1
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2010-04-01,285,271,0,0,285,271,556
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2010-04-01,61,19,0,0,61,19,80
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2010-04-01,0,12,0,0,0,12,12
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2010-04-01,9,5,0,0,9,5,14
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2010-04-01,0,4,0,0,0,4,4
WARNES,malaria,numero de muestras hematicas tomadas,2010-04-01,4,5,0,0,4,5,9
YACUIBA,malaria,numero de muestras hematicas tomadas,2010-04-01,140,98,0,0,140,98,238
YAPACANI,malaria,numero de muestras hematicas tomadas,2010-04-01,4,1,0,0,4,1,5
ZUDAÑEZ,malaria,numero de muestras hematicas tomadas,2010-04-01,1,3,0,0,1,3,4
ACACIO,malaria,numero de muestras hematicas tomadas,2010-05-01,0,1,0,0,0,1,1
AIQUILE,malaria,numero de muestras hematicas tomadas,2010-05-01,4,2,0,0,4,2,6
ALCALA,malaria,numero de muestras hematicas tomadas,2010-05-01,0,4,0,0,0,4,4
ALTO BENI,malaria,numero de muestras hematicas tomadas,2010-05-01,2,0,0,0,2,0,2
APOLO,malaria,numero de muestras hematicas tomadas,2010-05-01,9,20,0,0,9,20,29
AZURDUY,malaria,numero de muestras hematicas tomadas,2010-05-01,7,13,0,0,7,13,20
BAURES,malaria,numero de muestras hematicas tomadas,2010-05-01,46,43,0,0,46,43,89
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2010-05-01,46,0,0,0,46,0,46
BERMEJO,malaria,numero de muestras hematicas tomadas,2010-05-01,21,21,0,0,21,21,42
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2010-05-01,2,0,0,0,2,0,2
CABEZAS,malaria,numero de muestras hematicas tomadas,2010-05-01,3,6,0,0,3,6,9
CAMIRI,malaria,numero de muestras hematicas tomadas,2010-05-01,8,6,0,0,8,6,14
CARANAVI,malaria,numero de muestras hematicas tomadas,2010-05-01,54,60,0,0,54,60,114
CARAPARI,malaria,numero de muestras hematicas tomadas,2010-05-01,20,18,0,0,20,18,38
COBIJA,malaria,numero de muestras hematicas tomadas,2010-05-01,74,2,0,0,74,2,76
COMARAPA,malaria,numero de muestras hematicas tomadas,2010-05-01,2,2,0,0,2,2,4
COROICO,malaria,numero de muestras hematicas tomadas,2010-05-01,3,6,0,0,3,6,9
CULPINA,malaria,numero de muestras hematicas tomadas,2010-05-01,2,0,0,0,2,0,2
EL TORNO,malaria,numero de muestras hematicas tomadas,2010-05-01,30,55,0,0,30,55,85
EL VILLAR,malaria,numero de muestras hematicas tomadas,2010-05-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2010-05-01,108,105,0,0,108,105,213
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2010-05-01,236,0,0,0,236,0,236
FILADELFIA,malaria,numero de muestras hematicas tomadas,2010-05-01,66,0,0,0,66,0,66
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2010-05-01,2,2,0,0,2,2,4
GUANAY,malaria,numero de muestras hematicas tomadas,2010-05-01,1630,18,0,0,1630,18,1648
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2010-05-01,858,805,40,57,898,862,1760
HUACARETA,malaria,numero de muestras hematicas tomadas,2010-05-01,1,1,0,0,1,1,2
INCAHUASI,malaria,numero de muestras hematicas tomadas,2010-05-01,0,2,0,0,0,2,2
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2010-05-01,32,5,0,0,32,5,37
IXIAMAS,malaria,numero de muestras hematicas tomadas,2010-05-01,1,0,0,0,1,0,1
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2010-05-01,3,1,0,0,3,1,4
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2010-05-01,1,3,0,0,1,3,4
LA PAZ,malaria,numero de muestras hematicas tomadas,2010-05-01,49,48,49,48,98,96,194
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2010-05-01,2,0,0,0,2,0,2
MAGDALENA,malaria,numero de muestras hematicas tomadas,2010-05-01,71,57,0,0,71,57,128
MAIRANA,malaria,numero de muestras hematicas tomadas,2010-05-01,2,0,0,0,2,0,2
MAPIRI,malaria,numero de muestras hematicas tomadas,2010-05-01,5,2,0,0,5,2,7
MIZQUE,malaria,numero de muestras hematicas tomadas,2010-05-01,3,4,4,1,7,5,12
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2010-05-01,1,3,0,0,1,3,4
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2010-05-01,198,146,0,0,198,146,344
MONTERO,malaria,numero de muestras hematicas tomadas,2010-05-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2010-05-01,40,48,0,0,40,48,88
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2010-05-01,186,0,0,0,186,0,186
PADCAYA,malaria,numero de muestras hematicas tomadas,2010-05-01,40,40,0,0,40,40,80
PADILLA,malaria,numero de muestras hematicas tomadas,2010-05-01,4,4,0,0,4,4,8
PAILON,malaria,numero de muestras hematicas tomadas,2010-05-01,0,5,0,0,0,5,5
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2010-05-01,5,6,0,0,5,6,11
PORONGO,malaria,numero de muestras hematicas tomadas,2010-05-01,3,2,0,0,3,2,5
PORVENIR,malaria,numero de muestras hematicas tomadas,2010-05-01,72,0,0,0,72,0,72
POSTRER VALLE,malaria,numero de muestras hematicas tomadas,2010-05-01,10,10,0,0,10,10,20
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2010-05-01,274,0,0,0,274,0,274
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2010-05-01,154,0,0,0,154,0,154
PUERTO SILES,malaria,numero de muestras hematicas tomadas,2010-05-01,1,0,1,0,2,0,2
REYES,malaria,numero de muestras hematicas tomadas,2010-05-01,6,5,3,1,9,6,15
RIBERALTA,malaria,numero de muestras hematicas tomadas,2010-05-01,702,598,26,17,728,615,1343
ROBORE,malaria,numero de muestras hematicas tomadas,2010-05-01,6,14,0,0,6,14,20
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2010-05-01,1,0,0,0,1,0,1
SAIPINA,malaria,numero de muestras hematicas tomadas,2010-05-01,73,74,0,0,73,74,147
SAN BORJA,malaria,numero de muestras hematicas tomadas,2010-05-01,1,0,0,0,1,0,1
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2010-05-01,1,1,0,0,1,1,2
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2010-05-01,61,59,1,0,62,59,121
SAN JOAQUIN,malaria,numero de muestras hematicas tomadas,2010-05-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2010-05-01,10,26,0,0,10,26,36
SAN JULIAN,malaria,numero de muestras hematicas tomadas,2010-05-01,5,6,0,0,5,6,11
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2010-05-01,137,0,0,0,137,0,137
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2010-05-01,0,1,0,0,0,1,1
SAN MATIAS,malaria,numero de muestras hematicas tomadas,2010-05-01,25,21,0,0,25,21,46
SAN MIGUEL DE VELASCO,malaria,numero de muestras hematicas tomadas,2010-05-01,5,9,0,0,5,9,14
SAN PEDRO DE BUENA VISTA,malaria,numero de muestras hematicas tomadas,2010-05-01,58,37,0,0,58,37,95
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2010-05-01,60,0,0,0,60,0,60
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2010-05-01,3,8,0,0,3,8,11
SENA,malaria,numero de muestras hematicas tomadas,2010-05-01,117,0,0,0,117,0,117
SOPACHUY,malaria,numero de muestras hematicas tomadas,2010-05-01,10,21,0,0,10,21,31
TEOPONTE,malaria,numero de muestras hematicas tomadas,2010-05-01,10,3,0,0,10,3,13
TOMINA,malaria,numero de muestras hematicas tomadas,2010-05-01,4,1,0,0,4,1,5
TORO TORO,malaria,numero de muestras hematicas tomadas,2010-05-01,2,12,0,0,2,12,14
VILA VILA,malaria,numero de muestras hematicas tomadas,2010-05-01,3,2,0,0,3,2,5
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2010-05-01,151,155,0,0,151,155,306
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2010-05-01,137,0,0,0,137,0,137
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2010-05-01,2,17,0,0,2,17,19
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2010-05-01,7,3,0,0,7,3,10
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2010-05-01,0,1,0,0,0,1,1
WARNES,malaria,numero de muestras hematicas tomadas,2010-05-01,0,1,0,0,0,1,1
YACUIBA,malaria,numero de muestras hematicas tomadas,2010-05-01,370,428,0,0,370,428,798
YAPACANI,malaria,numero de muestras hematicas tomadas,2010-05-01,4,0,0,0,4,0,4
AIQUILE,malaria,numero de muestras hematicas tomadas,2010-06-01,5,5,0,0,5,5,10
ALCALA,malaria,numero de muestras hematicas tomadas,2010-06-01,0,10,0,0,0,10,10
ALTO BENI,malaria,numero de muestras hematicas tomadas,2010-06-01,1,1,0,0,1,1,2
APOLO,malaria,numero de muestras hematicas tomadas,2010-06-01,27,24,0,0,27,24,51
AZURDUY,malaria,numero de muestras hematicas tomadas,2010-06-01,4,3,0,0,4,3,7
BAURES,malaria,numero de muestras hematicas tomadas,2010-06-01,33,28,0,0,33,28,61
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2010-06-01,54,0,0,0,54,0,54
BERMEJO,malaria,numero de muestras hematicas tomadas,2010-06-01,14,10,0,0,14,10,24
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2010-06-01,0,1,0,0,0,1,1
CABEZAS,malaria,numero de muestras hematicas tomadas,2010-06-01,2,1,0,0,2,1,3
CAMARGO,malaria,numero de muestras hematicas tomadas,2010-06-01,0,2,0,0,0,2,2
CAMIRI,malaria,numero de muestras hematicas tomadas,2010-06-01,9,9,0,0,9,9,18
CARANAVI,malaria,numero de muestras hematicas tomadas,2010-06-01,40,41,0,0,40,41,81
CARAPARI,malaria,numero de muestras hematicas tomadas,2010-06-01,16,11,0,0,16,11,27
COBIJA,malaria,numero de muestras hematicas tomadas,2010-06-01,88,0,0,0,88,0,88
COMARAPA,malaria,numero de muestras hematicas tomadas,2010-06-01,0,2,0,0,0,2,2
CONCEPCION,malaria,numero de muestras hematicas tomadas,2010-06-01,30,38,0,0,30,38,68
COROICO,malaria,numero de muestras hematicas tomadas,2010-06-01,2,1,0,0,2,1,3
CULPINA,malaria,numero de muestras hematicas tomadas,2010-06-01,1,0,0,0,1,0,1
EL TORNO,malaria,numero de muestras hematicas tomadas,2010-06-01,57,77,0,0,57,77,134
EL VILLAR,malaria,numero de muestras hematicas tomadas,2010-06-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2010-06-01,135,149,0,0,135,149,284
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2010-06-01,130,0,0,0,130,0,130
FILADELFIA,malaria,numero de muestras hematicas tomadas,2010-06-01,57,0,0,0,57,0,57
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2010-06-01,11,1,0,0,11,1,12
GUANAY,malaria,numero de muestras hematicas tomadas,2010-06-01,29,24,0,0,29,24,53
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2010-06-01,890,865,65,80,955,945,1900
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2010-06-01,0,8,0,0,0,8,8
HUACARETA,malaria,numero de muestras hematicas tomadas,2010-06-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2010-06-01,59,0,0,0,59,0,59
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2010-06-01,3,1,0,0,3,1,4
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2010-06-01,1,1,0,0,1,1,2
LA PAZ,malaria,numero de muestras hematicas tomadas,2010-06-01,33,26,33,26,66,52,118
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2010-06-01,3,5,0,0,3,5,8
MAGDALENA,malaria,numero de muestras hematicas tomadas,2010-06-01,86,77,0,0,86,77,163
MAIRANA,malaria,numero de muestras hematicas tomadas,2010-06-01,1,0,0,0,1,0,1
MAPIRI,malaria,numero de muestras hematicas tomadas,2010-06-01,11,0,0,0,11,0,11
MIZQUE,malaria,numero de muestras hematicas tomadas,2010-06-01,1,5,4,1,5,6,11
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2010-06-01,11,24,0,0,11,24,35
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2010-06-01,107,0,0,0,107,0,107
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2010-06-01,280,0,0,0,280,0,280
PADCAYA,malaria,numero de muestras hematicas tomadas,2010-06-01,20,11,0,0,20,11,31
PADILLA,malaria,numero de muestras hematicas tomadas,2010-06-01,3,3,0,0,3,3,6
PAILON,malaria,numero de muestras hematicas tomadas,2010-06-01,3,2,0,0,3,2,5
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2010-06-01,7,9,0,0,7,9,16
PORONGO,malaria,numero de muestras hematicas tomadas,2010-06-01,5,9,0,0,5,9,14
PORTACHUELO,malaria,numero de muestras hematicas tomadas,2010-06-01,4,1,4,1,8,2,10
PORVENIR,malaria,numero de muestras hematicas tomadas,2010-06-01,41,47,0,0,41,47,88
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2010-06-01,88,0,0,0,88,0,88
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2010-06-01,180,0,0,0,180,0,180
PUERTO VILLARROEL,malaria,numero de muestras hematicas tomadas,2010-06-01,1,3,0,0,1,3,4
REYES,malaria,numero de muestras hematicas tomadas,2010-06-01,2,1,0,0,2,1,3
RIBERALTA,malaria,numero de muestras hematicas tomadas,2010-06-01,775,552,20,81,795,633,1428
ROBORE,malaria,numero de muestras hematicas tomadas,2010-06-01,8,12,0,0,8,12,20
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2010-06-01,5,0,0,0,5,0,5
SAIPINA,malaria,numero de muestras hematicas tomadas,2010-06-01,46,46,0,0,46,46,92
SAN BORJA,malaria,numero de muestras hematicas tomadas,2010-06-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2010-06-01,2,0,0,0,2,0,2
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2010-06-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2010-06-01,71,68,0,0,71,68,139
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2010-06-01,30,20,0,0,30,20,50
SAN JULIAN,malaria,numero de muestras hematicas tomadas,2010-06-01,8,2,0,0,8,2,10
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2010-06-01,143,0,0,0,143,0,143
SAN LORENZO(TJA),malaria,numero de muestras hematicas tomadas,2010-06-01,0,1,0,0,0,1,1
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2010-06-01,1,0,0,0,1,0,1
SAN MIGUEL DE VELASCO,malaria,numero de muestras hematicas tomadas,2010-06-01,4,9,0,0,4,9,13
SAN PEDRO DE BUENA VISTA,malaria,numero de muestras hematicas tomadas,2010-06-01,33,17,0,0,33,17,50
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2010-06-01,42,0,0,0,42,0,42
SAN RAMON BENI,malaria,numero de muestras hematicas tomadas,2010-06-01,0,0,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2010-06-01,0,0,0,0,0,0,0
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2010-06-01,0,1,0,0,0,1,1
SANTA ROSA DEL SARA,malaria,numero de muestras hematicas tomadas,2010-06-01,0,0,0,2,0,2,2
SENA,malaria,numero de muestras hematicas tomadas,2010-06-01,162,0,0,0,162,0,162
SOPACHUY,malaria,numero de muestras hematicas tomadas,2010-06-01,5,7,0,0,5,7,12
TARABUCO,malaria,numero de muestras hematicas tomadas,2010-06-01,0,2,0,0,0,2,2
TARVITA,malaria,numero de muestras hematicas tomadas,2010-06-01,0,1,0,0,0,1,1
TEOPONTE,malaria,numero de muestras hematicas tomadas,2010-06-01,12,3,0,0,12,3,15
TOMINA,malaria,numero de muestras hematicas tomadas,2010-06-01,1,0,0,0,1,0,1
TORO TORO,malaria,numero de muestras hematicas tomadas,2010-06-01,2,0,0,0,2,0,2
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2010-06-01,1,0,0,0,1,0,1
VILA VILA,malaria,numero de muestras hematicas tomadas,2010-06-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2010-06-01,184,164,0,0,184,164,348
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2010-06-01,64,0,0,0,64,0,64
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2010-06-01,1,16,0,0,1,16,17
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2010-06-01,0,1,0,0,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2010-06-01,0,3,0,0,0,3,3
YACUIBA,malaria,numero de muestras hematicas tomadas,2010-06-01,216,244,0,0,216,244,460
YAPACANI,malaria,numero de muestras hematicas tomadas,2010-06-01,0,3,0,0,0,3,3
ACACIO,malaria,numero de muestras hematicas tomadas,2010-07-01,9,0,0,0,9,0,9
AIQUILE,malaria,numero de muestras hematicas tomadas,2010-07-01,3,8,0,0,3,8,11
ALCALA,malaria,numero de muestras hematicas tomadas,2010-07-01,0,1,0,0,0,1,1
APOLO,malaria,numero de muestras hematicas tomadas,2010-07-01,35,53,0,0,35,53,88
AZURDUY,malaria,numero de muestras hematicas tomadas,2010-07-01,15,32,0,0,15,32,47
BAURES,malaria,numero de muestras hematicas tomadas,2010-07-01,38,34,0,0,38,34,72
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2010-07-01,49,0,0,0,49,0,49
BERMEJO,malaria,numero de muestras hematicas tomadas,2010-07-01,17,10,0,0,17,10,27
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2010-07-01,5,4,0,0,5,4,9
CABEZAS,malaria,numero de muestras hematicas tomadas,2010-07-01,1,1,0,0,1,1,2
CAMIRI,malaria,numero de muestras hematicas tomadas,2010-07-01,7,7,0,0,7,7,14
CARANAVI,malaria,numero de muestras hematicas tomadas,2010-07-01,14,15,0,0,14,15,29
CARAPARI,malaria,numero de muestras hematicas tomadas,2010-07-01,4,5,0,0,4,5,9
COBIJA,malaria,numero de muestras hematicas tomadas,2010-07-01,16,0,5,0,21,0,21
CONCEPCION,malaria,numero de muestras hematicas tomadas,2010-07-01,22,38,0,0,22,38,60
COROICO,malaria,numero de muestras hematicas tomadas,2010-07-01,2,3,0,0,2,3,5
CULPINA,malaria,numero de muestras hematicas tomadas,2010-07-01,0,3,0,0,0,3,3
EL TORNO,malaria,numero de muestras hematicas tomadas,2010-07-01,49,61,0,0,49,61,110
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2010-07-01,13,13,0,0,13,13,26
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2010-07-01,106,0,0,0,106,0,106
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2010-07-01,1,0,0,0,1,0,1
GUANAY,malaria,numero de muestras hematicas tomadas,2010-07-01,9,6,0,0,9,6,15
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2010-07-01,725,621,47,30,772,651,1423
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2010-07-01,6,24,0,0,6,24,30
HUACARETA,malaria,numero de muestras hematicas tomadas,2010-07-01,4,4,0,0,4,4,8
ICLA,malaria,numero de muestras hematicas tomadas,2010-07-01,0,10,0,0,0,10,10
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2010-07-01,21,0,0,0,21,0,21
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2010-07-01,3,1,0,0,3,1,4
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2010-07-01,2,6,0,0,2,6,8
LA PAZ,malaria,numero de muestras hematicas tomadas,2010-07-01,114,3,114,93,228,96,324
MAGDALENA,malaria,numero de muestras hematicas tomadas,2010-07-01,74,80,0,0,74,80,154
MAPIRI,malaria,numero de muestras hematicas tomadas,2010-07-01,6,0,0,0,6,0,6
MIZQUE,malaria,numero de muestras hematicas tomadas,2010-07-01,3,0,4,2,7,2,9
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2010-07-01,1,2,0,0,1,2,3
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2010-07-01,12,15,0,0,12,15,27
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2010-07-01,116,0,0,0,116,0,116
