,group,variable,month,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,TOTALES
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2013-04-01,1,4,5
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2013-04-01,1,27,28
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2013-04-01,1784,3889,5673
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2013-04-01,1,4,5
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2013-04-01,0,8,8
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2013-04-01,0,1,1
SUCRE,cirugias y anestesias,anestesias generales y regionales,2013-04-01,486,612,1098
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2013-04-01,4,3,7
TARIJA,cirugias y anestesias,anestesias generales y regionales,2013-04-01,257,473,730
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2013-04-01,4,38,42
TOTORA(CBBA),cirugias y anestesias,anestesias generales y regionales,2013-04-01,0,8,8
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2013-04-01,80,218,298
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2013-04-01,32,39,71
UYUNI,cirugias y anestesias,anestesias generales y regionales,2013-04-01,4,20,24
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2013-04-01,4,19,23
VIACHA,cirugias y anestesias,anestesias generales y regionales,2013-04-01,25,14,39
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2013-04-01,8,56,64
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2013-04-01,61,98,159
VINTO,cirugias y anestesias,anestesias generales y regionales,2013-04-01,15,22,37
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2013-04-01,88,102,190
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2013-04-01,9,38,47
YOTALA,cirugias y anestesias,anestesias generales y regionales,2013-04-01,0,1,1
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2013-05-01,2,15,17
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2013-05-01,7,19,26
ANZALDO,cirugias y anestesias,anestesias generales y regionales,2013-05-01,8,8,16
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2013-05-01,10,37,47
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,8,6,14
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2013-05-01,18,55,73
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2013-05-01,0,1,1
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2013-05-01,3,1,4
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2013-05-01,18,78,96
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2013-05-01,8,18,26
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,0,7,7
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,6,26,32
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2013-05-01,1,17,18
CLIZA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,1,16,17
COBIJA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,42,100,142
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,1306,2238,3544
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,35,31,66
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,0,17,17
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2013-05-01,4,13,17
COROICO,cirugias y anestesias,anestesias generales y regionales,2013-05-01,4,23,27
COTOCA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,1,10,11
CULPINA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,7,0,7
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2013-05-01,397,598,995
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2013-05-01,12,64,76
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2013-05-01,1,9,10
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,9,4,13
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2013-05-01,10,49,59
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2013-05-01,3,13,16
LA GUARDIA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,0,4,4
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2013-05-01,1438,2171,3609
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,35,35,70
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,7,8,15
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,2,17,19
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2013-05-01,15,33,48
MONTERO,cirugias y anestesias,anestesias generales y regionales,2013-05-01,49,140,189
ORURO,cirugias y anestesias,anestesias generales y regionales,2013-05-01,168,491,659
PADILLA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,12,38,50
PAILON,cirugias y anestesias,anestesias generales y regionales,2013-05-01,0,10,10
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,2,11,13
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2013-05-01,4,21,25
POTOSI,cirugias y anestesias,anestesias generales y regionales,2013-05-01,174,292,466
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2013-05-01,12,40,52
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2013-05-01,18,46,64
PUNATA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,14,38,52
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2013-05-01,11,110,121
REYES,cirugias y anestesias,anestesias generales y regionales,2013-05-01,0,2,2
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,52,153,205
ROBORE,cirugias y anestesias,anestesias generales y regionales,2013-05-01,2,4,6
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2013-05-01,2,24,26
SACABA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,32,134,166
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,0,6,6
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,22,55,77
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,1,3,4
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2013-05-01,1,14,15
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2013-05-01,0,7,7
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2013-05-01,14,56,70
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2013-05-01,0,8,8
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2013-05-01,0,4,4
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2013-05-01,1,27,28
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2013-05-01,3,15,18
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2013-05-01,2,0,2
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2013-05-01,1,11,12
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2013-05-01,0,3,3
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2013-05-01,3,0,3
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,1,19,20
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,1524,2939,4463
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,0,10,10
SUCRE,cirugias y anestesias,anestesias generales y regionales,2013-05-01,393,613,1006
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2013-05-01,6,2,8
TARIJA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,201,453,654
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,3,31,34
TOTORA(CBBA),cirugias y anestesias,anestesias generales y regionales,2013-05-01,0,3,3
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2013-05-01,68,152,220
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,27,51,78
UNCIA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,1,22,23
UYUNI,cirugias y anestesias,anestesias generales y regionales,2013-05-01,5,11,16
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2013-05-01,2,27,29
VIACHA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,11,11,22
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2013-05-01,8,54,62
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2013-05-01,65,161,226
VINTO,cirugias y anestesias,anestesias generales y regionales,2013-05-01,19,23,42
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,87,90,177
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2013-05-01,5,45,50
YOTALA,cirugias y anestesias,anestesias generales y regionales,2013-05-01,0,1,1
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,5,5
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2013-06-01,15,12,27
ANZALDO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,9,8,17
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2013-06-01,9,34,43
BAURES,cirugias y anestesias,anestesias generales y regionales,2013-06-01,1,3,4
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,30,67,97
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,1,1
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,14,29,43
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2013-06-01,13,35,48
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,4,4
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2013-06-01,4,22,26
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,8,8
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,4,19,23
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2013-06-01,4,16,20
CLIZA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,15,15
COBIJA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,41,120,161
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,1316,2082,3398
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,27,17,44
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,10,10
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2013-06-01,1,10,11
COROICO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,6,12,18
COTOCA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,1,13,14
CULPINA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,3,2,5
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,331,627,958
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,27,59,86
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,4,4
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2013-06-01,18,67,85
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2013-06-01,8,14,22
LA GUARDIA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,3,3
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2013-06-01,1457,2040,3497
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,16,42,58
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,4,4
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,3,18,21
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,12,25,37
MONTERO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,44,155,199
OCURI,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,1,1
ORURO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,224,441,665
PADILLA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,4,23,27
PAILON,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,5,5
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,4,12,16
POJO (CBBA),cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,2,2
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,18,51,69
POTOSI,cirugias y anestesias,anestesias generales y regionales,2013-06-01,175,295,470
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2013-06-01,32,34,66
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2013-06-01,13,83,96
PUNATA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,10,34,44
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,9,99,108
QUIME,cirugias y anestesias,anestesias generales y regionales,2013-06-01,1,1,2
REYES,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,4,4
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,38,194,232
ROBORE,cirugias y anestesias,anestesias generales y regionales,2013-06-01,1,1,2
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2013-06-01,1,17,18
SACABA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,24,151,175
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,11,11
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,6,8,14
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2013-06-01,1,12,13
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,6,4,10
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,16,66,82
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2013-06-01,1,8,9
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,5,5
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2013-06-01,6,28,34
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2013-06-01,6,6,12
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2013-06-01,1,19,20
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2013-06-01,2,1,3
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2013-06-01,4,23,27
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,2,2
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,4,4
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,1,9,10
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,1583,3037,4620
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,2,2
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,13,13
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,3,3
SUCRE,cirugias y anestesias,anestesias generales y regionales,2013-06-01,420,576,996
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,2,5,7
TARIJA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,204,458,662
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,4,43,47
TOTORA(CBBA),cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,11,11
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2013-06-01,86,219,305
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,7,30,37
UYUNI,cirugias y anestesias,anestesias generales y regionales,2013-06-01,7,17,24
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2013-06-01,10,25,35
VIACHA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,7,19,26
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2013-06-01,6,7,13
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2013-06-01,32,17,49
VINTO,cirugias y anestesias,anestesias generales y regionales,2013-06-01,12,29,41
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,38,116,154
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2013-06-01,6,73,79
YOTALA,cirugias y anestesias,anestesias generales y regionales,2013-06-01,0,1,1
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2013-07-01,4,13,17
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2013-07-01,2,16,18
ANZALDO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,10,8,18
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2013-07-01,9,16,25
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,6,4,10
BAURES,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,2,2
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,18,65,83
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,6,6
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,19,22,41
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2013-07-01,7,71,78
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,4,4
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2013-07-01,1,8,9
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,1,12,13
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,7,18,25
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2013-07-01,2,13,15
CLIZA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,6,6
COBIJA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,45,113,158
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,1421,2400,3821
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,37,42,79
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,11,11
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,2,2
COROICO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,12,17,29
COTOCA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,3,7,10
CULPINA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,7,7,14
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,423,769,1192
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,28,70,98
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2013-07-01,4,7,11
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,6,4,10
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2013-07-01,44,102,146
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2013-07-01,10,24,34
LA GUARDIA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,3,3
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2013-07-01,1307,2558,3865
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,26,51,77
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,3,3
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,2,21,23
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,21,33,54
MONTERO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,55,199,254
OCURI,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,1,1
ORURO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,370,526,896
PADILLA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,11,35,46
PAILON,cirugias y anestesias,anestesias generales y regionales,2013-07-01,1,3,4
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,7,14,21
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,9,45,54
POTOSI,cirugias y anestesias,anestesias generales y regionales,2013-07-01,187,345,532
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2013-07-01,24,45,69
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2013-07-01,8,48,56
PUNATA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,16,47,63
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,10,101,111
REYES,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,4,4
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,41,181,222
ROBORE,cirugias y anestesias,anestesias generales y regionales,2013-07-01,2,2,4
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2013-07-01,1,19,20
SACABA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,23,128,151
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,8,8
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,7,38,45
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,4,14,18
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2013-07-01,1,10,11
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,6,6
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,14,83,97
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2013-07-01,2,14,16
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,5,5
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2013-07-01,4,22,26
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2013-07-01,6,11,17
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2013-07-01,2,20,22
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,4,4
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2013-07-01,2,8,10
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2013-07-01,1,4,5
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,4,14,18
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,2124,2910,5034
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,5,5
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,11,11
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,1,1
SUCRE,cirugias y anestesias,anestesias generales y regionales,2013-07-01,577,763,1340
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,5,11,16
TARIJA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,344,520,864
TARVITA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,3,3
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,0,24,24
TOTORA(CBBA),cirugias y anestesias,anestesias generales y regionales,2013-07-01,1,5,6
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2013-07-01,121,285,406
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,21,29,50
UNCIA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,6,23,29
UYUNI,cirugias y anestesias,anestesias generales y regionales,2013-07-01,5,17,22
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2013-07-01,10,25,35
VIACHA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,24,23,47
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2013-07-01,13,69,82
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2013-07-01,9,13,22
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2013-07-01,28,72,100
VINTO,cirugias y anestesias,anestesias generales y regionales,2013-07-01,7,13,20
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2013-07-01,42,118,160
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2013-07-01,3,30,33
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2013-08-01,1,10,11
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2013-08-01,1,14,15
ANZALDO,cirugias y anestesias,anestesias generales y regionales,2013-08-01,5,5,10
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2013-08-01,5,21,26
BAURES,cirugias y anestesias,anestesias generales y regionales,2013-08-01,0,6,6
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2013-08-01,11,38,49
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2013-08-01,0,5,5
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2013-08-01,10,36,46
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2013-08-01,15,64,79
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2013-08-01,5,23,28
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,0,16,16
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,2,13,15
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2013-08-01,0,11,11
CLIZA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,1,14,15
COBIJA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,36,105,141
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,1405,2075,3480
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,45,11,56
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,0,21,21
COROICO,cirugias y anestesias,anestesias generales y regionales,2013-08-01,10,17,27
COTOCA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,0,23,23
CULPINA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,11,6,17
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2013-08-01,427,750,1177
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2013-08-01,16,59,75
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,1,8,9
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2013-08-01,18,61,79
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2013-08-01,7,14,21
IXIAMAS,cirugias y anestesias,anestesias generales y regionales,2013-08-01,0,14,14
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2013-08-01,1352,2539,3891
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,13,40,53
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,8,19,27
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,1,23,24
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2013-08-01,24,36,60
MONTERO,cirugias y anestesias,anestesias generales y regionales,2013-08-01,59,178,237
ORURO,cirugias y anestesias,anestesias generales y regionales,2013-08-01,246,472,718
PADILLA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,15,29,44
PAILON,cirugias y anestesias,anestesias generales y regionales,2013-08-01,0,2,2
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,3,8,11
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2013-08-01,10,39,49
POTOSI,cirugias y anestesias,anestesias generales y regionales,2013-08-01,237,170,407
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2013-08-01,7,50,57
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2013-08-01,12,39,51
PUNATA,cirugias y anestesias,anestesias generales y regionales,2013-08-01,26,62,88
