,group,variable,month,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,TOTALES
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,1,4,5
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,1,27,28
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,1675,3747,5422
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,1,4,5
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,8,8
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,1,1
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,405,496,901
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,4,3,7
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,229,456,685
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,4,38,42
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,8,8
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,80,208,288
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,28,34,62
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,4,20,24
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,4,19,23
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,25,14,39
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,8,56,64
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,8,16,24
VINTO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,15,17,32
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,88,102,190
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,9,38,47
YOTALA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,1,1
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,2,15,17
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,7,19,26
ANZALDO,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,8,8,16
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,2,12,14
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,8,6,14
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,14,27,41
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,0,1,1
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,3,1,4
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,18,58,76
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,8,18,26
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,0,7,7
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,6,26,32
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2013-05-01,1,17,18
CLIZA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,1,13,14
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,42,100,142
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,1231,2156,3387
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,35,31,66
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,0,9,9
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,4,13,17
COROICO,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,3,18,21
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,1,10,11
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,397,598,995
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,12,64,76
ENTRE RIOS TRJ,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,1,9,10
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,9,4,13
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,10,49,59
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,3,13,16
LA GUARDIA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,0,4,4
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,1414,2084,3498
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,35,35,70
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,7,8,15
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,2,17,19
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,11,23,34
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,49,140,189
ORURO,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,168,491,659
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,12,38,50
PAILON,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,0,10,10
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,2,11,13
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,4,21,25
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,161,282,443
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,12,36,48
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,18,7,25
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,14,38,52
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,11,57,68
REYES,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,0,2,2
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,52,153,205
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,2,4,6
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,2,24,26
SACABA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,17,80,97
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,0,6,6
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,22,55,77
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,1,3,4
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,1,14,15
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,0,6,6
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,14,56,70
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2013-05-01,0,8,8
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,0,4,4
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,1,22,23
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,3,15,18
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,1,11,12
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,0,3,3
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,3,0,3
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,1,19,20
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,1341,2810,4151
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,0,10,10
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,324,515,839
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,6,2,8
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,196,432,628
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,3,31,34
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2013-05-01,0,3,3
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,67,151,218
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,27,51,78
UNCIA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,1,22,23
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,5,11,16
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,2,27,29
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,11,11,22
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,8,54,62
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,7,28,35
VINTO,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,19,23,42
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,85,79,164
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,5,45,50
YOTALA,cirugias y anestesias,cirugias medianas y mayores,2013-05-01,0,1,1
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,5,5
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,15,12,27
ANZALDO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,9,8,17
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,2,13,15
BAURES,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,1,0,1
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,11,32,43
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,1,1
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,14,29,43
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,13,33,46
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,4,4
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,4,22,26
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,8,8
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,4,19,23
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2013-06-01,4,16,20
CLIZA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,5,5
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,41,120,161
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,1218,2016,3234
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,27,17,44
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,10,10
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,1,10,11
COROICO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,4,9,13
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,1,13,14
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,331,623,954
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,27,59,86
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,4,4
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,18,67,85
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,8,14,22
LA GUARDIA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,3,3
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,1331,1929,3260
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,16,42,58
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,4,4
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,3,18,21
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,9,20,29
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,44,155,199
ORURO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,224,441,665
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,4,23,27
PAILON,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,5,5
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,4,12,16
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,18,51,69
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,169,286,455
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,13,29,42
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,13,38,51
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,10,34,44
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,9,54,63
QUIME,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,1,1,2
REYES,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,4,4
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,38,194,232
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,1,1,2
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,1,17,18
SACABA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,14,86,100
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,11,11
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,6,8,14
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,1,12,13
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,6,4,10
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,16,66,82
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2013-06-01,1,8,9
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,5,5
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,6,28,34
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,6,6,12
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,1,19,20
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,4,20,24
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,2,2
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,4,4
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,1,9,10
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,1423,2956,4379
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,2,2
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,13,13
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,3,3
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,326,498,824
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,2,5,7
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,199,446,645
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,4,43,47
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,9,9
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,82,219,301
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,7,30,37
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,7,17,24
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,10,25,35
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,7,19,26
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,6,7,13
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,5,11,16
VINTO,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,10,23,33
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,37,110,147
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,6,37,43
YOTALA,cirugias y anestesias,cirugias medianas y mayores,2013-06-01,0,1,1
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,4,13,17
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,2,16,18
ANZALDO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,10,8,18
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,2,7,9
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,6,4,10
BAURES,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,2,2
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,9,31,40
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,6,6
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,19,22,41
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,4,56,60
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,4,4
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,1,8,9
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,1,12,13
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,7,18,25
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2013-07-01,2,13,15
CLIZA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,6,6
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,45,113,158
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,1330,2308,3638
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,37,42,79
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,11,11
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,2,2
COROICO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,7,12,19
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,3,7,10
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,1,1
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,422,767,1189
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,28,70,98
ENTRE RIOS TRJ,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,4,3,7
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,6,4,10
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,44,102,146
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,10,24,34
LA GUARDIA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,3,3
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,1248,2341,3589
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,26,51,77
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,3,3
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,2,21,23
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,9,33,42
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,55,199,254
ORURO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,370,526,896
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,11,35,46
PAILON,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,1,3,4
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,7,14,21
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,9,45,54
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,179,334,513
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,14,28,42
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,8,48,56
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,16,47,63
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,10,49,59
REYES,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,4,4
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,41,181,222
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,2,2,4
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,1,19,20
SACABA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,18,85,103
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,8,8
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,7,38,45
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,4,14,18
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,1,10,11
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,6,6
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,14,83,97
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2013-07-01,2,14,16
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,5,5
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,4,21,25
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,6,11,17
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,2,20,22
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,1,1
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,2,5,7
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,1,4,5
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,4,14,18
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,1834,2850,4684
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,5,5
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,11,11
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,1,1
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,476,661,1137
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,3,11,14
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,328,516,844
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,3,3
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,0,24,24
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2013-07-01,1,5,6
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,121,285,406
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,14,25,39
UNCIA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,6,23,29
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,5,17,22
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,10,25,35
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,24,23,47
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,8,61,69
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,9,13,22
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,6,22,28
VINTO,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,7,13,20
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,42,118,160
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2013-07-01,3,30,33
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,1,10,11
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,1,14,15
ANZALDO,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,4,4,8
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,4,12,16
BAURES,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,0,4,4
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,11,38,49
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,0,5,5
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,10,36,46
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,11,47,58
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,5,23,28
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,0,16,16
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,2,13,15
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2013-08-01,0,11,11
CLIZA,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,1,14,15
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,36,105,141
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,1350,1973,3323
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,42,11,53
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,0,21,21
COROICO,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,6,15,21
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,0,23,23
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,427,750,1177
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,16,59,75
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,1,8,9
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,18,61,79
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,7,14,21
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,1285,2443,3728
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,13,40,53
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,8,19,27
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,1,23,24
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,7,25,32
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,59,178,237
ORURO,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,246,472,718
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,15,29,44
PAILON,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,0,2,2
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,3,8,11
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,10,39,49
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,220,161,381
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,2,29,31
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,12,31,43
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,26,62,88
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2013-08-01,29,78,107
