,group,variable,month,TOTAL 18.1 SRP DOSIS ÚNICA CANTIDAD,TOTAL 18.1 SRP DOSIS ÚNICA CANTIDAD,TOTALES,TOTALES,TOTALES
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,3,16,3,16,19
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,19,0,19,0,19
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,38,4,38,4,42
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,2432,60,2432,60,2492
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,13,0,13,0,13
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,21,7,21,7,28
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,4,3,4,3,7
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,8,9,8,9,17
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,5,15,5,15,20
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,0,5,0,5,5
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,6,3,6,3,9
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,4,7,4,7,11
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,10,9,10,9,19
SENA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,7,0,7,0,7
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,39,8,39,8,47
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,8,12,8,12,20
SICAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,1,3,1,3,4
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,83,11,83,11,94
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,11,2,11,2,13
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,9,11,9,11,20
SORATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,15,35,15,35,50
SUCRE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,525,48,525,48,573
TACACHI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,2,5,2,5,7
TACACOMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,14,3,14,3,17
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,12,13,12,13,25
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,9,16,9,16,25
TAHUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,8,0,8,0,8
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,28,21,28,21,49
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,17,14,17,14,31
TARACO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,3,1,3,1,4
TARATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,13,6,13,6,19
TARIJA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,340,38,340,38,378
TARVITA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,13,11,13,11,24
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,14,9,14,9,23
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,19,8,19,8,27
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,32,33,32,33,65
TIPUANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,7,12,7,12,19
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,135,32,135,32,167
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,12,14,12,14,26
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,1,0,1,0,1
TOCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,2,8,2,8,10
TODOS SANTOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,0,1,0,1,1
TOLATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,8,0,8,0,8
TOLEDO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,2,1,2,1,3
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,12,15,12,15,27
TOMINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,6,11,6,11,17
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,8,32,8,32,40
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,17,12,17,12,29
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,0,2,0,2,2
TRIGAL,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,2,1,2,1,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,191,21,191,21,212
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,69,18,69,18,87
TURCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,5,3,5,3,8
UMALA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,5,1,5,1,6
UNCIA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,25,11,25,11,36
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,11,14,11,14,25
URUBICHA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,7,4,7,4,11
UYUNI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,29,2,29,2,31
VACAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,11,9,11,9,20
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,20,2,20,2,22
VIACHA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,93,2,93,2,95
VILA VILA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,2,9,2,9,11
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,4,15,4,15,19
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,67,27,67,27,94
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,3,3,3,3,6
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,3,7,3,7,10
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,8,5,8,5,13
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,125,18,125,18,143
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,15,20,15,20,35
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,70,7,70,7,77
VINTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,86,0,86,0,86
VITICHI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,9,3,9,3,12
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,1,1,1,1,2
WARNES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,164,10,164,10,174
YACO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,8,6,8,6,14
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,152,42,152,42,194
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,7,4,7,4,11
YANACACHI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,8,0,8,0,8
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,65,38,65,38,103
YOCALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,13,4,13,4,17
YOTALA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,3,6,3,6,9
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,1,5,1,5,6
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-03-01,3,7,3,7,10
ACACIO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,3,2,3,2,5
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,35,24,35,24,59
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,8,3,8,3,11
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,17,13,17,13,30
ALALAY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,2,5,2,5,7
ALCALA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,2,1,2,1,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,11,0,11,0,11
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,17,5,17,5,22
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,1,1,1,2
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,3,3,3,3,6
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,4,6,4,6,10
APOLO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,21,13,21,13,34
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,6,1,6,7
ARANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,14,2,14,2,16
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,6,22,6,22,28
ARQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,20,11,20,11,31
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,73,6,73,6,79
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,14,14,14,14,28
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,5,1,5,6
AYATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,5,5,5,5,10
AYO AYO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,7,4,7,4,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,20,22,20,22,42
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,8,9,8,9,17
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,13,13,13,13,26
BAURES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,9,0,9,0,9
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,0,1,0,1,1
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,3,6,3,6,9
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,0,3,0,3,3
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,23,36,23,36,59
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,12,23,12,23,35
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,0,9,0,9,9
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,2,1,2,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,2,9,2,9,11
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,16,15,16,15,31
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,14,58,14,58,72
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,6,1,6,1,7
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,5,6,5,6,11
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,19,0,19,0,19
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,0,6,0,6,6
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,10,5,10,5,15
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,10,6,10,6,16
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,3,2,3,2,5
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,68,5,68,5,73
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,23,0,23,0,23
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,2,9,2,9,11
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,15,15,15,15,30
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,60,8,60,8,68
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,3,22,3,22,25
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,4,0,4,0,4
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,0,10,0,10,10
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,39,31,39,31,70
CHAQUI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,8,5,8,5,13
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,21,57,21,57,78
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,1,1,1,2
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,6,17,6,17,23
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,47,14,47,14,61
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,5,1,5,6
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,3,0,3,0,3
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,26,8,26,8,34
CHUMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,10,10,10,10,20
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,8,4,8,4,12
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,26,9,26,9,35
CLIZA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,16,9,16,9,25
COBIJA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,71,44,71,44,115
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,6,36,6,36,42
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1031,38,1031,38,1069
COIPASA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,53,7,53,7,60
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,23,11,23,11,34
COLLANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,25,19,25,19,44
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,7,9,7,9,16
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,27,50,27,50,77
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,10,2,10,2,12
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,9,29,9,29,38
COMANCHE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,5,0,5,0,5
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,23,7,23,7,30
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,35,17,35,17,52
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,10,7,10,7,17
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,18,20,18,20,38
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,2,7,2,7,9
COROICO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,10,12,10,12,22
CORQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,6,4,6,4,10
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,18,21,18,21,39
COTOCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,122,20,122,20,142
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,32,12,32,12,44
CUEVO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,7,1,7,8
CULPINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,27,28,27,28,55
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,3,1,3,4
CURVA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,4,1,4,1,5
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,7,7,7,7,14
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1232,238,1232,238,1470
EL CHORO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,2,3,2,3,5
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,23,7,23,7,30
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,18,6,18,6,24
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,94,3,94,3,97
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,2,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,23,16,23,16,39
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,57,16,57,16,73
ESCARA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,0,1,0,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,5,5,5,5,10
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,0,1,0,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,10,0,10,0,10
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,0,4,0,4,4
EXALTACION,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,0,2,0,2,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,5,31,5,31,36
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,14,1,14,15
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,38,13,38,13,51
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,3,18,3,18,21
GUANAY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,8,7,8,7,15
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,3,9,3,9,12
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,61,34,61,34,95
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,6,8,6,8,14
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,8,8,8,8,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,11,1,11,12
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,31,5,31,5,36
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,4,0,4,0,4
HUARINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,2,7,2,7,9
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,5,1,5,1,6
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,1,1,1,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,2,6,2,6,8
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,4,1,4,5
ICLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,6,13,6,13,19
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,9,12,9,12,21
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,6,9,6,9,15
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,16,11,16,11,27
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,20,8,20,8,28
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,15,4,15,4,19
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,48,26,48,26,74
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,167,18,167,18,185
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1159,128,1159,128,1287
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,3,6,3,6,9
LAJA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,22,11,22,11,33
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,2,3,2,3,5
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,34,38,34,38,72
LLICA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,10,2,10,2,12
LORETO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,9,1,9,10
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,7,10,7,10,17
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,5,0,5,0,5
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,4,1,4,1,5
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,13,5,13,5,18
MALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,0,3,0,3,3
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,22,3,22,3,25
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,12,11,12,11,23
MINEROS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,51,17,51,17,68
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,27,31,27,31,58
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,6,14,6,14,20
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,4,3,4,3,7
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,39,4,39,4,43
MONTERO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,244,21,244,21,265
MORO MORO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,2,2,2,2,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,10,12,10,12,22
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,0,2,0,2,2
OCURI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,7,28,7,28,35
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,17,15,17,15,32
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,436,3,436,3,439
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,17,4,17,4,21
PADILLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,14,6,14,6,20
PAILON,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,36,76,36,76,112
PALCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,28,10,28,10,38
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-04-01,32,19,32,19,51
