,group,variable,month,TOTAL 18.2 ANTI AMARÍLICA CANTIDAD,TOTAL 18.2 ANTI AMARÍLICA CANTIDAD,TOTALES,TOTALES,TOTALES
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,976,51,976,51,1027
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,16,0,16,16
LAJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,19,4,19,4,23
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,9,0,9,9
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,2,0,2,2
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,33,66,33,66,99
LLICA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,5,0,5,0,5
LORETO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,3,0,3,0,3
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,7,2,7,9
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,4,2,4,2,6
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,9,4,9,4,13
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,13,11,13,11,24
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,18,1,18,1,19
MALLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,3,0,3,3
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,42,4,42,4,46
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,5,12,5,12,17
MINEROS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,39,9,39,9,48
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,40,43,40,43,83
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,4,17,4,17,21
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,3,6,3,6,9
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,35,7,35,7,42
MONTERO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,238,3,238,3,241
MORO MORO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,1,0,1,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,12,0,12,12
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,5,0,5,5
OCURI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,14,15,14,15,29
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,27,5,27,5,32
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,12,2,12,14
ORURO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,391,0,391,0,391
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,16,9,16,9,25
PADILLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,11,6,11,6,17
PAILON,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,47,30,47,30,77
PALCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,12,14,12,14,26
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,37,14,37,14,51
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,1,1,1,1,2
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,12,0,12,0,12
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,3,10,3,10,13
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,5,2,5,7
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,21,16,21,16,37
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,5,2,5,7
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,10,10,10,10,20
POCOATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,1,34,1,34,35
POCONA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,34,2,34,36
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,3,4,3,4,7
POOPO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,7,4,7,4,11
PORCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,15,27,15,27,42
POROMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,10,14,10,14,24
PORONGO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,5,23,5,23,28
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,27,4,27,4,31
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,338,7,338,7,345
PRESTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,3,5,3,5,8
PUCARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,0,2,0,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,15,26,15,26,41
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,8,2,8,10
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,8,18,8,18,26
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,12,2,12,14
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,15,26,15,26,41
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,8,21,8,21,29
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,2,0,2,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,29,27,29,27,56
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,108,23,108,23,131
PUNA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,10,28,10,28,38
PUNATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,40,7,40,7,47
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,157,99,157,99,256
QUIME,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,4,2,4,2,6
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,5,0,5,0,5
RAVELO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,17,13,17,13,30
REYES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,14,2,14,2,16
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,154,84,154,84,238
ROBORE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,12,6,12,6,18
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,33,10,33,10,43
SABAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,2,2,2,4
SACABA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,237,8,237,8,245
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,3,1,3,1,4
SACACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,12,20,12,20,32
SAIPINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,9,0,9,9
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,6,0,6,6
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,4,11,4,11,15
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,22,3,22,3,25
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,1,5,1,5,6
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,1,1,1,1,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,6,7,6,7,13
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,4,6,4,6,10
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,50,65,50,65,115
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,6,5,6,5,11
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,34,15,34,15,49
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,25,19,25,19,44
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,92,48,92,48,140
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,22,6,22,6,28
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,1,10,1,10,11
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,47,9,47,9,56
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,14,4,14,4,18
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,66,46,66,46,112
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,5,0,5,5
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,18,7,18,7,25
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,47,44,47,44,91
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,30,17,30,17,47
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,22,9,22,9,31
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,0,2,0,2
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,17,5,17,5,22
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,25,69,25,69,94
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,2,0,2,2
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,3,5,3,5,8
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,5,1,5,1,6
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,6,0,6,6
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,9,2,9,11
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,3,16,3,16,19
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,20,0,20,0,20
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,11,7,11,7,18
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2418,62,2418,62,2480
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,7,0,7,0,7
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,11,11,11,11,22
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,4,4,4,4,8
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,9,8,9,8,17
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,5,15,5,15,20
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,5,0,5,5
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,6,3,6,3,9
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,4,7,4,7,11
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,7,11,7,11,18
SENA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,7,0,7,0,7
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,41,6,41,6,47
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,8,18,8,18,26
SICAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,1,3,1,3,4
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,93,15,93,15,108
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,11,3,11,3,14
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,7,10,7,10,17
SORATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,19,37,19,37,56
SUCRE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,506,47,506,47,553
TACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,7,2,7,9
TACACOMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,12,5,12,5,17
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,6,23,6,23,29
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,9,15,9,15,24
TAHUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,8,0,8,0,8
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,29,22,29,22,51
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,14,15,14,15,29
TARACO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,3,1,3,1,4
TARATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,12,6,12,6,18
TARIJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,307,44,307,44,351
TARVITA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,13,11,13,11,24
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,12,10,12,10,22
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,15,5,15,5,20
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,18,29,18,29,47
TIPUANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,7,15,7,15,22
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,116,44,116,44,160
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,11,16,11,16,27
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,1,0,1,0,1
TOCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,8,2,8,10
TODOS SANTOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,1,0,1,1
TOLATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,9,0,9,0,9
TOLEDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,1,0,1,1
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,11,16,11,16,27
TOMINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,7,11,7,11,18
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,9,30,9,30,39
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,18,12,18,12,30
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,2,0,2,2
TRIGAL,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,1,2,1,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,188,20,188,20,208
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,60,12,60,12,72
TURCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,5,4,5,4,9
UMALA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,5,3,5,3,8
UNCIA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,19,7,19,7,26
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,3,19,3,19,22
URUBICHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,7,4,7,4,11
UYUNI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,14,0,14,0,14
VACAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,10,9,10,9,19
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,20,2,20,2,22
VIACHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,78,4,78,4,82
VILA VILA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,0,6,0,6,6
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,3,13,3,13,16
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,63,22,63,22,85
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,3,3,3,3,6
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,3,6,3,6,9
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,8,5,8,5,13
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,120,19,120,19,139
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,9,17,9,17,26
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,34,5,34,5,39
VINTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,96,0,96,0,96
VITICHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,10,10,10,10,20
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,1,1,1,1,2
WARNES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,168,10,168,10,178
YACO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,8,5,8,5,13
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,155,41,155,41,196
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,7,4,7,4,11
YANACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,8,0,8,0,8
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,65,37,65,37,102
YOCALLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,20,7,20,7,27
YOTALA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,3,6,3,6,9
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,1,5,1,5,6
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-03-01,2,4,2,4,6
ACACIO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,2,3,2,5
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,30,26,30,26,56
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,7,3,7,3,10
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,17,13,17,13,30
ALALAY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,8,1,8,9
ALCALA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,1,2,1,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,10,0,10,0,10
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,18,5,18,5,23
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,1,1,1,2
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,3,3,3,6
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,4,6,4,6,10
APOLO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,21,12,21,12,33
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,7,2,7,9
ARANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,12,4,12,4,16
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,7,24,7,24,31
ARQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,20,19,20,19,39
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,67,4,67,4,71
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,14,21,14,21,35
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,4,0,4,4
AYATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,7,6,7,6,13
AYO AYO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,5,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,14,22,14,22,36
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,8,10,8,10,18
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,13,13,13,13,26
BAURES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,9,0,9,0,9
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,1,0,1,1
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,7,2,7,9
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,4,0,4,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,16,36,16,36,52
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,15,30,15,30,45
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,9,0,9,9
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,2,1,2,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,9,1,9,10
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,17,15,17,15,32
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,7,71,7,71,78
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,6,1,6,1,7
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,6,14,6,14,20
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,11,0,11,11
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,5,3,5,8
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,12,4,12,4,16
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,77,6,77,6,83
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,29,0,29,0,29
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,7,2,7,9
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,15,15,15,15,30
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,57,12,57,12,69
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,27,2,27,29
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,4,0,4,0,4
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,10,0,10,10
CATACORA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,41,34,41,34,75
CHAQUI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,7,5,7,5,12
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,6,94,6,94,100
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,6,19,6,19,25
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,41,17,41,17,58
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,5,0,5,5
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,4,0,4,0,4
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,26,13,26,13,39
CHUMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,10,10,10,10,20
