,group,variable,month,TOTAL 18.7 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTAL 18.7 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,2,0,2,0,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,9,3,9,12
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,8,3,8,3,11
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,2,0,2,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,2,0,2,0,2
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,13,0,13,0,13
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,0,3,0,3
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,228,3,228,3,231
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,1,0,1,1
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,2,1,2,1,3
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,10,0,10,0,10
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,11,3,11,14
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,22,2,22,2,24
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,2,1,2,3
SORATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,4,0,4,4
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,9,0,9,0,9
TACACOMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,3,3,3,6
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,13,3,13,16
TARACO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,2,0,2,2
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,0,3,0,3
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,23,6,23,6,29
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
TOMINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,5,0,5,5
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,14,2,14,2,16
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,5,0,5,0,5
URUBICHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,7,0,7,7
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,29,0,29,0,29
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,3,1,3,4
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,17,0,17,0,17
VITICHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,2,0,2,0,2
YANACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
ACACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,2,0,2,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,2,0,2,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,2,0,2,2
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,2,0,2,2
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,7,1,7,8
APOLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,13,3,13,3,16
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,5,3,5,3,8
ARQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,1,2,1,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,4,13,4,13,17
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,4,4,4,4,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,10,5,10,5,15
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,12,5,12,5,17
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,2,0,2,2
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,6,2,6,2,8
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2,0,2
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,5,2,5,2,7
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,13,0,13,0,13
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,2,2,2,4
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,12,8,12,8,20
CATACORA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,2,0,2,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,6,2,6,2,8
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,5,0,5,0,5
CHUMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,3,1,3,4
CLIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,222,6,222,6,228
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,8,0,8,0,8
COLOMI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,2,1,2,3
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,1,0,1,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,7,6,7,6,13
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,2,0,2,2
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2,0,2
COROICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,1,1,1,2
CORQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2,0,2
CUEVO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,3,2,3,2,5
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,50,13,50,13,63
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,1,2,1,3
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,4,0,4,0,4
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,7,0,7,0,7
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2,0,2
GUANAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,5,2,5,2,7
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,4,0,4,0,4
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,3,0,3,3
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,3,0,3,0,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2,0,2
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,4,0,4,4
ICLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,1,2,1,3
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,2,0,2,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,1,0,1,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,111,2,111,2,113
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,4,0,4,0,4
MALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,6,0,6,6
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,3,0,3,0,3
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,5,0,5,0,5
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,4,0,4,0,4
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,1,1,1,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,31,3,31,3,34
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,2,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2,0,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,1,1,1,2
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,6,0,6,0,6
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,6,1,6,1,7
PALCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,3,2,3,5
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,10,1,10,11
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,3,0,3,3
POCONA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,1,0,1,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,5,0,5,0,5
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,6,1,6,1,7
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,16,3,16,3,19
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,2,0,2,2
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,6,1,6,1,7
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,3,2,3,2,5
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,21,16,21,16,37
RAVELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,49,1,49,1,50
ROBORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,6,0,6,0,6
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,22,1,22,1,23
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,3,0,3,0,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,3,2,3,5
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,3,0,3,0,3
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,14,0,14,0,14
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,14,12,14,12,26
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,1,1,1,2
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,8,4,8,4,12
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,1,1,1,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2,0,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,183,7,183,7,190
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
SENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2,0,2
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,4,3,4,3,7
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,6,3,6,3,9
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,16,6,16,6,22
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2,0,2
SORATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,1,2,1,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,31,0,31,0,31
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,13,12,13,12,25
TARACO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,1,1,1,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,8,1,8,1,9
TIPUANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,7,0,7,0,7
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,1,0,1,1
TOCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
TOMINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,2,2,2,4
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,14,0,14,0,14
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
UMALA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,1,2,1,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,1,0,1,1
URUBICHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,4,0,4,4
UYUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,7,9,7,9,16
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,7,0,7,7
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,6,0,6,0,6
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,0,4,0,4,4
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
YUNGUYO DE LITORAL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,6,0,6,6
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,4,0,4,0,4
ARQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,4,1,4,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,1,0,1,1
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,3,0,3,3
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,3,9,3,9,12
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,2,1,2,3
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,2,0,2,2
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,23,2,23,2,25
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,4,0,4,0,4
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,6,0,6,6
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,13,1,13,1,14
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1,0,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,3,0,3,0,3
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,16,2,16,2,18
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,3,0,3,3
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,5,0,5,5
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,3,3,3,3,6
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1,0,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,1,0,1,1
CHUMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,4,1,4,1,5
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,131,2,131,2,133
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,4,0,4,0,4
COLOMI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1,0,1
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,2,0,2,0,2
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,7,2,7,2,9
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,2,7,2,7,9
COMANCHE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1,0,1
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,5,3,5,3,8
COROICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,1,1,1,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,26,12,26,12,38
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,7,0,7,0,7
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,6,3,6,3,9
GUANAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,8,1,8,1,9
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,2,2,2,2,4
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,8,1,8,1,9
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,8,0,8,0,8
HUMANATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,6,4,6,4,10
