,group,variable,month,TOTAL 18.3 DPT 1RA DOSIS CANTIDAD,TOTAL 18.3 DPT 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
TOMINA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-02-01,0,5,0,5,5
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-02-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-02-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-02-01,15,2,15,2,17
URUBICHA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-02-01,0,7,0,7,7
VIACHA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-02-01,29,0,29,0,29
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-02-01,1,0,1,0,1
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-02-01,1,3,1,3,4
VINTO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-02-01,17,12,17,12,29
VITICHI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-02-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-02-01,4,0,4,0,4
YANACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-02-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,2,0,2,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,3,0,3,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,6,0,6,0,6
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,2,0,2,2
APOLO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,13,3,13,3,16
ARQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,4,8,4,8,12
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,4,4,4,4,8
AYATA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,10,4,10,4,14
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,4,5,4,5,9
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,2,0,2,2
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,6,2,6,2,8
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,0,2,0,2
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,5,2,5,2,7
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,13,0,13,0,13
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,2,2,2,4
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,1,0,1,1
CATACORA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,5,2,5,2,7
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,6,2,6,2,8
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,5,0,5,0,5
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,2,2,2,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,132,4,132,4,136
COLOMI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,2,1,2,3
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,2,0,2,2
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,5,6,5,6,11
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,2,0,2,2
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,0,2,0,2
COROICO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,1,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,0,2,0,2
CUEVO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,3,2,3,2,5
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,25,8,25,8,33
EL CHORO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,1,0,1,1
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,1,2,1,3
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,4,0,4,0,4
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,7,0,7,0,7
GUANAY,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,5,2,5,2,7
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,3,0,3,3
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,3,0,3,0,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,5,0,5,0,5
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,4,0,4,4
ICLA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,1,2,1,3
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,2,0,2,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,1,0,1,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,88,2,88,2,90
LAJA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,3,0,3,0,3
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,4,0,4,0,4
MALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,6,0,6,6
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,3,0,3,0,3
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,5,0,5,0,5
MINEROS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,4,0,4,0,4
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,1,1,1,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,37,3,37,3,40
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,2,0,2,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,1,1,1,2
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,6,0,6,0,6
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,6,1,6,1,7
PALCA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,3,2,3,5
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,3,0,3,3
POCONA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,1,0,1,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,5,4,5,4,9
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,6,1,6,1,7
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,9,3,9,3,12
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,2,0,2,2
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,6,1,6,1,7
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,3,2,3,2,5
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,21,16,21,16,37
RAVELO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,45,1,45,1,46
ROBORE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,4,0,4,0,4
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,22,1,22,1,23
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,3,0,3,0,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,3,2,3,5
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,3,0,3,0,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,1,0,1,1
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,14,0,14,0,14
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,14,13,14,13,27
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,2,1,2,3
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,9,5,9,5,14
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,1,1,1,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,0,2,0,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,190,4,190,4,194
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
SENA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,0,2,0,2
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,4,3,4,3,7
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,6,3,6,3,9
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,16,6,16,6,22
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,6,0,6,0,6
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,1,0,1,1
SORATA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,1,2,1,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,32,0,32,0,32
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,13,11,13,11,24
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,2,0,2,2
TARACO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,1,1,1,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,4,0,4,0,4
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,0,2,0,2
TIPUANI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,3,0,3,0,3
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,1,0,1,1
TOCO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
TOMINA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,2,2,2,4
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,14,0,14,0,14
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,1,0,1,1
URUBICHA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,4,0,4,4
UYUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,3,1,3,1,4
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,7,0,7,7
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,6,1,6,1,7
VINTO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,17,0,17,0,17
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,0,4,0,4,4
YUNGUYO DE LITORAL,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-03-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,1,0,1,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,2,0,2,2
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,4,0,4,0,4
ARQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,4,1,4,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,1,0,1,1
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,3,0,3,3
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,3,9,3,9,12
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,2,1,2,3
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,2,0,2,2
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,23,2,23,2,25
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,4,0,4,0,4
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,6,0,6,6
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,19,1,19,1,20
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,0,1,0,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,3,0,3,0,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,3,0,3,3
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,5,0,5,5
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,3,3,3,3,6
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,0,1,0,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,1,0,1,1
CHUMA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,4,1,4,1,5
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,79,2,79,2,81
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,6,0,6,0,6
COLOMI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,7,2,7,2,9
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,2,7,2,7,9
COMANCHE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,0,1,0,1
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,5,3,5,3,8
COROICO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,1,1,1,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,26,12,26,12,38
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,7,0,7,0,7
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,6,3,6,3,9
GUANAY,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,8,1,8,1,9
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,2,0,2,0,2
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,8,1,8,1,9
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,8,0,8,0,8
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,1,1,1,2
ICLA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,2,0,2,0,2
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,7,1,7,8
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,7,0,7,0,7
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,76,27,76,27,103
LAJA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,0,1,0,1
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,2,4,2,4,6
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,0,1,0,1
MALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,2,0,2,2
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,2,0,2,2
MINEROS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,1,0,1,1
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,14,13,14,13,27
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,2,1,2,1,3
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,40,6,40,6,46
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,5,0,5,0,5
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,8,11,8,11,19
PALCA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,13,1,13,1,14
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,2,1,2,1,3
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,1,0,1,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,10,0,10,0,10
POCONA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,2,1,2,1,3
POOPO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,1,1,1,2
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,4,1,4,1,5
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,5,0,5,0,5
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,3,6,3,6,9
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,5,4,5,4,9
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,22,10,22,10,32
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,8,12,8,12,20
ROBORE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,25,7,25,7,32
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,2,2,2,2,4
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,1,0,1,1
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,5,1,5,6
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,1,1,1,2
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,15,29,15,29,44
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,3,0,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,2,0,2,0,2
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,6,0,6,0,6
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,6,15,6,15,21
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,0,1,0,1,1
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,10,3,10,3,13
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,4,2,4,2,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,182,21,182,21,203
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,2,0,2,0,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,0,1,0,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,4,3,4,3,7
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,8,9,8,9,17
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,16,5,16,5,21
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-04-01,14,1,14,1,15
