,group,variable,month,TOTAL 18.6 DPT 4TA DOSIS CANTIDAD,TOTAL 18.6 DPT 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,15,6,15,6,21
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,1,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,27,9,27,9,36
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,101,10,101,10,111
MORO MORO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,10,9,10,9,19
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,1,10,1,10,11
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,0,2,0,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,18,14,18,14,32
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,3,5,3,5,8
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,324,0,324,0,324
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,15,2,15,2,17
PADILLA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,13,5,13,5,18
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,7,22,7,22,29
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,13,3,13,3,16
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,0,1,0,1,1
POCOATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,0,6,0,6,6
POCONA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,5,4,5,4,9
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,1,2,1,3
POROMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,14,13,14,13,27
PORONGO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,7,0,7,0,7
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,4,1,4,1,5
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,1,8,1,8,9
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,1,2,1,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,227,16,227,16,243
PRESTO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,0,3,0,3,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,9,14,9,14,23
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,3,2,3,2,5
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,7,2,7,9
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,0,2,0,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,26,0,26,0,26
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,49,6,49,6,55
PUNA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,10,1,10,1,11
PUNATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,25,0,25,0,25
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,68,66,68,66,134
QUIME,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,3,0,3,0,3
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,1,0,1,0,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,0,2,0,2
REYES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,18,1,18,1,19
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,95,1,95,1,96
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,36,0,36,0,36
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,131,6,131,6,137
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,1,1,1,1,2
SACACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,9,18,9,18,27
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,11,4,11,4,15
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,10,8,10,8,18
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,5,6,5,6,11
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,8,3,8,3,11
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,36,6,36,6,42
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,6,0,6,0,6
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,4,32,4,32,36
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,26,2,26,2,28
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,54,8,54,8,62
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,23,13,23,13,36
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,7,3,7,3,10
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,16,0,16,0,16
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,18,0,18,0,18
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,8,11,8,11,19
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,9,18,9,18,27
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,26,2,26,2,28
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,12,0,12,0,12
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,2,2,2,4
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,12,2,12,2,14
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,5,12,5,12,17
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,31,25,31,25,56
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,12,11,12,11,23
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,642,66,642,66,708
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,5,0,5,0,5
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,16,0,16,0,16
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,0,2,0,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,0,1,0,1,1
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,4,1,4,1,5
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,1,2,1,3
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,4,2,4,2,6
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,3,3,3,3,6
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,1,2,1,3
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,39,10,39,10,49
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,0,2,0,2
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,6,0,6,0,6
SORATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,0,10,0,10,10
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,179,61,179,61,240
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,5,2,5,7
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,6,1,6,1,7
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,7,2,7,2,9
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,7,10,7,10,17
TARACO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,5,0,5,0,5
TARATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,5,1,5,1,6
TARIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,253,23,253,23,276
TARVITA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,5,12,5,12,17
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,0,5,0,5,5
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,36,10,36,10,46
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,3,2,3,5
TOCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,1,4,1,4,5
TOLATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,3,3,3,3,6
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,1,1,1,1,2
TOMINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,7,5,7,5,12
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,11,6,11,6,17
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,2,2,2,4
TRIGAL,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,1,1,1,1,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,63,6,63,6,69
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,43,2,43,2,45
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,17,13,17,13,30
URUBICHA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,4,0,4,0,4
UYUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,8,2,8,2,10
VACAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,3,2,3,5
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,25,0,25,0,25
VIACHA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,36,0,36,0,36
VILA VILA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,1,3,1,3,4
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,6,12,6,12,18
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,42,13,42,13,55
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,7,0,7,0,7
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,2,4,2,4,6
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,57,6,57,6,63
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,5,3,5,3,8
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,46,0,46,0,46
VINTO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,31,0,31,0,31
VITICHI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,3,0,3,0,3
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,142,33,142,33,175
YACO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,0,1,0,1,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,90,12,90,12,102
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,3,5,3,5,8
YOTALA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,4,1,4,1,5
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,5,19,5,19,24
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-04-01,1,4,1,4,5
ACACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,5,6,5,6,11
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,2,1,2,3
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,9,13,9,13,22
ALALAY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,5,1,5,6
ALCALA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,2,2,2,4
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,1,2,1,3
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,5,4,5,4,9
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,0,2,0,2
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,3,2,3,5
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,4,2,4,6
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,12,2,12,14
ARANI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,11,7,11,7,18
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,9,3,9,3,12
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,27,32,27,32,59
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,11,2,11,13
AYATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,6,0,6,0,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,7,9,7,9,16
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,4,6,4,6,10
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,6,3,6,3,9
BAURES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,0,2,0,2
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,3,12,3,12,15
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,24,8,24,8,32
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,6,2,6,2,8
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,2,2,2,4
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,0,1,0,1,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,0,1,0,1,1
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,12,3,12,3,15
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,0,1,0,1
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,22,3,22,3,25
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,6,10,6,10,16
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,6,0,6,0,6
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,39,3,39,3,42
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,7,8,7,8,15
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,50,18,50,18,68
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,3,18,3,18,21
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,7,2,7,2,9
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,9,12,9,12,21
CHAQUI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,3,0,3,0,3
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,0,5,0,5,5
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,38,3,38,3,41
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,0,1,0,1
CHUMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,1,2,1,3
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,11,12,11,12,23
CLIZA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,11,21,11,21,32
COBIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,73,36,73,36,109
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,19,13,19,13,32
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,410,60,410,60,470
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,46,0,46,0,46
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,16,3,16,3,19
COLOMI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,16,6,16,6,22
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,3,0,3,0,3
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,0,2,0,2
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,1,2,1,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,37,34,37,34,71
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,3,1,3,4
COROICO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,0,1,0,1
CORQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,1,2,1,3
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,18,10,18,10,28
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,9,1,9,10
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,25,5,25,5,30
CULPINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,3,1,3,4
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,3,2,3,2,5
CURVA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,337,194,337,194,531
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,14,22,14,22,36
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,6,4,6,4,10
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,91,37,91,37,128
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,9,2,9,2,11
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,17,44,17,44,61
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,60,26,60,26,86
ESCOMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,24,10,24,10,34
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,10,2,10,12
GUANAY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,7,1,7,8
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,0,4,0,4,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,37,1,37,1,38
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,7,6,7,6,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,0,2,0,2,2
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,13,5,13,5,18
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,0,1,0,1,1
HUARINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,0,1,0,1
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,0,1,0,1,1
ICLA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,1,1,1,2
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,12,9,12,9,21
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,0,10,0,10,10
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,6,7,6,7,13
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,0,2,0,2
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,8,1,8,1,9
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,48,1,48,1,49
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,104,70,104,70,174
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,365,77,365,77,442
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,3,10,3,10,13
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,0,1,0,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,0,23,0,23,23
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,2,2,2,4
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,6,3,6,3,9
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,2,11,2,11,13
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,7,2,7,2,9
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,3,3,3,3,6
MINEROS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,23,31,23,31,54
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,10,8,10,8,18
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,1,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,38,11,38,11,49
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,132,11,132,11,143
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-05-01,5,6,5,6,11
