,group,variable,month,TOTAL 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTAL 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
COBIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,8,1,8,1,9
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,5,1,5,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,24,26,24,26,50
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,4,2,4,2,6
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,4,2,4,2,6
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,13,10,13,10,23
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,3,0,3,3
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,5,0,5,0,5
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,2,1,2,3
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,2,1,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,2,0,2,2
OCURI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,9,6,9,6,15
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,3,6,3,6,9
PALCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,3,2,3,2,5
PORCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,2,0,2,2
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,7,3,7,3,10
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,2,1,2,1,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,3,1,3,4
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,4,0,4,0,4
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,2,2,2,2,4
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,1,0,1,1
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,5,0,5,5
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,2,4,2,4,6
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,6,1,6,7
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,2,0,2,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,29,4,29,4,33
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,1,1,1,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,2,0,2,2
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,1,0,1,1
SENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,4,0,4,4
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,4,1,4,1,5
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,2,1,2,3
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,2,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,1,1,1,2
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,4,0,4,4
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,1,1,1,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,1,1,1,2
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,4,1,4,1,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,2,0,2,2
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,1,0,1,1
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,1,0,1,1
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,1,1,1,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,1,0,1,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,9,1,9,1,10
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,3,0,3,0,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,15,5,15,5,20
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,1,0,1,1
GUANAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,4,0,4,4
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,1,0,1,1
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,2,0,2,0,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,1,0,1,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,2,0,2,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,14,1,14,1,15
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,6,1,6,1,7
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,13,0,13,0,13
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,10,0,10,10
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,5,1,5,1,6
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,2,0,2,2
RAVELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,2,0,2,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,4,0,4,0,4
SACACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,1,0,1,1
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,2,5,2,5,7
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,24,1,24,1,25
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,1,1,1,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
SENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,0,1,0,1,1
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,2,0,2,0,2
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,2,0,2,0,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,4,1,4,5
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,1,1,1,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,4,1,4,1,5
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,4,0,4,0,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,2,0,2,0,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-06-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,2,0,2,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,5,0,5,5
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,6,0,6,0,6
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,15,4,15,4,19
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,2,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,14,15,14,15,29
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,2,0,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,2,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,14,0,14,0,14
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,3,0,3,0,3
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,10,2,10,2,12
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,6,0,6,0,6
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,3,2,3,2,5
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,3,1,3,1,4
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,2,1,2,1,3
SACACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,2,0,2,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,3,2,3,2,5
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,3,1,3,1,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,66,5,66,5,71
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,1,0,1,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,3,1,3,1,4
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,3,0,3,0,3
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,1,1,1,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,0,2,0,2,2
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,3,4,3,4,7
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,3,0,3,0,3
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,3,0,3,0,3
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,4,2,4,2,6
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-07-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,0,1,0,1,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,0,1,0,1,1
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,2,6,2,6,8
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,0,1,0,1,1
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,9,0,9,0,9
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,0,2,0,2,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,6,0,6,0,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,13,12,13,12,25
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,2,0,2,0,2
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
ICLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,1,1,1,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,12,0,12,0,12
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,5,1,5,1,6
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,10,0,10,0,10
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-08-01,2,4,2,4,6
