,group,variable,month,TOTAL 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTAL 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
ICLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,32,4,32,4,36
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,27,0,27,0,27
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,2,1,2,3
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,15,0,15,0,15
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,6,0,6,0,6
PUNATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,5,6,5,6,11
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,6,0,6,0,6
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,4,1,4,5
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,4,0,4,0,4
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,3,0,3,0,3
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,105,2,105,2,107
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,4,1,4,1,5
SORATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,3,2,3,2,5
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,2,0,2,0,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,7,0,7,0,7
UYUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,12,1,12,1,13
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,5,4,5,4,9
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,2,0,2,0,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,1,1,1,2
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,3,1,3,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,3,11,3,11,14
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,5,7,5,7,12
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,2,1,2,3
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,5,0,5,5
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,1,1,1,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,1,1,1,2
CLIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,1,0,1,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,2,1,2,1,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,16,5,16,5,21
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,2,0,2,0,2
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
CORQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,8,0,8,8
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,43,41,43,41,84
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,1,0,1,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,3,1,3,1,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,1,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,5,2,5,2,7
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,19,2,19,2,21
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,4,0,4,4
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,1,0,1,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,3,0,3,3
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,1,1,1,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,3,0,3,0,3
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,11,7,11,7,18
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,1,0,1,1
PALCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,1,0,1,1
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,1,0,1,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
PORCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,3,0,3,3
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,12,3,12,3,15
PRESTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,8,0,8,0,8
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,4,12,4,12,16
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,2,0,2,0,2
ROBORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,2,0,2,0,2
SACACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,2,0,2,2
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,5,1,5,1,6
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,5,0,5,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,3,2,3,2,5
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,4,0,4,4
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,2,0,2,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,1,1,1,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,77,18,77,18,95
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,1,0,1,1
SENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,5,1,5,6
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,2,2,2,2,4
TAHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,4,0,4,0,4
TARACO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,3,0,3,0,3
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,4,3,4,3,7
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,4,0,4,0,4
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,2,0,2,2
TRIGAL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,5,0,5,0,5
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,3,0,3,0,3
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,0,2,0,2,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,4,1,4,5
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,9,3,9,3,12
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,3,2,3,2,5
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-05-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,1,0,1,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,2,1,2,3
ARQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,3,4,3,4,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,5,0,5,5
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,7,20,7,20,27
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,2,0,2,2
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,2,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,2,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,24,5,24,5,29
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,1,0,1,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,1,0,1,1
COROICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,22,5,22,5,27
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
GUANAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,5,4,5,4,9
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,2,1,2,3
ICLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,2,0,2,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,3,0,3,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,27,4,27,4,31
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,1,0,1,1
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,5,0,5,0,5
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,2,0,2,0,2
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,2,0,2,0,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,1,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,13,0,13,0,13
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,6,1,6,7
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,8,1,8,1,9
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,3,0,3,0,3
PUNATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,2,12,2,12,14
REYES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,1,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,3,1,3,1,4
ROBORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,2,0,2,0,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,2,1,2,3
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,4,5,4,5,9
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,2,0,2,0,2
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,2,1,2,1,3
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,1,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,2,0,2,0,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,53,8,53,8,61
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,2,0,2,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,1,0,1,1
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,1,0,1,1
SENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,6,0,6,0,6
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,6,1,6,7
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,1,0,1,1
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,3,1,3,1,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,5,10,5,10,15
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,0,1,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,8,3,8,3,11
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,10,0,10,0,10
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,2,0,2,0,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-06-01,3,0,3,0,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-07-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-07-01,1,1,1,1,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-07-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-07-01,2,0,2,0,2
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-07-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-07-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-07-01,8,28,8,28,36
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-07-01,1,1,1,1,2
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-07-01,1,1,1,1,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-07-01,3,0,3,0,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-07-01,1,0,1,0,1
CLIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-07-01,1,1,1,1,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-07-01,4,0,4,0,4
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-07-01,0,1,0,1,1
