,group,variable,month,TOTAL 1810 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTAL 1810 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,58,0,58,0,58
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,7,0,7,0,7
COLOMI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,18,11,18,11,29
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,0,1,0,1
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,1,0,1,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,11,0,11,0,11
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,4,1,4,5
COROICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,0,2,0,2
CORQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,0,1,0,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,17,13,17,13,30
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,0,2,0,2
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,10,13,10,13,23
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,0,2,0,2
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,0,1,0,1
CURVA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,431,91,431,91,522
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,9,1,9,1,10
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,8,3,8,3,11
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,76,1,76,1,77
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,5,0,5,0,5
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,18,8,18,8,26
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,50,9,50,9,59
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,19,0,19,0,19
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,5,2,5,7
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,50,2,50,2,52
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,6,4,6,4,10
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,1,2,1,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,5,1,5,1,6
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,0,1,0,1
HUARINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,2,0,2,2
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,0,1,0,1
ICLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,3,2,3,2,5
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,3,0,3,0,3
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,3,0,3,0,3
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,5,0,5,0,5
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,1,2,1,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,38,4,38,4,42
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,304,12,304,12,316
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,12,2,12,14
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,5,2,5,2,7
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,1,1,1,2
LORETO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,1,0,1,1
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,9,4,9,4,13
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,13,3,13,3,16
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,0,2,0,2
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,24,6,24,6,30
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,13,11,13,11,24
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,1,2,1,3
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,36,3,36,3,39
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,94,0,94,0,94
MORO MORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,4,1,4,1,5
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,9,1,9,10
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,0,2,0,2
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,2,0,2,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,21,1,21,1,22
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,4,4,4,4,8
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,303,0,303,0,303
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,28,3,28,3,31
PADILLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,11,3,11,3,14
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,10,13,10,13,23
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,18,0,18,0,18
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,0,2,0,2
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,1,1,1,2
POCONA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,8,9,8,9,17
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,5,1,5,1,6
POROMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,10,11,10,11,21
PORONGO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,0,2,0,2
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,28,0,28,0,28
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,0,2,0,2
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,292,13,292,13,305
PRESTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,3,0,3,3
PUCARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,3,1,3,1,4
PUCARANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,8,0,8,8
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,3,0,3,0,3
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,4,1,4,1,5
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,4,0,4,0,4
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,19,0,19,0,19
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,41,20,41,20,61
PUNA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,6,6,6,6,12
PUNATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,23,2,23,2,25
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,82,38,82,38,120
QUIME,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,6,1,6,1,7
REYES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,12,0,12,0,12
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,40,4,40,4,44
ROBORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,21,0,21,0,21
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,23,5,23,5,28
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,125,6,125,6,131
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,4,1,4,1,5
SACACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,10,6,10,6,16
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,10,5,10,5,15
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,9,0,9,0,9
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,7,0,7,0,7
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,8,5,8,5,13
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,7,2,7,2,9
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,38,43,38,43,81
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,3,0,3,0,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,32,10,32,10,42
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,60,3,60,3,63
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,6,4,6,4,10
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,17,2,17,2,19
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,22,11,22,11,33
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,26,7,26,7,33
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,12,28,12,28,40
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,26,0,26,0,26
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,15,6,15,6,21
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,2,0,2,2
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,3,4,3,4,7
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,7,0,7,7
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,6,0,6,0,6
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,4,11,4,11,15
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,16,0,16,0,16
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,20,7,20,7,27
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1071,64,1071,64,1135
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,4,0,4,0,4
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,19,8,19,8,27
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,3,0,3,3
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,3,1,3,1,4
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,1,1,1,2
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,53,11,53,11,64
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,1,1,1,2
SORATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,9,0,9,9
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,172,13,172,13,185
TACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,0,1,0,1
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,5,4,5,4,9
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,2,0,2,2
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,6,5,6,5,11
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,7,4,7,4,11
TARATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,12,2,12,2,14
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,250,41,250,41,291
TARVITA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,5,5,5,5,10
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,53,10,53,10,63
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,4,3,4,3,7
TOCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,6,0,6,6
TOLATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,3,2,3,2,5
TOLEDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,0,1,0,1
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,1,2,1,3
TOMINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,6,1,6,7
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,16,10,16,10,26
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,4,0,4,0,4
TRIGAL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,64,10,64,10,74
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,41,1,41,1,42
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,13,13,13,13,26
UYUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,2,1,2,3
VACAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,3,1,3,1,4
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,14,2,14,2,16
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,70,0,70,0,70
VILA VILA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,3,1,3,4
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,5,1,5,1,6
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,48,10,48,10,58
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,3,2,3,2,5
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,5,0,5,0,5
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,9,7,9,7,16
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,44,3,44,3,47
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,7,1,7,1,8
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,50,2,50,2,52
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,48,0,48,0,48
VITICHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,3,0,3,0,3
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,118,0,118,0,118
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,106,9,106,9,115
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,0,1,0,1
YOTALA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,5,10,5,10,15
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,2,10,2,10,12
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-03-01,1,2,1,2,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,2,0,2,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,8,5,8,5,13
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,17,17,17,17,34
ALALAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,6,0,6,6
ALCALA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,4,3,4,3,7
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,1,2,1,3
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,1,0,1,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,0,2,0,2
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,2,1,2,3
ARANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,12,0,12,0,12
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,14,14,14,14,28
ARQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,7,1,7,1,8
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,40,2,40,2,42
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,4,1,4,1,5
AYATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,5,2,5,7
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,6,6,6,6,12
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,1,2,1,3
BAURES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,6,0,6,0,6
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,29,15,29,15,44
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,6,10,6,10,16
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,6,0,6,6
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,3,2,3,2,5
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,0,2,0,2
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,4,1,4,5
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,5,0,5,0,5
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,3,2,3,2,5
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,4,0,4,0,4
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,4,0,4,0,4
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,16,4,16,4,20
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,19,3,19,3,22
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,16,5,16,5,21
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,1,0,1,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,17,11,17,11,28
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,23,7,23,7,30
CHAQUI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,14,5,14,5,19
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,28,5,28,5,33
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,0,1,0,1
CHUMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,7,0,7,0,7
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,6,3,6,3,9
CLIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,19,10,19,10,29
COBIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,73,9,73,9,82
