,group,variable,month,TOTAL Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
SAN LUCAS,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,63,63
SAN MIGUEL DE VELASCO,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,27,27
SAN PEDRO DE BUENA VISTA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,17,17
SAN PEDRO DE QUEMES,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,2,2
SAN PEDRO(PND),vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,3,3
SAN RAFAEL,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,10,10
SAN RAMON BENI,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,24,24
SAN RAMON SCZ,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,19,19
SANTA ANA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,63,63
SANTA CRUZ DE LA SIERRA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,3633,3633
SANTA ROSA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,15,15
SANTA ROSA DEL SARA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,34,34
SANTIAGO DE HUARI,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,10,10
SANTIAGO DE HUATA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,1,1
SANTIVAÑES,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,21,21
SENA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,1,1
SHINAOTA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,120,120
SICAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,2,2
SIPE SIPE,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,84,84
SOPACHUY,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,13,13
SORACACHI,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,2,2
SUCRE,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,1299,1299
TACACOMA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,8,8
TACOPAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,6,6
TAPACARI,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,19,19
TARABUCO,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,38,38
TARATA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,31,31
TARIJA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,552,552
TARVITA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,28,28
TEOPONTE,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,1,1
TIAWANACU,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,1,1
TINGUIPAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,9,9
TIPUANI,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,16,16
TIQUIPAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,255,255
TIRAQUE (CBBA),vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,63,63
TOCO,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,9,9
TOLATA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,20,20
TOMAVE,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,4,4
TOMINA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,23,23
TOTORA(CBBA),vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,62,62
TOTORA(ORR),vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,1,1
TRINIDAD,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,121,121
TUPIZA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,43,43
UNCIA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,32,32
URUBICHA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,11,11
VALLEGRANDE,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,76,76
VIACHA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,14,14
VILLA CHARCAS,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,24,24
VILLA MONTES,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,141,141
VILLA NUEVA (LOMA ALTA),vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,7,7
VILLA SERRANO,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,14,14
VILLA TUNARI,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,385,385
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,23,23
VILLAZON,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,143,143
VINTO,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,153,153
VITICHI,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,2,2
WARNES,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,269,269
YACUIBA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,178,178
YAMPARAEZ,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,1,1
YAPACANI,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,135,135
YOTALA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,19,19
YUNCHARA,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,12,12
ZUDAÑEZ,vih,total no de mujeres embarazadas con prueba rapida,2015-03-01,0,16,16
ACACIO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,3,3
ACHACACHI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,67,67
AIQUILE,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,59,59
ALCALA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,6,6
ANCORAIMES,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,3,3
ANDAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,2,2
ARANI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,12,12
ARBIETO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,35,35
ASCENCION DE GUARAYOS,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,158,158
ATOCHA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,10,10
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,24,24
AZURDUY,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,22,22
BELEN DE ANDAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,1,1
BELEN DE URMIRI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,5,5
BELLA FLOR,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,10,10
BERMEJO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,177,177
BETANZOS,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,57,57
BOLIVAR,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,3,3
BOYUIBE,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,11,11
BUENA VISTA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,25,25
CABEZAS,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,56,56
"CAIZA ""D""",vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,6,6
CAMARGO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,45,45
CAMATAQUI (C. VILLA ABECIA),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,8,8
CAMIRI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,189,189
CAPINOTA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,72,72
CARACOLLO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,22,22
CARANAVI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,121,121
CARAPARI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,41,41
CARIPUYO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,4,4
CARMEN RIVERO TORREZ,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,10,10
CHALLAPATA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,95,95
CHAQUI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,15,15
CHARAGUA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,65,65
CHIMORE,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,35,35
CHIPAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,49,49
CHUMA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,7,7
CHUQUIHUTA AYLLU JUCUMANI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,8,8
CKOCHAS,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,6,6
CLIZA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,84,84
COBIJA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,205,205
COCAPATA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,4,4
COCHABAMBA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,1550,1550
COLCAPIRHUA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,85,85
"COLCHA ""K""",vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,1,1
COLOMI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,10,10
COLPA BELGICA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,11,11
COLQUIRI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,3,3
COMARAPA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,43,43
CORIPATA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,20,20
COROICO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,42,42
CORQUE,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,5,5
COTAGAITA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,6,6
COTOCA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,151,151
CUATRO CAÑADAS,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,3,3
CULPINA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,36,36
DESAGUADERO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,9,9
EL ALTO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,1788,1788
EL PUENTE(STC),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,11,11
EL PUENTE(TJA),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,24,24
EL TORNO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,306,306
EL VILLAR,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,5,5
ENTRE RIOS TRJ,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,22,22
ENTRE RIOS CBBA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,64,64
ESCOMA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,7,7
EUCALIPTUS,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,8,8
EUREKA (SANTOS MERCADO),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,1,1
FILADELFIA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,11,11
GENERAL SAAVEDRA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,25,25
GRAL. J.J. PEREZ (CHARAZANI),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,4,4
GUAYARAMERIN,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,83,83
GUTIERREZ,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,10,10
HUACARETA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,25,25
HUACAYA (VILLA DE HUACAYA),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,4,4
HUACHACALLA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,3,3
HUANUNI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,49,49
HUAYLLAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,5,5
ICLA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,9,9
INCAHUASI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,27,27
INQUISIVI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,2,2
IXIAMAS,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,11,11
LA ASUNTA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,105,105
LA GUARDIA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,100,100
LA PAZ,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,2016,2016
LAGUNILLAS,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,6,6
LAS CARRERAS,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,5,5
LLALLAGUA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,201,201
MACHACAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,10,10
MACHARETI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,13,13
MAIRANA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,17,17
MAPIRI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,36,36
MIZQUE,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,40,40
MOJOCOYA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,25,25
MONTEAGUDO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,64,64
MONTERO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,609,609
MOROCHATA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,49,49
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,4,4
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,3,3
OCURI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,6,6
OMEREQUE,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,7,7
ORURO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,1025,1025
PADCAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,21,21
PADILLA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,15,15
PAILON,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,92,92
PASORAPA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,10,10
POCOATA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,9,9
POCONA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,5,5
POJO (CBBA),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,5,5
POOPO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,10,10
PORCO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,16,16
POROMA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,14,14
PORONGO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,1,1
PORTACHUELO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,44,44
PORVENIR,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,19,19
POSTRER VALLE,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,2,2
POTOSI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,50,50
PRESTO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,13,13
PUCARANI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,21,21
PUERTO GONZALO MORENO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,19,19
PUERTO QUIJARRO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,30,30
PUERTO RICO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,25,25
PUERTO SUAREZ,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,34,34
PUERTO VILLARROEL,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,168,168
PUNA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,30,30
PUNATA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,146,146
QUILLACOLLO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,660,660
RAVELO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,12,12
RIBERALTA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,706,706
ROBORE,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,34,34
RURRENABAQUE,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,75,75
SABAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,1,1
SACABA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,464,464
SACABAMBA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,6,6
SACACA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,6,6
SAIPINA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,15,15
SALINAS DE GARCI MENDOZA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,8,8
SAMAIPATA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,12,12
SAN ANTONIO DE LOMERIO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,6,6
SAN BENITO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,27,27
SAN BORJA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,41,41
SAN BUENA VENTURA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,34,34
SAN CARLOS,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,87,87
SAN IGNACIO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,48,48
SAN IGNACIO DE VELASCO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,209,209
SAN JAVIER(STC),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,27,27
SAN JOSE DE CHIQUITOS,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,79,79
SAN JUAN DE YAPACANI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,23,23
SAN JULIAN,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,90,90
SAN LORENZO(PND),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,13,13
SAN LORENZO(TJA),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,18,18
SAN LUCAS,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,61,61
SAN MIGUEL DE VELASCO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,22,22
SAN PEDRO DE QUEMES,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,2,2
SAN PEDRO(PND),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,2,2
SAN RAFAEL,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,9,9
SAN RAMON BENI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,16,16
SANTA ANA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,51,51
SANTA CRUZ DE LA SIERRA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,2763,2763
SANTA ROSA DEL SARA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,52,52
SANTIAGO DE HUARI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,1,1
SANTIVAÑES,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,14,14
SANTUARIO DE QUILLACAS,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,6,6
SHINAOTA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,89,89
SICAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,2,2
SIPE SIPE,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,83,83
SOPACHUY,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,10,10
SORATA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,10,10
SUCRE,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,980,980
TACOBAMBA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,3,3
TACOPAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,12,12
TAPACARI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,17,17
TARABUCO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,27,27
TARATA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,21,21
TARIJA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,336,336
TARVITA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,18,18
TEOPONTE,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,5,5
TIAWANACU,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,11,11
TINGUIPAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,27,27
TIPUANI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,11,11
TIQUIPAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,207,207
TIRAQUE (CBBA),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,41,41
TOCO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,13,13
TOMINA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,15,15
TOTORA(CBBA),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,70,70
TOTORA(ORR),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,1,1
TRINIDAD,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,122,122
TUPIZA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,28,28
UNCIA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,17,17
URIONDO (A. CONCEPCION),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,3,3
URUBICHA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,25,25
UYUNI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,127,127
VALLEGRANDE,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,54,54
VIACHA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,20,20
VILLA CHARCAS,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,29,29
VILLA MONTES,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,150,150
VILLA NUEVA (LOMA ALTA),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,5,5
VILLA SERRANO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,16,16
VILLA TUNARI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,335,335
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,12,12
VILLAZON,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,140,140
VINTO,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,154,154
VITICHI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,9,9
YACUIBA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,149,149
YAMPARAEZ,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,8,8
YAPACANI,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,211,211
YOTALA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,17,17
YUNCHARA,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,6,6
ZUDAÑEZ,vih,total no de mujeres embarazadas con prueba rapida,2015-04-01,0,11,11
ACACIO,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,6,6
ACHACACHI,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,91,91
AIQUILE,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,56,56
ALCALA,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,6,6
ANDAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,4,4
ARANI,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,12,12
ARBIETO,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,43,43
ASCENCION DE GUARAYOS,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,96,96
ATOCHA,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,12,12
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,40,40
AZURDUY,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,25,25
BELEN DE URMIRI,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,1,1
BELLA FLOR,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,10,10
BERMEJO,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,85,85
BETANZOS,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,64,64
BOLIVAR,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,4,4
BOLPEBRA,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,2,2
BOYUIBE,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,6,6
BUENA VISTA,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,27,27
CABEZAS,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,32,32
CAIROMA,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,4,4
"CAIZA ""D""",vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,11,11
CAMARGO,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,46,46
CAMATAQUI (C. VILLA ABECIA),vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,7,7
CAMIRI,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,19,19
CAPINOTA,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,46,46
CARACOLLO,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,26,26
CARANAVI,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,120,120
CARAPARI,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,30,30
CARMEN RIVERO TORREZ,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,14,14
CHALLAPATA,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,129,129
CHAQUI,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,31,31
CHARAGUA,vih,total no de mujeres embarazadas con prueba rapida,2015-05-01,0,57,57
