,group,variable,month,TOTAL Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
CKOCHAS,vih,total no de personas con prueba rapida,2015-03-01,1,0,1
CLIZA,vih,total no de personas con prueba rapida,2015-03-01,2,97,99
COBIJA,vih,total no de personas con prueba rapida,2015-03-01,20,42,62
COCHABAMBA,vih,total no de personas con prueba rapida,2015-03-01,432,412,844
COLCAPIRHUA,vih,total no de personas con prueba rapida,2015-03-01,14,13,27
"COLCHA ""K""",vih,total no de personas con prueba rapida,2015-03-01,2,0,2
COLPA BELGICA,vih,total no de personas con prueba rapida,2015-03-01,1,0,1
COLQUIRI,vih,total no de personas con prueba rapida,2015-03-01,1,1,2
COMARAPA,vih,total no de personas con prueba rapida,2015-03-01,1,2,3
CONCEPCION,vih,total no de personas con prueba rapida,2015-03-01,19,83,102
CORO CORO,vih,total no de personas con prueba rapida,2015-03-01,1,6,7
COROICO,vih,total no de personas con prueba rapida,2015-03-01,4,1,5
CORQUE,vih,total no de personas con prueba rapida,2015-03-01,4,2,6
COTAGAITA,vih,total no de personas con prueba rapida,2015-03-01,0,3,3
COTOCA,vih,total no de personas con prueba rapida,2015-03-01,4,5,9
CULPINA,vih,total no de personas con prueba rapida,2015-03-01,0,1,1
DESAGUADERO,vih,total no de personas con prueba rapida,2015-03-01,4,6,10
EL ALTO,vih,total no de personas con prueba rapida,2015-03-01,296,1224,1520
EL PUENTE(STC),vih,total no de personas con prueba rapida,2015-03-01,8,10,18
EL PUENTE(TJA),vih,total no de personas con prueba rapida,2015-03-01,6,27,33
EL TORNO,vih,total no de personas con prueba rapida,2015-03-01,59,175,234
EL VILLAR,vih,total no de personas con prueba rapida,2015-03-01,1,1,2
ENTRE RIOS TRJ,vih,total no de personas con prueba rapida,2015-03-01,3,12,15
ENTRE RIOS CBBA,vih,total no de personas con prueba rapida,2015-03-01,13,26,39
ESCOMA,vih,total no de personas con prueba rapida,2015-03-01,0,1,1
EUCALIPTUS,vih,total no de personas con prueba rapida,2015-03-01,0,1,1
EUREKA (SANTOS MERCADO),vih,total no de personas con prueba rapida,2015-03-01,0,9,9
FILADELFIA,vih,total no de personas con prueba rapida,2015-03-01,1,5,6
GENERAL SAAVEDRA,vih,total no de personas con prueba rapida,2015-03-01,1,42,43
GRAL. J.J. PEREZ (CHARAZANI),vih,total no de personas con prueba rapida,2015-03-01,0,1,1
GUANAY,vih,total no de personas con prueba rapida,2015-03-01,1,0,1
GUAQUI,vih,total no de personas con prueba rapida,2015-03-01,5,12,17
GUAYARAMERIN,vih,total no de personas con prueba rapida,2015-03-01,63,180,243
GUTIERREZ,vih,total no de personas con prueba rapida,2015-03-01,1,8,9
HUACARETA,vih,total no de personas con prueba rapida,2015-03-01,0,14,14
HUACAYA (VILLA DE HUACAYA),vih,total no de personas con prueba rapida,2015-03-01,0,7,7
HUANUNI,vih,total no de personas con prueba rapida,2015-03-01,7,54,61
LA GUARDIA,vih,total no de personas con prueba rapida,2015-03-01,5,13,18
LA PAZ,vih,total no de personas con prueba rapida,2015-03-01,254,802,1056
LAS CARRERAS,vih,total no de personas con prueba rapida,2015-03-01,0,1,1
LLALLAGUA,vih,total no de personas con prueba rapida,2015-03-01,73,67,140
MACHACAMARCA,vih,total no de personas con prueba rapida,2015-03-01,70,34,104
MACHARETI,vih,total no de personas con prueba rapida,2015-03-01,0,2,2
MAIRANA,vih,total no de personas con prueba rapida,2015-03-01,0,1,1
MAPIRI,vih,total no de personas con prueba rapida,2015-03-01,4,0,4
MIZQUE,vih,total no de personas con prueba rapida,2015-03-01,2,6,8
MOJOCOYA,vih,total no de personas con prueba rapida,2015-03-01,0,1,1
MONTEAGUDO,vih,total no de personas con prueba rapida,2015-03-01,93,132,225
MONTERO,vih,total no de personas con prueba rapida,2015-03-01,66,116,182
MOROCHATA,vih,total no de personas con prueba rapida,2015-03-01,5,10,15
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de personas con prueba rapida,2015-03-01,0,3,3
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de personas con prueba rapida,2015-03-01,0,5,5
OCURI,vih,total no de personas con prueba rapida,2015-03-01,0,4,4
ORURO,vih,total no de personas con prueba rapida,2015-03-01,50,368,418
PADCAYA,vih,total no de personas con prueba rapida,2015-03-01,0,16,16
PADILLA,vih,total no de personas con prueba rapida,2015-03-01,1,4,5
PAILON,vih,total no de personas con prueba rapida,2015-03-01,1,10,11
PASORAPA,vih,total no de personas con prueba rapida,2015-03-01,0,2,2
POCONA,vih,total no de personas con prueba rapida,2015-03-01,0,1,1
PORCO,vih,total no de personas con prueba rapida,2015-03-01,5,32,37
POROMA,vih,total no de personas con prueba rapida,2015-03-01,1,0,1
PORONGO,vih,total no de personas con prueba rapida,2015-03-01,2,4,6
PORTACHUELO,vih,total no de personas con prueba rapida,2015-03-01,6,4,10
PORVENIR,vih,total no de personas con prueba rapida,2015-03-01,0,16,16
POTOSI,vih,total no de personas con prueba rapida,2015-03-01,22,89,111
PUCARANI,vih,total no de personas con prueba rapida,2015-03-01,2,0,2
PUERTO GONZALO MORENO,vih,total no de personas con prueba rapida,2015-03-01,2,36,38
PUERTO QUIJARRO,vih,total no de personas con prueba rapida,2015-03-01,35,0,35
PUERTO RICO,vih,total no de personas con prueba rapida,2015-03-01,1,10,11
PUERTO SUAREZ,vih,total no de personas con prueba rapida,2015-03-01,5,3,8
PUERTO VILLARROEL,vih,total no de personas con prueba rapida,2015-03-01,73,57,130
PUNA,vih,total no de personas con prueba rapida,2015-03-01,4,11,15
PUNATA,vih,total no de personas con prueba rapida,2015-03-01,10,171,181
QUILLACOLLO,vih,total no de personas con prueba rapida,2015-03-01,30,65,95
QUIME,vih,total no de personas con prueba rapida,2015-03-01,7,5,12
RAVELO,vih,total no de personas con prueba rapida,2015-03-01,1,86,87
REYES,vih,total no de personas con prueba rapida,2015-03-01,2,1,3
RIBERALTA,vih,total no de personas con prueba rapida,2015-03-01,11,61,72
ROBORE,vih,total no de personas con prueba rapida,2015-03-01,3,3,6
RURRENABAQUE,vih,total no de personas con prueba rapida,2015-03-01,20,88,108
SACABA,vih,total no de personas con prueba rapida,2015-03-01,32,188,220
SACABAMBA,vih,total no de personas con prueba rapida,2015-03-01,0,3,3
SACACA,vih,total no de personas con prueba rapida,2015-03-01,0,65,65
SAMAIPATA,vih,total no de personas con prueba rapida,2015-03-01,11,5,16
SAN ANTONIO DE LOMERIO,vih,total no de personas con prueba rapida,2015-03-01,1,0,1
SAN BENITO,vih,total no de personas con prueba rapida,2015-03-01,0,2,2
SAN BORJA,vih,total no de personas con prueba rapida,2015-03-01,3,5,8
SAN BUENA VENTURA,vih,total no de personas con prueba rapida,2015-03-01,2,0,2
SAN CARLOS,vih,total no de personas con prueba rapida,2015-03-01,18,66,84
SAN IGNACIO,vih,total no de personas con prueba rapida,2015-03-01,1,24,25
SAN IGNACIO DE VELASCO,vih,total no de personas con prueba rapida,2015-03-01,31,238,269
SAN JAVIER(STC),vih,total no de personas con prueba rapida,2015-03-01,0,41,41
SAN JOSE DE CHIQUITOS,vih,total no de personas con prueba rapida,2015-03-01,9,15,24
SAN JUAN DE YAPACANI,vih,total no de personas con prueba rapida,2015-03-01,18,32,50
SAN JULIAN,vih,total no de personas con prueba rapida,2015-03-01,13,105,118
SAN LORENZO(PND),vih,total no de personas con prueba rapida,2015-03-01,0,8,8
SAN LORENZO(TJA),vih,total no de personas con prueba rapida,2015-03-01,6,6,12
SAN LUCAS,vih,total no de personas con prueba rapida,2015-03-01,11,190,201
SAN MIGUEL DE VELASCO,vih,total no de personas con prueba rapida,2015-03-01,1,0,1
SAN PEDRO DE BUENA VISTA,vih,total no de personas con prueba rapida,2015-03-01,0,34,34
SAN PEDRO DE QUEMES,vih,total no de personas con prueba rapida,2015-03-01,0,2,2
SAN PEDRO(PND),vih,total no de personas con prueba rapida,2015-03-01,0,2,2
SAN RAMON BENI,vih,total no de personas con prueba rapida,2015-03-01,2,0,2
SAN RAMON SCZ,vih,total no de personas con prueba rapida,2015-03-01,4,2,6
SANTA ANA,vih,total no de personas con prueba rapida,2015-03-01,3,8,11
SANTA CRUZ DE LA SIERRA,vih,total no de personas con prueba rapida,2015-03-01,591,1340,1931
SANTA ROSA,vih,total no de personas con prueba rapida,2015-03-01,1,0,1
SANTA ROSA DEL SARA,vih,total no de personas con prueba rapida,2015-03-01,0,7,7
SANTIVAÑES,vih,total no de personas con prueba rapida,2015-03-01,4,4,8
SENA,vih,total no de personas con prueba rapida,2015-03-01,1,1,2
SHINAOTA,vih,total no de personas con prueba rapida,2015-03-01,10,3,13
SICAYA,vih,total no de personas con prueba rapida,2015-03-01,0,2,2
SIPE SIPE,vih,total no de personas con prueba rapida,2015-03-01,3,9,12
SOPACHUY,vih,total no de personas con prueba rapida,2015-03-01,39,40,79
SUCRE,vih,total no de personas con prueba rapida,2015-03-01,183,226,409
TAPACARI,vih,total no de personas con prueba rapida,2015-03-01,4,7,11
TARABUCO,vih,total no de personas con prueba rapida,2015-03-01,54,70,124
TARATA,vih,total no de personas con prueba rapida,2015-03-01,1,1,2
TARIJA,vih,total no de personas con prueba rapida,2015-03-01,124,185,309
TARVITA,vih,total no de personas con prueba rapida,2015-03-01,2,19,21
TIAWANACU,vih,total no de personas con prueba rapida,2015-03-01,0,1,1
TIPUANI,vih,total no de personas con prueba rapida,2015-03-01,8,2,10
TIQUIPAYA,vih,total no de personas con prueba rapida,2015-03-01,18,54,72
TOCO,vih,total no de personas con prueba rapida,2015-03-01,1,0,1
TOLATA,vih,total no de personas con prueba rapida,2015-03-01,0,2,2
TOMINA,vih,total no de personas con prueba rapida,2015-03-01,1,3,4
TOTORA(CBBA),vih,total no de personas con prueba rapida,2015-03-01,2,66,68
TRINIDAD,vih,total no de personas con prueba rapida,2015-03-01,138,189,327
TUPIZA,vih,total no de personas con prueba rapida,2015-03-01,0,10,10
UNCIA,vih,total no de personas con prueba rapida,2015-03-01,1,33,34
URUBICHA,vih,total no de personas con prueba rapida,2015-03-01,3,0,3
VALLEGRANDE,vih,total no de personas con prueba rapida,2015-03-01,4,8,12
VIACHA,vih,total no de personas con prueba rapida,2015-03-01,8,16,24
VILLA CHARCAS,vih,total no de personas con prueba rapida,2015-03-01,3,18,21
VILLA MONTES,vih,total no de personas con prueba rapida,2015-03-01,43,41,84
VILLA NUEVA (LOMA ALTA),vih,total no de personas con prueba rapida,2015-03-01,0,1,1
VILLA SERRANO,vih,total no de personas con prueba rapida,2015-03-01,8,64,72
VILLA TUNARI,vih,total no de personas con prueba rapida,2015-03-01,41,98,139
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de personas con prueba rapida,2015-03-01,16,25,41
VILLAZON,vih,total no de personas con prueba rapida,2015-03-01,17,11,28
VINTO,vih,total no de personas con prueba rapida,2015-03-01,15,54,69
VITICHI,vih,total no de personas con prueba rapida,2015-03-01,0,2,2
WARNES,vih,total no de personas con prueba rapida,2015-03-01,10,28,38
YACUIBA,vih,total no de personas con prueba rapida,2015-03-01,15,36,51
YAPACANI,vih,total no de personas con prueba rapida,2015-03-01,9,32,41
YOTALA,vih,total no de personas con prueba rapida,2015-03-01,0,16,16
YUNCHARA,vih,total no de personas con prueba rapida,2015-03-01,0,11,11
ZUDAÑEZ,vih,total no de personas con prueba rapida,2015-03-01,5,10,15
ACHACACHI,vih,total no de personas con prueba rapida,2015-04-01,4,2,6
AIQUILE,vih,total no de personas con prueba rapida,2015-04-01,12,27,39
ALCALA,vih,total no de personas con prueba rapida,2015-04-01,10,11,21
ANDAMARCA,vih,total no de personas con prueba rapida,2015-04-01,2,8,10
ARBIETO,vih,total no de personas con prueba rapida,2015-04-01,2,1,3
ASCENCION DE GUARAYOS,vih,total no de personas con prueba rapida,2015-04-01,53,158,211
ATOCHA,vih,total no de personas con prueba rapida,2015-04-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de personas con prueba rapida,2015-04-01,2,4,6
AZURDUY,vih,total no de personas con prueba rapida,2015-04-01,1,18,19
BELEN DE ANDAMARCA,vih,total no de personas con prueba rapida,2015-04-01,6,0,6
BELLA FLOR,vih,total no de personas con prueba rapida,2015-04-01,9,17,26
BERMEJO,vih,total no de personas con prueba rapida,2015-04-01,6,45,51
BETANZOS,vih,total no de personas con prueba rapida,2015-04-01,2,0,2
BUENA VISTA,vih,total no de personas con prueba rapida,2015-04-01,8,27,35
CABEZAS,vih,total no de personas con prueba rapida,2015-04-01,8,53,61
CAMARGO,vih,total no de personas con prueba rapida,2015-04-01,7,27,34
CAMATAQUI (C. VILLA ABECIA),vih,total no de personas con prueba rapida,2015-04-01,0,4,4
CAMIRI,vih,total no de personas con prueba rapida,2015-04-01,21,15,36
CAPINOTA,vih,total no de personas con prueba rapida,2015-04-01,4,5,9
CARACOLLO,vih,total no de personas con prueba rapida,2015-04-01,5,5,10
CARANAVI,vih,total no de personas con prueba rapida,2015-04-01,42,24,66
CARAPARI,vih,total no de personas con prueba rapida,2015-04-01,0,6,6
CARMEN RIVERO TORREZ,vih,total no de personas con prueba rapida,2015-04-01,20,2,22
CHALLAPATA,vih,total no de personas con prueba rapida,2015-04-01,6,95,101
CHARAGUA,vih,total no de personas con prueba rapida,2015-04-01,0,1,1
CHIMORE,vih,total no de personas con prueba rapida,2015-04-01,1,6,7
CHULUMANI (V. DE LA LIBERTAD),vih,total no de personas con prueba rapida,2015-04-01,4,7,11
CHUMA,vih,total no de personas con prueba rapida,2015-04-01,8,7,15
CKOCHAS,vih,total no de personas con prueba rapida,2015-04-01,0,1,1
CLIZA,vih,total no de personas con prueba rapida,2015-04-01,0,2,2
COBIJA,vih,total no de personas con prueba rapida,2015-04-01,331,311,642
COCHABAMBA,vih,total no de personas con prueba rapida,2015-04-01,147,414,561
COLCAPIRHUA,vih,total no de personas con prueba rapida,2015-04-01,6,21,27
COLQUIRI,vih,total no de personas con prueba rapida,2015-04-01,1,0,1
COMARAPA,vih,total no de personas con prueba rapida,2015-04-01,1,8,9
CORIPATA,vih,total no de personas con prueba rapida,2015-04-01,3,0,3
COROICO,vih,total no de personas con prueba rapida,2015-04-01,2,3,5
CORQUE,vih,total no de personas con prueba rapida,2015-04-01,2,0,2
COTAGAITA,vih,total no de personas con prueba rapida,2015-04-01,41,39,80
COTOCA,vih,total no de personas con prueba rapida,2015-04-01,6,5,11
CULPINA,vih,total no de personas con prueba rapida,2015-04-01,2,15,17
DESAGUADERO,vih,total no de personas con prueba rapida,2015-04-01,2,9,11
EL ALTO,vih,total no de personas con prueba rapida,2015-04-01,363,1273,1636
EL PUENTE(STC),vih,total no de personas con prueba rapida,2015-04-01,40,34,74
EL TORNO,vih,total no de personas con prueba rapida,2015-04-01,51,202,253
EL VILLAR,vih,total no de personas con prueba rapida,2015-04-01,2,0,2
ENTRE RIOS TRJ,vih,total no de personas con prueba rapida,2015-04-01,9,11,20
ENTRE RIOS CBBA,vih,total no de personas con prueba rapida,2015-04-01,5,32,37
EUCALIPTUS,vih,total no de personas con prueba rapida,2015-04-01,1,0,1
EUREKA (SANTOS MERCADO),vih,total no de personas con prueba rapida,2015-04-01,0,1,1
FILADELFIA,vih,total no de personas con prueba rapida,2015-04-01,0,10,10
GENERAL SAAVEDRA,vih,total no de personas con prueba rapida,2015-04-01,3,0,3
GUANAY,vih,total no de personas con prueba rapida,2015-04-01,3,1,4
GUAYARAMERIN,vih,total no de personas con prueba rapida,2015-04-01,210,177,387
GUTIERREZ,vih,total no de personas con prueba rapida,2015-04-01,0,10,10
HUACARETA,vih,total no de personas con prueba rapida,2015-04-01,0,8,8
HUACAYA (VILLA DE HUACAYA),vih,total no de personas con prueba rapida,2015-04-01,0,3,3
HUANUNI,vih,total no de personas con prueba rapida,2015-04-01,22,42,64
HUAYLLAMARCA,vih,total no de personas con prueba rapida,2015-04-01,0,1,1
IXIAMAS,vih,total no de personas con prueba rapida,2015-04-01,1,13,14
LA ASUNTA,vih,total no de personas con prueba rapida,2015-04-01,5,3,8
LA GUARDIA,vih,total no de personas con prueba rapida,2015-04-01,11,16,27
LA PAZ,vih,total no de personas con prueba rapida,2015-04-01,208,727,935
LAS CARRERAS,vih,total no de personas con prueba rapida,2015-04-01,0,5,5
LLALLAGUA,vih,total no de personas con prueba rapida,2015-04-01,13,204,217
MACHACAMARCA,vih,total no de personas con prueba rapida,2015-04-01,22,6,28
MACHARETI,vih,total no de personas con prueba rapida,2015-04-01,0,5,5
MAIRANA,vih,total no de personas con prueba rapida,2015-04-01,0,1,1
MAPIRI,vih,total no de personas con prueba rapida,2015-04-01,13,25,38
MIZQUE,vih,total no de personas con prueba rapida,2015-04-01,4,11,15
MOJOCOYA,vih,total no de personas con prueba rapida,2015-04-01,1,1,2
MONTEAGUDO,vih,total no de personas con prueba rapida,2015-04-01,44,94,138
MONTERO,vih,total no de personas con prueba rapida,2015-04-01,269,409,678
MOROCHATA,vih,total no de personas con prueba rapida,2015-04-01,3,14,17
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de personas con prueba rapida,2015-04-01,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de personas con prueba rapida,2015-04-01,0,3,3
OCURI,vih,total no de personas con prueba rapida,2015-04-01,0,4,4
OMEREQUE,vih,total no de personas con prueba rapida,2015-04-01,0,9,9
ORURO,vih,total no de personas con prueba rapida,2015-04-01,94,180,274
PADCAYA,vih,total no de personas con prueba rapida,2015-04-01,0,12,12
PADILLA,vih,total no de personas con prueba rapida,2015-04-01,3,11,14
PAILON,vih,total no de personas con prueba rapida,2015-04-01,5,112,117
PASORAPA,vih,total no de personas con prueba rapida,2015-04-01,0,1,1
POCONA,vih,total no de personas con prueba rapida,2015-04-01,1,3,4
PORCO,vih,total no de personas con prueba rapida,2015-04-01,1,16,17
PORONGO,vih,total no de personas con prueba rapida,2015-04-01,6,1,7
PORTACHUELO,vih,total no de personas con prueba rapida,2015-04-01,4,11,15
PORVENIR,vih,total no de personas con prueba rapida,2015-04-01,7,5,12
POSTRER VALLE,vih,total no de personas con prueba rapida,2015-04-01,1,0,1
POTOSI,vih,total no de personas con prueba rapida,2015-04-01,3,55,58
PRESTO,vih,total no de personas con prueba rapida,2015-04-01,1,0,1
PUCARANI,vih,total no de personas con prueba rapida,2015-04-01,0,2,2
PUERTO GONZALO MORENO,vih,total no de personas con prueba rapida,2015-04-01,15,51,66
PUERTO QUIJARRO,vih,total no de personas con prueba rapida,2015-04-01,6,23,29
PUERTO RICO,vih,total no de personas con prueba rapida,2015-04-01,1,5,6
PUERTO SUAREZ,vih,total no de personas con prueba rapida,2015-04-01,0,35,35
PUERTO VILLARROEL,vih,total no de personas con prueba rapida,2015-04-01,76,82,158
PUNATA,vih,total no de personas con prueba rapida,2015-04-01,15,187,202
QUILLACOLLO,vih,total no de personas con prueba rapida,2015-04-01,9,58,67
RAVELO,vih,total no de personas con prueba rapida,2015-04-01,0,13,13
RIBERALTA,vih,total no de personas con prueba rapida,2015-04-01,11,123,134
ROBORE,vih,total no de personas con prueba rapida,2015-04-01,1,1,2
RURRENABAQUE,vih,total no de personas con prueba rapida,2015-04-01,8,96,104
SACABA,vih,total no de personas con prueba rapida,2015-04-01,18,102,120
SAIPINA,vih,total no de personas con prueba rapida,2015-04-01,0,1,1
SALINAS DE GARCI MENDOZA,vih,total no de personas con prueba rapida,2015-04-01,1,0,1
SAMAIPATA,vih,total no de personas con prueba rapida,2015-04-01,4,1,5
SAN BENITO,vih,total no de personas con prueba rapida,2015-04-01,3,4,7
SAN BORJA,vih,total no de personas con prueba rapida,2015-04-01,4,5,9
SAN BUENA VENTURA,vih,total no de personas con prueba rapida,2015-04-01,5,5,10
SAN CARLOS,vih,total no de personas con prueba rapida,2015-04-01,26,79,105
SAN IGNACIO,vih,total no de personas con prueba rapida,2015-04-01,3,2,5
SAN IGNACIO DE VELASCO,vih,total no de personas con prueba rapida,2015-04-01,27,40,67
SAN JAVIER(STC),vih,total no de personas con prueba rapida,2015-04-01,1,27,28
SAN JOSE DE CHIQUITOS,vih,total no de personas con prueba rapida,2015-04-01,16,10,26
SAN JUAN DE YAPACANI,vih,total no de personas con prueba rapida,2015-04-01,19,28,47
SAN JULIAN,vih,total no de personas con prueba rapida,2015-04-01,6,57,63
SAN LORENZO(PND),vih,total no de personas con prueba rapida,2015-04-01,1,16,17
SAN LORENZO(TJA),vih,total no de personas con prueba rapida,2015-04-01,2,0,2
SAN LUCAS,vih,total no de personas con prueba rapida,2015-04-01,6,68,74
SAN RAMON BENI,vih,total no de personas con prueba rapida,2015-04-01,0,2,2
SANTA ANA,vih,total no de personas con prueba rapida,2015-04-01,14,35,49
SANTA CRUZ DE LA SIERRA,vih,total no de personas con prueba rapida,2015-04-01,641,2639,3280
SANTA ROSA DEL SARA,vih,total no de personas con prueba rapida,2015-04-01,2,0,2
SANTIVAÑES,vih,total no de personas con prueba rapida,2015-04-01,2,1,3
SHINAOTA,vih,total no de personas con prueba rapida,2015-04-01,11,13,24
SICAYA,vih,total no de personas con prueba rapida,2015-04-01,2,3,5
SIPE SIPE,vih,total no de personas con prueba rapida,2015-04-01,1,13,14
SOPACHUY,vih,total no de personas con prueba rapida,2015-04-01,7,26,33
SORATA,vih,total no de personas con prueba rapida,2015-04-01,2,2,4
SUCRE,vih,total no de personas con prueba rapida,2015-04-01,501,257,758
TAPACARI,vih,total no de personas con prueba rapida,2015-04-01,5,7,12
TARABUCO,vih,total no de personas con prueba rapida,2015-04-01,109,127,236
TARATA,vih,total no de personas con prueba rapida,2015-04-01,1,0,1
TARIJA,vih,total no de personas con prueba rapida,2015-04-01,98,230,328
TARVITA,vih,total no de personas con prueba rapida,2015-04-01,4,16,20
TIAWANACU,vih,total no de personas con prueba rapida,2015-04-01,1,7,8
TIPUANI,vih,total no de personas con prueba rapida,2015-04-01,3,1,4
TIQUIPAYA,vih,total no de personas con prueba rapida,2015-04-01,16,92,108
TOCO,vih,total no de personas con prueba rapida,2015-04-01,0,1,1
TOMINA,vih,total no de personas con prueba rapida,2015-04-01,3,4,7
TOTORA(CBBA),vih,total no de personas con prueba rapida,2015-04-01,2,8,10
TRINIDAD,vih,total no de personas con prueba rapida,2015-04-01,155,190,345
TUPIZA,vih,total no de personas con prueba rapida,2015-04-01,2,0,2
UNCIA,vih,total no de personas con prueba rapida,2015-04-01,45,44,89
URUBICHA,vih,total no de personas con prueba rapida,2015-04-01,22,41,63
UYUNI,vih,total no de personas con prueba rapida,2015-04-01,0,27,27
VACAS,vih,total no de personas con prueba rapida,2015-04-01,1,0,1
VALLEGRANDE,vih,total no de personas con prueba rapida,2015-04-01,0,4,4
VIACHA,vih,total no de personas con prueba rapida,2015-04-01,15,9,24
VILLA CHARCAS,vih,total no de personas con prueba rapida,2015-04-01,0,17,17
VILLA MONTES,vih,total no de personas con prueba rapida,2015-04-01,23,18,41
VILLA NUEVA (LOMA ALTA),vih,total no de personas con prueba rapida,2015-04-01,0,5,5
VILLA SERRANO,vih,total no de personas con prueba rapida,2015-04-01,38,42,80
VILLA TUNARI,vih,total no de personas con prueba rapida,2015-04-01,32,58,90
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de personas con prueba rapida,2015-04-01,23,9,32
VILLAZON,vih,total no de personas con prueba rapida,2015-04-01,20,30,50
VINTO,vih,total no de personas con prueba rapida,2015-04-01,12,37,49
VITICHI,vih,total no de personas con prueba rapida,2015-04-01,1,9,10
YACUIBA,vih,total no de personas con prueba rapida,2015-04-01,15,48,63
YAPACANI,vih,total no de personas con prueba rapida,2015-04-01,10,36,46
YOTALA,vih,total no de personas con prueba rapida,2015-04-01,0,1,1
YUNCHARA,vih,total no de personas con prueba rapida,2015-04-01,1,3,4
ZUDAÑEZ,vih,total no de personas con prueba rapida,2015-04-01,67,2,69
ACACIO,vih,total no de personas con prueba rapida,2015-05-01,1,0,1
ACHACACHI,vih,total no de personas con prueba rapida,2015-05-01,10,12,22
AIQUILE,vih,total no de personas con prueba rapida,2015-05-01,9,20,29
ALCALA,vih,total no de personas con prueba rapida,2015-05-01,0,3,3
ANDAMARCA,vih,total no de personas con prueba rapida,2015-05-01,6,16,22
ARANI,vih,total no de personas con prueba rapida,2015-05-01,0,2,2
ASCENCION DE GUARAYOS,vih,total no de personas con prueba rapida,2015-05-01,38,84,122
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de personas con prueba rapida,2015-05-01,0,2,2
AZURDUY,vih,total no de personas con prueba rapida,2015-05-01,1,29,30
BELEN DE URMIRI,vih,total no de personas con prueba rapida,2015-05-01,1,0,1
BELLA FLOR,vih,total no de personas con prueba rapida,2015-05-01,3,6,9
BERMEJO,vih,total no de personas con prueba rapida,2015-05-01,2,34,36
BETANZOS,vih,total no de personas con prueba rapida,2015-05-01,0,2,2
BOLPEBRA,vih,total no de personas con prueba rapida,2015-05-01,0,1,1
BUENA VISTA,vih,total no de personas con prueba rapida,2015-05-01,1,1,2
CABEZAS,vih,total no de personas con prueba rapida,2015-05-01,5,17,22
CAIROMA,vih,total no de personas con prueba rapida,2015-05-01,1,1,2
"CAIZA ""D""",vih,total no de personas con prueba rapida,2015-05-01,0,1,1
CAMARGO,vih,total no de personas con prueba rapida,2015-05-01,28,75,103
CAMATAQUI (C. VILLA ABECIA),vih,total no de personas con prueba rapida,2015-05-01,1,2,3
CAMIRI,vih,total no de personas con prueba rapida,2015-05-01,8,121,129
CAPINOTA,vih,total no de personas con prueba rapida,2015-05-01,8,8,16
CARACOLLO,vih,total no de personas con prueba rapida,2015-05-01,5,6,11
CARANAVI,vih,total no de personas con prueba rapida,2015-05-01,35,19,54
CARAPARI,vih,total no de personas con prueba rapida,2015-05-01,3,0,3
CARMEN RIVERO TORREZ,vih,total no de personas con prueba rapida,2015-05-01,51,38,89
CHALLAPATA,vih,total no de personas con prueba rapida,2015-05-01,3,136,139
CHAQUI,vih,total no de personas con prueba rapida,2015-05-01,0,2,2
CHARAGUA,vih,total no de personas con prueba rapida,2015-05-01,0,1,1
CHIMORE,vih,total no de personas con prueba rapida,2015-05-01,3,6,9
CHULUMANI (V. DE LA LIBERTAD),vih,total no de personas con prueba rapida,2015-05-01,9,7,16
CHUMA,vih,total no de personas con prueba rapida,2015-05-01,5,7,12
CLIZA,vih,total no de personas con prueba rapida,2015-05-01,1,0,1
COBIJA,vih,total no de personas con prueba rapida,2015-05-01,13,12,25
COCHABAMBA,vih,total no de personas con prueba rapida,2015-05-01,114,275,389
COLCAPIRHUA,vih,total no de personas con prueba rapida,2015-05-01,8,18,26
COLOMI,vih,total no de personas con prueba rapida,2015-05-01,1,0,1
COMARAPA,vih,total no de personas con prueba rapida,2015-05-01,6,2,8
CONCEPCION,vih,total no de personas con prueba rapida,2015-05-01,18,0,18
CORIPATA,vih,total no de personas con prueba rapida,2015-05-01,1,1,2
COROICO,vih,total no de personas con prueba rapida,2015-05-01,5,4,9
CORQUE,vih,total no de personas con prueba rapida,2015-05-01,1,1,2
COTAGAITA,vih,total no de personas con prueba rapida,2015-05-01,8,13,21
COTOCA,vih,total no de personas con prueba rapida,2015-05-01,5,3,8
CUEVO,vih,total no de personas con prueba rapida,2015-05-01,1,0,1
CULPINA,vih,total no de personas con prueba rapida,2015-05-01,1,27,28
DESAGUADERO,vih,total no de personas con prueba rapida,2015-05-01,6,4,10
EL ALTO,vih,total no de personas con prueba rapida,2015-05-01,288,1103,1391
EL PUENTE(STC),vih,total no de personas con prueba rapida,2015-05-01,12,16,28
EL PUENTE(TJA),vih,total no de personas con prueba rapida,2015-05-01,0,1,1
EL TORNO,vih,total no de personas con prueba rapida,2015-05-01,64,77,141
