,group,variable,month,VACUNACIONES SRP,VACUNACIONES SRP,TOTALES,TOTALES,TOTALES
CORO CORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,4,20,4,20,24
COROICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,9,11,9,11,20
CORQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,6,3,6,3,9
COTAGAITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,29,55,29,55,84
COTOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,85,133,85,133,218
CUATRO CAÑADAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,21,94,21,94,115
CUCHUMUELA (V. G. VILLARROEL),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,1,2,1,3
CUEVO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,5,2,5,7
CULPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,19,21,19,21,40
CURAHUARA DE CARANGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,8,8,8,8,16
CURVA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,6,2,6,8
DESAGUADERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,4,21,4,21,25
EL ALTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,1507,637,1507,637,2144
EL CHORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,17,2,17,19
EL PUENTE(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,17,4,17,4,21
EL PUENTE(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,8,4,8,4,12
EL TORNO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,103,26,103,26,129
EL VILLAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,5,6,5,6,11
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,51,47,51,47,98
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,12,39,12,39,51
ESCARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,0,1,0,1,1
EUCALIPTUS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,8,17,8,17,25
EUREKA (SANTOS MERCADO),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,1,4,1,4,5
EXALTACION,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,6,0,6,0,6
FERNANDEZ ALONSO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,14,22,14,22,36
FILADELFIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,4,1,4,1,5
GENERAL SAAVEDRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,26,28,26,28,54
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,11,19,11,19,30
GUANAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,13,15,13,15,28
GUAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,0,14,0,14,14
GUAYARAMERIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,76,39,76,39,115
GUTIERREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,6,43,6,43,49
HUACARETA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,10,13,10,13,23
HUACAYA (VILLA DE HUACAYA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,0,6,0,6,6
HUACHACALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,1,0,1,0,1
HUANUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,42,97,42,97,139
HUARACAJE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,28,2,28,30
HUAYLLAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,5,10,5,10,15
ICHOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,3,19,3,19,22
ICLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,5,24,5,24,29
INCAHUASI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,21,37,21,37,58
INGAVI (HUMAITA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,3,6,3,6,9
INQUISIVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,45,2,45,47
IRUPANA (VILLA DE LANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,19,24,19,24,43
IXIAMAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,6,18,6,18,24
JESUS DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,17,12,17,12,29
LA ASUNTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,55,32,55,32,87
LA GUARDIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,129,51,129,51,180
LA PAZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,1409,636,1409,636,2045
LAGUNILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,8,13,8,13,21
LAJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,8,17,8,17,25
LAS CARRERAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,6,2,6,8
LICOMA PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,1,1,1,1,2
LLALLAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,25,141,25,141,166
LLICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,6,0,6,0,6
LORETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,1,8,1,8,9
LURIBAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,8,2,8,10
MACHACAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,5,6,5,6,11
MACHARETI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,9,13,9,13,22
MAGDALENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,10,25,10,25,35
MAIRANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,10,22,10,22,32
MALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,0,3,0,3,3
MAPIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,14,24,14,24,38
MECAPACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,3,14,3,14,17
MINEROS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,51,37,51,37,88
MIZQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,39,68,39,68,107
MOCOMOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,4,27,4,27,31
MOJINETE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,1,1,1,1,2
MOJOCOYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,5,3,5,3,8
MONTEAGUDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,33,14,33,14,47
MONTERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,214,117,214,117,331
MORO MORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,5,2,5,7
MOROCHATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,20,70,20,70,90
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,4,9,4,9,13
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,2,2,2,4
OCURI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,12,47,12,47,59
OKINAWA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,27,53,27,53,80
OMEREQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,18,2,18,20
ORURO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,374,446,374,446,820
PADCAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,8,36,8,36,44
PADILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,12,11,12,11,23
PAILON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,29,73,29,73,102
PALCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,9,24,9,24,33
PALOS BLANCOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,28,45,28,45,73
PAMPA AULLAGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,7,2,7,9
PAMPA GRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,8,12,8,12,20
PAPEL PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,2,2,2,4
PASORAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,0,1,0,1,1
PATACAMAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,22,35,22,35,57
PAZÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,7,11,7,11,18
PELECHUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,1,26,1,26,27
POCOATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,8,67,8,67,75
POCONA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,11,40,11,40,51
POJO (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,26,26,26,26,52
POOPO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,31,2,31,33
PORCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,15,29,15,29,44
POROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,9,31,9,31,40
PORONGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,22,2,22,24
PORTACHUELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,60,62,60,62,122
PORVENIR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,0,6,0,6,6
POSTRER VALLE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,4,3,4,3,7
POTOSI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,335,290,335,290,625
PRESTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,32,2,32,34
PUCARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,0,1,0,1,1
PUCARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,17,43,17,43,60
PUERTO ACOSTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,13,37,13,37,50
PUERTO CARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,6,27,6,27,33
PUERTO GONZALO MORENO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,1,6,1,6,7
PUERTO PEREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,0,5,0,5,5
PUERTO QUIJARRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,20,54,20,54,74
PUERTO RICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,6,13,6,13,19
PUERTO SILES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,0,2,0,2
PUERTO SUAREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,27,29,27,29,56
PUERTO VILLARROEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,110,130,110,130,240
PUNA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,30,97,30,97,127
PUNATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,58,18,58,18,76
QUIABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,3,2,3,5
QUILLACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,133,98,133,98,231
QUIME,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,6,23,6,23,29
QUIRUSILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,1,2,1,3
RAVELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,22,37,22,37,59
REYES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,15,38,15,38,53
RIBERALTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,189,99,189,99,288
ROBORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,83,31,83,31,114
RURRENABAQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,41,43,41,43,84
SABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,5,6,5,6,11
SACABA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,210,163,210,163,373
SACABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,5,21,5,21,26
SACACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,5,42,5,42,47
SAIPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,3,17,3,17,20
SALINAS DE GARCI MENDOZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,8,17,8,17,25
SAMAIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,3,18,3,18,21
SAN AGUSTIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,0,2,0,2
SAN ANDRES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,23,40,23,40,63
SAN ANDRES DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,6,2,6,8
SAN ANTONIO DE ESMORUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,3,1,3,1,4
SAN ANTONIO DE LOMERIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,6,13,6,13,19
SAN BENITO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,14,13,14,13,27
SAN BORJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,70,60,70,60,130
SAN BUENA VENTURA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,13,15,13,15,28
SAN CARLOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,23,37,23,37,60
SAN IGNACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,66,35,66,35,101
SAN IGNACIO DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,113,49,113,49,162
SAN JAVIER(BNI),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,3,20,3,20,23
SAN JAVIER(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,25,28,25,28,53
SAN JOAQUIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,7,4,7,4,11
SAN JOSE DE CHIQUITOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,37,9,37,9,46
SAN JUAN DE YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,12,27,12,27,39
SAN JULIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,38,219,38,219,257
SAN LORENZO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,5,13,5,13,18
SAN LORENZO(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,11,43,11,43,54
SAN LUCAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,20,37,20,37,57
SAN MATIAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,23,44,23,44,67
SAN MIGUEL DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,17,7,17,7,24
SAN PABLO DE LIPEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,8,7,8,7,15
SAN PEDRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,28,16,28,16,44
SAN PEDRO DE BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,12,39,12,39,51
SAN PEDRO DE CURAHUARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,5,8,5,8,13
SAN PEDRO DE QUEMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,3,0,3,0,3
SAN PEDRO DE TIQUINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,9,6,9,6,15
SAN RAFAEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,8,11,8,11,19
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,10,12,10,12,22
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,1,7,1,7,8
SANTA ANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,38,0,38,0,38
SANTA CRUZ DE LA SIERRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2583,1343,2583,1343,3926
SANTA ROSA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,33,0,33,0,33
SANTA ROSA DEL SARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,21,16,21,16,37
SANTIAGO DE CALLAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,18,2,18,20
SANTIAGO DE HUARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,0,22,0,22,22
SANTIAGO DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,0,10,0,10,10
SANTIVAÑES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,3,2,3,2,5
SANTUARIO DE QUILLACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,3,9,3,9,12
SAPAHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,10,2,10,12
SENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,0,2,0,2
SICA SICA (VILLA AROMA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,13,29,13,29,42
SICAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,3,2,3,5
SIPE SIPE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,51,47,51,47,98
SOPACHUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,4,6,4,6,10
SORACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,6,29,6,29,35
SORATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,11,22,11,22,33
SUCRE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,421,207,421,207,628
TACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,1,0,1,0,1
TACACOMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,8,4,8,4,12
TACOBAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,11,39,11,39,50
TACOPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,9,21,9,21,30
TAPACARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,22,77,22,77,99
TARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,18,21,18,21,39
TARACO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,0,13,0,13,13
TARATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,9,5,9,5,14
TARIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,273,51,273,51,324
TARVITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,11,19,11,19,30
TEOPONTE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,16,11,16,11,27
TIAWANACU,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,12,28,12,28,40
TINGUIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,8,85,8,85,93
TIPUANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,11,15,11,15,26
TIQUIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,97,40,97,40,137
TIRAQUE (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,71,82,71,82,153
TITO YUPANQUI (PARQUIPUJIO),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,0,2,0,2,2
TOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,5,13,5,13,18
TOLATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,5,5,5,5,10
TOLEDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,14,2,14,16
TOMAVE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,5,18,5,18,23
TOMINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,4,5,4,5,9
TORO TORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,10,36,10,36,46
TOTORA(CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,26,22,26,22,48
TOTORA(ORR),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,6,10,6,10,16
TRIGAL,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,1,2,1,3
TRINIDAD,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,231,115,231,115,346
TUPIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,57,55,57,55,112
TURCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,6,5,6,5,11
UMALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,0,25,0,25,25
UNCIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,17,49,17,49,66
URIONDO (A. CONCEPCION),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,12,5,12,5,17
URUBICHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,3,31,3,31,34
UYUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,25,53,25,53,78
VACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,5,12,5,12,17
VALLEGRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,23,10,23,10,33
VIACHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,49,46,49,46,95
VILA VILA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,3,11,3,11,14
VILLA MONTES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,46,63,46,63,109
VILLA NUEVA (LOMA ALTA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,5,2,5,2,7
VILLA RIVERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,10,6,10,6,16
VILLA SERRANO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,9,14,9,14,23
VILLA TUNARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,139,115,139,115,254
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,14,5,14,5,19
VILLAZON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,63,36,63,36,99
VINTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,80,45,80,45,125
VITICHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,10,12,10,12,22
WARNES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,109,166,109,166,275
YACO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,3,19,3,19,22
YACUIBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,145,101,145,101,246
YAMPARAEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,7,3,7,3,10
YANACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,4,1,4,1,5
YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,51,45,51,45,96
YOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,2,15,2,15,17
YOTALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,6,6,6,6,12
YUNCHARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,0,14,0,14,14
ZUDAÑEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-04-01,8,11,8,11,19
ACACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-05-01,4,9,4,9,13
ACHACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-05-01,55,102,55,102,157
ACHOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-05-01,14,18,14,18,32
AIQUILE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-05-01,35,39,35,39,74
ALALAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-05-01,0,4,0,4,4
ALCALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-05-01,1,1,1,1,2
ANCORAIMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-05-01,8,21,8,21,29
ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-05-01,4,1,4,1,5
ANTEQUERA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-05-01,5,11,5,11,16
