,group,variable,month,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,TOTALES,TOTALES,TOTALES
CHUMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,20,5,20,25
CLIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,3,2,3,2,5
COBIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,60,10,60,10,70
COCHABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,159,37,159,37,196
"COLCHA ""K""",vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,11,2,11,2,13
COLOMI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,3,5,3,8
COLQUECHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,6,53,6,53,59
COLQUENCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,8,1,8,9
COLQUIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,6,0,6,6
COMARAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,2,5,2,7
COMBAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,13,0,13,13
CONCEPCION,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,7,3,7,3,10
CORIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,13,21,13,21,34
CORO CORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,6,5,6,11
COROICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,17,2,17,19
CORQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,10,1,10,11
COTAGAITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,10,0,10,10
COTOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,10,4,10,4,14
CUATRO CAÑADAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,18,31,18,31,49
CUCHUMUELA (V. G. VILLARROEL),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,0,1,0,1
CULPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,3,0,3,3
CURAHUARA DE CARANGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,1,0,1,1
DESAGUADERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,3,3,3,3,6
EL ALTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,25,0,25,0,25
EL CHORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,2,5,2,7
EL PUENTE(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,5,0,5,5
EL PUENTE(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,4,9,4,9,13
EL TORNO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,30,0,30,0,30
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,12,17,12,17,29
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,20,19,20,19,39
EUREKA (SANTOS MERCADO),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,4,1,4,5
EXALTACION,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,16,1,16,17
FERNANDEZ ALONSO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,3,17,3,17,20
FILADELFIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,3,1,3,4
GENERAL SAAVEDRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,28,9,28,9,37
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,5,0,5,5
GUANAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,11,1,11,12
GUAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,7,0,7,7
GUAYARAMERIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,39,28,39,28,67
HUACARETA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,4,7,4,7,11
HUACAYA (VILLA DE HUACAYA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,1,0,1,1
HUANUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,26,8,26,8,34
HUAYLLAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,3,10,3,10,13
ICHOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,3,0,3,3
ICLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,10,10,10,10,20
INCAHUASI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,19,15,19,15,34
INGAVI (HUMAITA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,6,2,6,8
IRUPANA (VILLA DE LANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,17,0,17,17
IXIAMAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,0,1,0,1
JESUS DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,0,5,0,5
LA ASUNTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,4,15,4,15,19
LA GUARDIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,11,6,11,6,17
LA PAZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,211,185,211,185,396
LAJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,27,1,27,28
LAS CARRERAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,6,0,6,0,6
LICOMA PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,3,1,3,1,4
LLALLAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,27,74,27,74,101
LURIBAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,10,12,10,12,22
MACHARETI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,1,5,1,6
MAGDALENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,12,11,12,11,23
MALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,6,0,6,6
MAPIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,11,0,11,0,11
MECAPACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,11,2,11,13
MINEROS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,6,1,6,7
MIZQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,13,32,13,32,45
MOCOMOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,23,1,23,24
MOJOCOYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,10,4,10,4,14
MONTEAGUDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,6,3,6,3,9
MONTERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,84,35,84,35,119
MORO MORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,2,0,2,2
MOROCHATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,14,0,14,14
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,2,0,2,2
NAZACARA DE PACAJES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,9,0,9,9
OCURI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,10,44,10,44,54
OMEREQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,6,0,6,6
ORURO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,63,2,63,2,65
PADCAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,3,22,3,22,25
PADILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,7,8,7,8,15
PALCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,3,2,3,5
PALOS BLANCOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,6,0,6,6
PAMPA AULLAGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,0,2,0,2
PAPEL PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,6,1,6,7
PASORAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,3,3,3,3,6
PATACAMAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,13,19,13,19,32
PAZÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,6,1,6,1,7
POCOATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,24,1,24,25
POCONA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,3,16,3,16,19
POJO (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,14,9,14,9,23
PORCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,8,15,8,15,23
POROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,4,27,4,27,31
PORTACHUELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,9,0,9,0,9
PORVENIR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,2,2,2,4
POSTRER VALLE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,2,1,2,3
POTOSI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,187,62,187,62,249
PRESTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,8,5,8,13
PUCARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,4,1,4,5
PUCARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,5,0,5,5
PUERTO ACOSTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,34,1,34,35
PUERTO CARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,3,28,3,28,31
PUERTO GONZALO MORENO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,3,14,3,14,17
PUERTO PEREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,11,0,11,11
PUERTO QUIJARRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,2,2,2,4
PUERTO RICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,10,2,10,12
PUERTO SUAREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,10,0,10,10
PUERTO VILLARROEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,0,2,0,2
PUNA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,17,42,17,42,59
PUNATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,0,2,0,2
QUIME,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,18,0,18,18
RAVELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,40,1,40,41
REYES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,33,10,33,10,43
RIBERALTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,129,63,129,63,192
ROBORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,8,0,8,0,8
RURRENABAQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,23,8,23,8,31
SABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,4,2,4,2,6
SACABA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,16,7,16,7,23
SACACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,18,29,18,29,47
SALINAS DE GARCI MENDOZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,0,1,0,1
SAMAIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,3,5,3,5,8
SAN ANDRES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,10,1,10,1,11
SAN ANDRES DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,2,0,2,2
SAN ANTONIO DE ESMORUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,7,2,7,2,9
SAN ANTONIO DE LOMERIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,11,5,11,16
SAN BORJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,60,49,60,49,109
SAN BUENA VENTURA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,9,12,9,12,21
SAN CARLOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,31,29,31,29,60
SAN IGNACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,13,3,13,3,16
SAN IGNACIO DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,5,2,5,7
SAN JAVIER(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,6,0,6,0,6
SAN JOSE DE CHIQUITOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,7,6,7,6,13
SAN JUAN DE YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,20,5,20,25
SAN JULIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,37,46,37,46,83
SAN LORENZO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,7,3,7,3,10
SAN LORENZO(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,9,2,9,11
SAN LUCAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,21,42,21,42,63
SAN MATIAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,17,5,17,22
SAN PEDRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,36,23,36,23,59
SAN PEDRO DE BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,11,45,11,45,56
SAN PEDRO DE CURAHUARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,3,0,3,3
SAN PEDRO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,1,0,1,1
SAN RAFAEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,9,0,9,9
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,3,20,3,20,23
SANTA ANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,27,9,27,9,36
SANTA CRUZ DE LA SIERRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,489,0,489,0,489
SANTA ROSA DEL SARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,4,17,4,17,21
SANTIAGO DE CALLAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,12,0,12,12
SANTIAGO DE HUARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,10,0,10,10
SANTIVAÑES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,3,5,3,8
SENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,15,2,15,17
SICA SICA (VILLA AROMA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,12,24,12,24,36
SOPACHUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,6,5,6,11
SORACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,10,2,10,12
SORATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,12,38,12,38,50
SUCRE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,211,49,211,49,260
TACACOMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,5,2,5,7
TACOPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,11,6,11,6,17
TAPACARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,15,5,15,20
TARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,13,13,13,13,26
TARATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,4,0,4,0,4
TARIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,136,7,136,7,143
TARVITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,14,16,14,16,30
TEOPONTE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,7,1,7,8
TIAWANACU,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,18,0,18,18
TINGUIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,7,62,7,62,69
TIPUANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,9,5,9,5,14
TIRAQUE (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,27,5,27,5,32
TITO YUPANQUI (PARQUIPUJIO),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,1,0,1,1
TOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,6,0,6,6
TOLATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,5,2,5,7
TOMAVE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,3,20,3,20,23
TOMINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,10,9,10,9,19
TORO TORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,3,5,3,5,8
TOTORA(CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,2,1,2,3
TRINIDAD,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,43,10,43,10,53
TUPIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,14,13,14,13,27
UMALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,18,0,18,18
UNCIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,17,60,17,60,77
URIONDO (A. CONCEPCION),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,12,5,12,17
URUBICHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,10,0,10,10
UYUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,3,3,3,3,6
VACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,6,13,6,13,19
VALLEGRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,18,4,18,4,22
VIACHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,3,0,3,3
VILA VILA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,5,0,5,5
VILLA MONTES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,30,15,30,15,45
VILLA NUEVA (LOMA ALTA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,7,2,7,9
VILLA SERRANO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,16,4,16,4,20
VILLA TUNARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,85,30,85,30,115
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,6,1,6,7
VILLAZON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,19,0,19,0,19
VITICHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,10,9,10,9,19
WALDO BALLIVIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,0,4,0,4,4
WARNES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,18,20,18,20,38
YACO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,11,1,11,12
YACUIBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,61,5,61,5,66
YAMPARAEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,5,9,5,9,14
YANACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,4,6,4,6,10
YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,67,33,67,33,100
YOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,14,1,14,15
YOTALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,2,0,2,0,2
ZUDAÑEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-03-01,1,7,1,7,8
ACACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,19,0,19,19
ACHACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,16,109,16,109,125
AIQUILE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,13,22,13,22,35
ALALAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,5,14,5,14,19
ALCALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,3,2,3,5
ANCORAIMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,18,1,18,19
ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,8,2,8,10
ANTEQUERA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,1,0,1,1
ANZALDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,4,40,4,40,44
APOLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,13,0,13,13
ARBIETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,44,0,44,44
ARQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,28,21,28,21,49
ASCENCION DE GUARAYOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,51,75,51,75,126
ATOCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,10,2,10,12
AUCAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,3,3,3,3,6
AYATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,31,0,31,31
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,19,50,19,50,69
AZURDUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,4,11,4,11,15
BATALLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,7,0,7,0,7
BAURES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,9,1,9,1,10
BELEN DE ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,7,0,7,7
BELEN DE URMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,2,0,2,2
BERMEJO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,34,59,34,59,93
