municipality,group,variable,month,3. Niñas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),TOTAL
COCHABAMBA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,5,5
COMARAPA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,2,2
EL ALTO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,47,47
ENTRE RIOS CBBA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,3,3
GUAYARAMERIN,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,1,1
LA PAZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,29,29
MONTERO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,5,5
ORURO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,2,2
PALCA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,1,1
PAMPA GRANDE,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,5,5
POTOSI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,8,8
PUERTO VILLARROEL,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,1,1
QUILLACOLLO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,3,3
RURRENABAQUE,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,4,4
SAN JOAQUIN,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,1,1
SAN JULIAN,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,2,2
SAN RAMON BENI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,1,1
SANTA ANA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,4,4
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,1,1
TARATA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,1,1
TIQUIPAYA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,3,3
TRINIDAD,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,8,8
WARNES,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,2,2
COCHABAMBA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-11-01,6,6
EL ALTO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-11-01,39,39
ENTRE RIOS CBBA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-11-01,2,2
LA PAZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-11-01,19,19
MONTERO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-11-01,8,8
OMEREQUE,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-11-01,1,1
POTOSI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-11-01,2,2
QUIME,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-11-01,1,1
SAN JAVIER(BNI),micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-11-01,1,1
SAN JOSE DE CHIQUITOS,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-11-01,1,1
TRINIDAD,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-11-01,13,13
TUPIZA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-11-01,7,7
VIACHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-11-01,11,11
WARNES,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-11-01,14,14
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,5,5
ATOCHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,1,1
COCHABAMBA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,4,4
COTAGAITA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,3,3
EL ALTO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,30,30
ENTRE RIOS TRJ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,1,1
HUANUNI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,1,1
LA PAZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,10,10
MONTERO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,8,8
ORURO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,31,31
PALCA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,1,1
PORONGO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,8,8
RIBERALTA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,2,2
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,4,4
SHINAOTA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,1,1
TRINIDAD,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,7,7
TUPIZA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,9,9
VILLA NUEVA (LOMA ALTA),micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-12-01,1,1
