,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVOS,PERSONAS DE 60 AÑOS Y MÁS NUEVOS,PERSONAS DE 60 AÑOS Y MÁS REPETIDOS,PERSONAS DE 60 AÑOS Y MÁS REPETIDOS,TOTALES,TOTALES,TOTALES
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2009-04-01,44,91,8,5,52,96,148
CAMIRI,consulta externa,personas de 60 anos y mas,2009-04-01,696,981,73,180,769,1161,1930
CAPINOTA,consulta externa,personas de 60 anos y mas,2009-04-01,55,61,42,28,97,89,186
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2009-04-01,43,50,4,1,47,51,98
CARACOLLO,consulta externa,personas de 60 anos y mas,2009-04-01,50,66,12,15,62,81,143
CARANAVI,consulta externa,personas de 60 anos y mas,2009-04-01,365,190,28,26,393,216,609
CARANGAS,consulta externa,personas de 60 anos y mas,2009-04-01,1,5,0,0,1,5,6
CARAPARI,consulta externa,personas de 60 anos y mas,2009-04-01,25,19,0,0,25,19,44
CARIPUYO,consulta externa,personas de 60 anos y mas,2009-04-01,11,30,0,0,11,30,41
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2009-04-01,14,20,4,1,18,21,39
CATACORA,consulta externa,personas de 60 anos y mas,2009-04-01,16,16,0,9,16,25,41
CHACARILLA,consulta externa,personas de 60 anos y mas,2009-04-01,0,2,0,0,0,2,2
CHALLAPATA,consulta externa,personas de 60 anos y mas,2009-04-01,192,137,54,45,246,182,428
CHAQUI,consulta externa,personas de 60 anos y mas,2009-04-01,59,81,1,4,60,85,145
CHARAGUA,consulta externa,personas de 60 anos y mas,2009-04-01,177,181,7,15,184,196,380
CHARAÑA,consulta externa,personas de 60 anos y mas,2009-04-01,13,12,1,0,14,12,26
CHAYANTA,consulta externa,personas de 60 anos y mas,2009-04-01,56,105,13,19,69,124,193
CHIMORE,consulta externa,personas de 60 anos y mas,2009-04-01,55,56,2,0,57,56,113
CHIPAYA,consulta externa,personas de 60 anos y mas,2009-04-01,5,4,0,0,5,4,9
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2009-04-01,22,24,1,1,23,25,48
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2009-04-01,67,52,43,28,110,80,190
CHUMA,consulta externa,personas de 60 anos y mas,2009-04-01,69,72,6,1,75,73,148
CLIZA,consulta externa,personas de 60 anos y mas,2009-04-01,56,115,21,22,77,137,214
COBIJA,consulta externa,personas de 60 anos y mas,2009-04-01,185,240,40,261,225,501,726
COCHABAMBA,consulta externa,personas de 60 anos y mas,2009-04-01,5141,6778,6755,9154,11896,15932,27828
COIPASA,consulta externa,personas de 60 anos y mas,2009-04-01,1,0,0,0,1,0,1
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2009-04-01,117,96,179,117,296,213,509
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2009-04-01,35,40,3,1,38,41,79
COLLANA,consulta externa,personas de 60 anos y mas,2009-04-01,19,22,9,4,28,26,54
COLOMI,consulta externa,personas de 60 anos y mas,2009-04-01,10,17,0,0,10,17,27
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2009-04-01,204,90,87,59,291,149,440
COLQUECHACA,consulta externa,personas de 60 anos y mas,2009-04-01,85,123,0,1,85,124,209
COLQUENCHA,consulta externa,personas de 60 anos y mas,2009-04-01,70,107,14,21,84,128,212
COLQUIRI,consulta externa,personas de 60 anos y mas,2009-04-01,40,71,0,2,40,73,113
COMANCHE,consulta externa,personas de 60 anos y mas,2009-04-01,44,34,4,4,48,38,86
COMARAPA,consulta externa,personas de 60 anos y mas,2009-04-01,97,130,11,9,108,139,247
COMBAYA,consulta externa,personas de 60 anos y mas,2009-04-01,35,32,4,4,39,36,75
CONCEPCION,consulta externa,personas de 60 anos y mas,2009-04-01,53,72,2,3,55,75,130
COPACABANA,consulta externa,personas de 60 anos y mas,2009-04-01,28,39,1,1,29,40,69
CORIPATA,consulta externa,personas de 60 anos y mas,2009-04-01,65,54,15,12,80,66,146
CORO CORO,consulta externa,personas de 60 anos y mas,2009-04-01,24,35,0,0,24,35,59
COROICO,consulta externa,personas de 60 anos y mas,2009-04-01,92,81,87,77,179,158,337
CORQUE,consulta externa,personas de 60 anos y mas,2009-04-01,59,61,18,5,77,66,143
COTAGAITA,consulta externa,personas de 60 anos y mas,2009-04-01,219,385,18,27,237,412,649
COTOCA,consulta externa,personas de 60 anos y mas,2009-04-01,149,180,17,22,166,202,368
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2009-04-01,49,56,0,7,49,63,112
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2009-04-01,7,18,6,1,13,19,32
CUEVO,consulta externa,personas de 60 anos y mas,2009-04-01,40,69,1,3,41,72,113
CULPINA,consulta externa,personas de 60 anos y mas,2009-04-01,124,164,1,1,125,165,290
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2009-04-01,26,33,0,1,26,34,60
CURVA,consulta externa,personas de 60 anos y mas,2009-04-01,8,9,0,1,8,10,18
DESAGUADERO,consulta externa,personas de 60 anos y mas,2009-04-01,12,16,0,2,12,18,30
EL ALTO,consulta externa,personas de 60 anos y mas,2009-04-01,1895,2195,1675,1935,3570,4130,7700
EL CHORO,consulta externa,personas de 60 anos y mas,2009-04-01,39,53,2,8,41,61,102
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2009-04-01,27,30,4,1,31,31,62
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2009-04-01,42,83,0,0,42,83,125
EL TORNO,consulta externa,personas de 60 anos y mas,2009-04-01,227,257,284,290,511,547,1058
EL VILLAR,consulta externa,personas de 60 anos y mas,2009-04-01,51,89,3,6,54,95,149
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2009-04-01,32,17,5,2,37,19,56
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2009-04-01,86,132,5,8,91,140,231
ESCARA,consulta externa,personas de 60 anos y mas,2009-04-01,2,8,0,0,2,8,10
ESMERALDA,consulta externa,personas de 60 anos y mas,2009-04-01,23,11,0,0,23,11,34
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2009-04-01,34,32,1,2,35,34,69
EUREKA (SANTOS MERCADO),consulta externa,personas de 60 anos y mas,2009-04-01,3,2,0,0,3,2,5
EXALTACION,consulta externa,personas de 60 anos y mas,2009-04-01,11,13,0,1,11,14,25
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2009-04-01,48,51,6,6,54,57,111
FILADELFIA,consulta externa,personas de 60 anos y mas,2009-04-01,7,7,4,1,11,8,19
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2009-04-01,29,23,3,1,32,24,56
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2009-04-01,55,69,2,3,57,72,129
GUANAY,consulta externa,personas de 60 anos y mas,2009-04-01,62,32,5,3,67,35,102
GUAQUI,consulta externa,personas de 60 anos y mas,2009-04-01,46,64,6,10,52,74,126
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2009-04-01,169,199,69,77,238,276,514
GUTIERREZ,consulta externa,personas de 60 anos y mas,2009-04-01,62,86,3,0,65,86,151
HUACARETA,consulta externa,personas de 60 anos y mas,2009-04-01,69,84,8,10,77,94,171
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 60 anos y mas,2009-04-01,20,52,0,0,20,52,72
HUACHACALLA,consulta externa,personas de 60 anos y mas,2009-04-01,6,10,1,0,7,10,17
HUANUNI,consulta externa,personas de 60 anos y mas,2009-04-01,180,180,37,49,217,229,446
HUARACAJE,consulta externa,personas de 60 anos y mas,2009-04-01,16,11,1,0,17,11,28
HUAYLLAMARCA,consulta externa,personas de 60 anos y mas,2009-04-01,36,33,3,2,39,35,74
ICHOCA,consulta externa,personas de 60 anos y mas,2009-04-01,31,14,4,0,35,14,49
ICLA,consulta externa,personas de 60 anos y mas,2009-04-01,34,47,2,5,36,52,88
INCAHUASI,consulta externa,personas de 60 anos y mas,2009-04-01,119,201,2,3,121,204,325
INGAVI (HUMAITA),consulta externa,personas de 60 anos y mas,2009-04-01,3,2,0,0,3,2,5
INQUISIVI,consulta externa,personas de 60 anos y mas,2009-04-01,52,38,0,1,52,39,91
IRUPANA (VILLA DE LANZA),consulta externa,personas de 60 anos y mas,2009-04-01,98,89,33,22,131,111,242
IXIAMAS,consulta externa,personas de 60 anos y mas,2009-04-01,24,11,6,3,30,14,44
JESUS DE MACHACA,consulta externa,personas de 60 anos y mas,2009-04-01,190,206,73,91,263,297,560
LA ASUNTA,consulta externa,personas de 60 anos y mas,2009-04-01,50,46,3,0,53,46,99
LA GUARDIA,consulta externa,personas de 60 anos y mas,2009-04-01,143,176,33,31,176,207,383
LA PAZ,consulta externa,personas de 60 anos y mas,2009-04-01,8383,10172,9431,12949,17814,23121,40935
LA RIVERA,consulta externa,personas de 60 anos y mas,2009-04-01,1,2,0,0,1,2,3
LAGUNILLAS,consulta externa,personas de 60 anos y mas,2009-04-01,59,65,1,3,60,68,128
LAJA,consulta externa,personas de 60 anos y mas,2009-04-01,50,48,19,10,69,58,127
LAS CARRERAS,consulta externa,personas de 60 anos y mas,2009-04-01,48,63,12,7,60,70,130
LICOMA PAMPA,consulta externa,personas de 60 anos y mas,2009-04-01,23,19,3,2,26,21,47
LLALLAGUA,consulta externa,personas de 60 anos y mas,2009-04-01,193,252,108,130,301,382,683
LLICA,consulta externa,personas de 60 anos y mas,2009-04-01,11,8,1,0,12,8,20
LORETO,consulta externa,personas de 60 anos y mas,2009-04-01,15,19,1,4,16,23,39
LURIBAY,consulta externa,personas de 60 anos y mas,2009-04-01,88,67,17,10,105,77,182
MACHACAMARCA,consulta externa,personas de 60 anos y mas,2009-04-01,50,73,18,27,68,100,168
MACHARETI,consulta externa,personas de 60 anos y mas,2009-04-01,56,62,1,2,57,64,121
MAGDALENA,consulta externa,personas de 60 anos y mas,2009-04-01,32,30,74,93,106,123,229
MAIRANA,consulta externa,personas de 60 anos y mas,2009-04-01,61,89,2,4,63,93,156
MALLA,consulta externa,personas de 60 anos y mas,2009-04-01,10,12,2,1,12,13,25
MAPIRI,consulta externa,personas de 60 anos y mas,2009-04-01,41,25,0,0,41,25,66
MECAPACA,consulta externa,personas de 60 anos y mas,2009-04-01,35,31,4,7,39,38,77
MINEROS,consulta externa,personas de 60 anos y mas,2009-04-01,22,17,0,1,22,18,40
MIZQUE,consulta externa,personas de 60 anos y mas,2009-04-01,59,69,9,15,68,84,152
MOCOMOCO,consulta externa,personas de 60 anos y mas,2009-04-01,71,68,14,5,85,73,158
MOJINETE,consulta externa,personas de 60 anos y mas,2009-04-01,8,5,0,0,8,5,13
MOJOCOYA,consulta externa,personas de 60 anos y mas,2009-04-01,33,65,3,11,36,76,112
MONTEAGUDO,consulta externa,personas de 60 anos y mas,2009-04-01,496,763,79,120,575,883,1458
MONTERO,consulta externa,personas de 60 anos y mas,2009-04-01,321,343,502,645,823,988,1811
MORO MORO,consulta externa,personas de 60 anos y mas,2009-04-01,16,44,0,0,16,44,60
MOROCHATA,consulta externa,personas de 60 anos y mas,2009-04-01,40,48,1,5,41,53,94
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 60 anos y mas,2009-04-01,25,6,0,1,25,7,32
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2009-04-01,10,6,0,1,10,7,17
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2009-04-01,7,4,1,0,8,4,12
OCURI,consulta externa,personas de 60 anos y mas,2009-04-01,67,111,2,2,69,113,182
OKINAWA,consulta externa,personas de 60 anos y mas,2009-04-01,70,77,10,16,80,93,173
OMEREQUE,consulta externa,personas de 60 anos y mas,2009-04-01,23,40,5,5,28,45,73
ORURO,consulta externa,personas de 60 anos y mas,2009-04-01,3634,3706,1670,2009,5304,5715,11019
PADCAYA,consulta externa,personas de 60 anos y mas,2009-04-01,51,83,5,2,56,85,141
PADILLA,consulta externa,personas de 60 anos y mas,2009-04-01,222,345,5,3,227,348,575
PAILON,consulta externa,personas de 60 anos y mas,2009-04-01,44,37,2,6,46,43,89
PALCA,consulta externa,personas de 60 anos y mas,2009-04-01,40,44,2,3,42,47,89
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2009-04-01,151,74,41,13,192,87,279
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2009-04-01,3,5,0,1,3,6,9
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2009-04-01,26,30,2,6,28,36,64
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2009-04-01,63,80,1,7,64,87,151
PASORAPA,consulta externa,personas de 60 anos y mas,2009-04-01,25,31,0,0,25,31,56
PATACAMAYA,consulta externa,personas de 60 anos y mas,2009-04-01,86,70,1,0,87,70,157
PAZÑA,consulta externa,personas de 60 anos y mas,2009-04-01,27,18,17,40,44,58,102
PELECHUCO,consulta externa,personas de 60 anos y mas,2009-04-01,28,24,1,2,29,26,55
POCOATA,consulta externa,personas de 60 anos y mas,2009-04-01,75,80,0,1,75,81,156
POCONA,consulta externa,personas de 60 anos y mas,2009-04-01,29,55,0,1,29,56,85
POJO (CBBA),consulta externa,personas de 60 anos y mas,2009-04-01,21,23,1,0,22,23,45
POOPO,consulta externa,personas de 60 anos y mas,2009-04-01,34,49,14,3,48,52,100
PORCO,consulta externa,personas de 60 anos y mas,2009-04-01,15,21,0,2,15,23,38
POROMA,consulta externa,personas de 60 anos y mas,2009-04-01,48,86,1,1,49,87,136
PORONGO,consulta externa,personas de 60 anos y mas,2009-04-01,38,24,1,2,39,26,65
PORTACHUELO,consulta externa,personas de 60 anos y mas,2009-04-01,144,159,74,63,218,222,440
PORVENIR,consulta externa,personas de 60 anos y mas,2009-04-01,4,7,1,1,5,8,13
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2009-04-01,35,45,0,0,35,45,80
POTOSI,consulta externa,personas de 60 anos y mas,2009-04-01,1883,2116,1206,1564,3089,3680,6769
PRESTO,consulta externa,personas de 60 anos y mas,2009-04-01,53,99,1,1,54,100,154
PUCARA,consulta externa,personas de 60 anos y mas,2009-04-01,21,41,1,0,22,41,63
PUCARANI,consulta externa,personas de 60 anos y mas,2009-04-01,55,70,2,4,57,74,131
PUERTO ACOSTA,consulta externa,personas de 60 anos y mas,2009-04-01,127,93,30,20,157,113,270
PUERTO CARABUCO,consulta externa,personas de 60 anos y mas,2009-04-01,129,65,0,4,129,69,198
PUERTO GONZALO MORENO,consulta externa,personas de 60 anos y mas,2009-04-01,34,26,1,0,35,26,61
PUERTO PEREZ,consulta externa,personas de 60 anos y mas,2009-04-01,34,36,1,1,35,37,72
PUERTO QUIJARRO,consulta externa,personas de 60 anos y mas,2009-04-01,71,54,4,1,75,55,130
PUERTO RICO,consulta externa,personas de 60 anos y mas,2009-04-01,68,13,9,3,77,16,93
PUERTO SILES,consulta externa,personas de 60 anos y mas,2009-04-01,4,2,0,3,4,5,9
PUERTO SUAREZ,consulta externa,personas de 60 anos y mas,2009-04-01,59,100,12,12,71,112,183
PUERTO VILLARROEL,consulta externa,personas de 60 anos y mas,2009-04-01,85,73,5,9,90,82,172
PUNA,consulta externa,personas de 60 anos y mas,2009-04-01,190,354,13,13,203,367,570
PUNATA,consulta externa,personas de 60 anos y mas,2009-04-01,143,214,109,124,252,338,590
QUIABAYA,consulta externa,personas de 60 anos y mas,2009-04-01,18,15,9,2,27,17,44
QUILLACOLLO,consulta externa,personas de 60 anos y mas,2009-04-01,660,832,349,559,1009,1391,2400
QUIME,consulta externa,personas de 60 anos y mas,2009-04-01,34,18,4,1,38,19,57
QUIRUSILLAS,consulta externa,personas de 60 anos y mas,2009-04-01,14,21,5,7,19,28,47
RAVELO,consulta externa,personas de 60 anos y mas,2009-04-01,101,152,0,0,101,152,253
REYES,consulta externa,personas de 60 anos y mas,2009-04-01,86,96,58,57,144,153,297
RIBERALTA,consulta externa,personas de 60 anos y mas,2009-04-01,525,522,50,40,575,562,1137
ROBORE,consulta externa,personas de 60 anos y mas,2009-04-01,204,216,25,34,229,250,479
RURRENABAQUE,consulta externa,personas de 60 anos y mas,2009-04-01,13,17,0,6,13,23,36
SABAYA,consulta externa,personas de 60 anos y mas,2009-04-01,36,48,0,0,36,48,84
SACABA,consulta externa,personas de 60 anos y mas,2009-04-01,224,263,139,187,363,450,813
SACABAMBA,consulta externa,personas de 60 anos y mas,2009-04-01,16,50,0,1,16,51,67
SACACA,consulta externa,personas de 60 anos y mas,2009-04-01,50,66,1,3,51,69,120
SAIPINA,consulta externa,personas de 60 anos y mas,2009-04-01,39,60,21,24,60,84,144
SALINAS DE GARCI MENDOZA,consulta externa,personas de 60 anos y mas,2009-04-01,48,50,3,2,51,52,103
SAMAIPATA,consulta externa,personas de 60 anos y mas,2009-04-01,79,70,6,5,85,75,160
SAN AGUSTIN,consulta externa,personas de 60 anos y mas,2009-04-01,8,16,2,2,10,18,28
SAN ANDRES,consulta externa,personas de 60 anos y mas,2009-04-01,30,9,1,1,31,10,41
SAN ANDRES DE MACHACA,consulta externa,personas de 60 anos y mas,2009-04-01,57,80,13,12,70,92,162
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 60 anos y mas,2009-04-01,1,8,0,0,1,8,9
SAN ANTONIO DE LOMERIO,consulta externa,personas de 60 anos y mas,2009-04-01,48,58,2,0,50,58,108
SAN BENITO,consulta externa,personas de 60 anos y mas,2009-04-01,63,84,13,15,76,99,175
SAN BORJA,consulta externa,personas de 60 anos y mas,2009-04-01,37,291,102,129,139,420,559
SAN BUENA VENTURA,consulta externa,personas de 60 anos y mas,2009-04-01,72,52,12,2,84,54,138
SAN CARLOS,consulta externa,personas de 60 anos y mas,2009-04-01,115,92,12,15,127,107,234
SAN IGNACIO,consulta externa,personas de 60 anos y mas,2009-04-01,142,172,43,50,185,222,407
SAN IGNACIO DE VELASCO,consulta externa,personas de 60 anos y mas,2009-04-01,328,382,51,94,379,476,855
SAN JAVIER(BNI),consulta externa,personas de 60 anos y mas,2009-04-01,10,13,1,1,11,14,25
SAN JAVIER(STC),consulta externa,personas de 60 anos y mas,2009-04-01,13,35,7,5,20,40,60
SAN JOAQUIN,consulta externa,personas de 60 anos y mas,2009-04-01,110,133,14,5,124,138,262
SAN JOSE DE CHIQUITOS,consulta externa,personas de 60 anos y mas,2009-04-01,79,109,11,5,90,114,204
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2009-04-01,61,43,11,20,72,63,135
SAN JULIAN,consulta externa,personas de 60 anos y mas,2009-04-01,78,102,4,4,82,106,188
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2009-04-01,11,36,1,4,12,40,52
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2009-04-01,40,62,2,8,42,70,112
SAN LUCAS,consulta externa,personas de 60 anos y mas,2009-04-01,183,446,3,15,186,461,647
SAN MATIAS,consulta externa,personas de 60 anos y mas,2009-04-01,37,47,2,0,39,47,86
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2009-04-01,37,41,40,93,77,134,211
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2009-04-01,31,33,7,8,38,41,79
SAN PEDRO,consulta externa,personas de 60 anos y mas,2009-04-01,139,107,9,3,148,110,258
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2009-04-01,33,53,0,0,33,53,86
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2009-04-01,29,39,4,1,33,40,73
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2009-04-01,9,7,0,0,9,7,16
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2009-04-01,55,48,21,16,76,64,140
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2009-04-01,4,4,0,1,4,5,9
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2009-04-01,24,24,2,1,26,25,51
SAN RAMON,consulta externa,personas de 60 anos y mas,2009-04-01,12,12,4,7,16,19,35
SAN RAMON,consulta externa,personas de 60 anos y mas,2009-04-01,24,5,0,0,24,5,29
SANTA ANA,consulta externa,personas de 60 anos y mas,2009-04-01,272,303,139,154,411,457,868
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2009-04-01,7954,10076,3300,5716,11254,15792,27046
SANTA ROSA,consulta externa,personas de 60 anos y mas,2009-04-01,124,136,2,0,126,136,262
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2009-04-01,46,38,1,1,47,39,86
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2009-04-01,17,31,0,0,17,31,48
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2009-04-01,75,79,32,20,107,99,206
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2009-04-01,34,52,3,3,37,55,92
SANTIVAÑES,consulta externa,personas de 60 anos y mas,2009-04-01,28,40,2,8,30,48,78
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2009-04-01,12,15,3,0,15,15,30
SAPAHAQUI,consulta externa,personas de 60 anos y mas,2009-04-01,54,57,3,3,57,60,117
SENA,consulta externa,personas de 60 anos y mas,2009-04-01,4,1,0,0,4,1,5
SICA SICA (VILLA AROMA),consulta externa,personas de 60 anos y mas,2009-04-01,52,78,1,3,53,81,134
SICAYA,consulta externa,personas de 60 anos y mas,2009-04-01,9,21,1,3,10,24,34
SIPE SIPE,consulta externa,personas de 60 anos y mas,2009-04-01,21,29,2,7,23,36,59
SOPACHUY,consulta externa,personas de 60 anos y mas,2009-04-01,57,105,1,8,58,113,171
SORACACHI,consulta externa,personas de 60 anos y mas,2009-04-01,37,17,1,1,38,18,56
SORATA,consulta externa,personas de 60 anos y mas,2009-04-01,111,107,20,10,131,117,248
SUCRE,consulta externa,personas de 60 anos y mas,2009-04-01,3201,4338,1877,2792,5078,7130,12208
TACACHI,consulta externa,personas de 60 anos y mas,2009-04-01,8,8,0,2,8,10,18
TACACOMA,consulta externa,personas de 60 anos y mas,2009-04-01,43,33,1,1,44,34,78
TACOBAMBA,consulta externa,personas de 60 anos y mas,2009-04-01,45,64,6,8,51,72,123
TACOPAYA,consulta externa,personas de 60 anos y mas,2009-04-01,19,31,1,2,20,33,53
TAPACARI,consulta externa,personas de 60 anos y mas,2009-04-01,48,71,1,1,49,72,121
TARABUCO,consulta externa,personas de 60 anos y mas,2009-04-01,137,256,35,41,172,297,469
TARACO,consulta externa,personas de 60 anos y mas,2009-04-01,58,43,9,4,67,47,114
TARATA,consulta externa,personas de 60 anos y mas,2009-04-01,20,22,3,2,23,24,47
TARIJA,consulta externa,personas de 60 anos y mas,2009-04-01,2560,2842,2530,1502,5090,4344,9434
TARVITA,consulta externa,personas de 60 anos y mas,2009-04-01,109,187,0,4,109,191,300
TEOPONTE,consulta externa,personas de 60 anos y mas,2009-04-01,61,51,0,0,61,51,112
TIAWANACU,consulta externa,personas de 60 anos y mas,2009-04-01,45,47,8,10,53,57,110
TINGUIPAYA,consulta externa,personas de 60 anos y mas,2009-04-01,48,69,3,6,51,75,126
TIPUANI,consulta externa,personas de 60 anos y mas,2009-04-01,69,42,5,7,74,49,123
TIQUIPAYA,consulta externa,personas de 60 anos y mas,2009-04-01,61,100,26,42,87,142,229
TIRAQUE (CBBA),consulta externa,personas de 60 anos y mas,2009-04-01,71,92,9,13,80,105,185
TITO YUPANQUI (PARQUIPUJIO),consulta externa,personas de 60 anos y mas,2009-04-01,22,24,0,1,22,25,47
TOCO,consulta externa,personas de 60 anos y mas,2009-04-01,26,29,0,0,26,29,55
TODOS SANTOS,consulta externa,personas de 60 anos y mas,2009-04-01,4,1,0,0,4,1,5
TOLATA,consulta externa,personas de 60 anos y mas,2009-04-01,15,52,2,3,17,55,72
TOLEDO,consulta externa,personas de 60 anos y mas,2009-04-01,46,52,1,3,47,55,102
TOMAVE,consulta externa,personas de 60 anos y mas,2009-04-01,94,124,2,2,96,126,222
TOMINA,consulta externa,personas de 60 anos y mas,2009-04-01,78,140,4,3,82,143,225
TORO TORO,consulta externa,personas de 60 anos y mas,2009-04-01,31,69,1,0,32,69,101
TOTORA(CBBA),consulta externa,personas de 60 anos y mas,2009-04-01,25,33,18,5,43,38,81
TOTORA(ORR),consulta externa,personas de 60 anos y mas,2009-04-01,31,21,0,0,31,21,52
TRIGAL,consulta externa,personas de 60 anos y mas,2009-04-01,44,47,0,0,44,47,91
TRINIDAD,consulta externa,personas de 60 anos y mas,2009-04-01,487,409,300,279,787,688,1475
TUPIZA,consulta externa,personas de 60 anos y mas,2009-04-01,226,362,38,74,264,436,700
TURCO,consulta externa,personas de 60 anos y mas,2009-04-01,45,53,1,2,46,55,101
UMALA,consulta externa,personas de 60 anos y mas,2009-04-01,24,27,1,2,25,29,54
UNCIA,consulta externa,personas de 60 anos y mas,2009-04-01,18,148,17,35,35,183,218
URIONDO (A. CONCEPCION),consulta externa,personas de 60 anos y mas,2009-04-01,34,46,4,2,38,48,86
URUBICHA,consulta externa,personas de 60 anos y mas,2009-04-01,16,16,1,1,17,17,34
UYUNI,consulta externa,personas de 60 anos y mas,2009-04-01,243,260,37,56,280,316,596
VACAS,consulta externa,personas de 60 anos y mas,2009-04-01,35,77,3,18,38,95,133
VALLEGRANDE,consulta externa,personas de 60 anos y mas,2009-04-01,163,212,323,407,486,619,1105
VIACHA,consulta externa,personas de 60 anos y mas,2009-04-01,291,272,167,169,458,441,899
VILA VILA,consulta externa,personas de 60 anos y mas,2009-04-01,6,9,0,0,6,9,15
VILLA MONTES,consulta externa,personas de 60 anos y mas,2009-04-01,235,245,55,57,290,302,592
VILLA NUEVA (LOMA ALTA),consulta externa,personas de 60 anos y mas,2009-04-01,7,3,1,2,8,5,13
VILLA RIVERO,consulta externa,personas de 60 anos y mas,2009-04-01,21,30,7,13,28,43,71
VILLA SERRANO,consulta externa,personas de 60 anos y mas,2009-04-01,119,173,9,14,128,187,315
VILLA TUNARI,consulta externa,personas de 60 anos y mas,2009-04-01,138,132,9,10,147,142,289
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,personas de 60 anos y mas,2009-04-01,76,116,0,3,76,119,195
VILLAZON,consulta externa,personas de 60 anos y mas,2009-04-01,269,203,87,54,356,257,613
VINTO,consulta externa,personas de 60 anos y mas,2009-04-01,48,69,27,49,75,118,193
VITICHI,consulta externa,personas de 60 anos y mas,2009-04-01,41,106,2,8,43,114,157
WALDO BALLIVIAN,consulta externa,personas de 60 anos y mas,2009-04-01,10,17,1,8,11,25,36
WARNES,consulta externa,personas de 60 anos y mas,2009-04-01,248,210,27,42,275,252,527
YACO,consulta externa,personas de 60 anos y mas,2009-04-01,79,57,13,13,92,70,162
YACUIBA,consulta externa,personas de 60 anos y mas,2009-04-01,766,909,248,446,1014,1355,2369
YAMPARAEZ,consulta externa,personas de 60 anos y mas,2009-04-01,76,108,9,15,85,123,208
YANACACHI,consulta externa,personas de 60 anos y mas,2009-04-01,46,37,1,2,47,39,86
YAPACANI,consulta externa,personas de 60 anos y mas,2009-04-01,118,79,40,70,158,149,307
YOCALLA,consulta externa,personas de 60 anos y mas,2009-04-01,85,137,0,0,85,137,222
YOTALA,consulta externa,personas de 60 anos y mas,2009-04-01,91,139,14,34,105,173,278
YUNCHARA,consulta externa,personas de 60 anos y mas,2009-04-01,9,16,0,0,9,16,25
ZUDAÑEZ,consulta externa,personas de 60 anos y mas,2009-04-01,26,57,0,0,26,57,83
ACACIO,consulta externa,personas de 60 anos y mas,2009-05-01,24,37,0,1,24,38,62
