,group,variable,month,PERSONAS DE 10 A 20 AÑOS NUEVOS,PERSONAS DE 10 A 20 AÑOS NUEVOS,PERSONAS DE 10 A 20 AÑOS REPETIDOS,PERSONAS DE 10 A 20 AÑOS REPETIDOS,TOTALES,TOTALES,TOTALES
PAMPA GRANDE,consulta externa,personas de 10 a 20 anos,2009-03-01,77,104,2,8,79,112,191
PAPEL PAMPA,consulta externa,personas de 10 a 20 anos,2009-03-01,34,38,1,0,35,38,73
PASORAPA,consulta externa,personas de 10 a 20 anos,2009-03-01,18,27,0,0,18,27,45
PATACAMAYA,consulta externa,personas de 10 a 20 anos,2009-03-01,60,55,1,2,61,57,118
PAZÑA,consulta externa,personas de 10 a 20 anos,2009-03-01,28,57,10,12,38,69,107
PELECHUCO,consulta externa,personas de 10 a 20 anos,2009-03-01,43,23,9,1,52,24,76
POCOATA,consulta externa,personas de 10 a 20 anos,2009-03-01,79,79,3,0,82,79,161
POCONA,consulta externa,personas de 10 a 20 anos,2009-03-01,53,80,0,0,53,80,133
POJO (CBBA),consulta externa,personas de 10 a 20 anos,2009-03-01,23,21,2,0,25,21,46
POOPO,consulta externa,personas de 10 a 20 anos,2009-03-01,9,27,0,4,9,31,40
PORCO,consulta externa,personas de 10 a 20 anos,2009-03-01,33,74,0,1,33,75,108
POROMA,consulta externa,personas de 10 a 20 anos,2009-03-01,75,127,2,1,77,128,205
PORONGO,consulta externa,personas de 10 a 20 anos,2009-03-01,85,106,7,6,92,112,204
PORTACHUELO,consulta externa,personas de 10 a 20 anos,2009-03-01,85,181,9,8,94,189,283
PORVENIR,consulta externa,personas de 10 a 20 anos,2009-03-01,50,63,1,4,51,67,118
POSTRER VALLE,consulta externa,personas de 10 a 20 anos,2009-03-01,6,13,0,0,6,13,19
POTOSI,consulta externa,personas de 10 a 20 anos,2009-03-01,1162,1897,410,631,1572,2528,4100
PRESTO,consulta externa,personas de 10 a 20 anos,2009-03-01,32,57,0,5,32,62,94
PUCARA,consulta externa,personas de 10 a 20 anos,2009-03-01,14,11,0,0,14,11,25
PUCARANI,consulta externa,personas de 10 a 20 anos,2009-03-01,67,114,7,5,74,119,193
PUERTO ACOSTA,consulta externa,personas de 10 a 20 anos,2009-03-01,87,91,21,4,108,95,203
PUERTO CARABUCO,consulta externa,personas de 10 a 20 anos,2009-03-01,138,45,2,5,140,50,190
PUERTO GONZALO MORENO,consulta externa,personas de 10 a 20 anos,2009-03-01,22,40,0,5,22,45,67
PUERTO PEREZ,consulta externa,personas de 10 a 20 anos,2009-03-01,11,18,0,0,11,18,29
PUERTO QUIJARRO,consulta externa,personas de 10 a 20 anos,2009-03-01,182,189,5,11,187,200,387
PUERTO RICO,consulta externa,personas de 10 a 20 anos,2009-03-01,92,70,6,7,98,77,175
PUERTO SILES,consulta externa,personas de 10 a 20 anos,2009-03-01,10,23,1,3,11,26,37
PUERTO SUAREZ,consulta externa,personas de 10 a 20 anos,2009-03-01,199,180,10,24,209,204,413
PUERTO VILLARROEL,consulta externa,personas de 10 a 20 anos,2009-03-01,376,434,12,130,388,564,952
PUNA,consulta externa,personas de 10 a 20 anos,2009-03-01,192,261,10,10,202,271,473
PUNATA,consulta externa,personas de 10 a 20 anos,2009-03-01,109,251,29,35,138,286,424
QUIABAYA,consulta externa,personas de 10 a 20 anos,2009-03-01,8,10,0,0,8,10,18
QUILLACOLLO,consulta externa,personas de 10 a 20 anos,2009-03-01,212,273,53,105,265,378,643
QUIME,consulta externa,personas de 10 a 20 anos,2009-03-01,34,39,3,1,37,40,77
QUIRUSILLAS,consulta externa,personas de 10 a 20 anos,2009-03-01,12,16,0,1,12,17,29
RAVELO,consulta externa,personas de 10 a 20 anos,2009-03-01,89,110,0,2,89,112,201
REYES,consulta externa,personas de 10 a 20 anos,2009-03-01,105,173,20,48,125,221,346
RIBERALTA,consulta externa,personas de 10 a 20 anos,2009-03-01,449,1302,47,289,496,1591,2087
ROBORE,consulta externa,personas de 10 a 20 anos,2009-03-01,122,196,11,13,133,209,342
RURRENABAQUE,consulta externa,personas de 10 a 20 anos,2009-03-01,115,155,7,13,122,168,290
SABAYA,consulta externa,personas de 10 a 20 anos,2009-03-01,11,19,1,0,12,19,31
SACABA,consulta externa,personas de 10 a 20 anos,2009-03-01,311,522,116,158,427,680,1107
SACABAMBA,consulta externa,personas de 10 a 20 anos,2009-03-01,11,7,0,0,11,7,18
SACACA,consulta externa,personas de 10 a 20 anos,2009-03-01,71,108,0,1,71,109,180
SAIPINA,consulta externa,personas de 10 a 20 anos,2009-03-01,16,33,1,2,17,35,52
SALINAS DE GARCI MENDOZA,consulta externa,personas de 10 a 20 anos,2009-03-01,33,52,1,0,34,52,86
SAMAIPATA,consulta externa,personas de 10 a 20 anos,2009-03-01,50,45,5,3,55,48,103
SAN AGUSTIN,consulta externa,personas de 10 a 20 anos,2009-03-01,9,28,0,0,9,28,37
SAN ANDRES,consulta externa,personas de 10 a 20 anos,2009-03-01,136,217,6,8,142,225,367
SAN ANDRES DE MACHACA,consulta externa,personas de 10 a 20 anos,2009-03-01,31,35,4,0,35,35,70
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 10 a 20 anos,2009-03-01,16,18,1,0,17,18,35
SAN ANTONIO DE LOMERIO,consulta externa,personas de 10 a 20 anos,2009-03-01,22,28,0,0,22,28,50
SAN BENITO,consulta externa,personas de 10 a 20 anos,2009-03-01,36,47,2,9,38,56,94
SAN BORJA,consulta externa,personas de 10 a 20 anos,2009-03-01,192,443,12,44,204,487,691
SAN BUENA VENTURA,consulta externa,personas de 10 a 20 anos,2009-03-01,61,73,6,4,67,77,144
SAN CARLOS,consulta externa,personas de 10 a 20 anos,2009-03-01,102,146,16,17,118,163,281
SAN IGNACIO,consulta externa,personas de 10 a 20 anos,2009-03-01,175,300,3,27,178,327,505
SAN IGNACIO DE VELASCO,consulta externa,personas de 10 a 20 anos,2009-03-01,297,475,36,84,333,559,892
SAN JAVIER(BNI),consulta externa,personas de 10 a 20 anos,2009-03-01,40,50,0,1,40,51,91
SAN JAVIER(STC),consulta externa,personas de 10 a 20 anos,2009-03-01,66,60,10,4,76,64,140
SAN JOAQUIN,consulta externa,personas de 10 a 20 anos,2009-03-01,159,228,55,61,214,289,503
SAN JOSE DE CHIQUITOS,consulta externa,personas de 10 a 20 anos,2009-03-01,112,215,16,29,128,244,372
SAN JUAN DE YAPACANI,consulta externa,personas de 10 a 20 anos,2009-03-01,63,76,8,15,71,91,162
SAN JULIAN,consulta externa,personas de 10 a 20 anos,2009-03-01,357,344,5,16,362,360,722
SAN LORENZO(PND),consulta externa,personas de 10 a 20 anos,2009-03-01,17,20,0,0,17,20,37
SAN LORENZO(TJA),consulta externa,personas de 10 a 20 anos,2009-03-01,236,400,3,1,239,401,640
SAN LUCAS,consulta externa,personas de 10 a 20 anos,2009-03-01,161,229,2,3,163,232,395
SAN MATIAS,consulta externa,personas de 10 a 20 anos,2009-03-01,32,47,1,2,33,49,82
SAN MIGUEL DE VELASCO,consulta externa,personas de 10 a 20 anos,2009-03-01,47,56,9,10,56,66,122
SAN PABLO DE LIPEZ,consulta externa,personas de 10 a 20 anos,2009-03-01,31,56,4,4,35,60,95
SAN PEDRO,consulta externa,personas de 10 a 20 anos,2009-03-01,249,282,10,9,259,291,550
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 10 a 20 anos,2009-03-01,68,72,0,0,68,72,140
SAN PEDRO DE CURAHUARA,consulta externa,personas de 10 a 20 anos,2009-03-01,82,84,1,4,83,88,171
SAN PEDRO DE QUEMES,consulta externa,personas de 10 a 20 anos,2009-03-01,3,13,0,0,3,13,16
SAN PEDRO DE TIQUINA,consulta externa,personas de 10 a 20 anos,2009-03-01,10,10,3,1,13,11,24
SAN PEDRO(PND),consulta externa,personas de 10 a 20 anos,2009-03-01,27,36,4,2,31,38,69
SAN RAFAEL,consulta externa,personas de 10 a 20 anos,2009-03-01,43,71,1,3,44,74,118
SAN RAMON,consulta externa,personas de 10 a 20 anos,2009-03-01,39,92,5,79,44,171,215
SAN RAMON,consulta externa,personas de 10 a 20 anos,2009-03-01,71,135,4,1,75,136,211
SANTA ANA,consulta externa,personas de 10 a 20 anos,2009-03-01,43,63,5,23,48,86,134
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 10 a 20 anos,2009-03-01,8784,11866,2192,3708,10976,15574,26550
SANTA ROSA,consulta externa,personas de 10 a 20 anos,2009-03-01,81,122,0,2,81,124,205
SANTA ROSA DEL SARA,consulta externa,personas de 10 a 20 anos,2009-03-01,69,121,1,3,70,124,194
SANTIAGO DE CALLAPA,consulta externa,personas de 10 a 20 anos,2009-03-01,22,22,0,0,22,22,44
SANTIAGO DE HUARI,consulta externa,personas de 10 a 20 anos,2009-03-01,33,42,12,26,45,68,113
SANTIAGO DE MACHACA,consulta externa,personas de 10 a 20 anos,2009-03-01,7,10,0,0,7,10,17
SANTIVAÑES,consulta externa,personas de 10 a 20 anos,2009-03-01,22,46,0,0,22,46,68
SANTUARIO DE QUILLACAS,consulta externa,personas de 10 a 20 anos,2009-03-01,10,10,1,2,11,12,23
SAPAHAQUI,consulta externa,personas de 10 a 20 anos,2009-03-01,46,38,5,2,51,40,91
SENA,consulta externa,personas de 10 a 20 anos,2009-03-01,35,18,0,0,35,18,53
SICA SICA (VILLA AROMA),consulta externa,personas de 10 a 20 anos,2009-03-01,39,62,0,0,39,62,101
SICAYA,consulta externa,personas de 10 a 20 anos,2009-03-01,3,13,0,0,3,13,16
SIPE SIPE,consulta externa,personas de 10 a 20 anos,2009-03-01,34,71,1,16,35,87,122
SOPACHUY,consulta externa,personas de 10 a 20 anos,2009-03-01,60,73,0,0,60,73,133
SORACACHI,consulta externa,personas de 10 a 20 anos,2009-03-01,31,29,3,6,34,35,69
SORATA,consulta externa,personas de 10 a 20 anos,2009-03-01,49,111,3,4,52,115,167
SUCRE,consulta externa,personas de 10 a 20 anos,2009-03-01,2848,4324,952,1303,3800,5627,9427
TACACHI,consulta externa,personas de 10 a 20 anos,2009-03-01,3,6,0,0,3,6,9
TACACOMA,consulta externa,personas de 10 a 20 anos,2009-03-01,19,34,0,2,19,36,55
TACOBAMBA,consulta externa,personas de 10 a 20 anos,2009-03-01,37,44,2,3,39,47,86
TACOPAYA,consulta externa,personas de 10 a 20 anos,2009-03-01,23,35,1,2,24,37,61
TAHUA,consulta externa,personas de 10 a 20 anos,2009-03-01,4,8,0,0,4,8,12
TAPACARI,consulta externa,personas de 10 a 20 anos,2009-03-01,57,101,4,17,61,118,179
TARABUCO,consulta externa,personas de 10 a 20 anos,2009-03-01,85,127,6,3,91,130,221
TARACO,consulta externa,personas de 10 a 20 anos,2009-03-01,17,17,0,2,17,19,36
TARATA,consulta externa,personas de 10 a 20 anos,2009-03-01,26,33,0,3,26,36,62
TARIJA,consulta externa,personas de 10 a 20 anos,2009-03-01,2127,3353,804,730,2931,4083,7014
TARVITA,consulta externa,personas de 10 a 20 anos,2009-03-01,79,141,3,1,82,142,224
TEOPONTE,consulta externa,personas de 10 a 20 anos,2009-03-01,29,46,3,1,32,47,79
TIAWANACU,consulta externa,personas de 10 a 20 anos,2009-03-01,39,51,0,3,39,54,93
TINGUIPAYA,consulta externa,personas de 10 a 20 anos,2009-03-01,48,130,0,1,48,131,179
TIPUANI,consulta externa,personas de 10 a 20 anos,2009-03-01,31,44,0,1,31,45,76
TIQUIPAYA,consulta externa,personas de 10 a 20 anos,2009-03-01,160,269,24,114,184,383,567
TIRAQUE (CBBA),consulta externa,personas de 10 a 20 anos,2009-03-01,174,314,13,30,187,344,531
TITO YUPANQUI (PARQUIPUJIO),consulta externa,personas de 10 a 20 anos,2009-03-01,8,10,1,0,9,10,19
TOCO,consulta externa,personas de 10 a 20 anos,2009-03-01,13,27,3,9,16,36,52
TODOS SANTOS,consulta externa,personas de 10 a 20 anos,2009-03-01,13,7,1,3,14,10,24
TOLATA,consulta externa,personas de 10 a 20 anos,2009-03-01,20,33,0,1,20,34,54
TOLEDO,consulta externa,personas de 10 a 20 anos,2009-03-01,32,53,7,5,39,58,97
TOMAVE,consulta externa,personas de 10 a 20 anos,2009-03-01,66,125,4,2,70,127,197
TOMINA,consulta externa,personas de 10 a 20 anos,2009-03-01,86,109,3,3,89,112,201
TORO TORO,consulta externa,personas de 10 a 20 anos,2009-03-01,35,76,0,0,35,76,111
TOTORA(CBBA),consulta externa,personas de 10 a 20 anos,2009-03-01,20,19,0,1,20,20,40
TOTORA(ORR),consulta externa,personas de 10 a 20 anos,2009-03-01,43,39,0,1,43,40,83
TRIGAL,consulta externa,personas de 10 a 20 anos,2009-03-01,25,19,0,0,25,19,44
TRINIDAD,consulta externa,personas de 10 a 20 anos,2009-03-01,637,1151,135,230,772,1381,2153
TUPIZA,consulta externa,personas de 10 a 20 anos,2009-03-01,309,520,13,34,322,554,876
TURCO,consulta externa,personas de 10 a 20 anos,2009-03-01,31,25,3,1,34,26,60
UMALA,consulta externa,personas de 10 a 20 anos,2009-03-01,15,25,0,0,15,25,40
UNCIA,consulta externa,personas de 10 a 20 anos,2009-03-01,368,324,50,61,418,385,803
URIONDO (A. CONCEPCION),consulta externa,personas de 10 a 20 anos,2009-03-01,188,308,4,21,192,329,521
URUBICHA,consulta externa,personas de 10 a 20 anos,2009-03-01,57,75,1,5,58,80,138
UYUNI,consulta externa,personas de 10 a 20 anos,2009-03-01,114,104,2,1,116,105,221
VACAS,consulta externa,personas de 10 a 20 anos,2009-03-01,28,51,1,3,29,54,83
VALLEGRANDE,consulta externa,personas de 10 a 20 anos,2009-03-01,63,143,42,44,105,187,292
VIACHA,consulta externa,personas de 10 a 20 anos,2009-03-01,152,294,34,82,186,376,562
VILA VILA,consulta externa,personas de 10 a 20 anos,2009-03-01,11,21,0,0,11,21,32
VILLA MONTES,consulta externa,personas de 10 a 20 anos,2009-03-01,505,688,37,39,542,727,1269
VILLA NUEVA (LOMA ALTA),consulta externa,personas de 10 a 20 anos,2009-03-01,18,36,3,4,21,40,61
VILLA RIVERO,consulta externa,personas de 10 a 20 anos,2009-03-01,10,23,0,4,10,27,37
VILLA SERRANO,consulta externa,personas de 10 a 20 anos,2009-03-01,32,89,1,1,33,90,123
VILLA TUNARI,consulta externa,personas de 10 a 20 anos,2009-03-01,348,699,16,18,364,717,1081
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,personas de 10 a 20 anos,2009-03-01,81,129,4,1,85,130,215
VILLAZON,consulta externa,personas de 10 a 20 anos,2009-03-01,303,562,46,80,349,642,991
VINTO,consulta externa,personas de 10 a 20 anos,2009-03-01,90,124,9,17,99,141,240
VITICHI,consulta externa,personas de 10 a 20 anos,2009-03-01,61,106,8,3,69,109,178
WALDO BALLIVIAN,consulta externa,personas de 10 a 20 anos,2009-03-01,16,13,0,2,16,15,31
WARNES,consulta externa,personas de 10 a 20 anos,2009-03-01,173,308,25,59,198,367,565
YACO,consulta externa,personas de 10 a 20 anos,2009-03-01,41,50,10,4,51,54,105
YACUIBA,consulta externa,personas de 10 a 20 anos,2009-03-01,1133,1656,148,251,1281,1907,3188
YAMPARAEZ,consulta externa,personas de 10 a 20 anos,2009-03-01,50,44,11,6,61,50,111
YANACACHI,consulta externa,personas de 10 a 20 anos,2009-03-01,21,34,0,0,21,34,55
YAPACANI,consulta externa,personas de 10 a 20 anos,2009-03-01,158,264,1,17,159,281,440
YOCALLA,consulta externa,personas de 10 a 20 anos,2009-03-01,23,53,0,1,23,54,77
YOTALA,consulta externa,personas de 10 a 20 anos,2009-03-01,94,85,3,13,97,98,195
YUNCHARA,consulta externa,personas de 10 a 20 anos,2009-03-01,75,116,0,0,75,116,191
ZUDAÑEZ,consulta externa,personas de 10 a 20 anos,2009-03-01,40,64,0,1,40,65,105
ACACIO,consulta externa,personas de 10 a 20 anos,2009-04-01,57,58,2,0,59,58,117
ACHACACHI,consulta externa,personas de 10 a 20 anos,2009-04-01,97,176,9,33,106,209,315
ACHOCALLA,consulta externa,personas de 10 a 20 anos,2009-04-01,17,36,2,0,19,36,55
AIQUILE,consulta externa,personas de 10 a 20 anos,2009-04-01,54,113,4,3,58,116,174
ALALAY,consulta externa,personas de 10 a 20 anos,2009-04-01,3,1,0,0,3,1,4
ALCALA,consulta externa,personas de 10 a 20 anos,2009-04-01,70,80,2,1,72,81,153
ANCORAIMES,consulta externa,personas de 10 a 20 anos,2009-04-01,35,50,4,10,39,60,99
ANDAMARCA,consulta externa,personas de 10 a 20 anos,2009-04-01,18,20,3,4,21,24,45
ANTEQUERA,consulta externa,personas de 10 a 20 anos,2009-04-01,15,19,0,0,15,19,34
ANZALDO,consulta externa,personas de 10 a 20 anos,2009-04-01,24,33,1,1,25,34,59
APOLO,consulta externa,personas de 10 a 20 anos,2009-04-01,28,35,0,0,28,35,63
ARAMPAMPA,consulta externa,personas de 10 a 20 anos,2009-04-01,15,19,1,0,16,19,35
ARANI,consulta externa,personas de 10 a 20 anos,2009-04-01,17,35,2,2,19,37,56
ARBIETO,consulta externa,personas de 10 a 20 anos,2009-04-01,24,27,2,0,26,27,53
ARQUE,consulta externa,personas de 10 a 20 anos,2009-04-01,23,46,0,0,23,46,69
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 20 anos,2009-04-01,73,126,18,15,91,141,232
ATOCHA,consulta externa,personas de 10 a 20 anos,2009-04-01,29,51,1,3,30,54,84
AUCAPATA,consulta externa,personas de 10 a 20 anos,2009-04-01,22,29,3,2,25,31,56
AYATA,consulta externa,personas de 10 a 20 anos,2009-04-01,51,55,1,2,52,57,109
AYO AYO,consulta externa,personas de 10 a 20 anos,2009-04-01,23,29,0,2,23,31,54
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 10 a 20 anos,2009-04-01,75,118,0,3,75,121,196
AZURDUY,consulta externa,personas de 10 a 20 anos,2009-04-01,22,56,0,1,22,57,79
BATALLAS,consulta externa,personas de 10 a 20 anos,2009-04-01,29,57,0,2,29,59,88
BAURES,consulta externa,personas de 10 a 20 anos,2009-04-01,31,45,17,6,48,51,99
BELEN DE ANDAMARCA,consulta externa,personas de 10 a 20 anos,2009-04-01,3,6,0,0,3,6,9
BELEN DE URMIRI,consulta externa,personas de 10 a 20 anos,2009-04-01,21,8,0,0,21,8,29
BELLA FLOR,consulta externa,personas de 10 a 20 anos,2009-04-01,8,11,1,2,9,13,22
BERMEJO,consulta externa,personas de 10 a 20 anos,2009-04-01,539,661,36,35,575,696,1271
BETANZOS,consulta externa,personas de 10 a 20 anos,2009-04-01,191,249,8,5,199,254,453
BOLIVAR,consulta externa,personas de 10 a 20 anos,2009-04-01,16,11,0,0,16,11,27
BOLPEBRA,consulta externa,personas de 10 a 20 anos,2009-04-01,51,21,1,2,52,23,75
BOYUIBE,consulta externa,personas de 10 a 20 anos,2009-04-01,42,36,4,7,46,43,89
BUENA VISTA,consulta externa,personas de 10 a 20 anos,2009-04-01,58,93,0,0,58,93,151
CABEZAS,consulta externa,personas de 10 a 20 anos,2009-04-01,152,195,10,12,162,207,369
CAIROMA,consulta externa,personas de 10 a 20 anos,2009-04-01,38,53,0,0,38,53,91
"CAIZA ""D""",consulta externa,personas de 10 a 20 anos,2009-04-01,126,145,1,3,127,148,275
CAJUATA,consulta externa,personas de 10 a 20 anos,2009-04-01,32,69,0,9,32,78,110
CALACOTO,consulta externa,personas de 10 a 20 anos,2009-04-01,29,33,0,1,29,34,63
CALAMARCA,consulta externa,personas de 10 a 20 anos,2009-04-01,47,67,7,3,54,70,124
CAMARGO,consulta externa,personas de 10 a 20 anos,2009-04-01,56,82,0,3,56,85,141
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 10 a 20 anos,2009-04-01,13,43,1,2,14,45,59
CAMIRI,consulta externa,personas de 10 a 20 anos,2009-04-01,356,674,20,158,376,832,1208
CAPINOTA,consulta externa,personas de 10 a 20 anos,2009-04-01,69,71,14,29,83,100,183
CAQUIAVIRI,consulta externa,personas de 10 a 20 anos,2009-04-01,31,40,0,0,31,40,71
CARACOLLO,consulta externa,personas de 10 a 20 anos,2009-04-01,64,80,0,1,64,81,145
CARANAVI,consulta externa,personas de 10 a 20 anos,2009-04-01,252,366,5,9,257,375,632
CARANGAS,consulta externa,personas de 10 a 20 anos,2009-04-01,2,5,0,0,2,5,7
CARAPARI,consulta externa,personas de 10 a 20 anos,2009-04-01,270,319,1,0,271,319,590
CARIPUYO,consulta externa,personas de 10 a 20 anos,2009-04-01,43,54,0,0,43,54,97
CARMEN RIVERO TORREZ,consulta externa,personas de 10 a 20 anos,2009-04-01,19,21,2,3,21,24,45
CATACORA,consulta externa,personas de 10 a 20 anos,2009-04-01,6,9,1,1,7,10,17
CHACARILLA,consulta externa,personas de 10 a 20 anos,2009-04-01,2,4,0,0,2,4,6
CHALLAPATA,consulta externa,personas de 10 a 20 anos,2009-04-01,72,79,10,14,82,93,175
CHAQUI,consulta externa,personas de 10 a 20 anos,2009-04-01,49,70,0,1,49,71,120
CHARAGUA,consulta externa,personas de 10 a 20 anos,2009-04-01,118,154,2,4,120,158,278
CHARAÑA,consulta externa,personas de 10 a 20 anos,2009-04-01,7,20,0,1,7,21,28
CHAYANTA,consulta externa,personas de 10 a 20 anos,2009-04-01,61,98,2,7,63,105,168
CHIMORE,consulta externa,personas de 10 a 20 anos,2009-04-01,88,95,4,5,92,100,192
CHIPAYA,consulta externa,personas de 10 a 20 anos,2009-04-01,7,5,0,0,7,5,12
CHOQUE COTA,consulta externa,personas de 10 a 20 anos,2009-04-01,27,36,0,1,27,37,64
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 10 a 20 anos,2009-04-01,79,88,8,5,87,93,180
CHUMA,consulta externa,personas de 10 a 20 anos,2009-04-01,86,83,0,1,86,84,170
CLIZA,consulta externa,personas de 10 a 20 anos,2009-04-01,39,56,3,6,42,62,104
COBIJA,consulta externa,personas de 10 a 20 anos,2009-04-01,585,566,164,97,749,663,1412
COCHABAMBA,consulta externa,personas de 10 a 20 anos,2009-04-01,4003,5318,2528,3154,6531,8472,15003
COIPASA,consulta externa,personas de 10 a 20 anos,2009-04-01,2,3,0,0,2,3,5
COLCAPIRHUA,consulta externa,personas de 10 a 20 anos,2009-04-01,142,135,106,66,248,201,449
"COLCHA ""K""",consulta externa,personas de 10 a 20 anos,2009-04-01,4,9,0,0,4,9,13
COLLANA,consulta externa,personas de 10 a 20 anos,2009-04-01,8,10,0,0,8,10,18
COLOMI,consulta externa,personas de 10 a 20 anos,2009-04-01,36,41,2,3,38,44,82
COLPA BELGICA,consulta externa,personas de 10 a 20 anos,2009-04-01,132,139,66,53,198,192,390
COLQUECHACA,consulta externa,personas de 10 a 20 anos,2009-04-01,117,178,0,1,117,179,296
COLQUENCHA,consulta externa,personas de 10 a 20 anos,2009-04-01,68,81,5,4,73,85,158
COLQUIRI,consulta externa,personas de 10 a 20 anos,2009-04-01,40,73,1,2,41,75,116
COMANCHE,consulta externa,personas de 10 a 20 anos,2009-04-01,18,26,0,1,18,27,45
COMARAPA,consulta externa,personas de 10 a 20 anos,2009-04-01,97,156,11,13,108,169,277
COMBAYA,consulta externa,personas de 10 a 20 anos,2009-04-01,10,13,0,0,10,13,23
CONCEPCION,consulta externa,personas de 10 a 20 anos,2009-04-01,16,27,0,0,16,27,43
COPACABANA,consulta externa,personas de 10 a 20 anos,2009-04-01,44,34,5,1,49,35,84
CORIPATA,consulta externa,personas de 10 a 20 anos,2009-04-01,42,85,1,4,43,89,132
CORO CORO,consulta externa,personas de 10 a 20 anos,2009-04-01,19,43,0,0,19,43,62
COROICO,consulta externa,personas de 10 a 20 anos,2009-04-01,72,109,20,22,92,131,223
CORQUE,consulta externa,personas de 10 a 20 anos,2009-04-01,39,51,1,2,40,53,93
COTAGAITA,consulta externa,personas de 10 a 20 anos,2009-04-01,238,291,14,16,252,307,559
COTOCA,consulta externa,personas de 10 a 20 anos,2009-04-01,144,239,6,12,150,251,401
CUATRO CAÑADAS,consulta externa,personas de 10 a 20 anos,2009-04-01,123,185,12,16,135,201,336
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 10 a 20 anos,2009-04-01,9,10,1,3,10,13,23
CUEVO,consulta externa,personas de 10 a 20 anos,2009-04-01,28,41,3,4,31,45,76
CULPINA,consulta externa,personas de 10 a 20 anos,2009-04-01,80,104,0,1,80,105,185
CURAHUARA DE CARANGAS,consulta externa,personas de 10 a 20 anos,2009-04-01,30,28,0,0,30,28,58
CURVA,consulta externa,personas de 10 a 20 anos,2009-04-01,6,3,0,0,6,3,9
DESAGUADERO,consulta externa,personas de 10 a 20 anos,2009-04-01,14,20,0,0,14,20,34
EL ALTO,consulta externa,personas de 10 a 20 anos,2009-04-01,3683,5275,928,1386,4611,6661,11272
EL CHORO,consulta externa,personas de 10 a 20 anos,2009-04-01,21,38,0,0,21,38,59
EL PUENTE(STC),consulta externa,personas de 10 a 20 anos,2009-04-01,45,69,3,1,48,70,118
EL PUENTE(TJA),consulta externa,personas de 10 a 20 anos,2009-04-01,117,185,2,15,119,200,319
EL TORNO,consulta externa,personas de 10 a 20 anos,2009-04-01,257,398,23,19,280,417,697
EL VILLAR,consulta externa,personas de 10 a 20 anos,2009-04-01,35,33,1,0,36,33,69
ENTRE RIOS,consulta externa,personas de 10 a 20 anos,2009-04-01,98,92,7,13,105,105,210
ENTRE RIOS,consulta externa,personas de 10 a 20 anos,2009-04-01,355,456,11,5,366,461,827
ESCARA,consulta externa,personas de 10 a 20 anos,2009-04-01,0,1,0,0,0,1,1
ESMERALDA,consulta externa,personas de 10 a 20 anos,2009-04-01,1,4,0,0,1,4,5
EUCALIPTUS,consulta externa,personas de 10 a 20 anos,2009-04-01,8,21,0,1,8,22,30
EUREKA (SANTOS MERCADO),consulta externa,personas de 10 a 20 anos,2009-04-01,7,12,0,0,7,12,19
EXALTACION,consulta externa,personas de 10 a 20 anos,2009-04-01,15,42,0,3,15,45,60
FERNANDEZ ALONSO,consulta externa,personas de 10 a 20 anos,2009-04-01,32,81,2,5,34,86,120
FILADELFIA,consulta externa,personas de 10 a 20 anos,2009-04-01,12,22,1,1,13,23,36
GENERAL SAAVEDRA,consulta externa,personas de 10 a 20 anos,2009-04-01,58,91,1,1,59,92,151
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 10 a 20 anos,2009-04-01,43,56,4,1,47,57,104
GUANAY,consulta externa,personas de 10 a 20 anos,2009-04-01,20,59,0,1,20,60,80
GUAQUI,consulta externa,personas de 10 a 20 anos,2009-04-01,7,22,0,1,7,23,30
GUAYARAMERIN,consulta externa,personas de 10 a 20 anos,2009-04-01,414,820,149,234,563,1054,1617
GUTIERREZ,consulta externa,personas de 10 a 20 anos,2009-04-01,54,95,0,1,54,96,150
HUACARETA,consulta externa,personas de 10 a 20 anos,2009-04-01,77,79,9,2,86,81,167
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 10 a 20 anos,2009-04-01,20,33,0,2,20,35,55
HUACHACALLA,consulta externa,personas de 10 a 20 anos,2009-04-01,10,11,3,0,13,11,24
HUANUNI,consulta externa,personas de 10 a 20 anos,2009-04-01,179,254,12,41,191,295,486
HUARACAJE,consulta externa,personas de 10 a 20 anos,2009-04-01,17,37,1,0,18,37,55
HUAYLLAMARCA,consulta externa,personas de 10 a 20 anos,2009-04-01,14,21,1,3,15,24,39
ICHOCA,consulta externa,personas de 10 a 20 anos,2009-04-01,15,18,1,0,16,18,34
ICLA,consulta externa,personas de 10 a 20 anos,2009-04-01,73,81,2,3,75,84,159
INCAHUASI,consulta externa,personas de 10 a 20 anos,2009-04-01,89,142,1,0,90,142,232
INGAVI (HUMAITA),consulta externa,personas de 10 a 20 anos,2009-04-01,10,24,2,0,12,24,36
