,group,variable,month,MENORES DE 5 AÑOS NUEVOS,MENORES DE 5 AÑOS NUEVOS,MENORES DE 5 AÑOS REPETIDOS,MENORES DE 5 AÑOS REPETIDOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
ENTRE RIOS,consulta externa,menores de 5 anos,2009-10-01,546,489,22,13,568,502,1070
ESCARA,consulta externa,menores de 5 anos,2009-10-01,3,0,0,0,3,0,3
ESMERALDA,consulta externa,menores de 5 anos,2009-10-01,2,2,0,0,2,2,4
EUCALIPTUS,consulta externa,menores de 5 anos,2009-10-01,150,113,9,9,159,122,281
EUREKA (SANTOS MERCADO),consulta externa,menores de 5 anos,2009-10-01,22,22,2,3,24,25,49
EXALTACION,consulta externa,menores de 5 anos,2009-10-01,89,85,4,5,93,90,183
FERNANDEZ ALONSO,consulta externa,menores de 5 anos,2009-10-01,498,408,8,14,506,422,928
FILADELFIA,consulta externa,menores de 5 anos,2009-10-01,163,121,3,0,166,121,287
GENERAL SAAVEDRA,consulta externa,menores de 5 anos,2009-10-01,507,500,6,4,513,504,1017
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 5 anos,2009-10-01,176,129,26,23,202,152,354
GUANAY,consulta externa,menores de 5 anos,2009-10-01,190,193,7,10,197,203,400
GUAQUI,consulta externa,menores de 5 anos,2009-10-01,33,52,8,5,41,57,98
GUAYARAMERIN,consulta externa,menores de 5 anos,2009-10-01,1299,1150,64,65,1363,1215,2578
GUTIERREZ,consulta externa,menores de 5 anos,2009-10-01,565,546,8,5,573,551,1124
HUACARETA,consulta externa,menores de 5 anos,2009-10-01,250,231,20,20,270,251,521
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 5 anos,2009-10-01,75,86,0,1,75,87,162
HUACHACALLA,consulta externa,menores de 5 anos,2009-10-01,9,11,2,0,11,11,22
HUANUNI,consulta externa,menores de 5 anos,2009-10-01,357,323,51,42,408,365,773
HUARACAJE,consulta externa,menores de 5 anos,2009-10-01,106,71,4,4,110,75,185
HUAYLLAMARCA,consulta externa,menores de 5 anos,2009-10-01,35,31,1,0,36,31,67
ICHOCA,consulta externa,menores de 5 anos,2009-10-01,62,75,4,2,66,77,143
ICLA,consulta externa,menores de 5 anos,2009-10-01,363,378,4,3,367,381,748
INCAHUASI,consulta externa,menores de 5 anos,2009-10-01,604,588,54,34,658,622,1280
INGAVI (HUMAITA),consulta externa,menores de 5 anos,2009-10-01,77,70,4,6,81,76,157
INQUISIVI,consulta externa,menores de 5 anos,2009-10-01,144,105,0,1,144,106,250
IRUPANA (VILLA DE LANZA),consulta externa,menores de 5 anos,2009-10-01,287,263,6,5,293,268,561
IXIAMAS,consulta externa,menores de 5 anos,2009-10-01,319,353,19,20,338,373,711
JESUS DE MACHACA,consulta externa,menores de 5 anos,2009-10-01,124,128,2,5,126,133,259
LA ASUNTA,consulta externa,menores de 5 anos,2009-10-01,847,506,7,11,854,517,1371
LA GUARDIA,consulta externa,menores de 5 anos,2009-10-01,1980,1948,71,57,2051,2005,4056
LA PAZ,consulta externa,menores de 5 anos,2009-10-01,15839,14566,3531,3541,19370,18107,37477
LA RIVERA,consulta externa,menores de 5 anos,2009-10-01,5,6,0,0,5,6,11
LAGUNILLAS,consulta externa,menores de 5 anos,2009-10-01,294,233,5,5,299,238,537
LAJA,consulta externa,menores de 5 anos,2009-10-01,78,98,9,5,87,103,190
LAS CARRERAS,consulta externa,menores de 5 anos,2009-10-01,88,80,5,4,93,84,177
LICOMA PAMPA,consulta externa,menores de 5 anos,2009-10-01,41,36,2,1,43,37,80
LLALLAGUA,consulta externa,menores de 5 anos,2009-10-01,849,805,43,42,892,847,1739
LLICA,consulta externa,menores de 5 anos,2009-10-01,59,72,2,1,61,73,134
LORETO,consulta externa,menores de 5 anos,2009-10-01,280,153,6,8,286,161,447
LURIBAY,consulta externa,menores de 5 anos,2009-10-01,86,93,3,1,89,94,183
MACHACAMARCA,consulta externa,menores de 5 anos,2009-10-01,64,56,0,1,64,57,121
MACHARETI,consulta externa,menores de 5 anos,2009-10-01,322,269,14,8,336,277,613
MAGDALENA,consulta externa,menores de 5 anos,2009-10-01,207,145,3,7,210,152,362
MAIRANA,consulta externa,menores de 5 anos,2009-10-01,172,112,2,0,174,112,286
MALLA,consulta externa,menores de 5 anos,2009-10-01,44,38,0,0,44,38,82
MAPIRI,consulta externa,menores de 5 anos,2009-10-01,308,246,3,2,311,248,559
MECAPACA,consulta externa,menores de 5 anos,2009-10-01,120,121,7,11,127,132,259
MINEROS,consulta externa,menores de 5 anos,2009-10-01,471,366,1,4,472,370,842
MIZQUE,consulta externa,menores de 5 anos,2009-10-01,441,396,47,54,488,450,938
MOCOMOCO,consulta externa,menores de 5 anos,2009-10-01,108,100,7,3,115,103,218
MOJINETE,consulta externa,menores de 5 anos,2009-10-01,16,14,0,0,16,14,30
MOJOCOYA,consulta externa,menores de 5 anos,2009-10-01,132,135,3,10,135,145,280
MONTEAGUDO,consulta externa,menores de 5 anos,2009-10-01,687,667,99,95,786,762,1548
MONTERO,consulta externa,menores de 5 anos,2009-10-01,2766,2568,609,304,3375,2872,6247
MORO MORO,consulta externa,menores de 5 anos,2009-10-01,39,42,2,4,41,46,87
MOROCHATA,consulta externa,menores de 5 anos,2009-10-01,309,304,250,263,559,567,1126
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,menores de 5 anos,2009-10-01,90,79,1,0,91,79,170
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,menores de 5 anos,2009-10-01,34,58,0,0,34,58,92
OCURI,consulta externa,menores de 5 anos,2009-10-01,536,446,10,6,546,452,998
OKINAWA,consulta externa,menores de 5 anos,2009-10-01,332,361,11,12,343,373,716
OMEREQUE,consulta externa,menores de 5 anos,2009-10-01,149,142,3,2,152,144,296
ORURO,consulta externa,menores de 5 anos,2009-10-01,5003,4604,603,525,5606,5129,10735
PADCAYA,consulta externa,menores de 5 anos,2009-10-01,597,512,21,17,618,529,1147
PADILLA,consulta externa,menores de 5 anos,2009-10-01,297,305,1,2,298,307,605
PAILON,consulta externa,menores de 5 anos,2009-10-01,515,466,32,21,547,487,1034
PALCA,consulta externa,menores de 5 anos,2009-10-01,87,103,1,1,88,104,192
PALOS BLANCOS,consulta externa,menores de 5 anos,2009-10-01,521,484,24,21,545,505,1050
PAMPA AULLAGAS,consulta externa,menores de 5 anos,2009-10-01,41,39,2,0,43,39,82
PAMPA GRANDE,consulta externa,menores de 5 anos,2009-10-01,131,100,2,2,133,102,235
PAPEL PAMPA,consulta externa,menores de 5 anos,2009-10-01,103,135,4,10,107,145,252
PASORAPA,consulta externa,menores de 5 anos,2009-10-01,119,92,3,5,122,97,219
PATACAMAYA,consulta externa,menores de 5 anos,2009-10-01,389,332,15,11,404,343,747
PAZÑA,consulta externa,menores de 5 anos,2009-10-01,109,104,5,1,114,105,219
PELECHUCO,consulta externa,menores de 5 anos,2009-10-01,109,70,3,0,112,70,182
POCOATA,consulta externa,menores de 5 anos,2009-10-01,454,420,6,5,460,425,885
POCONA,consulta externa,menores de 5 anos,2009-10-01,171,168,5,3,176,171,347
POJO (CBBA),consulta externa,menores de 5 anos,2009-10-01,238,208,20,18,258,226,484
POOPO,consulta externa,menores de 5 anos,2009-10-01,98,63,5,1,103,64,167
PORCO,consulta externa,menores de 5 anos,2009-10-01,266,198,0,0,266,198,464
POROMA,consulta externa,menores de 5 anos,2009-10-01,458,437,7,1,465,438,903
PORONGO,consulta externa,menores de 5 anos,2009-10-01,207,177,113,98,320,275,595
PORTACHUELO,consulta externa,menores de 5 anos,2009-10-01,493,537,30,22,523,559,1082
PORVENIR,consulta externa,menores de 5 anos,2009-10-01,237,138,3,2,240,140,380
POSTRER VALLE,consulta externa,menores de 5 anos,2009-10-01,21,29,1,1,22,30,52
POTOSI,consulta externa,menores de 5 anos,2009-10-01,3479,3144,330,312,3809,3456,7265
PRESTO,consulta externa,menores de 5 anos,2009-10-01,383,302,2,0,385,302,687
PUCARA,consulta externa,menores de 5 anos,2009-10-01,30,27,5,1,35,28,63
PUCARANI,consulta externa,menores de 5 anos,2009-10-01,192,205,3,2,195,207,402
PUERTO ACOSTA,consulta externa,menores de 5 anos,2009-10-01,149,130,17,17,166,147,313
PUERTO CARABUCO,consulta externa,menores de 5 anos,2009-10-01,107,92,3,2,110,94,204
PUERTO GONZALO MORENO,consulta externa,menores de 5 anos,2009-10-01,169,148,2,1,171,149,320
PUERTO PEREZ,consulta externa,menores de 5 anos,2009-10-01,33,34,2,1,35,35,70
PUERTO QUIJARRO,consulta externa,menores de 5 anos,2009-10-01,303,283,7,0,310,283,593
PUERTO RICO,consulta externa,menores de 5 anos,2009-10-01,130,145,1,2,131,147,278
PUERTO SILES,consulta externa,menores de 5 anos,2009-10-01,41,50,6,13,47,63,110
PUERTO SUAREZ,consulta externa,menores de 5 anos,2009-10-01,311,295,37,47,348,342,690
PUERTO VILLARROEL,consulta externa,menores de 5 anos,2009-10-01,1635,1433,98,77,1733,1510,3243
PUNA,consulta externa,menores de 5 anos,2009-10-01,786,710,28,14,814,724,1538
PUNATA,consulta externa,menores de 5 anos,2009-10-01,647,529,45,35,692,564,1256
QUIABAYA,consulta externa,menores de 5 anos,2009-10-01,24,19,0,0,24,19,43
QUILLACOLLO,consulta externa,menores de 5 anos,2009-10-01,977,911,519,497,1496,1408,2904
QUIME,consulta externa,menores de 5 anos,2009-10-01,141,147,3,1,144,148,292
QUIRUSILLAS,consulta externa,menores de 5 anos,2009-10-01,48,35,2,2,50,37,87
RAVELO,consulta externa,menores de 5 anos,2009-10-01,522,489,2,2,524,491,1015
REYES,consulta externa,menores de 5 anos,2009-10-01,271,298,8,2,279,300,579
RIBERALTA,consulta externa,menores de 5 anos,2009-10-01,2603,2353,400,287,3003,2640,5643
ROBORE,consulta externa,menores de 5 anos,2009-10-01,500,500,10,6,510,506,1016
RURRENABAQUE,consulta externa,menores de 5 anos,2009-10-01,343,355,36,10,379,365,744
SABAYA,consulta externa,menores de 5 anos,2009-10-01,66,66,0,4,66,70,136
SACABA,consulta externa,menores de 5 anos,2009-10-01,1576,1476,374,306,1950,1782,3732
SACABAMBA,consulta externa,menores de 5 anos,2009-10-01,143,141,3,5,146,146,292
SACACA,consulta externa,menores de 5 anos,2009-10-01,609,596,7,3,616,599,1215
SAIPINA,consulta externa,menores de 5 anos,2009-10-01,83,87,7,3,90,90,180
SALINAS DE GARCI MENDOZA,consulta externa,menores de 5 anos,2009-10-01,206,197,1,1,207,198,405
SAMAIPATA,consulta externa,menores de 5 anos,2009-10-01,113,96,2,1,115,97,212
SAN AGUSTIN,consulta externa,menores de 5 anos,2009-10-01,52,48,1,0,53,48,101
SAN ANDRES,consulta externa,menores de 5 anos,2009-10-01,364,347,17,17,381,364,745
SAN ANDRES DE MACHACA,consulta externa,menores de 5 anos,2009-10-01,45,44,6,11,51,55,106
SAN ANTONIO DE ESMORUCO,consulta externa,menores de 5 anos,2009-10-01,70,63,11,1,81,64,145
SAN ANTONIO DE LOMERIO,consulta externa,menores de 5 anos,2009-10-01,132,114,3,1,135,115,250
SAN BENITO,consulta externa,menores de 5 anos,2009-10-01,239,211,84,77,323,288,611
SAN BORJA,consulta externa,menores de 5 anos,2009-10-01,746,681,58,49,804,730,1534
SAN BUENA VENTURA,consulta externa,menores de 5 anos,2009-10-01,350,457,9,15,359,472,831
SAN CARLOS,consulta externa,menores de 5 anos,2009-10-01,450,391,14,13,464,404,868
SAN IGNACIO,consulta externa,menores de 5 anos,2009-10-01,844,879,55,45,899,924,1823
SAN IGNACIO DE VELASCO,consulta externa,menores de 5 anos,2009-10-01,1153,1218,77,71,1230,1289,2519
SAN JAVIER(BNI),consulta externa,menores de 5 anos,2009-10-01,81,70,2,0,83,70,153
SAN JAVIER(STC),consulta externa,menores de 5 anos,2009-10-01,143,140,7,11,150,151,301
SAN JOAQUIN,consulta externa,menores de 5 anos,2009-10-01,128,107,6,4,134,111,245
SAN JOSE DE CHIQUITOS,consulta externa,menores de 5 anos,2009-10-01,454,483,112,102,566,585,1151
SAN JUAN DE YAPACANI,consulta externa,menores de 5 anos,2009-10-01,378,374,19,19,397,393,790
SAN JULIAN,consulta externa,menores de 5 anos,2009-10-01,856,823,28,27,884,850,1734
SAN LORENZO(PND),consulta externa,menores de 5 anos,2009-10-01,125,112,3,1,128,113,241
SAN LORENZO(TJA),consulta externa,menores de 5 anos,2009-10-01,469,438,19,13,488,451,939
SAN LUCAS,consulta externa,menores de 5 anos,2009-10-01,890,781,12,12,902,793,1695
SAN MATIAS,consulta externa,menores de 5 anos,2009-10-01,361,334,8,6,369,340,709
SAN MIGUEL DE VELASCO,consulta externa,menores de 5 anos,2009-10-01,239,228,37,35,276,263,539
SAN PABLO DE LIPEZ,consulta externa,menores de 5 anos,2009-10-01,79,56,11,10,90,66,156
SAN PEDRO,consulta externa,menores de 5 anos,2009-10-01,474,527,28,18,502,545,1047
SAN PEDRO DE BUENA VISTA,consulta externa,menores de 5 anos,2009-10-01,586,522,3,1,589,523,1112
SAN PEDRO DE CURAHUARA,consulta externa,menores de 5 anos,2009-10-01,99,94,1,2,100,96,196
SAN PEDRO DE QUEMES,consulta externa,menores de 5 anos,2009-10-01,7,18,0,0,7,18,25
SAN PEDRO DE TIQUINA,consulta externa,menores de 5 anos,2009-10-01,28,37,0,0,28,37,65
SAN PEDRO(PND),consulta externa,menores de 5 anos,2009-10-01,37,35,1,0,38,35,73
SAN RAFAEL,consulta externa,menores de 5 anos,2009-10-01,255,184,8,14,263,198,461
SAN RAMON,consulta externa,menores de 5 anos,2009-10-01,173,199,3,4,176,203,379
SAN RAMON,consulta externa,menores de 5 anos,2009-10-01,168,170,2,1,170,171,341
SANTA ANA,consulta externa,menores de 5 anos,2009-10-01,227,201,18,7,245,208,453
SANTA CRUZ DE LA SIERRA,consulta externa,menores de 5 anos,2009-10-01,21170,19183,2983,2879,24153,22062,46215
SANTA ROSA,consulta externa,menores de 5 anos,2009-10-01,252,196,0,1,252,197,449
SANTA ROSA DEL SARA,consulta externa,menores de 5 anos,2009-10-01,466,512,11,5,477,517,994
SANTIAGO DE CALLAPA,consulta externa,menores de 5 anos,2009-10-01,40,57,1,1,41,58,99
SANTIAGO DE HUARI,consulta externa,menores de 5 anos,2009-10-01,205,182,15,19,220,201,421
SANTIAGO DE MACHACA,consulta externa,menores de 5 anos,2009-10-01,29,30,0,0,29,30,59
SANTUARIO DE QUILLACAS,consulta externa,menores de 5 anos,2009-10-01,46,52,1,2,47,54,101
SAPAHAQUI,consulta externa,menores de 5 anos,2009-10-01,154,134,1,3,155,137,292
SENA,consulta externa,menores de 5 anos,2009-10-01,125,114,0,1,125,115,240
SICA SICA (VILLA AROMA),consulta externa,menores de 5 anos,2009-10-01,238,205,7,2,245,207,452
SICAYA,consulta externa,menores de 5 anos,2009-10-01,82,51,1,0,83,51,134
SIPE SIPE,consulta externa,menores de 5 anos,2009-10-01,389,353,290,254,679,607,1286
SOPACHUY,consulta externa,menores de 5 anos,2009-10-01,212,154,6,0,218,154,372
SORACACHI,consulta externa,menores de 5 anos,2009-10-01,166,157,7,4,173,161,334
SORATA,consulta externa,menores de 5 anos,2009-10-01,256,387,21,32,277,419,696
SUCRE,consulta externa,menores de 5 anos,2009-10-01,6430,6173,906,889,7336,7062,14398
TACACHI,consulta externa,menores de 5 anos,2009-10-01,19,10,2,4,21,14,35
TACACOMA,consulta externa,menores de 5 anos,2009-10-01,120,116,4,2,124,118,242
TACOBAMBA,consulta externa,menores de 5 anos,2009-10-01,161,149,2,0,163,149,312
TACOPAYA,consulta externa,menores de 5 anos,2009-10-01,113,89,3,3,116,92,208
TAHUA,consulta externa,menores de 5 anos,2009-10-01,31,21,1,1,32,22,54
TAPACARI,consulta externa,menores de 5 anos,2009-10-01,660,627,25,30,685,657,1342
TARABUCO,consulta externa,menores de 5 anos,2009-10-01,544,532,1,2,545,534,1079
TARACO,consulta externa,menores de 5 anos,2009-10-01,35,19,4,1,39,20,59
TARATA,consulta externa,menores de 5 anos,2009-10-01,66,63,121,164,187,227,414
TARIJA,consulta externa,menores de 5 anos,2009-10-01,4959,5045,581,583,5540,5628,11168
TARVITA,consulta externa,menores de 5 anos,2009-10-01,669,605,5,6,674,611,1285
TEOPONTE,consulta externa,menores de 5 anos,2009-10-01,213,147,18,18,231,165,396
TIAWANACU,consulta externa,menores de 5 anos,2009-10-01,115,99,2,2,117,101,218
TINGUIPAYA,consulta externa,menores de 5 anos,2009-10-01,374,324,18,13,392,337,729
TIPUANI,consulta externa,menores de 5 anos,2009-10-01,245,225,16,4,261,229,490
TIQUIPAYA,consulta externa,menores de 5 anos,2009-10-01,1027,937,361,395,1388,1332,2720
TIRAQUE (CBBA),consulta externa,menores de 5 anos,2009-10-01,980,953,122,95,1102,1048,2150
TITO YUPANQUI (PARQUIPUJIO),consulta externa,menores de 5 anos,2009-10-01,14,11,1,0,15,11,26
TOCO,consulta externa,menores de 5 anos,2009-10-01,120,82,7,1,127,83,210
TODOS SANTOS,consulta externa,menores de 5 anos,2009-10-01,9,11,0,0,9,11,20
TOLATA,consulta externa,menores de 5 anos,2009-10-01,137,74,9,9,146,83,229
TOLEDO,consulta externa,menores de 5 anos,2009-10-01,239,92,13,5,252,97,349
TOMAVE,consulta externa,menores de 5 anos,2009-10-01,219,263,4,5,223,268,491
TOMINA,consulta externa,menores de 5 anos,2009-10-01,386,367,1,2,387,369,756
TORO TORO,consulta externa,menores de 5 anos,2009-10-01,270,293,5,5,275,298,573
TOTORA(CBBA),consulta externa,menores de 5 anos,2009-10-01,233,201,0,0,233,201,434
TOTORA(ORR),consulta externa,menores de 5 anos,2009-10-01,87,94,4,4,91,98,189
TRIGAL,consulta externa,menores de 5 anos,2009-10-01,57,41,0,2,57,43,100
TRINIDAD,consulta externa,menores de 5 anos,2009-10-01,2273,2088,309,290,2582,2378,4960
TUPIZA,consulta externa,menores de 5 anos,2009-10-01,936,790,54,41,990,831,1821
TURCO,consulta externa,menores de 5 anos,2009-10-01,119,79,8,3,127,82,209
UMALA,consulta externa,menores de 5 anos,2009-10-01,141,102,41,32,182,134,316
UNCIA,consulta externa,menores de 5 anos,2009-10-01,608,550,1,0,609,550,1159
URIONDO (A. CONCEPCION),consulta externa,menores de 5 anos,2009-10-01,466,465,21,23,487,488,975
URUBICHA,consulta externa,menores de 5 anos,2009-10-01,222,178,5,2,227,180,407
UYUNI,consulta externa,menores de 5 anos,2009-10-01,387,365,12,6,399,371,770
VACAS,consulta externa,menores de 5 anos,2009-10-01,144,128,7,7,151,135,286
VALLEGRANDE,consulta externa,menores de 5 anos,2009-10-01,171,183,57,59,228,242,470
VIACHA,consulta externa,menores de 5 anos,2009-10-01,679,570,194,148,873,718,1591
VILA VILA,consulta externa,menores de 5 anos,2009-10-01,83,98,3,3,86,101,187
VILLA MONTES,consulta externa,menores de 5 anos,2009-10-01,691,655,66,69,757,724,1481
VILLA NUEVA (LOMA ALTA),consulta externa,menores de 5 anos,2009-10-01,101,107,12,6,113,113,226
VILLA RIVERO,consulta externa,menores de 5 anos,2009-10-01,106,61,12,3,118,64,182
VILLA SERRANO,consulta externa,menores de 5 anos,2009-10-01,399,409,3,3,402,412,814
VILLA TUNARI,consulta externa,menores de 5 anos,2009-10-01,1925,1824,198,164,2123,1988,4111
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,menores de 5 anos,2009-10-01,274,285,13,9,287,294,581
VILLAZON,consulta externa,menores de 5 anos,2009-10-01,842,707,88,59,930,766,1696
VINTO,consulta externa,menores de 5 anos,2009-10-01,594,507,245,203,839,710,1549
VITICHI,consulta externa,menores de 5 anos,2009-10-01,188,182,7,12,195,194,389
WALDO BALLIVIAN,consulta externa,menores de 5 anos,2009-10-01,31,44,0,0,31,44,75
WARNES,consulta externa,menores de 5 anos,2009-10-01,1413,1306,107,115,1520,1421,2941
YACO,consulta externa,menores de 5 anos,2009-10-01,117,128,5,5,122,133,255
YACUIBA,consulta externa,menores de 5 anos,2009-10-01,2374,2215,176,111,2550,2326,4876
YAMPARAEZ,consulta externa,menores de 5 anos,2009-10-01,171,196,8,4,179,200,379
YANACACHI,consulta externa,menores de 5 anos,2009-10-01,73,86,3,4,76,90,166
YAPACANI,consulta externa,menores de 5 anos,2009-10-01,890,879,56,29,946,908,1854
YOCALLA,consulta externa,menores de 5 anos,2009-10-01,127,107,2,2,129,109,238
YOTALA,consulta externa,menores de 5 anos,2009-10-01,152,136,6,6,158,142,300
YUNCHARA,consulta externa,menores de 5 anos,2009-10-01,150,129,11,6,161,135,296
ZUDAÑEZ,consulta externa,menores de 5 anos,2009-10-01,250,185,4,4,254,189,443
ACACIO,consulta externa,menores de 5 anos,2009-11-01,174,184,7,0,181,184,365
ACHACACHI,consulta externa,menores de 5 anos,2009-11-01,443,389,15,14,458,403,861
ACHOCALLA,consulta externa,menores de 5 anos,2009-11-01,56,46,1,1,57,47,104
AIQUILE,consulta externa,menores de 5 anos,2009-11-01,569,475,18,27,587,502,1089
ALALAY,consulta externa,menores de 5 anos,2009-11-01,67,43,0,2,67,45,112
ALCALA,consulta externa,menores de 5 anos,2009-11-01,144,147,1,2,145,149,294
ANCORAIMES,consulta externa,menores de 5 anos,2009-11-01,157,118,3,6,160,124,284
ANDAMARCA,consulta externa,menores de 5 anos,2009-11-01,80,55,12,3,92,58,150
ANTEQUERA,consulta externa,menores de 5 anos,2009-11-01,9,5,4,3,13,8,21
ANZALDO,consulta externa,menores de 5 anos,2009-11-01,137,131,15,17,152,148,300
APOLO,consulta externa,menores de 5 anos,2009-11-01,405,356,16,7,421,363,784
ARAMPAMPA,consulta externa,menores de 5 anos,2009-11-01,107,119,0,1,107,120,227
ARANI,consulta externa,menores de 5 anos,2009-11-01,209,144,42,37,251,181,432
ARBIETO,consulta externa,menores de 5 anos,2009-11-01,231,212,69,54,300,266,566
ARQUE,consulta externa,menores de 5 anos,2009-11-01,483,411,1,5,484,416,900
ASCENCION DE GUARAYOS,consulta externa,menores de 5 anos,2009-11-01,547,529,57,71,604,600,1204
ATOCHA,consulta externa,menores de 5 anos,2009-11-01,117,138,5,2,122,140,262
AUCAPATA,consulta externa,menores de 5 anos,2009-11-01,56,63,0,4,56,67,123
AYATA,consulta externa,menores de 5 anos,2009-11-01,187,163,1,2,188,165,353
AYO AYO,consulta externa,menores de 5 anos,2009-11-01,92,85,1,2,93,87,180
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 5 anos,2009-11-01,589,538,7,2,596,540,1136
AZURDUY,consulta externa,menores de 5 anos,2009-11-01,294,303,9,7,303,310,613
BATALLAS,consulta externa,menores de 5 anos,2009-11-01,102,94,3,0,105,94,199
BAURES,consulta externa,menores de 5 anos,2009-11-01,98,78,1,11,99,89,188
BELEN DE ANDAMARCA,consulta externa,menores de 5 anos,2009-11-01,19,14,0,0,19,14,33
BELEN DE URMIRI,consulta externa,menores de 5 anos,2009-11-01,40,33,1,2,41,35,76
BELLA FLOR,consulta externa,menores de 5 anos,2009-11-01,40,46,0,0,40,46,86
BERMEJO,consulta externa,menores de 5 anos,2009-11-01,1174,1056,111,104,1285,1160,2445
BETANZOS,consulta externa,menores de 5 anos,2009-11-01,693,595,14,24,707,619,1326
BOLIVAR,consulta externa,menores de 5 anos,2009-11-01,236,219,1,5,237,224,461
BOLPEBRA,consulta externa,menores de 5 anos,2009-11-01,31,28,4,4,35,32,67
BOYUIBE,consulta externa,menores de 5 anos,2009-11-01,106,96,25,17,131,113,244
BUENA VISTA,consulta externa,menores de 5 anos,2009-11-01,292,287,19,23,311,310,621
CABEZAS,consulta externa,menores de 5 anos,2009-11-01,700,560,11,17,711,577,1288
CAIROMA,consulta externa,menores de 5 anos,2009-11-01,150,136,4,3,154,139,293
"CAIZA ""D""",consulta externa,menores de 5 anos,2009-11-01,172,153,10,16,182,169,351
CAJUATA,consulta externa,menores de 5 anos,2009-11-01,132,120,60,43,192,163,355
CALACOTO,consulta externa,menores de 5 anos,2009-11-01,97,93,1,0,98,93,191
CALAMARCA,consulta externa,menores de 5 anos,2009-11-01,190,193,3,13,193,206,399
CAMARGO,consulta externa,menores de 5 anos,2009-11-01,328,337,7,4,335,341,676
CAMATAQUI (C. VILLA ABECIA),consulta externa,menores de 5 anos,2009-11-01,61,55,2,1,63,56,119
CAMIRI,consulta externa,menores de 5 anos,2009-11-01,1008,933,60,75,1068,1008,2076
CAPINOTA,consulta externa,menores de 5 anos,2009-11-01,413,302,34,24,447,326,773
CAQUIAVIRI,consulta externa,menores de 5 anos,2009-11-01,75,63,4,0,79,63,142
CARACOLLO,consulta externa,menores de 5 anos,2009-11-01,260,242,5,10,265,252,517
CARANAVI,consulta externa,menores de 5 anos,2009-11-01,1149,1164,41,36,1190,1200,2390
CARANGAS,consulta externa,menores de 5 anos,2009-11-01,1,1,0,0,1,1,2
CARAPARI,consulta externa,menores de 5 anos,2009-11-01,323,300,7,2,330,302,632
CARIPUYO,consulta externa,menores de 5 anos,2009-11-01,241,199,1,0,242,199,441
CARMEN RIVERO TORREZ,consulta externa,menores de 5 anos,2009-11-01,47,54,3,7,50,61,111
CATACORA,consulta externa,menores de 5 anos,2009-11-01,31,18,0,3,31,21,52
CHACARILLA,consulta externa,menores de 5 anos,2009-11-01,14,9,0,1,14,10,24
CHALLAPATA,consulta externa,menores de 5 anos,2009-11-01,453,363,5,0,458,363,821
CHAQUI,consulta externa,menores de 5 anos,2009-11-01,127,90,3,2,130,92,222
CHARAGUA,consulta externa,menores de 5 anos,2009-11-01,764,726,34,37,798,763,1561
CHARAÑA,consulta externa,menores de 5 anos,2009-11-01,22,21,3,0,25,21,46
CHAYANTA,consulta externa,menores de 5 anos,2009-11-01,348,349,5,4,353,353,706
CHIMORE,consulta externa,menores de 5 anos,2009-11-01,763,690,40,48,803,738,1541
CHIPAYA,consulta externa,menores de 5 anos,2009-11-01,24,29,10,5,34,34,68
CHOQUE COTA,consulta externa,menores de 5 anos,2009-11-01,15,5,2,0,17,5,22
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 5 anos,2009-11-01,341,298,25,17,366,315,681
CHUMA,consulta externa,menores de 5 anos,2009-11-01,100,69,3,0,103,69,172
CLIZA,consulta externa,menores de 5 anos,2009-11-01,297,315,118,95,415,410,825
COBIJA,consulta externa,menores de 5 anos,2009-11-01,1038,935,134,142,1172,1077,2249
COCHABAMBA,consulta externa,menores de 5 anos,2009-11-01,9671,8736,3647,3477,13318,12213,25531
COIPASA,consulta externa,menores de 5 anos,2009-11-01,28,21,2,0,30,21,51
COLCAPIRHUA,consulta externa,menores de 5 anos,2009-11-01,406,306,588,529,994,835,1829
"COLCHA ""K""",consulta externa,menores de 5 anos,2009-11-01,179,217,8,10,187,227,414
COLLANA,consulta externa,menores de 5 anos,2009-11-01,19,18,0,0,19,18,37
COLOMI,consulta externa,menores de 5 anos,2009-11-01,285,235,15,3,300,238,538
COLPA BELGICA,consulta externa,menores de 5 anos,2009-11-01,185,188,65,67,250,255,505
COLQUECHACA,consulta externa,menores de 5 anos,2009-11-01,766,731,8,12,774,743,1517
COLQUENCHA,consulta externa,menores de 5 anos,2009-11-01,105,119,4,4,109,123,232
COLQUIRI,consulta externa,menores de 5 anos,2009-11-01,280,227,28,14,308,241,549
COMANCHE,consulta externa,menores de 5 anos,2009-11-01,36,23,1,1,37,24,61
COMARAPA,consulta externa,menores de 5 anos,2009-11-01,351,354,54,51,405,405,810
COMBAYA,consulta externa,menores de 5 anos,2009-11-01,46,51,1,3,47,54,101
CONCEPCION,consulta externa,menores de 5 anos,2009-11-01,166,138,0,0,166,138,304
