,group,variable,month,PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) DENTRO,PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) DENTRO,PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) FUERA,PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) FUERA,TOTALES
CAPINOTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,9,10,3,4,26
CAQUIAVIRI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,2,1,1,6
CARACOLLO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,3,7,5,17
CARANAVI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,29,22,2,3,56
CARAPARI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,16,7,1,1,25
CARIPUYO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,1,3,1,6
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,7,6,13
CATACORA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,0,1,1
CHALLAPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,26,21,14,14,75
CHAQUI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,1,0,1
CHARAGUA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,4,5,1,11,21
CHARAÑA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,1,0,1
CHAYANTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,5,0,0,7
CHIMORE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,10,14,2,1,27
CHIPAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,1,1,2
CHOQUE COTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,0,1,0,2
CHUA COCANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,5,5,0,0,10
CHUMA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,4,1,1,7
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,1,7,3,12
CKOCHAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,4,4,6,1,15
CLIZA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,5,3,2,3,13
COBIJA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,17,20,17,13,67
COCAPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,7,5,5,7,24
COCHABAMBA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,149,133,48,31,361
COLCAPIRHUA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,12,12,0,0,24
"COLCHA ""K""",vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,3,3,2,1,9
COLLANA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,1,0,0,1
COLOMI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,9,12,2,0,23
COLPA BELGICA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,2,3,1,7
COLQUECHACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,5,6,11,11,33
COLQUIRI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,1,2,3
COMARAPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,7,4,0,0,11
CONCEPCION,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,10,9,8,7,34
COPACABANA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,1,3,3,9
CORIPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,6,6,0,0,12
CORO CORO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,2,0,0,3
COROICO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,3,9,2,5,19
CORQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,2,3,2,8
COTAGAITA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,6,9,5,4,24
COTOCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,18,17,5,1,41
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,11,3,9,0,23
CUCHUMUELA (V. G. VILLARROEL),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,0,1,1
CUEVO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,1,0,1,2
CULPINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,6,5,1,0,12
CURAHUARA DE CARANGAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,3,5,6,15
CURVA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,1,1,2
DESAGUADERO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,1,0,0,1
EL ALTO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,164,166,114,105,549
EL CHORO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,3,2,0,5
EL PUENTE(STC),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,4,5,8,10,27
EL PUENTE(TJA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,7,0,4,0,11
EL TORNO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,22,31,11,10,74
EL VILLAR,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,4,3,0,0,7
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,11,10,9,15,45
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,18,13,2,0,33
ESCARA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,0,0,0,1
ESMERALDA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,0,1,1
EUCALIPTUS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,3,1,5,1,10
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,2,3,5
EXALTACION,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,1,0,1,3
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,8,8,3,3,22
FILADELFIA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,3,0,1,5
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,9,5,0,0,14
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,3,0,1,4
GUANAY,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,10,5,5,11,31
GUAQUI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,4,1,1,0,6
GUAYARAMERIN,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,18,4,11,14,47
GUTIERREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,1,4,0,7
HUACARETA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,5,0,1,8
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,2,3,5
HUACHACALLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,1,0,2,3
HUANUNI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,1,6,1,9
HUARINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,2,1,1,4
HUATAJATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,3,1,0,2,6
HUAYLLAMARCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,1,1,1,5
ICHOCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,0,2,2
ICLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,1,2,2,6
INCAHUASI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,2,4,2,9
INGAVI (HUMAITA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,0,0,0,1
INQUISIVI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,4,3,3,11
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,5,6,7,2,20
IXIAMAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,3,5,2,10
JESUS DE MACHACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,3,4,2,4,13
LA ASUNTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,11,16,4,2,33
LA GUARDIA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,38,37,16,18,109
LA PAZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,189,201,123,130,643
LAGUNILLAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,2,4,1,9
LAJA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,6,3,0,0,9
LICOMA PAMPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,2,1,1,4
LLALLAGUA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,7,5,20,15,47
LORETO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,2,2,3,8
LURIBAY,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,3,1,1,6
MACHACAMARCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,1,1,1,4
MACHARETI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,4,5,0,0,9
MAGDALENA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,6,3,12,7,28
MAIRANA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,4,5,0,0,9
MAPIRI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,6,5,13,14,38
MECAPACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,3,0,3,7
MINEROS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,4,1,3,1,9
MIZQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,7,8,10,10,35
MOCOMOCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,1,2,2,5
MOJOCOYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,1,0,0,2
MONTEAGUDO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,13,15,1,3,32
MONTERO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,47,46,29,20,142
MORO MORO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,2,0,0,3
MOROCHATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,0,7,6,15
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,2,0,1,4
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,1,1,4,8
OCURI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,3,2,2,1,8
OKINAWA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,9,8,1,2,20
OMEREQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,1,1,7,10
ORURO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,67,64,70,61,262
PADCAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,5,2,1,5,13
PADILLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,3,2,1,3,9
PAILON,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,6,4,52,43,105
PALCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,8,4,5,2,19
PALOS BLANCOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,15,19,6,6,46
PAMPA AULLAGAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,2,1,3
PAMPA GRANDE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,7,3,10,22
PAPEL PAMPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,3,1,0,6
PASORAPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,0,1,1
PATACAMAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,1,6,4,12
PAZÑA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,4,3,2,1,10
PELECHUCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,1,1,1,5
POCOATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,3,1,4
POCONA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,4,3,4,13
POJO (CBBA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,5,4,1,0,10
POOPO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,3,1,0,5
PORCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,4,4,0,0,8
POROMA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,3,3,2,1,9
PORONGO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,7,2,0,0,9
PORTACHUELO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,8,8,0,0,16
PORVENIR,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,4,2,5,12
POSTRER VALLE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,1,0,0,3
POTOSI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,48,60,21,19,148
PRESTO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,3,3,7,9,22
PUCARA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,1,0,1
PUCARANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,7,6,2,2,17
PUERTO ACOSTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,0,5,0,6
PUERTO CARABUCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,2,2,1,5
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,4,3,2,2,11
PUERTO PEREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,3,0,0,3
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,9,7,19,2,37
PUERTO RICO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,6,5,3,1,15
PUERTO SILES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,0,1,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,11,13,4,2,30
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,14,27,18,11,70
PUNA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,3,6,4,5,18
PUNATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,11,10,6,3,30
QUIABAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,1,1,1,3
QUILLACOLLO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,15,19,32,47,113
QUIME,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,4,6,0,0,10
QUIRUSILLAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,1,2,1,5
RAVELO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,2,3,5,12
REYES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,3,1,4,10
RIBERALTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,14,19,21,26,80
ROBORE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,4,4,6,3,17
RURRENABAQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,10,5,3,4,22
SABAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,2,0,2
SACABA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,20,26,33,23,102
SACABAMBA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,2,0,1,4
SACACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,1,11,5,18
SAIPINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,1,0,0,3
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,1,8,8,18
SAMAIPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,7,3,0,11
SAN ANDRES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,4,1,0,6
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,1,0,1,2
SAN ANTONIO DE ESMORUCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,1,0,0,1
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,6,2,2,1,11
SAN BENITO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,3,0,1,6
SAN BORJA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,13,14,4,9,40
SAN BUENA VENTURA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,5,2,0,1,8
SAN CARLOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,17,7,7,11,42
SAN IGNACIO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,8,9,10,7,34
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,5,12,7,7,31
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,1,2,2,5
SAN JAVIER(STC),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,5,7,0,0,12
SAN JOAQUIN,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,4,0,0,4
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,5,19,8,32
SAN JUAN DE YAPACANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,3,6,0,0,9
SAN JULIAN,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,10,10,4,4,28
SAN LORENZO(PND),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,3,10,10,25
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,10,12,0,2,24
SAN LUCAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,6,8,4,9,27
SAN MATIAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,3,1,0,6
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,4,1,2,8
SAN PABLO DE LIPEZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,0,0,0,1
SAN PEDRO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,9,9,0,0,18
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,1,2,7,11
SAN PEDRO DE CURAHUARA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,4,2,3,0,9
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,0,0,0,1
SAN PEDRO(PND),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,0,1,1
SAN RAMON BENI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,2,2,0,4
SAN RAMON SCZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,4,6,0,1,11
SANTA ANA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,5,1,3,1,10
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,385,348,42,34,809
SANTA ROSA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,5,2,2,2,11
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,6,13,0,1,20
SANTIAGO DE CALLAPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,0,0,0,1
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,1,2,13,6,22
SANTIAGO DE HUATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,0,1,1
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,3,0,0,3
SANTIVAÑES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,0,1,0,1
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,1,3,0,4
SAPAHAQUI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,0,5,4,0,9
SENA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,1,2,2,7
SHINAOTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,11,12,3,3,29
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,2,2,2,0,6
SICAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2017-04-01,3,3,4,5,15
