,group,variable,month,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES,TOTALES,TOTALES
YANACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-03-01,3,4,0,0,3,4,7
YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-03-01,40,30,11,7,51,37,88
YOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-03-01,1,0,0,1,1,1,2
YOTALA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-03-01,1,1,2,4,3,5,8
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-03-01,2,1,0,2,2,3,5
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-03-01,7,5,7,6,14,11,25
ACACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,0,1,1,2,1,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,11,13,5,14,16,27,43
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,3,12,7,14,10,24
AIQUILE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,7,4,7,10,14,24
ALALAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,0,2,1,3,1,4
ALCALA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,4,1,1,1,5,6
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,7,6,0,0,7,6,13
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,5,3,6,9,11,20
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,1,3,2,4,3,7
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,2,3,3,4,5,9
ANZALDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,1,1,2,1,3,4
APOLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,9,4,2,10,11,21
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,1,1,5,1,6,7
ARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,5,4,1,1,6,5,11
ARBIETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,12,10,8,10,20,20,40
ARQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,5,4,6,2,11,6,17
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,18,29,6,1,24,30,54
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,5,6,3,7,8,13,21
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,3,0,0,0,3,3
AYATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,6,8,4,12,10,22
AYO AYO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,3,0,1,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,12,3,21,20,33,23,56
AZURDUY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,1,4,4,10,5,15
BATALLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,4,9,9,13,13,26
BAURES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,3,1,2,1,5,2,7
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,2,0,0,0,2,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,1,2,3,2,4,6
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,16,13,6,3,22,16,38
BETANZOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,13,12,4,8,17,20,37
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,1,1,1,1,2,3
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,1,3,3,3,4,7
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,1,0,0,1,1,2
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,9,12,2,3,11,15,26
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,20,16,9,8,29,24,53
CAIROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,5,1,1,2,6,8
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,2,1,1,5,3,8
CAJUATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,4,0,0,4,4,8
CALACOTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,1,0,0,0,1,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,9,2,3,2,12,4,16
CAMARGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,10,6,5,4,15,10,25
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,0,1,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,32,25,9,6,41,31,72
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,11,6,5,4,16,10,26
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,1,0,0,6,1,7
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,7,5,10,8,17,13,30
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,42,29,6,2,48,31,79
CARAPARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,15,8,3,1,18,9,27
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,1,3,1,7,2,9
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,4,0,0,4,4,8
CATACORA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,0,0,1,1,1,2
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,21,13,22,25,43,38,81
CHAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,2,3,2,7,4,11
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,1,21,19,27,20,47
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,4,0,0,2,4,6
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,11,12,3,1,14,13,27
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,0,1,1,1,1,2
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,0,1,0,1,0,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,0,5,3,5,3,8
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,16,9,1,6,17,15,32
CHUMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,5,3,4,5,9,14
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,3,1,7,8,10,9,19
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,5,4,3,10,8,18
CLIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,13,9,5,5,18,14,32
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,50,39,37,41,87,80,167
COCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,5,10,8,16,13,29
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,366,374,18,27,384,401,785
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,31,37,7,2,38,39,77
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,3,5,1,2,4,7,11
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,20,8,19,13,39,21,60
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,4,1,1,7,5,12
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,10,11,9,9,19,20,39
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,11,4,0,0,11,4,15
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,3,1,6,5,9,6,15
COMARAPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,11,11,0,1,11,12,23
COMBAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,0,0,3,0,3,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,18,23,2,0,20,23,43
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,3,0,2,0,5,0,5
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,9,10,2,1,11,11,22
CORO CORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,1,1,3,1,4,5
COROICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,4,6,4,6,8,14
CORQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,0,0,3,2,3,5
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,8,6,2,12,10,22
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,24,23,25,27,49,50,99
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,18,6,2,0,20,6,26
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,0,1,0,1,0,1
CUEVO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,2,1,2,2,4,6
CULPINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,10,3,1,0,11,3,14
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,4,3,4,5,8,13
CURVA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,0,3,4,4,4,8
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,1,0,0,1,1,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,331,333,127,124,458,457,915
EL CHORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,0,1,0,3,0,3
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,4,6,6,12,10,22
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,8,4,4,0,12,4,16
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,35,42,4,7,39,49,88
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,1,1,1,2,2,4
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,15,19,8,9,23,28,51
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,32,34,4,9,36,43,79
ESCOMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,2,1,0,2,2,4
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,1,0,0,0,1,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,5,1,2,0,7,1,8
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,3,2,1,4,4,8
EXALTACION,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,1,0,0,1,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,10,4,0,6,10,10,20
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,2,0,1,4,3,7
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,8,0,0,1,8,9
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,8,6,1,2,9,8,17
GUANAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,5,6,12,10,17,16,33
GUAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,2,1,1,2,3,5
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,26,19,0,1,26,20,46
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,2,0,0,6,2,8
HUACARETA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,8,3,2,5,10,15
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,1,0,1,1,2,3
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,0,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,10,7,12,10,22,17,39
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,3,0,0,2,3,5
HUARINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,5,5,0,7,5,12
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,3,0,0,1,3,4
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,5,4,2,2,7,6,13
HUMANATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,1,2,2,4,3,7
ICHOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,1,0,1,1,2,3
ICLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,3,6,6,1,9,7,16
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,3,3,3,5,6,11
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,3,2,0,2,3,5
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,3,0,2,1,5,1,6
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,2,0,3,4,5,9
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,3,1,2,5,5,10
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,5,1,2,7,7,14
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,47,27,5,9,52,36,88
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,62,77,51,21,113,98,211
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,417,434,22,13,439,447,886
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,5,2,6,8,11,19
LAJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,7,1,1,7,8,15
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,3,0,3,1,6,7
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,5,23,27,27,32,59
LORETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,0,1,1,1,1,2
LURIBAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,1,0,1,1,2,3
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,3,0,1,2,4,6
MACHARETI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,5,1,1,5,6,11
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,9,6,0,0,9,6,15
MAIRANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,7,1,2,7,9,16
MAPIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,13,6,3,4,16,10,26
MECAPACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,1,2,2,6,3,9
MINEROS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,22,20,0,0,22,20,42
MIZQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,11,3,4,9,15,24
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,3,4,2,8,5,13
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,3,5,3,9,6,15
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,20,14,3,8,23,22,45
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,87,98,5,7,92,105,197
MORO MORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,0,1,0,3,0,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,3,1,3,2,6,8
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,2,3,3,4,5,9
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,0,0,0,2,0,2
OCURI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,1,0,3,1,4,5
OKINAWA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,5,5,2,1,7,6,13
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,2,6,3,8,5,13
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,159,160,89,90,248,250,498
PADCAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,9,12,1,1,10,13,23
PADILLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,8,4,1,0,9,4,13
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,7,11,6,6,13,17,30
PALCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,5,4,0,1,5,5,10
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,21,8,4,2,25,10,35
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,2,3,4,3,6,9
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,11,9,2,2,13,11,24
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,2,1,0,2,2,4
PASORAPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,2,2,2,3,4,7
PAZÑA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,5,0,4,4,9,13
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,6,4,1,1,7,5,12
POCOATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,0,7,7,7,7,14
POCONA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,0,2,6,5,6,7,13
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,2,4,3,6,5,11
POOPO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,1,3,2,7,3,10
PORCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,1,0,0,1,1,2
POROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,5,4,10,2,15,6,21
PORONGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,3,3,4,3,7,6,13
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,21,13,1,3,22,16,38
PORVENIR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,2,2,5,2,7,4,11
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,1,0,1,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,157,124,29,23,186,147,333
PRESTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis (1er. refuerzo),2016-04-01,4,3,4,6,8,9,17
