,group,variable,month,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA FUERA,SRP DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,4,0,5,5,9,5,14
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,24,22,9,15,33,37,70
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,4,5,9,15,13,20,33
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,7,7,1,4,8,11,19
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,2,4,1,5,3,8
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,0,0,1,1,1,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,17,22,5,6,22,28,50
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,2,4,1,4,3,7
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,1,0,3,0,4,4
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,7,2,1,3,8,11
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,0,0,1,1,1,2
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,2,4,0,4,2,6
ICLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,8,4,6,5,14,19
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,3,6,8,5,11,11,22
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,2,1,3,1,5,6
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,3,7,9,9,12,21
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,12,7,8,5,20,12,32
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,9,13,5,8,14,21,35
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,10,6,3,1,13,7,20
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,46,44,16,17,62,61,123
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,81,86,9,10,90,96,186
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,598,563,19,25,617,588,1205
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,3,0,1,4,4,4,8
LAJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,11,13,0,0,11,13,24
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,0,5,7,5,7,12
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,0,0,3,0,3,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,30,33,31,23,61,56,117
LLICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,4,0,0,1,4,5
LORETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,3,2,8,16,11,18,29
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,6,3,7,5,13,8,21
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,5,3,1,4,6,10
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,1,8,8,9,9,18
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,15,8,9,9,24,17,41
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,16,9,1,0,17,9,26
MALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,0,0,1,0,1,1
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,9,11,7,3,16,14,30
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,6,6,1,3,7,9,16
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,20,16,4,7,24,23,47
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,14,11,12,12,26,23,49
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,8,5,5,10,13,15,28
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,1,9,12,9,13,22
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,26,20,5,2,31,22,53
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,101,94,5,5,106,99,205
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,2,1,0,1,2,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,1,6,5,7,6,13
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,0,1,2,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,5,3,0,0,5,3,8
OCURI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,4,10,4,11,8,19
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,11,13,6,3,17,16,33
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,0,7,3,7,3,10
ORURO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,271,242,9,11,280,253,533
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,13,13,6,5,19,18,37
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,6,6,0,0,6,6,12
PAILON,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,24,20,34,32,58,52,110
PALCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,7,10,8,7,15,17,32
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,19,14,20,16,39,30,69
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,1,3,3,4,4,8
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,7,3,2,3,9,6,15
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,2,0,0,2,2,4
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,14,23,4,1,18,24,42
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,1,1,2,3,3,6
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,2,9,3,10,5,15
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,3,1,19,23,22,24,46
POCONA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,2,5,11,6,13,19
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,3,1,6,4,9,5,14
POOPO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,3,2,2,3,5,5,10
PORCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,6,7,8,8,14,15,29
POROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,5,6,9,3,14,9,23
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,5,3,9,10,14,13,27
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,16,15,4,3,20,18,38
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,4,3,8,8,12,11,23
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,204,184,30,34,234,218,452
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,0,6,3,8,3,11
PUCARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,1,0,0,0,1,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,15,12,6,9,21,21,42
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,0,3,3,4,3,7
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,5,6,7,8,12,20
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,3,1,10,13,13,14,27
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,1,1,0,2,1,3
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,10,22,0,1,10,23,33
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,3,7,10,8,13,21
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,0,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,16,15,1,0,17,15,32
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,59,60,4,8,63,68,131
PUNA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,10,9,8,7,18,16,34
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,16,28,1,0,17,28,45
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,0,3,5,3,5,8
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,80,81,101,75,181,156,337
QUIME,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,1,8,7,10,8,18
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,3,1,0,2,3,5
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,4,7,13,7,17,14,31
REYES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,7,11,6,3,13,14,27
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,91,86,53,60,144,146,290
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,3,6,2,0,5,6,11
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,18,13,5,2,23,15,38
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,4,2,2,4,6,10
SACABA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,135,99,13,16,148,115,263
SACACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,10,9,10,6,20,15,35
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,1,1,4,3,5,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,5,2,11,7,16,9,25
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,8,5,2,4,10,9,19
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,5,4,0,0,5,4,9
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,6,4,6,12,12,16,28
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,5,0,2,2,7,9
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,2,0,0,1,2,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,2,2,1,4,3,7
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,4,4,6,5,10,9,19
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,51,31,50,30,101,61,162
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,10,13,5,7,15,20,35
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,14,13,11,13,25,26,51
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,25,31,8,10,33,41,74
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,43,41,12,16,55,57,112
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,11,14,3,8,14,22,36
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,18,23,2,3,20,26,46
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,1,2,3,4,4,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,28,17,29,26,57,43,100
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,5,6,1,2,6,8,14
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,26,22,24,17,50,39,89
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,1,2,4,3,5,8
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,14,18,2,2,16,20,36
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,22,12,15,11,37,23,60
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,15,27,4,2,19,29,48
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,3,3,10,6,13,9,22
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,3,0,0,1,3,4
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,7,4,8,4,15,8,23
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,10,17,20,10,30,27,57
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,1,1,3,2,4,6
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,1,0,0,1,1,2
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,0,2,1,4,1,5
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,3,2,0,4,3,7
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,0,5,6,5,6,11
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,11,10,3,4,14,14,28
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,9,18,12,3,21,21,42
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1473,1334,38,28,1511,1362,2873
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,4,6,14,3,18,9,27
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,12,6,9,4,21,10,31
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,4,1,1,3,5,8
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,7,5,5,6,12,18
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,0,0,0,1,0,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,3,2,1,3,4,7
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,0,1,2,2,2,4
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,2,0,1,1,3,4
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,5,7,1,0,6,7,13
SENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,12,9,19,15,31,24,55
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,21,11,9,3,30,14,44
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,6,9,8,12,14,21,35
SICAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,0,9,7,9,7,16
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,28,32,1,2,29,34,63
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,4,1,0,0,4,1,5
SORACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,8,4,8,9,16,13,29
SORATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,4,1,9,6,13,7,20
SUCRE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,265,269,6,8,271,277,548
TACACOMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,5,8,4,10,9,19
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,4,8,8,10,12,22
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,4,4,8,5,12,17
TAHUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,0,0,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,11,4,3,6,14,10,24
TARABUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,14,4,7,11,21,15,36
TARACO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,3,4,2,0,5,4,9
TARATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,5,4,1,5,6,9,15
TARIJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,216,168,23,18,239,186,425
TARVITA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,4,4,8,5,12,17
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,8,9,9,10,17,19,36
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,5,3,4,2,9,5,14
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,4,11,10,14,14,25,39
TIPUANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,10,5,4,2,14,7,21
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,33,27,10,11,43,38,81
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,5,17,18,19,23,42
TOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,2,0,2,1,4,5
TODOS SANTOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,1,2,2,2,3,5
TOLATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,4,0,2,2,6,8
TOLEDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,1,1,3,3,4,7
TOMAVE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,7,5,13,11,20,16,36
TOMINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,1,0,4,2,5,7
TORO TORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,4,1,10,14,14,15,29
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,12,7,3,9,15,16,31
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,3,1,3,1,6,2,8
TRIGAL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,0,0,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,86,80,43,16,129,96,225
TUPIZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,36,48,8,5,44,53,97
TURCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,0,1,3,3,3,6
UMALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,1,5,8,7,9,16
UNCIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,18,12,16,19,34,31,65
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,10,9,5,2,15,11,26
URUBICHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,7,8,2,6,9,14,23
UYUNI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,25,21,1,0,26,21,47
VACAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,0,9,10,9,10,19
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,9,7,1,1,10,8,18
VIACHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,80,41,7,13,87,54,141
VILA VILA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,0,4,3,4,3,7
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,5,5,13,10,18,15,33
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,43,35,20,14,63,49,112
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,3,5,5,6,8,14
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,5,1,8,2,13,3,16
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,4,6,5,6,9,12,21
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,52,55,15,17,67,72,139
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,9,4,8,2,17,6,23
VILLAZON,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,37,35,13,12,50,47,97
VINTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,41,46,15,9,56,55,111
VITICHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,2,3,4,3,6,6,12
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,0,0,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,114,119,17,10,131,129,260
YACO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,5,1,1,2,6,8
YACUIBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,68,71,30,33,98,104,202
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,5,3,1,6,6,9,15
YANACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,6,0,1,1,7,8
YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,33,31,24,15,57,46,103
YOCALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,7,5,8,4,15,9,24
YOTALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,7,2,5,4,12,6,18
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,1,2,2,3,3,5,8
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-03-01,3,5,2,1,5,6,11
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,2,1,3,2,5,3,8
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,30,12,7,11,37,23,60
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,10,14,11,12,21,26,47
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,18,6,7,10,25,16,41
ALALAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,0,0,2,1,2,1,3
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,2,2,0,0,2,2,4
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,10,9,0,0,10,9,19
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,11,17,2,1,13,18,31
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,1,4,4,3,5,7,12
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,1,0,4,1,5,1,6
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,2,4,5,4,7,8,15
APOLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,16,6,2,4,18,10,28
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,2,0,3,3,5,3,8
ARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,10,7,1,0,11,7,18
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,15,15,5,1,20,16,36
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,1,1,5,2,6,3,9
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,32,41,5,3,37,44,81
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,7,21,7,11,14,32,46
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,0,1,2,1,2,2,4
AYATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,0,0,6,5,6,5,11
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,2,3,0,3,2,6,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-04-01,4,11,10,8,14,19,33
