,group,variable,month,TOTAL 21.7 TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TOTAL 21.7 TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SHINAOTA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,14,0,14,0,14
SORATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,6,0,6,0,6
SUCRE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,47,0,47,0,47
TARIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,17,26,17,26,43
TARVITA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,16,0,16,0,16
TOMINA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,3,0,3,0,3
TRINIDAD,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,12,0,12,0,12
VALLEGRANDE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,6,0,6,0,6
VIACHA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,14,65,14,65,79
VILLA CHARCAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,9,0,9,0,9
VILLA MONTES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,6,1,6,1,7
VILLA SERRANO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,1,0,1,0,1
VILLA TUNARI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,6,0,6,0,6
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,1,0,1,0,1
YACUIBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,8,0,8,0,8
ACHACACHI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,13,0,13,0,13
ALCALA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,0,1,0,1
ALTO BENI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,2,0,2,0,2
ANZALDO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,7,0,7,0,7
ARANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,29,0,29,0,29
ARQUE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,4,0,4,0,4
ATOCHA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,4,0,4,0,4
BATALLAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,0,15,0,15,15
BERMEJO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,36,1,36,1,37
BETANZOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,18,0,18,0,18
BOYUIBE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,5,0,5,0,5
BUENA VISTA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,2,0,2,0,2
CABEZAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,7,0,7,0,7
CAIROMA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,10,0,10,0,10
CALAMARCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,0,1,0,1
CAMIRI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,7,0,7,0,7
CAPINOTA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,0,50,0,50,50
CARACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,0,1,0,1
CARANAVI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,4,0,4,0,4
CARAPARI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,10,1,10,1,11
CATACORA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,14,0,14,0,14
CHALLAPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,22,0,22,0,22
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,2,0,2,0,2
CLIZA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,2,0,2,0,2
COBIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,73,0,73,0,73
COLPA BELGICA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,4,0,4,0,4
COPACABANA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,2,3,2,3,5
CORIPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,3,0,3,0,3
COROICO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,3,0,3,0,3
COTAGAITA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,2,0,2,0,2
COTOCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,6,0,6,0,6
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,6,0,6,0,6
EL ALTO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,202,38,202,38,240
EL PUENTE(STC),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,5,0,5,0,5
EL PUENTE(TJA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,12,16,12,16,28
EL TORNO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,15,0,15,0,15
EL VILLAR,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,4,0,4,0,4
ENTRE RIOS TRJ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,6,0,6,0,6
GUANAY,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,0,3,0,3,3
HUACARETA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,0,1,0,1
HUACHACALLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,0,10,0,10,10
ICLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,6,0,6,0,6
INCAHUASI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,6,0,6,0,6
INGAVI (HUMAITA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,2,0,2,0,2
LA GUARDIA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,21,1,21,1,22
LA PAZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,108,72,108,72,180
LICOMA PAMPA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,3,0,3,0,3
LLALLAGUA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,20,22,20,22,42
MACHARETI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,3,0,3,0,3
MAPIRI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,13,0,13,0,13
MIZQUE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,0,1,0,1
MOCOMOCO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,2,0,2,0,2
MOJINETE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,3,0,3,0,3
MONTEAGUDO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,0,1,0,1
MONTERO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,6,0,6,0,6
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,5,1,5,6
NAZACARA DE PACAJES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,3,0,3,0,3
ORURO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,397,0,397,0,397
PADCAYA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,14,0,14,0,14
PADILLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,4,31,4,31,35
PAILON,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,6,0,6,0,6
PALOS BLANCOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,9,3,9,3,12
PORTACHUELO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,8,0,8,0,8
POTOSI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,76,2,76,2,78
PUERTO PEREZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,4,0,4,0,4
PUERTO RICO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,0,1,0,1
PUNATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,10,0,10,0,10
QUIABAYA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,16,0,16,0,16
QUIRUSILLAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,7,0,7,0,7
SACABA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,0,52,0,52,52
SACABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,3,0,3,0,3
SAN BORJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,6,0,6,0,6
SAN CARLOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,6,0,6,0,6
SAN IGNACIO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,0,1,0,1
SAN JUAN DE YAPACANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,3,0,3,0,3
SAN MATIAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,2,0,2,0,2
SAN RAMON BENI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,90,0,90,0,90
SANTA ROSA DEL SARA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,1,0,1,0,1
SAPAHAQUI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,2,0,2,0,2
SENA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,2,0,2,0,2
SHINAOTA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,14,0,14,0,14
SUCRE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,46,0,46,0,46
TARATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,3,0,3,0,3
TARIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,120,47,120,47,167
TARVITA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,2,0,2,0,2
TIAWANACU,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,2,0,2,0,2
TIPUANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,3,0,3,0,3
TIRAQUE (CBBA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,14,0,14,0,14
TOMAVE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,11,0,11,0,11
TOMINA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,5,0,5,0,5
TRINIDAD,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,78,0,78,0,78
UYUNI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,5,0,5,0,5
VIACHA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,33,186,33,186,219
VILLA MONTES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,5,0,5,0,5
VILLA RIVERO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,3,0,3,0,3
VILLA SERRANO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,2,3,2,3,5
VILLA TUNARI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,6,0,6,0,6
YACO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,10,0,10,0,10
YACUIBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,52,2,52,2,54
YAPACANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,6,0,6,0,6
YOTALA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,5,0,5,0,5
YUNCHARA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-05-01,7,6,7,6,13
ACHACACHI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,20,0,20,0,20
ALCALA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
ALTO BENI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,6,0,6,0,6
ARAMPAMPA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,20,0,20,0,20
ASCENCION DE GUARAYOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
AZURDUY,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,32,0,32,0,32
BATALLAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,2,22,2,22,24
BELEN DE URMIRI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,0,4,0,4,4
BELLA FLOR,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
BERMEJO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,13,4,13,4,17
BETANZOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,5,0,5,0,5
CABEZAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
CALAMARCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
CAMARGO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,37,0,37,0,37
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,10,0,10,0,10
CARANAVI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,10,3,10,3,13
CARAPARI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,19,10,19,10,29
CARMEN RIVERO TORREZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,17,0,17,0,17
CHALLAPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,38,0,38,0,38
CHAYANTA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,8,0,8,0,8
CHIPAYA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,19,2,19,2,21
CLIZA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,14,0,14,0,14
COBIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,7,0,7,0,7
COCHABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,70,7,70,7,77
COLCAPIRHUA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,27,0,27,0,27
COLOMI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,0,6,0,6,6
COMANCHE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
COPACABANA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,0,4,0,4,4
COTAGAITA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,2,9,2,9,11
COTOCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,60,0,60,0,60
CUEVO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
EL ALTO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,208,81,208,81,289
EL PUENTE(TJA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
EL TORNO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,28,0,28,0,28
ENTRE RIOS TRJ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,2,1,2,1,3
ESCOMA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,4,0,4,0,4
FILADELFIA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,9,1,9,1,10
GUAQUI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,19,0,19,0,19
HUACARETA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,2,0,2,0,2
HUANUNI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
ICLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,2,0,2,0,2
JESUS DE MACHACA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,9,0,9,0,9
LA GUARDIA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,4,0,4,0,4
LA PAZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,224,204,224,204,428
LAJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,17,4,17,4,21
LLALLAGUA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,26,49,26,49,75
MAGDALENA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,2,0,2,0,2
MIZQUE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,12,0,12,0,12
MOCOMOCO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,0,8,0,8,8
MOJINETE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
MONTEAGUDO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,6,0,6,0,6
ORURO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,86,0,86,0,86
PADCAYA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,5,0,5,0,5
PADILLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,4,0,4,0,4
PAILON,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,4,0,4,0,4
PALOS BLANCOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,2,2,2,2,4
PAMPA GRANDE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
POCONA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
POROMA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,33,0,33,0,33
PORTACHUELO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
POTOSI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,108,1,108,1,109
PUCARANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,0,15,0,15,15
PUERTO PEREZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,5,0,5,0,5
PUERTO RICO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,16,0,16,0,16
PUNATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,24,0,24,0,24
QUILLACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,136,0,136,0,136
ROBORE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,2,0,2,0,2
SACABA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,20,69,20,69,89
SAN BENITO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,4,0,4,0,4
SAN BORJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
SAN BUENA VENTURA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
SAN CARLOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,5,4,5,4,9
SAN IGNACIO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,8,0,8,0,8
SAN IGNACIO DE VELASCO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
SAN JAVIER(BNI),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,2,0,2,0,2
SAN JUAN DE YAPACANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
SAN MATIAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
SAN PABLO DE LIPEZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,12,0,12,0,12
SAN PEDRO DE TIQUINA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,2,0,2,0,2
SAN RAMON BENI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,128,0,128,0,128
SANTA ROSA DEL SARA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,6,0,6,0,6
SANTIAGO DE HUARI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,2,0,2,0,2
SANTIAGO DE HUATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
SANTIVAÑES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
SENA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,6,0,6,0,6
SHINAOTA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
SUCRE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,43,0,43,0,43
TACOBAMBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,4,0,4,0,4
TARACO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,10,9,10,9,19
TARATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,6,455,6,455,461
TARIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,130,51,130,51,181
TARVITA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,2,0,2,0,2
TIPUANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,7,1,7,8
TIQUIPAYA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,145,0,145,0,145
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,0,2,0,2,2
TOCO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
TOLATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,15,0,15,0,15
TOMAVE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
TOTORA(CBBA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,83,162,83,162,245
URIONDO (A. CONCEPCION),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
UYUNI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
VACAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,3,0,3,0,3
VIACHA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,12,4,12,4,16
VILLA RIVERO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,13,0,13,0,13
VILLA SERRANO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,1,5,1,5,6
VILLA TUNARI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,18,0,18,0,18
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,12,0,12,0,12
VILLAZON,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,11,0,11,0,11
VINTO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,17,0,17,0,17
YACUIBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,66,328,66,328,394
YAMPARAEZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,17,0,17,0,17
YAPACANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,40,0,40,0,40
YOTALA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,5,0,5,0,5
YUNCHARA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-06-01,4,2,4,2,6
ACACIO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,21,0,21,0,21
ALALAY,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,13,0,13,0,13
ALCALA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-07-01,1,0,1,0,1
