,group,variable,month,TOTAL 21.1 MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,TOTAL 21.1 MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
SORACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,10,6,10,6,16
SORATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,18,97,18,97,115
SUCRE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,521,843,521,843,1364
TACACOMA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,1,0,1,0,1
TACOBAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,11,32,11,32,43
TACOPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,5,3,5,3,8
TAHUA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,6,4,6,4,10
TAPACARI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,11,106,11,106,117
TARABUCO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,13,2,13,2,15
TARACO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,4,2,4,2,6
TARATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,5,130,5,130,135
TARIJA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,568,496,568,496,1064
TARVITA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,13,27,13,27,40
TEOPONTE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,15,119,15,119,134
TIAWANACU,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,8,61,8,61,69
TINGUIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,25,27,25,27,52
TIPUANI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,13,20,13,20,33
TIQUIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,86,272,86,272,358
TIRAQUE (CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,29,119,29,119,148
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,1,0,1,0,1
TOCO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,6,70,6,70,76
TODOS SANTOS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,1,1,1,1,2
TOLATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,4,15,4,15,19
TOLEDO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,2,6,2,6,8
TOMAVE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,29,14,29,14,43
TOMINA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,5,14,5,14,19
TORO TORO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,24,34,24,34,58
TOTORA(CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,18,65,18,65,83
TOTORA(ORR),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,6,4,6,4,10
TRIGAL,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,1,1,1,1,2
TRINIDAD,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,338,367,338,367,705
TUPIZA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,125,38,125,38,163
TURCO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,1,60,1,60,61
UMALA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,12,20,12,20,32
UNCIA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,6,37,6,37,43
URIONDO (A. CONCEPCION),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,33,69,33,69,102
URUBICHA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,7,2,7,2,9
UYUNI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,23,25,23,25,48
VACAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,14,62,14,62,76
VALLEGRANDE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,26,46,26,46,72
VIACHA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,108,174,108,174,282
VILA VILA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,5,5,5,5,10
VILLA CHARCAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,68,68,68,68,136
VILLA MONTES,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,30,115,30,115,145
VILLA NUEVA (LOMA ALTA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,2,3,2,3,5
VILLA RIVERO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,14,1,14,1,15
VILLA SERRANO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,14,23,14,23,37
VILLA TUNARI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,93,207,93,207,300
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,35,8,35,8,43
VILLAZON,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,418,34,418,34,452
VINTO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,155,0,155,0,155
VITICHI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,14,11,14,11,25
WALDO BALLIVIAN,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,5,1,5,1,6
WARNES,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,427,1305,427,1305,1732
YACO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,5,27,5,27,32
YACUIBA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,187,28,187,28,215
YAMPARAEZ,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,5,20,5,20,25
YANACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,7,38,7,38,45
YAPACANI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,23,27,23,27,50
YOCALLA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,9,90,9,90,99
YOTALA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,16,19,16,19,35
YUNCHARA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,5,18,5,18,23
ZUDAÑEZ,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-03-01,6,2,6,2,8
ACACIO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,17,12,17,12,29
ACHACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,46,485,46,485,531
ACHOCALLA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,10,165,10,165,175
AIQUILE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,14,73,14,73,87
ALALAY,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,1,10,1,10,11
ALCALA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,1,0,1,0,1
ALTO BENI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,27,11,27,11,38
ANCORAIMES,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,16,15,16,15,31
ANDAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,1,6,1,6,7
ANTEQUERA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,2,2,2,2,4
ANZALDO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,2,15,2,15,17
APOLO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,21,16,21,16,37
ARAMPAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,8,24,8,24,32
ARANI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,46,24,46,24,70
ARBIETO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,26,64,26,64,90
ARQUE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,11,24,11,24,35
ASCENCION DE GUARAYOS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,63,37,63,37,100
ATOCHA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,13,2,13,2,15
AUCAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,20,87,20,87,107
AYATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,5,39,5,39,44
AYO AYO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,15,36,15,36,51
AZURDUY,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,15,2,15,2,17
BATALLAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,17,26,17,26,43
BAURES,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,7,0,7,0,7
BELEN DE URMIRI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,1,68,1,68,69
BELLA FLOR,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,1,1,1,1,2
BERMEJO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,69,42,69,42,111
BETANZOS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,83,374,83,374,457
BOLIVAR,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,2,2,2,2,4
BOLPEBRA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,1,3,1,3,4
BOYUIBE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,5,2,5,2,7
BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,22,102,22,102,124
CABEZAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,61,57,61,57,118
CAIROMA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,8,1,8,1,9
"CAIZA ""D""",otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,6,27,6,27,33
CAJUATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,43,4,43,4,47
CALACOTO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,9,28,9,28,37
CALAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,4,40,4,40,44
CAMARGO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,15,12,15,12,27
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,3,5,3,5,8
CAMIRI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,115,422,115,422,537
CAPINOTA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,11,10,11,10,21
CAQUIAVIRI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,11,18,11,18,29
CARACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,12,290,12,290,302
CARANAVI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,69,207,69,207,276
CARAPARI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,27,153,27,153,180
CARIPUYO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,8,16,8,16,24
CARMEN RIVERO TORREZ,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,6,4,6,4,10
CATACORA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,0,3,0,3,3
CHACARILLA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,2,6,2,6,8
CHALLAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,89,792,89,792,881
CHAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,10,2,10,2,12
CHARAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,21,155,21,155,176
CHARAÑA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,0,16,0,16,16
CHAYANTA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,13,30,13,30,43
CHIMORE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,96,107,96,107,203
CHIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,0,4,0,4,4
CHUA COCANI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,8,100,8,100,108
CHUMA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,2,22,2,22,24
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,19,5,19,5,24
CKOCHAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,44,20,44,20,64
CLIZA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,60,155,60,155,215
COBIJA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,168,21,168,21,189
COCAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,13,43,13,43,56
COCHABAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,1173,4192,1173,4192,5365
COIPASA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,2,2,2,2,4
COLCAPIRHUA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,66,255,66,255,321
"COLCHA ""K""",otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,34,8,34,8,42
COLLANA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,3,0,3,0,3
COLOMI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,13,53,13,53,66
COLPA BELGICA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,11,90,11,90,101
COLQUECHACA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,27,32,27,32,59
COLQUENCHA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,6,0,6,0,6
COLQUIRI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,18,71,18,71,89
COMANCHE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,4,0,4,0,4
COMARAPA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,9,18,9,18,27
CONCEPCION,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,25,100,25,100,125
COPACABANA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,18,6,18,6,24
CORIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,27,437,27,437,464
CORO CORO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,7,3,7,3,10
COROICO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,15,68,15,68,83
CORQUE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,7,9,7,9,16
COTAGAITA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,30,29,30,29,59
COTOCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,105,65,105,65,170
CRUZ DE MACHACAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,1,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,82,57,82,57,139
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,5,0,5,0,5
CUEVO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,0,24,0,24,24
CULPINA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,21,20,21,20,41
CURAHUARA DE CARANGAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,7,1,7,1,8
DESAGUADERO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,6,0,6,0,6
EL ALTO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,1378,2833,1378,2833,4211
EL CHORO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,2,2,2,2,4
EL PUENTE(STC),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,15,11,15,11,26
EL PUENTE(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,14,39,14,39,53
EL TORNO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,111,337,111,337,448
EL VILLAR,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,6,0,6,0,6
ENTRE RIOS TRJ,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,13,41,13,41,54
ENTRE RIOS CBBA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,31,4,31,4,35
ESCOMA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,8,0,8,0,8
EUCALIPTUS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,6,6,6,6,12
EUREKA (SANTOS MERCADO),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,0,5,0,5,5
FERNANDEZ ALONSO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,17,74,17,74,91
FILADELFIA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,8,46,8,46,54
GENERAL SAAVEDRA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,10,8,10,8,18
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,6,1,6,1,7
GUANAY,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,29,1,29,1,30
GUAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,1,81,1,81,82
GUAYARAMERIN,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,129,65,129,65,194
GUTIERREZ,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,4,28,4,28,32
HUACARETA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,67,124,67,124,191
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,4,0,4,0,4
HUACHACALLA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,2,19,2,19,21
HUANUNI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,20,47,20,47,67
HUARACAJE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,5,0,5,0,5
HUARINA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,8,13,8,13,21
HUATAJATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,4,1,4,1,5
HUAYLLAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,13,0,13,0,13
HUMANATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,4,2,4,2,6
ICHOCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,2,12,2,12,14
ICLA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,20,58,20,58,78
INCAHUASI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,20,156,20,156,176
INQUISIVI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,2,61,2,61,63
IRUPANA (VILLA DE LANZA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,11,70,11,70,81
IXIAMAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,13,152,13,152,165
JESUS DE MACHACA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,16,25,16,25,41
LA ASUNTA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,72,345,72,345,417
LA GUARDIA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,65,330,65,330,395
LA PAZ,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,1448,2134,1448,2134,3582
LAGUNILLAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,22,59,22,59,81
LAJA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,7,250,7,250,257
LAS CARRERAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,2,6,2,6,8
LICOMA PAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,2,6,2,6,8
LLALLAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,138,370,138,370,508
LORETO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,1,12,1,12,13
LURIBAY,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,17,34,17,34,51
MACHACAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,13,8,13,8,21
MACHARETI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,12,5,12,5,17
MAGDALENA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,6,0,6,0,6
MAIRANA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,5,24,5,24,29
MALLA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,0,48,0,48,48
MAPIRI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,54,0,54,0,54
MECAPACA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,15,11,15,11,26
MINEROS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,9,127,9,127,136
MIZQUE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,30,18,30,18,48
MOCOMOCO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,25,14,25,14,39
MOJINETE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,0,1,0,1,1
MOJOCOYA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,17,12,17,12,29
MONTEAGUDO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,46,393,46,393,439
MONTERO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,609,855,609,855,1464
MORO MORO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,2,2,2,2,4
MOROCHATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,5,20,5,20,25
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,7,10,7,10,17
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,0,1,0,1,1
OCURI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,13,69,13,69,82
OKINAWA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,12,79,12,79,91
OMEREQUE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,2,12,2,12,14
ORURO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,939,828,939,828,1767
PADCAYA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,35,67,35,67,102
PADILLA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,11,48,11,48,59
PAILON,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,41,412,41,412,453
PALCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-04-01,14,6,14,6,20
